id,ar_noun_counts,ar_verb_counts,ar_lemma_counts,en_ar_DEEP_noun_counts,en_ar_DEEP_verb_counts,en_ar_DEEP_lemma_counts,en_ar_DEEPL_noun_counts,en_ar_DEEPL_verb_counts,en_ar_DEEPL_lemma_counts,en_ar_GOOGLE_noun_counts,en_ar_GOOGLE_verb_counts,en_ar_GOOGLE_lemma_counts,en_ar_TRANSFORMERS_noun_counts,en_ar_TRANSFORMERS_verb_counts,en_ar_TRANSFORMERS_lemma_counts
2011/s/2011/463/305:7,3,1,17,3,2,17,4.0,1.0,16.0,4,1,16,4.0,1.0,15.0
2005/s/2005/686/23:1,17,8,61,17,3,57,15.0,6.0,55.0,17,3,58,15.0,6.0,60.0
2011/s/2011/245/131:3,5,4,27,8,2,30,6.0,4.0,29.0,8,2,30,8.0,2.0,31.0
2014/s/2014/934/17:1,6,1,24,2,0,21,2.0,0.0,21.0,2,0,21,2.0,0.0,20.0
2005/s/2005/642/28:3,3,2,18,3,2,17,3.0,2.0,17.0,3,2,17,3.0,2.0,17.0
2010/s/2010/528/121:3,1,1,22,2,3,23,2.0,2.0,26.0,2,3,23,2.0,3.0,24.0
2014/s/2014/929/47:6,0,3,20,2,3,21,2.0,2.0,17.0,2,3,22,2.0,2.0,20.0
2014/s/2014/869/17:4,10,1,32,10,1,31,10.0,2.0,30.0,10,1,31,10.0,1.0,31.0
1999/s/res/1267_1999_/37:1,3,2,38,4,1,41,3.0,4.0,41.0,4,1,41,4.0,2.0,40.0
2012/s/2012/245/16:1,8,5,58,9,2,58,8.0,3.0,57.0,9,2,58,9.0,4.0,57.0
2014/s/2014/921/27:1,56,9,138,44,4,110,66.0,6.0,111.0,44,4,110,49.0,5.0,112.0
2013/s/2013/769/22:2,8,6,42,6,4,37,6.0,5.0,38.0,6,4,37,6.0,4.0,37.0
2014/s/2014/935/72:3,4,6,45,5,4,43,5.0,5.0,44.0,5,4,43,5.0,6.0,44.0
2014/s/2014/74/11:2,15,3,51,13,2,50,13.0,3.0,53.0,13,3,49,13.0,4.0,51.0
2008/s/2008/250/22:1,2,4,48,4,2,47,3.0,2.0,46.0,4,2,47,4.0,2.0,48.0
2014/s/2014/9/68:1,11,1,46,11,1,47,11.0,1.0,46.0,11,1,47,12.0,1.0,47.0
2005/s/2005/642/54:5,3,1,27,4,1,26,5.0,1.0,28.0,4,1,27,2.0,2.0,28.0
2013/s/2013/447/22:4,4,3,32,3,3,31,4.0,2.0,31.0,3,3,31,4.0,3.0,31.0
2009/s/prst/2009/1/595:1,7,1,23,7,1,23,7.0,1.0,24.0,7,1,23,8.0,1.0,24.0
2009/s/res/1904_2009_/68:1,8,6,44,7,3,37,7.0,5.0,35.0,7,3,37,7.0,5.0,36.0
2005/s/2005/636/29:1,1,0,17,0,1,18,0.0,0.0,17.0,0,1,18,0.0,1.0,18.0
2008/s/prst/2008/45/2:1,1,3,31,4,3,33,1.0,3.0,33.0,4,3,34,2.0,3.0,32.0
2010/s/prst/2010/25/568:1,2,0,7,2,0,7,2.0,0.0,7.0,2,0,7,4.0,0.0,6.0
2012/s/res/2083__2012_/178:1,4,1,20,3,1,19,3.0,1.0,20.0,3,1,19,4.0,0.0,18.0
2013/s/2013/792/18:1,10,6,56,7,6,55,7.0,6.0,52.0,7,6,55,8.0,6.0,54.0
2008/s/2008/258/81:3,4,1,21,2,1,18,2.0,1.0,19.0,2,1,18,2.0,1.0,19.0
2011/s/2011/463/168:5,1,3,14,1,3,15,1.0,3.0,15.0,1,3,15,1.0,3.0,15.0
2005/s/2005/636/676:1,18,9,55,25,3,68,22.0,7.0,66.0,25,3,68,22.0,7.0,59.0
2014/s/2014/935/80:2,2,2,23,3,3,25,3.0,3.0,22.0,3,3,25,3.0,3.0,25.0
2014/s/2014/731/14:3,8,5,34,7,4,34,7.0,4.0,33.0,7,3,34,7.0,4.0,33.0
2007/s/2007/677/102:2,10,2,36,7,2,38,8.0,2.0,38.0,7,2,38,7.0,2.0,38.0
2014/s/2014/957/82:1,7,5,38,9,2,36,10.0,1.0,33.0,9,2,36,10.0,1.0,33.0
2012/s/prst/2012/24/10:1,10,2,42,10,2,43,11.0,2.0,40.0,10,2,44,11.0,2.0,43.0
2005/s/2005/60/462:2,4,1,23,4,1,20,4.0,1.0,20.0,4,1,20,5.0,1.0,20.0
2000/s/2000/1196/59:5,7,1,24,8,1,28,8.0,1.0,27.0,8,1,28,8.0,1.0,27.0
2009/s/res/1904_2009_/74:1,18,7,84,17,4,86,17.0,5.0,84.0,17,4,86,17.0,5.0,83.0
2014/s/2014/369/37:1,12,4,40,12,1,37,12.0,1.0,37.0,12,1,37,12.0,1.0,38.0
1999/s/prst/1999/6/19:1,5,2,30,7,1,26,7.0,1.0,25.0,7,1,27,6.0,1.0,28.0
2011/s/2011/463/395:4,1,5,27,1,4,27,1.0,6.0,26.0,1,4,27,1.0,4.0,29.0
2014/s/res/2160__2014_/35:1,1,0,13,6,1,28,4.0,2.0,25.0,6,1,28,6.0,2.0,28.0
2001/s/res/1363_2001_/14:1,8,3,50,11,3,50,11.0,2.0,49.0,11,3,50,10.0,3.0,48.0
2005/s/2005/572/96:1,5,1,23,4,1,24,4.0,1.0,23.0,4,1,24,4.0,1.0,24.0
2014/s/2014/902/70:4,1,3,12,1,4,15,1.0,3.0,14.0,1,4,15,1.0,3.0,13.0
2003/s/2003/90/107:3,2,2,17,3,1,19,3.0,1.0,19.0,3,1,19,3.0,1.0,19.0
2010/s/prst/2010/25/782:1,4,1,34,3,3,31,4.0,3.0,31.0,3,3,31,4.0,3.0,32.0
2000/s/2000/1190/73:1,5,2,41,6,2,41,6.0,2.0,41.0,6,2,41,6.0,2.0,41.0
2011/s/2011/245/55:3,9,4,50,5,3,42,6.0,4.0,45.0,5,3,42,6.0,4.0,48.0
