id,es_noun_counts,es_verb_counts,es_lemma_counts,en_es_DEEP_noun_counts,en_es_DEEP_verb_counts,en_es_DEEP_lemma_counts,en_es_DEEPL_noun_counts,en_es_DEEPL_verb_counts,en_es_DEEPL_lemma_counts,en_es_GOOGLE_noun_counts,en_es_GOOGLE_verb_counts,en_es_GOOGLE_lemma_counts,en_es_TRANSFORMERS_noun_counts,en_es_TRANSFORMERS_verb_counts,en_es_TRANSFORMERS_lemma_counts
2011/s/2011/463/305:7,5,2,24,5,4,24,4,2,21,5,4,24,5,4,23
2005/s/2005/686/23:1,21,11,55,20,10,60,22,10,60,20,10,60,19,10,59
2011/s/2011/245/131:3,7,4,30,8,4,30,8,4,29,9,4,29,10,4,31
2014/s/2014/934/17:1,9,0,26,9,0,24,9,0,23,9,0,24,9,0,23
2005/s/2005/642/28:3,7,4,21,7,4,21,8,4,22,7,4,21,8,4,24
2010/s/2010/528/121:3,7,2,32,5,1,26,5,1,26,5,1,26,5,1,25
2014/s/2014/929/47:6,6,2,21,6,2,23,6,2,24,6,2,23,6,2,23
2014/s/2014/869/17:4,12,4,38,9,4,32,10,4,34,9,4,32,12,4,36
1999/s/res/1267_1999_/37:1,18,2,46,18,2,45,18,2,46,17,2,46,18,2,47
2012/s/2012/245/16:1,27,11,66,27,9,62,29,9,63,27,9,62,28,10,62
2014/s/2014/921/27:1,80,6,135,62,4,105,63,5,105,62,4,105,57,5,101
2013/s/2013/769/22:2,15,6,45,16,6,45,15,5,46,16,6,45,14,5,45
2014/s/2014/935/72:3,9,6,44,8,8,42,9,8,44,8,8,42,10,8,44
2014/s/2014/74/11:2,30,6,62,30,1,55,29,3,57,30,1,55,28,4,56
2008/s/2008/250/22:1,7,2,36,8,2,39,8,2,38,8,2,39,8,3,38
2014/s/2014/9/68:1,14,5,53,18,6,50,18,6,50,19,6,52,19,5,50
2005/s/2005/642/54:5,7,4,32,6,4,31,7,5,28,6,4,32,6,4,31
2013/s/2013/447/22:4,9,4,28,9,5,31,9,5,31,9,5,31,9,5,31
2009/s/prst/2009/1/595:1,12,3,30,11,2,30,13,2,31,11,2,30,11,2,31
2009/s/res/1904_2009_/68:1,14,6,44,14,5,42,15,6,43,14,5,42,13,8,41
2005/s/2005/636/29:1,9,0,22,6,2,20,6,2,20,6,2,20,7,0,20
2008/s/prst/2008/45/2:1,11,1,35,11,1,35,11,1,35,10,1,36,11,1,35
2010/s/prst/2010/25/568:1,4,0,10,4,0,9,4,0,9,4,0,9,4,0,10
2012/s/res/2083__2012_/178:1,6,2,21,5,1,22,5,1,23,5,1,21,5,2,23
2013/s/2013/792/18:1,14,10,53,12,8,51,13,9,53,12,8,51,14,7,53
2008/s/2008/258/81:3,8,1,20,9,1,20,8,3,21,9,1,20,8,1,20
2011/s/2011/463/168:5,8,4,22,7,3,18,7,3,18,7,3,18,5,5,19
2005/s/2005/636/676:1,40,7,66,42,8,63,38,8,63,22,8,60,28,7,55
2014/s/2014/935/80:2,6,3,31,5,3,28,6,3,30,5,3,28,5,3,29
2014/s/2014/731/14:3,12,3,38,12,3,36,12,3,38,12,3,36,12,3,35
2007/s/2007/677/102:2,10,7,39,9,4,36,9,6,39,9,4,36,9,5,37
2014/s/2014/957/82:1,13,4,37,10,3,38,12,4,39,10,3,38,11,3,37
2012/s/prst/2012/24/10:1,16,4,42,16,5,46,16,5,48,16,5,47,15,5,44
2005/s/2005/60/462:2,9,1,24,9,2,25,8,2,24,9,2,25,9,2,25
2000/s/2000/1196/59:5,9,4,28,8,4,27,8,4,27,8,4,27,9,4,27
2009/s/res/1904_2009_/74:1,34,11,85,31,10,88,32,10,85,31,10,88,33,10,87
2014/s/2014/369/37:1,16,5,43,19,5,40,19,5,41,19,5,40,19,5,39
1999/s/prst/1999/6/19:1,12,3,33,11,3,34,10,3,33,11,3,35,11,3,32
2011/s/2011/463/395:4,9,6,32,8,6,32,8,6,34,8,6,32,8,6,34
2014/s/res/2160__2014_/35:1,18,2,35,14,2,31,14,2,32,14,2,31,13,2,31
2001/s/res/1363_2001_/14:1,25,1,52,23,2,53,25,1,54,23,2,53,26,1,54
2005/s/2005/572/96:1,4,2,28,3,2,26,3,2,27,3,2,26,3,2,26
2014/s/2014/902/70:4,4,4,18,5,4,18,6,3,19,5,4,18,5,4,19
2003/s/2003/90/107:3,8,2,22,8,2,21,8,2,20,8,2,21,8,2,21
2010/s/prst/2010/25/782:1,13,3,35,12,3,34,12,3,37,12,3,34,12,3,36
2000/s/2000/1190/73:1,9,4,38,9,4,36,9,4,36,9,4,36,9,4,36
2011/s/2011/245/55:3,17,4,48,18,3,46,18,3,46,18,3,46,20,3,46
2006/s/2006/154/104:3,6,1,29,4,1,25,5,1,29,4,1,25,4,1,28
2005/s/2005/60/183:3,7,2,36,6,1,33,6,3,34,6,1,33,7,4,32
2014/s/2014/740/53:1,16,3,53,15,3,48,15,3,48,15,3,48,16,3,47
2006/s/2006/822/44:1,4,2,19,4,1,17,4,1,17,4,1,17,4,1,18
2014/s/2014/943/6:2,8,2,63,9,1,64,9,2,66,9,1,64,9,2,61
2014/s/res/2160__2014_/79:1,16,2,39,15,2,39,15,1,38,15,2,39,16,2,39
2009/s/2009/170/31:1,30,4,61,27,8,62,27,8,61,27,8,62,27,7,61
2010/s/2010/52/43:1,10,5,35,10,5,35,10,5,35,10,5,35,10,6,36
2005/s/2005/60/681:6,6,5,25,4,5,22,4,5,22,4,5,22,4,5,21
2000/s/2000/1190/94:1,6,1,21,7,1,22,7,1,22,7,1,22,7,1,22
2005/s/2005/699/316:1,4,3,22,2,1,20,3,1,20,2,1,20,2,1,20
2014/s/2014/943/36:2,16,6,59,18,5,59,17,6,58,18,5,58,18,5,58
2005/s/2005/686/29:1,8,2,24,8,0,22,8,1,22,8,1,22,8,2,24
2005/s/2005/60/254:1,8,6,31,8,6,31,8,6,30,8,6,31,8,6,30
2008/s/2008/379/226:7,6,3,25,5,2,25,6,2,24,5,2,26,5,3,25
2014/s/res/2178__2014_/55:1,21,6,71,18,6,67,24,6,67,18,6,67,23,7,71
2010/s/2010/462/10:4,9,3,30,7,3,33,8,2,32,7,3,33,8,4,34
2014/s/2014/902/124:1,10,3,30,11,2,25,10,2,26,11,2,25,9,2,24
2010/s/2010/528/133:1,9,1,27,9,1,29,9,1,31,8,2,30,9,1,30
2010/s/2010/522/57:4,8,5,37,9,3,35,8,4,35,9,3,35,11,3,36
2012/s/2012/373/449:2,4,4,36,3,3,31,4,3,32,3,3,31,4,3,34
2012/s/res/2082__2012_/71:1,10,5,34,8,5,32,9,3,32,8,5,32,8,6,31
2005/s/2005/603/95:2,15,9,45,16,6,43,16,4,41,16,6,43,16,7,44
2005/s/2005/60/640:5,2,2,12,2,2,10,2,2,10,2,2,10,2,2,10
2000/s/2000/1196/105:2,9,1,24,9,0,30,9,0,30,9,0,30,9,1,27
2005/s/2005/60/457:3,50,18,109,40,14,94,41,15,97,40,14,94,42,13,98
2011/s/2011/463/181:2,6,3,22,5,3,21,4,4,20,5,3,21,5,3,22
2005/s/2005/634/17:2,6,1,15,6,0,17,5,0,15,6,0,17,5,0,15
2014/s/prst/2014/3/798:1,17,6,37,16,5,36,16,5,35,16,5,36,18,6,40
2006/s/2006/154/290:2,8,5,38,6,5,39,6,5,39,6,5,39,7,5,40
2014/s/2014/740/81:1,6,3,28,5,2,26,5,2,27,5,2,27,5,3,26
2006/s/2006/154/137:1,14,3,45,14,4,47,15,4,47,13,4,46,15,3,48
2003/s/2003/90/60:2,10,3,31,12,3,31,11,3,32,11,3,32,10,3,32
2006/s/2006/822/15:3,9,3,28,8,2,25,8,2,26,8,2,25,8,2,25
2005/s/2005/662/498:1,3,1,14,2,2,14,2,2,14,2,2,14,2,2,14
2010/s/2010/529/38:2,4,1,19,4,1,19,4,1,19,4,1,19,4,1,19
2009/s/2009/671/1:1,5,0,21,5,0,23,5,0,23,5,0,23,5,0,23
2014/s/2014/9/105:3,13,3,38,13,4,40,14,3,37,13,4,40,14,3,41
2014/s/prst/2014/3/708:1,5,0,13,4,0,13,4,0,13,4,0,13,5,0,13
2005/s/2005/625/91:3,7,1,23,6,1,23,6,1,23,6,1,23,6,1,23
2012/s/2012/24/66:8,12,5,28,9,4,25,14,4,30,10,4,27,11,5,27
2011/s/2011/245/126:4,11,7,38,13,7,37,13,7,38,13,7,37,13,7,39
2006/s/prst/2006/28/5:3,17,6,45,17,5,39,13,7,44,17,5,39,19,5,43
2005/s/2005/635/40:1,8,2,22,8,1,23,7,1,22,8,1,23,9,1,21
2012/s/2012/244/29:5,4,2,19,5,1,19,5,1,20,5,1,19,5,1,20
2009/s/prst/2009/1/4:2,21,3,51,19,4,45,20,4,50,19,4,45,20,4,47
2005/s/2005/60/765:1,7,2,25,7,1,20,8,1,22,7,1,20,8,1,21
2005/s/2005/60/677:1,6,3,25,7,3,29,7,3,28,7,3,29,8,4,31
2008/s/2008/379/293:1,5,0,10,2,0,8,2,0,8,2,0,8,2,0,8
2004/s/prst/2004/21/11:1,4,3,25,3,2,23,3,2,22,3,2,24,3,2,21
2005/s/2005/60/145:1,6,0,16,4,0,16,4,0,15,4,0,16,3,0,16
2012/s/2012/16/99:3,7,2,20,8,2,20,8,2,20,8,2,20,8,2,20
2006/s/2006/822/292:3,12,2,55,12,2,53,13,2,55,12,2,53,12,2,53
2011/s/2011/463/163:5,9,4,31,11,3,31,11,4,36,11,3,32,12,3,32
2005/s/2005/60/362:1,5,2,17,6,1,18,6,1,18,6,1,18,6,1,18
2005/s/2005/60/474:5,3,1,14,3,1,14,3,1,13,3,1,14,3,0,13
2008/s/2008/259/14:6,5,0,18,4,1,18,4,0,18,4,1,18,4,1,18
2014/s/2014/276/86:1,10,3,30,9,3,32,9,3,31,9,3,32,9,3,32
2012/s/2012/16/45:5,5,3,23,7,1,23,6,2,24,7,1,23,7,1,23
2005/s/2005/60/940:1,12,2,38,8,3,38,7,3,38,9,3,40,9,2,37
2005/s/2005/60/569:2,6,4,25,6,3,23,6,3,23,6,3,23,6,3,23
2005/s/2005/678/3:3,9,2,24,8,1,19,7,3,20,8,1,19,8,1,21
2005/s/2005/60/712:1,14,4,36,14,5,43,14,5,41,13,5,43,16,4,41
2010/s/prst/2010/19/9:1,32,11,69,31,10,68,26,14,69,31,10,69,31,13,69
2007/s/prst/2007/26/6:1,7,2,28,7,2,28,7,2,28,7,2,29,7,2,27
2006/s/prst/2006/4/5:4,7,1,22,8,1,22,8,1,22,8,1,22,8,1,22
2005/s/2005/60/445:16,1,2,10,1,2,10,1,2,10,1,2,10,1,2,10
2005/s/2005/60/236:4,5,2,16,3,2,14,3,2,14,3,2,14,3,2,14
2005/s/2005/60/626:2,2,1,15,2,0,18,2,0,18,2,0,18,2,0,18
2005/s/2005/572/210:1,8,8,34,8,8,35,9,9,34,8,8,35,7,7,33
2011/s/2011/463/483:1,7,2,25,6,2,27,7,2,27,6,2,27,7,2,26
2014/s/2014/41/83:5,11,2,28,6,2,26,5,3,26,6,2,26,5,3,26
2006/s/res/1735_2006_/42:1,33,17,87,31,16,90,34,17,90,31,16,90,23,14,70
