id,ar_en_DEEP_to_ar_difference_general_rarity,ar_en_DEEP_to_ar_difference_genre_rarity,ar_en_DEEPL_to_ar_difference_general_rarity,ar_en_DEEPL_to_ar_difference_genre_rarity,ar_en_GOOGLE_to_ar_difference_general_rarity,ar_en_GOOGLE_to_ar_difference_genre_rarity,ar_en_TRANSFORMERS_to_ar_difference_general_rarity,ar_en_TRANSFORMERS_to_ar_difference_genre_rarity
2011/s/2011/463/305:7,-0.0845588235294118,-0.4117647058823529,-0.03594771241830064,-0.4117647058823529,-0.0845588235294118,-0.4117647058823529,-0.0845588235294118,-0.4117647058823529
2005/s/2005/686/23:1,-0.23882113821138212,-0.1995257452574526,-0.21736947791164662,-0.1758701472556895,-0.23882113821138212,-0.1995257452574526,-0.2374031007751938,-0.166343669250646
2011/s/2011/245/131:3,-0.3935185185185185,-0.1539351851851851,-0.3851851851851852,-0.1185185185185185,-0.3935185185185185,-0.1539351851851851,-0.3249701314217443,-0.1206690561529271
2014/s/2014/934/17:1,-0.3772727272727273,-0.21818181818181817,-0.35885167464114837,-0.2129186602870814,-0.3772727272727273,-0.21818181818181817,-0.2272727272727273,-0.20707070707070707
2005/s/2005/642/28:3,-0.42592592592592593,-0.2777777777777778,-0.4305555555555555,-0.2361111111111112,-0.42592592592592593,-0.2777777777777778,-0.4178743961352657,-0.2777777777777778
2010/s/2010/528/121:3,-0.26857142857142846,-0.238095238095238,-0.11278195488721798,-0.1854636591478696,-0.26857142857142846,-0.238095238095238,-0.28042328042328035,-0.238095238095238
2014/s/2014/929/47:6,-0.1267942583732058,-0.059808612440191394,-0.1203007518796993,-0.1052631578947368,-0.1267942583732058,-0.059808612440191394,-0.1381578947368421,-0.06359649122807019
2014/s/2014/869/17:4,-0.25126050420168067,-0.11344537815126049,-0.23839285714285707,-0.1116071428571428,-0.25126050420168067,-0.11344537815126049,-0.23839285714285707,-0.1116071428571428
1999/s/res/1267_1999_/37:1,-0.1307692307692308,-0.2444444444444444,-0.14074074074074083,-0.2074074074074074,-0.1307692307692308,-0.2444444444444444,-0.12727272727272732,-0.20808080808080812
2012/s/2012/245/16:1,-0.2011494252873563,-0.1567256912084499,-0.1705882352941177,-0.16740858505564388,-0.2011494252873563,-0.1567256912084499,-0.2362637362637363,-0.1807246807246808
2014/s/2014/921/27:1,-0.3643890483022478,-0.1587458153993305,-0.35121231743290887,-0.14166486797611338,-0.3643890483022478,-0.1587458153993305,-0.3657835716288198,-0.1603938884216429
2013/s/2013/769/22:2,-0.4623824451410658,-0.3346394984326019,-0.477645305514158,-0.3535767511177347,-0.4824046920821114,-0.3379765395894428,-0.487012987012987,-0.3546176046176046
2014/s/2014/935/72:3,-0.2943722943722943,-0.11774891774891771,-0.24977538185085352,-0.11500449236298291,-0.2943722943722943,-0.11774891774891771,-0.2053571428571428,-0.10714285714285711
2014/s/2014/74/11:2,-0.3017241379310345,-0.1912715517241379,-0.33138515488018705,-0.1729982466393922,-0.3017241379310345,-0.1912715517241379,-0.3173491379310345,-0.1912715517241379
2008/s/2008/250/22:1,-0.20209059233449478,-0.1713124274099884,-0.1878048780487805,-0.1451219512195122,-0.20209059233449478,-0.1713124274099884,-0.21280487804878045,-0.1701219512195122
