mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.7284271454177011,0,0,206,193,38,25,0.9433668784318134,0.9352359328882485,0.3237399011850357,0.8636363636363636,0.8442622950819673,0.8917748917748918,0.8673684210526317,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,1
0.7284271454177011,0,0,206,193,38,25,0.9345776878244411,0.9286792222834621,0.496775621175766,0.8636363636363636,0.8442622950819673,0.8917748917748918,0.8673684210526317,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,2
0.6845024057982145,0,0,190,199,32,41,0.9223777665336108,0.9234153941545252,0.7548334121704101,0.841991341991342,0.8558558558558559,0.8225108225108225,0.8388520971302429,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,3
0.6920569929568129,0,0,207,183,48,24,0.9240269110398981,0.9170197558175902,0.8504071593284607,0.8441558441558441,0.8117647058823529,0.8961038961038961,0.8518518518518517,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,4
0.7100165890703792,0,0,199,196,35,32,0.9209722456475703,0.9121163934283085,0.8534219145774842,0.854978354978355,0.8504273504273504,0.8614718614718615,0.8559139784946238,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,5
0.6886712691432424,0,0,219,167,64,12,0.9113772230655348,0.884467524983221,0.4251201212406158,0.8354978354978355,0.773851590106007,0.948051948051948,0.8521400778210116,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,1
0.7523374824513145,0,0,191,213,18,40,0.9445662562545679,0.943419257067102,0.3980589032173157,0.8744588744588745,0.9138755980861244,0.8268398268398268,0.8681818181818183,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,2
0.7364899302892182,0,0,205,196,35,26,0.9417739547609677,0.9426394870104362,0.5016807019710541,0.8679653679653679,0.8541666666666666,0.8874458874458875,0.8704883227176221,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,3
0.706138804304021,0,0,210,183,48,21,0.9318790877232437,0.9205748423824436,0.8261840462684631,0.8506493506493507,0.813953488372093,0.9090909090909091,0.8588957055214723,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,4
0.7242751121432787,0,0,206,192,39,25,0.9343528044826745,0.9236279588785261,0.8264437317848206,0.8614718614718615,0.8408163265306122,0.8917748917748918,0.865546218487395,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,5
0.6658676843545493,0,0,223,155,76,8,0.9218530387361556,0.908672983233308,0.472101092338562,0.8181818181818182,0.745819397993311,0.9653679653679653,0.8415094339622641,BinQuad_AR_matconf,ConfliBERT-Arabic-multilingual-cased-v2,125,8,1
