mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.625269996,0,0,130,92,46,9,0.91236576,0.902499026,0.419441054,0.801444043,0.738636364,0.935251799,0.825396825,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,1
0.74958597,0,0,127,115,23,12,0.925450944,0.910146179,0.426102102,0.873646209,0.846666667,0.913669065,0.878892734,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,2
0.665532049,0,0,124,106,32,15,0.918360963,0.907023423,0.703579783,0.83032491,0.794871795,0.892086331,0.840677966,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,3
0.68255799,0,0,119,114,24,20,0.912000834,0.895987527,0.787316183,0.841155235,0.832167832,0.856115108,0.843971631,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,4
0.682360924,0,0,118,115,23,21,0.91189657,0.894763369,0.833893259,0.841155235,0.836879433,0.848920863,0.842857143,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,123,8,5
0.690914801,0,0,122,112,26,17,0.932332395,0.924191527,0.347081016,0.844765343,0.824324324,0.877697842,0.850174216,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,1
0.652543362,0,0,105,123,15,34,0.923104994,0.902620866,0.669471403,0.823104693,0.875,0.755395683,0.810810811,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,2
0.690465422,0,0,114,120,18,25,0.920289855,0.875697766,0.690877726,0.844765343,0.863636364,0.820143885,0.841328413,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,3
0.711246685,0,0,120,117,21,19,0.923157126,0.89456322,0.790591588,0.855595668,0.85106383,0.863309353,0.857142857,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,4
0.718839892,0,0,122,116,22,17,0.922635804,0.892526835,0.820061624,0.859205776,0.847222222,0.877697842,0.862190813,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,124,8,5
0.684405949,0,0,128,104,34,11,0.933010114,0.932758626,0.436757604,0.837545126,0.790123457,0.920863309,0.850498339,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,125,8,1
0.715864097,0,0,127,110,28,12,0.91898655,0.916820356,0.405063172,0.855595668,0.819354839,0.913669065,0.863945578,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,125,8,2
0.65265111,0,0,131,95,43,8,0.918152435,0.904267371,0.75551182,0.815884477,0.752873563,0.942446043,0.837060703,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,125,8,3
0.693487669,0,0,125,109,29,14,0.918569492,0.910725388,0.770187557,0.844765343,0.811688312,0.899280576,0.853242321,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,125,8,4
0.699283467,0,0,124,111,27,15,0.917474716,0.912476931,0.838844975,0.848375451,0.821192053,0.892086331,0.855172414,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,125,8,5
0.740350612,0,0,123,118,20,16,0.930872693,0.932979753,0.393249422,0.870036101,0.86013986,0.884892086,0.872340426,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,126,8,1
0.740404709,0,0,119,122,16,20,0.926441456,0.915848584,0.441796154,0.870036101,0.881481481,0.856115108,0.868613139,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,126,8,2
0.704155595,0,0,117,119,19,22,0.925033886,0.904290777,0.766052286,0.85198556,0.860294118,0.841726619,0.850909091,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,126,8,3
0.653425086,0,0,115,114,24,24,0.916223543,0.903004689,0.901429216,0.826714801,0.827338129,0.827338129,0.827338129,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,126,8,4
0.675269835,0,0,115,117,21,24,0.913147743,0.898342586,0.930920362,0.837545126,0.845588235,0.827338129,0.836363636,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,126,8,5
0.747302019,0,0,122,120,18,17,0.937441351,0.929081605,0.359740367,0.873646209,0.871428571,0.877697842,0.874551971,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,127,8,1
0.667590732,0,0,132,96,42,7,0.932123866,0.922347374,0.456896693,0.823104693,0.75862069,0.949640288,0.843450479,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,127,8,2
0.717401927,0,0,110,127,11,29,0.928787405,0.920791696,0.567177723,0.855595668,0.909090909,0.791366906,0.846153846,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,127,8,3
0.719276116,0,0,123,115,23,16,0.929882181,0.922493893,0.683727582,0.859205776,0.842465753,0.884892086,0.863157895,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,127,8,4
0.740350612,0,0,123,118,20,16,0.931654676,0.925414272,0.706292778,0.870036101,0.86013986,0.884892086,0.872340426,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,127,8,5
0.682394037,0,0,116,117,21,23,0.924356167,0.918627676,0.3699465,0.841155235,0.846715328,0.834532374,0.84057971,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,128,8,1
0.684405949,0,0,128,104,34,11,0.925086018,0.926784606,0.591937572,0.837545126,0.790123457,0.920863309,0.850498339,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,128,8,2
0.65677677,0,0,127,101,37,12,0.889010531,0.859826406,0.827796261,0.823104693,0.774390244,0.913669065,0.838283828,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,128,8,3
0.689536521,0,0,118,116,22,21,0.907517464,0.893266234,0.955886285,0.844765343,0.842857143,0.848920863,0.845878136,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,128,8,4
0.690914801,0,0,122,112,26,17,0.905327912,0.887349415,0.971037229,0.844765343,0.824324324,0.877697842,0.850174216,en_ar_DEEPL_binary_verconf,ConfliBERT-Arabic-multilingual-cased-v2,128,8,5
