mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.82556967,0,0,755,795,95,54,0.967036569,0.955011239,0.253497564,0.912301354,0.888235294,0.933250927,0.91018686,ar_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,1
0.826805504,0,0,756,795,95,53,0.970917071,0.964486674,0.391148171,0.912889935,0.888366627,0.934487021,0.910843373,ar_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,2
0.819955344,0,0,774,768,122,35,0.96576992,0.956511195,0.434106974,0.907592702,0.863839286,0.956736712,0.907917889,ar_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,3
0.82472094,0,0,771,776,114,38,0.963560228,0.949009834,0.550723908,0.910535609,0.871186441,0.95302843,0.910271547,ar_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,4
0.825835449,0,0,765,784,106,44,0.959867224,0.944041431,0.575426417,0.911712772,0.878300804,0.945611867,0.910714286,ar_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,5
0.799774991,0,0,791,727,163,18,0.965960195,0.955201353,0.40756553,0.893466745,0.829140461,0.977750309,0.89733409,ar_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,1
0.839529375,0,0,734,829,61,75,0.973107318,0.96955191,0.303183507,0.919952913,0.92327044,0.907292954,0.91521197,ar_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,2
0.817378885,0,0,772,768,122,37,0.966971292,0.957822665,0.470165888,0.906415539,0.863534676,0.954264524,0.906635349,ar_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,3
0.822546118,0,0,765,781,109,44,0.966432411,0.958161555,0.506024164,0.909947028,0.875286041,0.945611867,0.909090909,ar_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,4
0.814408561,0,0,755,785,105,54,0.96186303,0.939688012,0.604172205,0.906415539,0.877906977,0.933250927,0.904733373,ar_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,5
0.842504757,0,0,773,790,100,36,0.974700351,0.969932819,0.281266985,0.919952913,0.885452463,0.955500618,0.919143876,ar_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,1
0.827941738,0,0,742,811,79,67,0.969826808,0.964029593,0.372466258,0.914067098,0.903775883,0.917181706,0.910429448,ar_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,2
0.824970899,0,0,749,801,89,60,0.96815322,0.958247891,0.402464237,0.912301354,0.893794749,0.925834363,0.909532483,ar_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,3
0.830908865,0,0,762,792,98,47,0.966061582,0.950944325,0.544074143,0.91465568,0.886046512,0.941903585,0.91312163,ar_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,4
0.82071321,0,0,767,777,113,42,0.96022833,0.937570329,0.623873907,0.908769865,0.871590909,0.948084054,0.908229722,ar_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,5
0.819610564,0,0,789,749,141,20,0.97190039,0.962889608,0.262808572,0.905238376,0.848387097,0.975278121,0.907418056,ar_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,1
0.829059937,0,0,771,780,110,38,0.973612866,0.968403255,0.330968716,0.912889935,0.875141884,0.95302843,0.912426036,ar_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,2
0.835239399,0,0,749,810,80,60,0.967454619,0.950247326,0.410603623,0.917598587,0.903498191,0.925834363,0.914529915,ar_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,3
0.822795106,0,0,750,798,92,59,0.962779684,0.941750033,0.53945064,0.911124191,0.890736342,0.927070457,0.908540279,ar_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,4
0.82730543,0,0,760,791,99,49,0.958985292,0.937561386,0.59811892,0.912889935,0.884749709,0.939431397,0.911270983,ar_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,5
0.833912522,0,0,746,812,78,63,0.971697615,0.966427663,0.249521414,0.917010006,0.905339806,0.922126082,0.913655848,ar_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,1
0.810281195,0,0,792,736,154,17,0.967797669,0.960176853,0.386312637,0.89935256,0.837209302,0.978986403,0.902564103,ar_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,2
0.833696785,0,0,766,790,100,43,0.965401869,0.951047326,0.43741142,0.915832843,0.884526559,0.94684796,0.914626866,ar_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,3
0.825930816,0,0,758,792,98,51,0.961569978,0.943632218,0.564226204,0.912301354,0.885514019,0.936959209,0.910510511,ar_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,4
0.827708817,0,0,754,798,92,55,0.957874196,0.933544816,0.605624325,0.913478517,0.891252955,0.932014833,0.911178248,ar_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,5
0.825382981,0,0,735,816,74,74,0.969501812,0.962709555,0.286199337,0.912889935,0.908529048,0.908529048,0.908529048,ar_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,1
0.840021765,0,0,752,811,79,57,0.971744837,0.965647929,0.270696223,0.919952913,0.904933815,0.929542645,0.917073171,ar_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,2
0.828357171,0,0,773,777,113,36,0.966196303,0.956272045,0.368116635,0.912301354,0.872460497,0.955500618,0.912094395,ar_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,3
0.83023637,0,0,765,788,102,44,0.960353328,0.947192779,0.541648073,0.914067098,0.882352941,0.945611867,0.912887828,ar_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,4
0.82730543,0,0,760,791,99,49,0.959350565,0.941141997,0.635319584,0.912889935,0.884749709,0.939431397,0.911270983,ar_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,5
0.842091741,0,0,748,817,73,61,0.97551284,0.971053269,0.291228708,0.921130077,0.911084044,0.924598269,0.917791411,ar_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,1
0.825087018,0,0,790,753,137,19,0.971933723,0.965718699,0.317021687,0.908181283,0.852211435,0.976514215,0.910138249,ar_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,2
0.823387251,0,0,775,770,120,34,0.965276871,0.952965841,0.410766435,0.909358446,0.865921788,0.957972806,0.909624413,ar_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,3
0.810596544,0,0,775,758,132,34,0.960899154,0.944176383,0.535563441,0.902295468,0.85446527,0.957972806,0.903263403,ar_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,4
0.818920431,0,0,769,773,117,40,0.962197747,0.941048423,0.619716144,0.907592702,0.867945824,0.950556242,0.907374631,ar_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,5
0.818743751,0,0,778,762,128,31,0.971857335,0.965930943,0.302295222,0.906415539,0.858719647,0.961681088,0.90728863,ar_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,1
0.834683602,0,0,772,784,106,37,0.972907321,0.966537588,0.28969507,0.915832843,0.879271071,0.954264524,0.915234143,ar_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,2
0.835189223,0,0,780,775,115,29,0.965126873,0.950703332,0.430968788,0.915244261,0.87150838,0.964153276,0.915492958,ar_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,3
0.823071737,0,0,768,778,112,41,0.960494993,0.940925535,0.575827884,0.909947028,0.872727273,0.949320148,0.909413854,ar_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,4
0.818762165,0,0,762,781,109,47,0.959757503,0.940017026,0.611052464,0.908181283,0.874856487,0.941903585,0.907142857,ar_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,5
0.802501546,0,0,793,727,163,16,0.968871266,0.959498036,0.334639387,0.894643908,0.829497908,0.980222497,0.898583569,ar_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,1
0.826333213,0,0,761,789,101,48,0.970172636,0.96362538,0.343739326,0.912301354,0.882830626,0.940667491,0.910831837,ar_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,2
0.826378924,0,0,752,799,91,57,0.965210205,0.956220182,0.481549278,0.912889935,0.892052195,0.929542645,0.910411622,ar_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,3
0.823387624,0,0,743,806,84,66,0.963458841,0.947650071,0.53887606,0.911712772,0.898428053,0.9184178,0.908312958,ar_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,4
0.824266981,0,0,762,786,104,47,0.955115901,0.930110682,0.641984166,0.911124191,0.879907621,0.941903585,0.909850746,ar_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,5
0.820916537,0,0,740,807,83,69,0.97083235,0.963049844,0.296184427,0.910535609,0.899149453,0.914709518,0.906862745,ar_en_DEEPL_binary,ConfliBERT-cont-cased,132,8,1
0.80497021,0,0,785,740,150,24,0.971337898,0.967251528,0.342604245,0.897586816,0.839572193,0.970333745,0.900229358,ar_en_DEEPL_binary,ConfliBERT-cont-cased,132,8,2
0.818920431,0,0,769,773,117,40,0.970554576,0.96521227,0.386422417,0.907592702,0.867945824,0.950556242,0.907374631,ar_en_DEEPL_binary,ConfliBERT-cont-cased,132,8,3
0.81994786,0,0,743,803,87,66,0.969153206,0.962143684,0.517704393,0.909947028,0.895180723,0.9184178,0.906650397,ar_en_DEEPL_binary,ConfliBERT-cont-cased,132,8,4
0.825371204,0,0,762,787,103,47,0.966967125,0.957827496,0.57998983,0.911712772,0.880924855,0.941903585,0.910394265,ar_en_DEEPL_binary,ConfliBERT-cont-cased,132,8,5
0.837470555,0,0,761,799,91,48,0.969815697,0.963448921,0.250169153,0.918187169,0.893192488,0.940667491,0.916315473,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,123,8,1
0.849266733,0,0,753,818,72,56,0.972655935,0.968659191,0.32188612,0.924661566,0.912727273,0.930778739,0.921664627,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,123,8,2
0.823837058,0,0,772,774,116,37,0.970558742,0.966531271,0.394877673,0.909947028,0.869369369,0.954264524,0.909840896,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,123,8,3
0.825249712,0,0,752,798,92,57,0.968080999,0.962750896,0.498141635,0.912301354,0.890995261,0.929542645,0.909860859,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,123,8,4
0.818803677,0,0,743,802,88,66,0.966915737,0.960314612,0.568986549,0.909358446,0.89410349,0.9184178,0.906097561,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,123,8,5
0.792810618,0,0,794,716,174,15,0.966575464,0.95243439,0.456517113,0.888758093,0.820247934,0.981458591,0.893640968,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,124,8,1
0.81479604,0,0,720,822,68,89,0.970412911,0.965658538,0.352082221,0.907592702,0.913705584,0.889987639,0.90169067,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,124,8,2
0.826805504,0,0,756,795,95,53,0.972454549,0.967848118,0.394218438,0.912889935,0.888366627,0.934487021,0.910843373,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,124,8,3
0.812549948,0,0,749,790,100,60,0.970644852,0.964822341,0.528082426,0.905826957,0.88221437,0.925834363,0.903498191,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,124,8,4
0.802977572,0,0,726,806,84,83,0.969525423,0.964384696,0.636208424,0.901706886,0.896296296,0.897404203,0.896849907,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,124,8,5
0.819704242,0,0,761,783,107,48,0.937966834,0.862101016,0.324895176,0.908769865,0.876728111,0.940667491,0.907573047,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,125,8,1
0.809152716,0,0,711,826,64,98,0.96505743,0.956415123,0.33586972,0.904649794,0.917419355,0.878862794,0.897727273,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,125,8,2
0.749351343,0,0,632,848,42,177,0.965482424,0.957438326,0.431728884,0.871100647,0.93768546,0.781211372,0.852326365,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,125,8,3
0.819122934,0,0,757,787,103,52,0.934073138,0.859604755,0.460677207,0.908769865,0.880232558,0.935723115,0.907130018,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,125,8,4
0.807788531,0,0,731,805,85,78,0.966126859,0.958344534,0.497270656,0.904061212,0.895833333,0.903584672,0.899692308,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,125,8,5
0.820866555,0,0,778,764,126,31,0.9256052,0.862201211,0.326538873,0.907592702,0.860619469,0.961681088,0.908347928,ar_en_DEEPL_binary,ConfliBERT-cont-uncased,126,8,1
