mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.847303704,0,0,776,790,99,33,0.974399368,0.966778555,0.266185072,0.922261484,0.886857143,0.9592089,0.921615202,es_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,1
0.848859821,0,0,772,796,93,37,0.971234745,0.958388348,0.305669235,0.92343934,0.892485549,0.954264524,0.922341697,es_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,2
0.838039959,0,0,773,785,104,36,0.973648535,0.966358888,0.416622898,0.917550059,0.881413911,0.955500618,0.916963227,es_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,3
0.839308575,0,0,774,785,104,35,0.972028682,0.964192517,0.417115176,0.918138987,0.881548975,0.956736712,0.917605216,es_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,4
0.84319108,0,0,771,792,97,38,0.972334577,0.964374372,0.525278442,0.9204947,0.888248848,0.95302843,0.919499106,es_en_DEEPL_binary,ConfliBERT-cont-cased,123,8,5
0.836384728,0,0,781,774,115,28,0.972808714,0.965770026,0.234473478,0.915783274,0.871651786,0.96538937,0.916129032,es_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,1
0.834921997,0,0,792,759,130,17,0.971371008,0.961696946,0.273266643,0.913427562,0.859002169,0.978986403,0.91507799,es_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,2
0.846569431,0,0,778,787,102,31,0.975321225,0.96734657,0.317129382,0.921672556,0.884090909,0.961681088,0.921255181,es_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,3
0.837216706,0,0,768,790,99,41,0.971988359,0.963357186,0.465136165,0.917550059,0.885813149,0.949320148,0.91646778,es_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,4
0.842216734,0,0,764,799,90,45,0.972349872,0.961843487,0.531890196,0.9204947,0.894613583,0.944375773,0.918821407,es_en_DEEPL_binary,ConfliBERT-cont-cased,124,8,5
0.756555171,0,0,799,671,218,10,0.969905492,0.958658146,0.482644966,0.865724382,0.785644051,0.987639061,0.875136911,es_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,1
0.84303688,0,0,782,779,110,27,0.974938856,0.968846078,0.332161448,0.919316843,0.876681614,0.966625464,0.919459142,es_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,2
0.828681562,0,0,780,768,121,29,0.971579572,0.962786554,0.42965585,0.911660777,0.865704772,0.964153276,0.912280702,es_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,3
0.833822046,0,0,746,811,78,63,0.970172455,0.958416891,0.442993471,0.916961131,0.905339806,0.922126082,0.913655848,es_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,4
0.832813734,0,0,768,786,103,41,0.969424403,0.955427151,0.550328838,0.915194346,0.881745121,0.949320148,0.914285714,es_en_DEEPL_binary,ConfliBERT-cont-cased,125,8,5
0.824413644,0,0,718,831,58,91,0.971551764,0.965284852,0.286778599,0.912249706,0.925257732,0.887515451,0.905993691,es_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,1
0.84196277,0,0,782,778,111,27,0.974143529,0.959569894,0.297017617,0.918727915,0.875699888,0.966625464,0.918918919,es_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,2
0.82754264,0,0,788,757,132,21,0.972039805,0.95972865,0.419721477,0.909893993,0.856521739,0.974042027,0.911509543,es_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,3
0.839132132,0,0,773,786,103,36,0.972330406,0.958538474,0.506378567,0.918138987,0.882420091,0.955500618,0.917507418,es_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,4
0.83712981,0,0,774,783,106,35,0.970070954,0.953733594,0.536096487,0.916961131,0.879545455,0.956736712,0.91651865,es_en_DEEPL_binary,ConfliBERT-cont-cased,126,8,5
0.827697964,0,0,738,814,75,71,0.971517003,0.963551205,0.248819953,0.91401649,0.907749077,0.91223733,0.90998767,es_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,1
0.846725233,0,0,750,818,71,59,0.975952481,0.96958456,0.260033183,0.92343934,0.913520097,0.927070457,0.920245399,es_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,2
0.852179806,0,0,772,799,90,37,0.975318444,0.966939709,0.322672086,0.925206125,0.895591647,0.954264524,0.923997606,es_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,3
0.838500291,0,0,761,799,90,48,0.973918279,0.965793608,0.404589581,0.918727915,0.894242068,0.940667491,0.91686747,es_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,4
0.84178357,0,0,769,793,96,40,0.972367947,0.960768603,0.508912226,0.919905771,0.889017341,0.950556242,0.918757467,es_en_DEEPL_binary,ConfliBERT-cont-cased,127,8,5
0.829979287,0,0,781,768,121,28,0.975324005,0.96870363,0.336644472,0.912249706,0.865853659,0.96538937,0.912916423,es_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,1
0.844830152,0,0,767,798,91,42,0.975347643,0.968078476,0.313642564,0.921672556,0.893939394,0.948084054,0.920215957,es_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,2
0.832785095,0,0,774,779,110,35,0.974441081,0.965516947,0.421356692,0.914605418,0.875565611,0.956736712,0.914353219,es_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,3
0.840679012,0,0,769,792,97,40,0.971707492,0.959310837,0.44753832,0.919316843,0.887990762,0.950556242,0.918208955,es_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,4
0.830050094,0,0,771,780,109,38,0.969342367,0.953714432,0.567635641,0.913427562,0.876136364,0.95302843,0.912966252,es_en_DEEPL_binary,ConfliBERT-cont-cased,128,8,5
0.855826535,0,0,781,792,97,28,0.974331237,0.965046005,0.232506992,0.926383981,0.88952164,0.96538937,0.925903972,es_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,1
0.848032813,0,0,753,816,73,56,0.976355706,0.968116411,0.308771726,0.924028269,0.911622276,0.930778739,0.921100917,es_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,2
0.846569431,0,0,778,787,102,31,0.97649892,0.968213083,0.376510589,0.921672556,0.884090909,0.961681088,0.921255181,es_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,3
0.842341871,0,0,765,798,91,44,0.973161884,0.961061605,0.489564891,0.9204947,0.893691589,0.945611867,0.918918919,es_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,4
0.843679091,0,0,774,789,100,35,0.970386582,0.955392678,0.552626636,0.9204947,0.885583524,0.956736712,0.919786096,es_en_DEEPL_binary,ConfliBERT-cont-cased,129,8,5
0.848459452,0,0,759,810,79,50,0.974616276,0.968929509,0.266165718,0.924028269,0.905727924,0.938195303,0.921675774,es_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,1
0.857660181,0,0,760,817,72,49,0.976834014,0.971051295,0.276974502,0.928739694,0.913461538,0.939431397,0.926264473,es_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,2
0.852697959,0,0,787,782,107,22,0.9756299,0.968330504,0.359212885,0.924028269,0.880313199,0.972805933,0.924251321,es_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,3
0.844293292,0,0,771,793,96,38,0.97488741,0.962851832,0.449089766,0.921083628,0.889273356,0.95302843,0.920047733,es_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,4
0.845864289,0,0,780,784,105,29,0.97379314,0.960266633,0.518828429,0.921083628,0.881355932,0.964153276,0.920897285,es_en_DEEPL_binary,ConfliBERT-cont-cased,130,8,5
0.832785095,0,0,774,779,110,35,0.974161604,0.966839613,0.23715442,0.914605418,0.875565611,0.956736712,0.914353219,es_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,1
0.84184962,0,0,776,785,104,33,0.973604041,0.967274219,0.282542963,0.919316843,0.881818182,0.9592089,0.918886915,es_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,2
0.827532521,0,0,784,762,127,25,0.970748094,0.955487015,0.453470604,0.910482921,0.860592755,0.969097651,0.911627907,es_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,3
0.834707319,0,0,766,790,99,43,0.970924679,0.9603885,0.475623191,0.916372203,0.885549133,0.94684796,0.915173238,es_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,4
0.832908224,0,0,761,794,95,48,0.965296211,0.946447943,0.545718474,0.915783274,0.889018692,0.940667491,0.914114114,es_en_DEEPL_binary,ConfliBERT-cont-cased,131,8,5
0.828842805,0,0,785,762,127,24,0.974215831,0.967572231,0.293575677,0.911071849,0.860745614,0.970333745,0.912260314,es_en_DEEPL_binary,ConfliBERT-cont-cased,132,8,1
