id,es_en_DEEP_difference_noun_counts,es_en_DEEP_difference_verb_counts,es_en_DEEP_difference_lemma_counts,es_en_DEEPL_difference_noun_counts,es_en_DEEPL_difference_verb_counts,es_en_DEEPL_difference_lemma_counts,es_en_GOOGLE_difference_noun_counts,es_en_GOOGLE_difference_verb_counts,es_en_GOOGLE_difference_lemma_counts,es_en_TRANSFORMERS_difference_noun_counts,es_en_TRANSFORMERS_difference_verb_counts,es_en_TRANSFORMERS_difference_lemma_counts
2011/s/2011/463/305:7,0,0,-4,-1,0,-7,0,0,-4,0,0,-4
2005/s/2005/686/23:1,0,-1,-1,1,0,2,0,-1,-1,1,0,1
2011/s/2011/245/131:3,0,0,-1,0,-1,-2,0,0,-1,0,0,-1
2014/s/2014/934/17:1,-2,0,2,-4,1,1,-2,0,2,-4,1,2
2005/s/2005/642/28:3,-1,0,0,-1,0,0,-1,0,0,-1,0,-1
2010/s/2010/528/121:3,-2,2,-3,-2,2,-9,-2,2,-3,-1,1,-4
2014/s/2014/929/47:6,0,1,0,0,1,-1,0,1,0,0,1,0
2014/s/2014/869/17:4,-1,0,-4,-2,0,-2,-1,0,-4,-2,0,-4
1999/s/res/1267_1999_/37:1,-3,5,-1,-3,5,0,-3,5,-1,-3,5,1
2012/s/2012/245/16:1,-5,-1,-2,-3,-2,-4,-5,-1,-2,-4,-3,-1
2014/s/2014/921/27:1,-2,8,-9,10,7,-10,-3,8,-10,-25,7,-30
2013/s/2013/769/22:2,0,0,1,0,0,2,0,0,0,-2,0,0
2014/s/2014/935/72:3,1,1,5,2,1,4,2,1,3,1,1,5
2014/s/2014/74/11:2,-4,-2,-13,-5,0,-12,-4,-2,-13,-3,-2,-12
2008/s/2008/250/22:1,-1,0,-2,-4,1,-3,-1,0,-2,-3,1,-3
2014/s/2014/9/68:1,0,2,-2,-1,2,-4,0,2,-2,2,2,-7
2005/s/2005/642/54:5,0,0,-3,0,0,-3,0,0,-2,0,0,-3
2013/s/2013/447/22:4,-2,1,0,-2,1,0,-2,1,0,-2,1,0
2009/s/prst/2009/1/595:1,0,0,-2,0,-1,-1,0,0,-2,0,0,2
2009/s/res/1904_2009_/68:1,1,1,1,0,0,1,1,1,1,1,0,1
2005/s/2005/636/29:1,-2,2,-3,1,0,-2,-2,2,-3,-3,3,-2
2008/s/prst/2008/45/2:1,-1,3,2,-1,3,1,-1,3,3,-3,3,1
2010/s/prst/2010/25/568:1,0,1,-1,0,0,-3,0,1,-1,0,0,-3
2012/s/res/2083__2012_/178:1,-1,0,-1,-2,0,0,-1,0,-1,-1,0,0
2013/s/2013/792/18:1,-4,0,-3,-5,0,-5,-4,0,-3,-3,-2,-5
2008/s/2008/258/81:3,-2,2,0,-1,-1,0,-2,2,0,-1,-1,0
2011/s/2011/463/168:5,-1,-2,-1,-1,-1,1,-1,-2,-1,-1,0,0
2005/s/2005/636/676:1,-7,3,3,-12,3,3,-7,3,2,-7,3,2
2014/s/2014/935/80:2,-1,0,-2,-1,0,-2,-1,0,-3,-1,0,-2
2014/s/2014/731/14:3,0,1,-4,0,1,-4,0,1,-4,0,1,-4
2007/s/2007/677/102:2,-1,0,-1,-1,-1,-2,-1,0,-2,-1,-2,-4
2014/s/2014/957/82:1,2,0,1,2,0,1,2,0,1,3,-1,2
2012/s/prst/2012/24/10:1,-1,3,1,-1,3,1,-1,3,1,-3,3,0
2005/s/2005/60/462:2,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1
2000/s/2000/1196/59:5,0,0,0,0,0,0,0,0,0,0,0,0
2009/s/res/1904_2009_/74:1,-2,1,-4,-2,-1,-3,-2,1,-4,-2,1,-2
2014/s/2014/369/37:1,-3,1,1,-2,0,1,-3,1,1,-3,1,1
1999/s/prst/1999/6/19:1,-4,1,-2,-4,1,-2,-4,1,-2,-5,1,-4
2011/s/2011/463/395:4,0,0,0,-1,0,-1,0,0,0,-1,0,-1
2014/s/res/2160__2014_/35:1,-3,1,-5,-4,2,-4,-3,1,-5,-3,1,-4
2001/s/res/1363_2001_/14:1,-4,3,-3,-5,3,-3,-4,3,-3,-5,3,-2
2005/s/2005/572/96:1,0,1,0,0,1,0,0,1,0,0,1,-1
2014/s/2014/902/70:4,0,0,-3,0,0,-3,0,0,-3,0,0,-3
2003/s/2003/90/107:3,1,2,1,0,2,0,1,2,1,2,3,3
2010/s/prst/2010/25/782:1,-2,1,-1,-2,2,1,-3,1,-2,-2,2,1
2000/s/2000/1190/73:1,-2,0,-3,-3,1,-2,-2,0,-3,-3,0,-4
2011/s/2011/245/55:3,-4,1,-1,-4,2,0,-4,1,-1,-4,2,1
2006/s/2006/154/104:3,0,1,2,-1,2,1,0,1,2,-2,2,0
2005/s/2005/60/183:3,0,0,-2,0,2,-1,0,0,-2,0,0,-2
2014/s/2014/740/53:1,1,1,-6,1,1,-8,1,1,-6,-2,1,0
2006/s/2006/822/44:1,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2
2014/s/2014/943/6:2,0,3,7,1,3,-1,0,3,7,-1,2,1
2014/s/res/2160__2014_/79:1,-4,4,2,-4,2,0,-3,3,-2,-3,2,0
2009/s/2009/170/31:1,-7,1,-3,-6,1,-3,-7,1,-3,-6,1,-3
2010/s/2010/52/43:1,-1,0,-6,-1,0,-7,-1,0,-6,-1,0,-6
2005/s/2005/60/681:6,3,0,0,2,0,-2,3,0,0,2,0,-4
2000/s/2000/1190/94:1,-1,0,-1,0,0,0,-1,0,-1,-1,0,2
2005/s/2005/699/316:1,0,-1,-3,-2,-1,-3,0,-1,-3,0,-1,-3
2014/s/2014/943/36:2,-4,2,3,-4,2,4,-4,2,5,-4,3,5
2005/s/2005/686/29:1,-1,1,-2,0,1,-3,-1,1,-2,-1,1,-3
2005/s/2005/60/254:1,-1,1,-1,-1,1,-1,-2,1,0,-1,1,-1
2008/s/2008/379/226:7,0,1,0,1,1,1,0,1,0,0,1,1
2014/s/res/2178__2014_/55:1,-7,2,-4,-7,2,-7,-6,3,-4,-6,2,-6
2010/s/2010/462/10:4,-4,0,-1,-4,0,0,-4,0,-1,-4,0,0
2014/s/2014/902/124:1,1,-1,-2,2,-1,1,1,-1,-2,-2,-1,-5
2010/s/2010/528/133:1,1,1,2,1,1,0,1,1,2,1,1,1
2010/s/2010/522/57:4,0,0,1,-1,0,0,0,0,1,1,-1,0
2012/s/2012/373/449:2,-1,0,1,-1,0,0,-1,0,1,-1,0,-2
2012/s/res/2082__2012_/71:1,-3,3,-6,-3,2,0,-3,3,-6,-3,3,-6
2005/s/2005/603/95:2,0,-1,-9,-1,-3,-8,0,-1,-9,-1,-1,-10
2005/s/2005/60/640:5,0,0,-2,0,0,0,0,0,0,0,0,0
2000/s/2000/1196/105:2,0,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1
2005/s/2005/60/457:3,-11,2,1,-16,-3,-9,-11,2,1,-13,2,0
2011/s/2011/463/181:2,-1,0,1,-1,0,1,-1,0,1,-1,0,1
2005/s/2005/634/17:2,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,-3
2014/s/prst/2014/3/798:1,-4,0,2,-4,0,2,-4,0,2,-5,0,1
2006/s/2006/154/290:2,-1,1,4,-1,1,3,-1,1,4,-1,1,2
2014/s/2014/740/81:1,-3,1,-2,-3,1,-2,-3,1,-2,-3,1,-1
2006/s/2006/154/137:1,-5,3,-4,-5,1,-6,-5,3,-4,-5,1,-7
2003/s/2003/90/60:2,1,0,-1,1,0,-1,-1,0,0,-1,0,-2
2006/s/2006/822/15:3,-2,1,-1,-2,-1,-1,-2,1,-1,-2,-1,-1
2005/s/2005/662/498:1,0,1,0,0,1,0,0,1,0,0,0,-1
2010/s/2010/529/38:2,0,0,2,-1,0,-2,0,0,2,-1,0,-2
2009/s/2009/671/1:1,-3,3,-2,-2,4,0,-3,3,-2,-3,2,-2
2014/s/2014/9/105:3,0,0,-5,-3,1,-5,0,0,-5,-3,2,-5
2014/s/prst/2014/3/708:1,0,0,0,0,2,1,0,0,0,0,2,1
2005/s/2005/625/91:3,3,0,3,3,0,3,3,0,3,3,0,3
2012/s/2012/24/66:8,-2,-1,-1,-2,-1,-1,-2,-1,-1,-2,-1,-1
2011/s/2011/245/126:4,1,0,0,0,0,-1,1,0,0,1,0,-1
2006/s/prst/2006/28/5:3,-3,0,1,-2,-1,-3,-3,1,1,-2,-1,-4
2005/s/2005/635/40:1,-4,0,-1,-4,0,-1,-4,0,-1,-4,0,-1
2012/s/2012/244/29:5,1,0,0,1,0,-1,1,0,-1,1,0,-1
2009/s/prst/2009/1/4:2,0,5,-2,0,4,-3,0,5,-2,-1,5,-2
2005/s/2005/60/765:1,0,0,-1,2,0,-2,0,0,-1,0,0,-3
2005/s/2005/60/677:1,-1,3,-2,-1,3,-2,-1,3,-2,-2,3,-3
2008/s/2008/379/293:1,-4,1,-2,0,0,-1,-4,1,-2,-3,0,-3
2004/s/prst/2004/21/11:1,-1,-1,-4,0,-1,-3,-1,-1,-4,0,-1,-2
2005/s/2005/60/145:1,-1,0,0,-1,0,0,-1,0,0,0,0,0
2012/s/2012/16/99:3,0,0,-2,0,0,-2,0,0,-2,0,0,-2
2006/s/2006/822/292:3,-2,0,-1,-1,0,0,-2,0,-1,-3,0,0
2011/s/2011/463/163:5,1,-1,-3,0,-1,-4,1,-1,-3,1,-1,-2
2005/s/2005/60/362:1,0,0,0,0,0,0,0,0,0,0,0,0
2005/s/2005/60/474:5,0,0,-2,0,0,-2,0,0,-2,0,0,-2
2008/s/2008/259/14:6,0,0,-1,0,0,-1,0,0,-1,-1,0,-2
2014/s/2014/276/86:1,-1,0,2,-1,0,2,-1,0,2,-1,0,3
2012/s/2012/16/45:5,1,-1,-1,1,-2,-3,1,-1,-1,1,-1,-2
2005/s/2005/60/940:1,-4,3,-6,-2,3,-4,-4,3,-6,-4,3,-6
2005/s/2005/60/569:2,0,0,-2,0,0,0,0,0,-2,1,-1,-2
2005/s/2005/678/3:3,1,1,1,1,1,1,1,1,1,1,1,1
2005/s/2005/60/712:1,1,1,1,-4,3,0,1,1,1,0,1,0
2010/s/prst/2010/19/9:1,-1,3,2,-2,-2,-4,-1,3,2,-1,1,1
2007/s/prst/2007/26/6:1,0,1,0,0,1,0,0,1,0,0,1,1
2006/s/prst/2006/4/5:4,0,0,2,-1,0,2,0,0,2,-1,0,2
2005/s/2005/60/445:16,0,0,0,0,0,0,0,0,0,0,0,0
2005/s/2005/60/236:4,-2,0,-3,-2,1,-3,-2,0,-3,-1,0,-1
2005/s/2005/60/626:2,0,0,-1,0,0,-1,0,0,-1,0,0,-1
2005/s/2005/572/210:1,1,-2,0,1,-2,-1,1,-2,0,1,-1,1
2011/s/2011/463/483:1,-3,0,1,-1,0,0,-3,0,1,-1,0,1
2014/s/2014/41/83:5,-2,0,-1,-2,0,-1,-2,0,-1,-2,0,-2
2006/s/res/1735_2006_/42:1,0,-1,6,-2,-2,6,0,-1,6,0,1,7
2014/s/2014/902/49:1,-2,0,-1,-2,0,-1,-2,0,-1,-2,0,-3
2013/s/prst/2013/2/5:1,0,0,0,0,0,0,0,0,0,0,0,1
2005/s/2005/60/351:3,-3,1,-4,-4,1,-3,-3,1,-4,-2,1,-3
2008/s/2008/258/109:1,-1,0,-2,-1,0,-2,-1,0,-2,-1,-1,-3
2006/s/2006/822/175:4,-1,1,-2,-1,1,-2,-1,1,-2,-1,1,0
2005/s/2005/60/256:1,-1,1,0,-3,1,-1,-1,1,0,-1,1,0
2005/s/2005/645/2:3,-1,-1,2,-1,-1,3,-1,-1,2,-1,-1,3
2005/s/2005/572/320:1,0,0,-1,0,0,-1,0,0,-1,0,0,-1
2005/s/2005/60/445:3,1,0,-1,1,0,-1,1,0,-1,1,0,-1
2005/s/2005/60/191:9,3,1,-1,4,1,0,4,1,1,2,1,-5
2004/s/2004/384/104:2,0,1,2,0,1,2,0,1,2,0,1,2
2009/s/prst/2009/1/119:1,-3,2,-2,-3,2,-2,-3,2,-3,-4,2,-3
