id,ar_en_DEEP_difference_general_rare_proportion,ar_en_DEEP_difference_genre_rare_proportion,ar_en_DEEPL_difference_general_rare_proportion,ar_en_DEEPL_difference_genre_rare_proportion,ar_en_GOOGLE_difference_general_rare_proportion,ar_en_GOOGLE_difference_genre_rare_proportion,ar_en_TRANSFORMERS_difference_general_rare_proportion,ar_en_TRANSFORMERS_difference_genre_rare_proportion
2011/s/2011/463/305:7,-0.0845588235294118,-0.3492647058823529,-0.03594771241830064,-0.35620915032679745,-0.0845588235294118,-0.3492647058823529,-0.0845588235294118,-0.3492647058823529
2005/s/2005/686/23:1,-0.141260162601626,-0.1995257452574526,-0.1330321285140562,-0.1758701472556895,-0.141260162601626,-0.1995257452574526,-0.1560077519379845,-0.166343669250646
2011/s/2011/245/131:3,-0.3310185185185185,-0.1539351851851851,-0.35185185185185186,-0.08518518518518509,-0.3310185185185185,-0.1539351851851851,-0.2604540023894863,-0.088410991636798
2014/s/2014/934/17:1,-0.3772727272727273,-0.21818181818181817,-0.30622009569378,-0.2129186602870814,-0.3772727272727273,-0.21818181818181817,-0.2272727272727273,-0.20707070707070707
2005/s/2005/642/28:3,-0.3888888888888889,-0.2777777777777778,-0.3888888888888889,-0.2361111111111112,-0.3888888888888889,-0.2777777777777778,-0.33091787439613524,-0.2777777777777778
2010/s/2010/528/121:3,-0.14857142857142847,-0.158095238095238,-0.060150375939849565,-0.02756892230576441,-0.14857142857142847,-0.158095238095238,-0.1693121693121693,-0.164021164021164
2014/s/2014/929/47:6,-0.03588516746411488,-0.059808612440191394,-0.025062656641604092,-0.1052631578947368,-0.03588516746411488,-0.059808612440191394,-0.054824561403508804,-0.06359649122807019
2014/s/2014/869/17:4,-0.13361344537815117,-0.11344537815126049,-0.11339285714285707,-0.1116071428571428,-0.13361344537815117,-0.11344537815126049,-0.08214285714285707,-0.1116071428571428
1999/s/res/1267_1999_/37:1,-0.11153846153846164,-0.22521367521367522,-0.10370370370370374,-0.2074074074074074,-0.11153846153846164,-0.22521367521367522,-0.09090909090909094,-0.1898989898989899
2012/s/2012/245/16:1,-0.1781609195402299,-0.1567256912084499,-0.1470588235294118,-0.16740858505564388,-0.1781609195402299,-0.1567256912084499,-0.2142857142857143,-0.1807246807246808
2014/s/2014/921/27:1,-0.1915949306551889,-0.1477164036346246,-0.21404417583998847,-0.1328153104539895,-0.1915949306551889,-0.1477164036346246,-0.18474908887019909,-0.1474628539388843
2013/s/2013/769/22:2,-0.3589341692789969,-0.3001567398119122,-0.3792846497764531,-0.3043964232488823,-0.38563049853372433,-0.28958944281524923,-0.4235209235209235,-0.306998556998557
2014/s/2014/935/72:3,-0.2216450216450216,-0.11774891774891771,-0.17430368373764593,-0.11500449236298291,-0.2216450216450216,-0.11774891774891771,-0.12202380952380942,-0.10714285714285711
