"","ar","VerConf"
"1","10 - وقد أدت الأحداث التي وقعت في أبيدجان فيما يتصل بالمسيرة التي خطط القيام بها في 25 آذار/مارس إلى انتهاكات خطيرة لحقوق الإنسان.",0
"2","S/2002/964 المؤرخة 27 آب/أغسطس 2002",0
"3","والتزم المشاركون بتوحيد الجهود لمكافحة جماعة بوكو حرام، وتعهدوا بالانتهاء من تشييد مقر قوة مشتركة متعددة الجنسيات في نيجيريا، بحلول 20 تشرين الثاني/نوفمبر، وبنشر قوة عسكرية داخل الحدود الوطنية يشارك فيها كل بلد بوحدة عسكرية قوامها 700 جندي.",0
"4","""إذ يشدد مجلس الأمن على أن السلام والأمن في العالم كل لا يتجزأ، وإذ يأخذ في اعتباره ما يتسم به العالم من ترابط واعتماد متبادل، يؤكد من جديد أن الإرهاب بجميع أشكاله ومظاهره يمثل واحداً من أشد الأخطار التي تهدد السلام والأمن الدوليين وأن أي أعمال إرهابية هي أعمال إجرامية ولا يمكن تبريرها مهما كانت دوافعها، حيثما ارتكبت وأيا كان مرتكبها.",1
"5","3- ممتلكات ملموسة أخرى - 528 946 26 دولاراً",0
"6","وفي مواجهة هذا التهديد السافر للسلم والأمن الدوليين، نأمل أن مجلس الأمن سيتصرف دون اللجوء إلى المعايير المزدوجة التي اتسمت بها أعماله السابقة في هذا الشأن، كيما يتسنى له على نحو عاجل وحاسم اعتماد مشروع القرار الذي قدمته الجزائر نيابة عن أعضاء المجموعة العربية.",1
"7","وفي كل تلك المناقشات، أثلج صدري أنني اكتشفت وجود تقارب في الآراء: إننا جميعا نتعجب من كم الإنجازات التي حققتها ليبريا منذ انتهاء القتال في عام 2003، ولكن الجميع يدركون تماما مدى جسامة التحديات التي ما زالت تواجه ليبريا، وأننا لا نأخذ شيئا باعتباره أمرا مفروغا منه في نهاية المطاف.",1
"8","1 - يغطي هذا التقرير الذي أعدته لجنة مجلس الأمن المنشأة عملا بالقرار 1591 (2005) بشأن السودان الفترة الممتدة من 1 كانون الثاني/يناير إلى 31 كانون الأول/ ديسمبر 2014.",0
"9","وفي هذا السياق، يُذكّر الاتحاد الأوروبي إسرائيل بالتزامها بكفالة إمكانية الوصول التامة والآمنة للمنظمات الإنسانية، بما في ذلك وكالة الأمم المتحدة لإغاثة وتشغيل اللاجئين الفلسطينيين في الشرق الأدنى.",1
"10","واعترافا للجزائر بدورها ذي المصداقية والبناء في الجهود الرامية إلى تشجيع إيجاد مخرج نهائي للأزمة، أعربت لها الحركات عن ثقتها الكاملة لمواصلة جهودها المبذولة في هذا الصدد وبذل قصاراها من أجل إيجاد حل نهائي للنزاع طالما جرى السعي إليه.",0
"11","وترد قائمة بالطائرات المسجلة حاليا في رواندا اعتبارا من 20 كانون الثاني/يناير 2005 مرفقة بهذا الرد.",0
"12","29 - ولذلك، أشارت السلطات العليا في الدولة إلى أنه حتى ولو لم يصدر مرسوم يحظر المظاهرات العامة، فإنها لم تكن لتسمح بتنظيم المسيرة التي خطط لها أو تتجاوز عنها نظرا لما تنطوي عليه من خطر على النظام والنظام العام.",0
"13","٢٧ - وفي 2 تشرين الثاني/نوفمبر، أبلغ 16 من بين 20 شخصا اعتقلوا خلال عملية نفذتها قوات الدفاع والأمن المالية في بولكيسي (إقليم موبتي)، وهي منطقة يسيطر عليها المجلس الأعلى لوحدة أزواد، البعثة المتكاملة بتعرضهم للضرب المبرح أثناء التحقيق.",0
"14","ويشير أيضا إلى المشكلة المتنامية في أفغانستان ومنطقة الحدود بين أفغانستان وباكستان والتهديد المتواصل في شمال أفريقيا، دون تسجيل أي تراجع للنشاط في أماكن أخرى.",1
"15","وقبل فترة قصيرة لا تتجاوز أيار/مايو هذا العام، وخلال مناقشة المجلس (انظر S/PV.6314) لتقرير الأمين العام عن بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو (انظر (S/2010/169، استرعينا انتباه المجتمع الدولي إلى حقيقة أن الحالة في الإقليم أبعد ما تكون عن الاستقرار وتثير قلقا بصورة خاصة.",1
"16","وأحاط الفريق علماً ببعض الاستنتاجات التي توصلت إليها أفرقة المفوضين الأخرى، والتي أقرها مجلس الإدارة، فيما يتعلق بتفسير قرارات مجلس الأمن ومقررات مجلس الإدارة ذات الصلة.",0
"17","ويلزم التنويه في هذا الصدد، إلى أن ذلك التطور تحقق في جانب كبير منه بفضل مقدرة رئيس الوزراء غوسماو القيادية وتعاون الأحزاب السياسية الممثلة في البرلمان، بما في ذلك أحزاب المعارضة التي أبدت استعدادها للمساعدة في معالجة قضية وطنية على هذا القدر من الأهمية.",0
"18","وشجّع أعضاء المجلس السلطات البوروندية على بذل مزيد من الجهود لتهيئة الظروف اللازمة لإجراء انتخابات غير إقصائية من خلال إقامة حوار سياسي بنّاء وحيّز سياسي مفتوح وإنهاء العنف المنطلق من الدوافع السياسية ومكافحة الإفلات من العقاب، وذلك وفقا للقرار 2137 (2014).",0
"19",":: في حي تل الهوا، بمدينة غزة، يومي 15 و 16 كانون الثاني/يناير 2009",0
"20","وتؤكد التطورات الأخيرة في المنطقة الشواغلَ التي طالما أعرب عنها للبعثة محاوروها.",1
"21","27 - وتراجعت شعبية القوات المسلحة التيمورية بشكل كبير، وبخاصة من جانب منظمات قدماء المحاربين التي دخلت حيز الوجود في عام 2001.",1
"22","(ق.ق: 503 د.ع (22) - 28 آذار/مارس 2010)",0
"23","ويعني ذلك أن الانفصاليين يواصلون استخفافهم الصارخ بالقانون الدولي ورفض المبادئ العالمية لميثاق الأمم المتحدة.",1
"24","48 - الحالة في ميانمار (15 أيلول/سبتمبر 2006؛ 13 تموز/يوليه 2009).",0
"25","19 - وفيما يتعلق بالحظر المفروض على السفر، قرر المجلس بموجب الفقرة 10 من قراره 1807 (2008) أن يُستثنى السفر الذي يتم لأسباب إنسانية، بما في ذلك لأداء واجب ديني، والسفر الذي يخدم أهداف السلام وتحقيق المصالحة الوطنية والاستقرار في المنطقة، إضافة إلى حالات المرور العابر للأفراد العائدين إلى أراضي الدول التي يحملون جنسيتها أو المشاركين في الجهود المبذولة لتقديم مرتكبي انتهاكات جسيمة لقانون حقوق الإنسان أو القانون الإنساني الدولي إلى العدالة.",0
"26","وبناء على تعليمات من قاضي التحقيق الأول في المحكمة العسكرية، وبموافقة المدير العام لقوى الأمن الداخلي، أُخذت السيارات التابعة لموكب الحريري إلى ثكنة الحلو، بعد أن التقطت لها صور في مكان الحادثة وسجل لها شريط فيديو بحضور قائد منطقة بيروت الثانية، وقائد مفرزة السير في منطقة بيروت الثانية، وقائد مخفر البرج، وفرقة من المحققين الجنائيين، وباستخدام مصابيح الإضاءة التي وفرتها أجهزة الدفاع المدني، وفقا لما جاء في التقرير رقم 144/302 المؤرخ 14 شباط/فبراير 2005.",0
"27","واستنادا إلى تلك الفرضية، فإن أكبر عدد من الضحايا ينتمي إلى أبوبو: 63 في المائة من القتلى، و 35 في المائة من المصابين أو المعذبين، و 40 في المائة من المختفين. وينتمي ثاني أكبر عدد من الضحايا إلى أنياما، حيث شكلت قتلاها نسبة 10 في المائة؛ وشكلت كوماسي 13 في المائة من المصابين أو المعذبين، بينما ينتمي 35 في المائة من المختفين إلى أنياما.",0
"28","(أ) التماس سبل تبادل المعلومات العملية والتعجيل بها وبخاصة ما يتعلق منها بأعمال أو تحركات الإرهابيين أو الشبكات الإرهابية؛ وبوثائق السفر المزورة أو المزيفة؛ والاتجار بالأسلحة أو المتفجرات أو المواد الحساسة؛ وباستخدام الجماعات الإرهابية لتكنولوجيا الاتصالات؛ وبالتهديد الذي يشكله امتلاك الجماعات الإرهابية لأسلحة الدمار الشامل؛",0
"29","وخلال فترة الانتخابات، من المتوقع أن تحدث في هذه المنطقة أنشطة أخرى لزعزعة الاستقرار.",0
"30","""ويحذِّر مجلس الأمن رسميا الدول المجاورة لجمهورية الكونغو الديمقراطية من عواقب تقديم الدعم للجماعات المتمردة المسلحة.",1
"31",":: حظر الاعتداء على الحياة والأشخاص، خاصة القتل والتشويه والمعاملة القاسية والتعذيب؛ والاختفاءات القسرية؛ والاعتداء على كرامة الأشخاص؛ والاغتصاب، والاسترقاق الجنسي، والإكراه على البغاء، والحمل القسري، والتعقيم القسري، وأي شكل آخر من أشكال العنف الجنسي.",1
"32","ولهذه الغاية، سيستخدم مكتب الإعلام والإدارة النظام الإلكتروني المأمون لتعقب الوثائق وتوزيعها الذي تم تثبيته مؤخرا في الموقع الشبكي للجنة، وذلك من أجل تعميم مواد المديرية التنفيذية على أعضاء اللجنة وعلى الأمانة العامة.",0
