"ar"	"VerCoop"
"هاء - أصدقاء كوت ديفوار()"	0
"واختيرت النساء لشغل 92 وظيفة من الوظائف البالغ عددها 600 وظيفة."	0
"والعديد من الدول لا تدري تماما ما هو البديل الذي يمكنها تقديمه بدلا عن شهادة الوفاة لإقناع اللجنة، ويوصي الفريق بأن تقدم اللجنة مزيدا من التوجيه بشأن ما تشترطه للنظر في رفع اسم فرد من القائمة نتيجة وفاته."	1
"وأشير أيضا إلى أنه نظرا لافتقار المحكمة الجنائية الدولية إلى آليات الإنفاذ، فمن المهم أن يواصل المجلس انخراطه في الحالات التي يحيلها إلى المحكمة وأن يتخذ التدابير اللازمة لتعزيز تعاون الأطراف المعنية مع المحكمة."	1
"ويحث مجلس الأمن حكومة جمهورية الكونغو الديمقراطية على الإسراع في التحقيق في عمليات الاغتصاب الجماعي التي جرت في تشرين الثاني/نوفمبر من عام 2012 والتي ارتكبتها عناصر من القوات المسلحة في مينوفا وتقديم الجناة إلى العدالة."	0
"وبفضل قرب الحدود الباكستانية، تتوفر لهذه القوى اليد العاملة والأدوات والملجأ."	0
"يهيب بأطراف النـزاعات المسلّحة قطع وتنفيذ التـزامات محدّدة لمكافحة العنف الجنسي تكون ذات أطر زمنية محدّدة وتشمل جملة أمور منها إصدار أوامر واضحة عبر التسلسلات القيادية تحظر العنف الجنسي والنصّ على حظر العنف الجنسي في مدوّنات قواعد السلوك وأدلّة العمليات العسكرية الميدانية أو ما يعادلها، كما يهيب بتلك الأطراف قطع وتنفيذ التـزامات محدّدة للتحقيق في الاعتداءات المزعومة في الوقت المناسب لمساءلة الجناة؛"	1
"13 - يقرِّر أن يُبقي المسألة قيد نظره."	0
"''ويحث مجلس الأمن جمهورية كوريا الشعبية الديمقراطية على العودة الفورية إلى المحادثات السداسية الأطراف دون شرط مسبق، والعمل على التنفيذ السريع للبيان المشترك الصادر في 19 أيلول/سبتمبر 2005، والتخلي عن جميع الأسلحة النووية والبرامج النووية القائمة."	1
"وخلال اليومين التاليين، أحضر صوماليون محليون مدفعا قاموا بوضعه في الطابق العلوي للسفينة \"ألفا سيرينجيتي\"."	0
"في 21 كانون الأول/ديسمبر، استمع المجلس في جلسة علنية إلى إحاطة من رئيس اللجنة المنشأة عملاً بالقرار 1737 (2006) والممثل الدائم لكولومبيا، نيستور أوسوريو، عن عمل اللجنة في الفترة من 1 أيلول/سبتمبر إلى 18 كانون الأول/ديسمبر 2011."	1
"يشير إلى أن [الجانب المعارض] يتحمل مسؤولية خاصة في حماية العائدين وتيسير عودة باقي السكان المشردين، ويطلب اتخاذ مزيد من التدابير من جانب [هيئات الأمم المتحدة]، لتهيئة الظروف المساعدة على عودة اللاجئين والمشردين داخليا ...، وتنمية مهاراتهم وزيادة اعتمادهم على أنفسهم، مع الاحترام الكامل لحقهم غير القابل للتصرف في العودة إلى ديارهم في أمان وكرامة."	1
"\"ويدين مجلس اﻷمن بقوة تعمﱡد استهداف المقاتلين للمدنيين في الصراعات المسلحة ويطلب إلى جميع اﻷطراف المعنية وضع حد لهذه اﻻنتهاكات الماسة بالقانون اﻹنساني الدولي وقانون حقوق اﻹنسان."	0
"ثالثا - التصديق على قائمة الناخبين النهائية"	0
"ولذلك، اقتُرح وضع معايير دولية وربما قيام اللجنة بدور أبرز."	1
"ونعتبر أي ابتعاد عن ذلك المبدأ أمرا غير مقبول ناهيك عن أن الحالة الهشة في الإقليم قد تؤدي إلى انتشار انعدام الاستقرار."	0
"36 - ويضطلع الرئيس أيضا بدور هام أثناء اجتماعات اللجنة بتشجيع الأعضاء على توضيح مواقفهم بشأن البنود حينما تكون هذه المواقف معارضة لمواقف دول أخرى، وبالمبادرة باقتراح شطب أسماء الأشخاص الذين يعتقد بأنهم توفوا، أو البنود المدرجة في القائمة التي لا توجد بشأنها محددات للهوية، من القائمة."	1
"فقد أُضعف هذا النظام إلى حد كبير خلال العقد الماضي. وأضعفت القوانين التقييدية التي تمنح سلطات واسعة للسلطة التنفيذية فعالية السلطة القضائية إضعافا شديدا."	0
"وإذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة،"	0
"29 - افتتح الرئيس كوروما، في 25 تشرين الثاني/نوفمبر 2011، أعمال اللجنة الوطنية للشباب. ويُتوقع أن تأخذ اللجنة زمام المبادرة في تعزيز تنمية الشباب وتنسيقها، في إطار وزارة عمالة الشباب والرياضة."	1
":: تقديم تقرير إلى اللجنة بعد كل اجتماع وسيرأس كل فريق عامل عضو من اللجنة، ويحصل على الدعم، بحسب الضرورة، من موظفي مكتب شؤون نزع السلاح ومن الموظفين الخبراء في اللجنة المنشأة عملاً بالقرار 1540 (2004) ومن أمانة اللجنة."	1
"المقرر عقدها يوم الاثنين 29 تشرين الثاني/نوفمبر 2010، الساعة 00/10"	0
"17- نتيجة لعمليات البحث اليدوي عن المطالبات المتطابقة والمطالبات المترابطة، تبيّن أن ثمة عدداً من المطالبات المندرجة في الدفعة الرابعة مقدمة من زوجات كان أزواجهم قد قدموا مطالبات، بصفة رئيسية من الفئة \"ألف\"، أثناء الفترة النظامية لتقديم المطالبات."	0
"وفي ضوء ما تقدم، قامت اللجنة الوطنية بزيارة العديد من المناطق في ولايات دارفور، حيث وقع، وفقا لبعض المزاعم، ترحيل قسري أو تطهير عرقي."	1
"تمتثل اليابان للملحق 17 من اتفاقية الطيران المدني الدولي."	0
