"","ar_en_DEEPL","MatCoop"
"1","The Code of Criminal Procedure (No. 600 of 2002):",0
"2","With regard to the disarmament, demobilization and reintegration of former combatants, the parties agreed that the Chiefs of Staff of FANCI and the Forces nouvelles would meet on 7 July to finalize the timetable for the disarmament, demobilization and reintegration process to commence by the end of July.",1
"3","Call on parties to armed conflict to strictly observe applicable international humanitarian law, including the prohibition of:",0
"4","35. On 5 September 2011, the Electoral Parties Registration Commission held a legal reform workshop, during which participants reviewed the mandate of the Commission and recommended, inter alia, revisions to the 2002 Political Parties Act to provide the Commission with the legal authority to enforce the Code of Conduct for Political Parties.",0
"5","106. UNOCI also agreed, on 21 February 2005, to allow FACI to conduct two ground tests of engines and systems, for one hour on the last Wednesday of each month, of its Mi-24P (TU-VHO) aircraft, unarmed, outside its hangar at the Abidjan airbase, under UNOCI observation, for one hour on the last Wednesday of each month.",0
"6","122. To enhance the capacity of law enforcement officials in South Asia while promoting regional cooperation and information-sharing among law enforcement practitioners, the Executive Directorate facilitated a series of workshops (starting in November 2009) aimed at bringing together law enforcement officials -- mainly police officers and prosecutors -- to share experiences, lessons learned and best practices in addressing issues related to international crime and terrorism.",1
"7","The beginnings go back to the Council's establishment of the Ad Hoc Tribunal for the former Yugoslavia in 1993, followed by the Ad Hoc Tribunal for Rwanda a year later.",1
"8","The draft law, which will go before parliament, stipulates that at least 30 percent of parliamentary seats be reserved for women; that one district in each electoral district at the local council level be reserved for female candidates; and that political parties allocate âsafeâ seats for female candidates.",1
"9","(c) Take measures to ensure that the human rights of women and girls are protected and respected, especially with regard to the Constitution, the electoral system, the police and the judiciary.",1
"10","To that end, the Office of Information and Management will utilize the secure electronic document tracking and distribution system recently installed on the Committee's website to disseminate the Executive Directorate's materials to Committee members and the Secretariat.",1
"11","36. At its 47th formal meeting, on June 20, 2014, the Working Group heard the Prosecutor of the International Criminal Court on the work of the Court in relation to children and armed conflict.",0
"12",":: Take measures to ensure the protection of and respect for the human rights of women and girls, especially as they relate to the Constitution, the electoral system, the police and the judiciary Take measures to ensure that the human rights of women and girls are protected and respected, especially in relation to the constitution, the electoral system, the police and the judiciary.",1
"13","(d) Adopt a victim-centered and human rights-based approach to human trafficking, including by giving victims the right to reside in the country and have access to legal protection and basic services, such as medical treatment, education and employment, on the same basis as their fellow citizens.",0
"14","23. The East African region has been a victim of terrorism in the past and continues to face a high degree of terrorist threats owing to its continuing political instability.",0
"15","Secretary-General of the League of Arab States",0
"16","(a) Ensure the protection of civilians, including humanitarian workers, under imminent threat of physical violence.",1
"17","59. The mission will discuss with the Ugandan authorities ways and means of resolving this conflict, including the application of the amnesty law for LRA members not responsible for the most serious violations of human rights and international humanitarian law, in the context of recent negotiation efforts and ongoing proceedings to prosecute those responsible for serious violations of human rights and international humanitarian law before the International Criminal Court.",0
"18","At its 74th General Assembly in September 2005, Interpol adopted resolution AG-2005-RES-05 on cooperation between the United Nations and the International Criminal Police Organization (Interpol), which establishes a special notice regarding individuals on the Consolidated List that Interpol can issue at the request of the Committee to alert States that United Nations sanctions target specific individuals.",1
"19","6. In Mali, terrorists have nearly destroyed the infrastructure of the State, affecting the stability of the country and the entire region. Al-Qaida in the Islamic Maghreb, the Group for Unity and Jihad in West Africa and Ansar Dine continue to operate in northern Mali, with implications for neighbouring countries. They have jeopardized the presence and activities of the United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA).",0
"20","The victim stated that she knew 19 of the women who were raped but there were many others. She believes there were 50 victims in total.",0
"21","However, the possibility of new material appearing late or even after the name has been removed from the list is always present.",0
"22","Loss of profits on future projects 151 - 153 147",0
