"","ar_en_DEEPL","VerCoop"
"1","12. Emphasizes that the Treaty on the Non-Proliferation of Nuclear Weapons recognizes in its article IV the inalienable right of the parties to the Treaty to develop research, production and use of nuclear energy for peaceful purposes without discrimination and in conformity with articles I and II of the Treaty, and recalls in this context article III of the Treaty and article II of the statute of the International Atomic Energy Agency.",1
"2","11. Decides to remain seized of the matter.",0
"3","In Lernib (Timbuktu region), in September, the MAA (preliminary plan) warned in several public meetings that it would punish local populations who provided information to MINUSMA and French forces. On 23 September, the decapitated body of a man was found in the Zouera area, 80 km north of Timbuktu, who was one of five men abducted by AQIM on 16 September and accused of collaborating with international forces, who have since disappeared.",0
"4","Some said the companies should anyway take steps to shut down sites that teach terrorist techniques, such as making explosives or using weapons, that can cause widespread casualties.",1
"5","In most cases, these regulations were limited to issues related to tax status.",0
"6",":: The file should not be closed at the end of UNAMI's mandate: The file will not be closed with the expiration of UNAMI's mandate in the future.",0
"7","The scope and scale of the events related to the conflict in Darfur make establishing the facts and gathering reliable evidence to identify suspected perpetrators difficult tasks that cannot be taken lightly.",1
"8","3. A senior Al-Ittihad commander with full responsibility for the training camps purchased AK-47 assault rifles, PKM machine guns, RPG-7 rocket launchers, F-1 hand grenades, rifle grenades and 60 mm-82 mm mortars at the ErtuÄt market between 7 and 21 November 2004. The same individual purchased 2 PKM assault rifles, 10 SG-43 medium machine guns, 120 TT-33 âTokarevâ pistols and 60 AK-47 assault rifle magazines on November 27, 2004; as well as 16 PKM machine guns and RPG-7 rocket launcher ammunition on January 15, 2005 (S/2005/153, annex II).",0
"9","The Central and Eastern European countries Bulgaria, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Romania, the Slovak Republic and Cyprus associated with the European Union and the European Free Trade Association countries members of the European Economic Area align themselves with this declaration.",0
"10","25. Recognizing the particular need to coordinate its work with the Counter-Terrorism Committee Executive Directorate and other relevant bodies in areas where States may feel overwhelmed by Security Council requests for information, the Team has developed a joint strategy with the Executive Directorate and the experts supporting the Committee established pursuant to resolution 1540 (2004) to address the issues faced by States that have not yet submitted the reports requested by the three Committees.",1
"11","The Council emphasizes the need for all parties to respect and maintain the security and civilian character of camps for refugees and internally displaced persons.",1
"12","148. The implementation of border control measures is essential to the practical application of States' counter-terrorism strategies.",0
"13","71. While it is likely to be some time before the treaty enters into force, it could be a useful tool for further progress in the implementation of the 1267 sanctions regime.",1
"14","We are also concerned about the situation of those involved in the reconstruction of the country.",0
"15","Calling upon States to ensure, consistent with international law, in particular international human rights law and international refugee law, that refugee status is not abused by those who commit, organize or facilitate terrorist acts, including foreign terrorist fighters.",1
"16","(a) Promote the adoption of the international counter-terrorism instruments and enact legislation to fully implement the international counter-terrorism instruments throughout the subregion.",1
"17","Alternatives",0
