"","ar_en_DEEPL","MatConf"
"1","91. Acts of torture are prohibited in a number of conventions, notably in article 7 of the International Covenant on Civil and Political Rights, article 2 of the United Nations Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment and article 5 of the African Charter on Human and Peoples' Rights.",0
"2","The deliberate killing of detained fighters constitutes a war crime.",1
"3","A September 2005 study of foreign-born terrorists who had worked in the United States found that about two thirds had engaged in fraud to enter or remain in the country, and more than one third were later charged with forging a passport or visa or making false statements to an immigration officer.",1
"4","It is impossible in this report to describe all the killings documented by the commission.",1
"5","36. The political responsibility of those who organized the march, despite the ban and the tense atmosphere created by the designation of a âred zoneâ, the mobilization and use of the army and statements by the highest authority of the State, must also be clearly emphasized.",1
"6","Even if attacked civilians are in possession of weapons, this is not necessarily an indication that they are insurgents, and therefore legitimate targets for attacks, or that they are actively participating in hostilities.",1
"7","Indohaadde has a âspecial representativeâ who handles drug farm operations on his behalf, and he uses his militia to guard his drug farms.",1
"8","57. The fact remained, however, that the financing of terrorist acts did not follow any clear pattern, particularly with regard to local cells that mobilized funds to support their own activities.",1
"9","The Assistant Secretary-General for Political Affairs reported an increase in LRA attacks in 2011, and emphasized the serious impact on civilians and the humanitarian situation.",1
"10","(f) Host country(s), as observers, as appropriate.",0
"11","This practice can be considered a form of enforced disappearance and violates the obligations of armed groups under customary international humanitarian law.",1
"12","He added that the Organization for Security and Cooperation in Europe (OSCE) has not yet observed any withdrawal of heavy weapons from the line of control.",1
"13","Improvised and homemade explosives, such as ammonium nitrate and urea nitrate: Car bombs.",1
"14","The procedural order lists the issues to be considered during the oral proceedings as follows:",0
"15","103. It is clear that terrorists will use the most reliable and effective weapons they can obtain.",1
"16","The Security Council urges the Government of the DRC to promptly investigate the November 2012 mass rapes committed by FARDC elements in Minova and bring the perpetrators to justice.",1
"17","JEM noted that the fact that no Arab woman was raped and no Arab village was destroyed was evidence that the government was specifically targeting African tribes.",1
"18","This is also why I have deliberately avoided addressing other topics that some consider necessary when discussing the Middle East, such as the need to resolve the Palestinian-Israeli conflict or the situation in Syria, as we have addressed these issues in other meetings of the Council.",0
"19","Also, although the overall security situation has remained calm and peaceful since Timor-Leste officially assumed full responsibility for security on 20 May, smuggling, illicit trafficking and illegal border crossings should be seen as a cause for concern, as should tensions related to the demonstrations in Dili last July.",0
"20","There are several factors working against them, but if they succeed, the threat of terrorism will increase even more than it already is.",1
"21","The National Commission recommended the establishment of judicial commissions of inquiry to investigate the following allegations: Extrajudicial executions; the seizure by Arab groups of two Fur villages in the Kass region; and incidents of killing and burning of hospitalized wounded in the villages of Boram, Melit and Kulbus.",1
"22","64. Since 1950, the Democratic People's Republic of Korea has been practicing systematic abduction, denial of repatriation and subsequent enforced disappearance from other countries on a large scale and as a matter of State policy.",1
"23","72. The situation in Georgia (October 8, 1992; June 15, 2009).",0
"24","Organization for Security and Cooperation in Europe (OSCE) observers observed ongoing fighting in many locations in the Donetsk and Lugansk regions, with artillery and mortar shelling often hitting residential areas and causing civilian casualties.",1
"25","Cuba once again comes to the Security Council to denounce and strongly condemn the complicity and absolute responsibility of the United States government for the release of this person.",0
