"ar_en_DEEPL"	"MatConf"
"91. Acts of torture are prohibited in a number of conventions, notably in article 7 of the International Covenant on Civil and Political Rights, article 2 of the United Nations Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment and article 5 of the African Charter on Human and Peoples' Rights."	0
"The deliberate killing of detained fighters constitutes a war crime."	1
"A September 2005 study of foreign-born terrorists who had worked in the United States found that about two thirds had engaged in fraud to enter or remain in the country, and more than one third were later charged with forging a passport or visa or making false statements to an immigration officer."	1
"It is impossible in this report to describe all the killings documented by the commission."	1
"36. The political responsibility of those who organized the march, despite the ban and the tense atmosphere created by the designation of a âred zoneâ, the mobilization and use of the army and statements by the highest authority of the State, must also be clearly emphasized."	1
"Even if attacked civilians are in possession of weapons, this is not necessarily an indication that they are insurgents, and therefore legitimate targets for attacks, or that they are actively participating in hostilities."	1
"Indohaadde has a âspecial representativeâ who handles drug farm operations on his behalf, and he uses his militia to guard his drug farms."	1
"57. The fact remained, however, that the financing of terrorist acts did not follow any clear pattern, particularly with regard to local cells that mobilized funds to support their own activities."	1
"The Assistant Secretary-General for Political Affairs reported an increase in LRA attacks in 2011, and emphasized the serious impact on civilians and the humanitarian situation."	1
"(f) Host country(s), as observers, as appropriate."	0
"This practice can be considered a form of enforced disappearance and violates the obligations of armed groups under customary international humanitarian law."	1
"He added that the Organization for Security and Cooperation in Europe (OSCE) has not yet observed any withdrawal of heavy weapons from the line of control."	1
"Improvised and homemade explosives, such as ammonium nitrate and urea nitrate: Car bombs."	1
"The procedural order lists the issues to be considered during the oral proceedings as follows:"	0
"103. It is clear that terrorists will use the most reliable and effective weapons they can obtain."	1
"The Security Council urges the Government of the DRC to promptly investigate the November 2012 mass rapes committed by FARDC elements in Minova and bring the perpetrators to justice."	1
"JEM noted that the fact that no Arab woman was raped and no Arab village was destroyed was evidence that the government was specifically targeting African tribes."	1
"This is also why I have deliberately avoided addressing other topics that some consider necessary when discussing the Middle East, such as the need to resolve the Palestinian-Israeli conflict or the situation in Syria, as we have addressed these issues in other meetings of the Council."	0
"Also, although the overall security situation has remained calm and peaceful since Timor-Leste officially assumed full responsibility for security on 20 May, smuggling, illicit trafficking and illegal border crossings should be seen as a cause for concern, as should tensions related to the demonstrations in Dili last July."	0
"There are several factors working against them, but if they succeed, the threat of terrorism will increase even more than it already is."	1
"The National Commission recommended the establishment of judicial commissions of inquiry to investigate the following allegations: Extrajudicial executions; the seizure by Arab groups of two Fur villages in the Kass region; and incidents of killing and burning of hospitalized wounded in the villages of Boram, Melit and Kulbus."	1
"64. Since 1950, the Democratic People's Republic of Korea has been practicing systematic abduction, denial of repatriation and subsequent enforced disappearance from other countries on a large scale and as a matter of State policy."	1
"72. The situation in Georgia (October 8, 1992; June 15, 2009)."	0
"Organization for Security and Cooperation in Europe (OSCE) observers observed ongoing fighting in many locations in the Donetsk and Lugansk regions, with artillery and mortar shelling often hitting residential areas and causing civilian casualties."	1
"Cuba once again comes to the Security Council to denounce and strongly condemn the complicity and absolute responsibility of the United States government for the release of this person."	0
"On the one hand, humanitarian access has improved markedly with the gradual lifting of restrictions on humanitarian access since last summer."	0
"(c) Ill-treatment of Eritrean prisoners of war."	1
"It would be remiss of the Council not to use these tools if the need arises."	0
"Over the past year, as military operations against armed groups have intensified, MONUSCO has increased its logistical support to the FARDC by 226 percent."	1
"âThe Security Council takes note of the communiquÃ© of the African Union Summit in Sirte which requested the Council to impose sanctions on anyone, including Eritrea, providing support to armed groups involved in undermining peace and reconciliation in Somalia and regional stability."	1
"For example, the difficulty of policing borders in the Sahel-Saharan region allows AQIM and its affiliates to move freely, raise funds through smuggling, acquire weapons and explosives, and train new recruits in relative safety."	1
"2. As I also indicated in the annex to my letter dated August 8, 2005 (para. 2), the slow pace of payments to suppliers is due to the slow processing of authentication documents required for the arrival of goods in Iraq."	0
"From June 1 to August 31, nearly 500 small arms, over 189,000 rounds of ammunition, 2,368 grenades and mines and over 225 kilograms of explosives were collected or voluntarily surrendered."	1
"On November 25, 2014, regime warplanes fired two bombs on the industrial area of Raqqa city, killing 44 people and wounding 57 others. The bombing destroyed 15 shops and 17 houses."	1
"Moreover, the methodological documents do not provide any guidance in this regard."	0
"I also wish a Happy New Year to your families and countries, as well as to Your Excellencies who have adopted you here in Côte d'Ivoire."	0
"16. The situation in the occupied Arab territories1 (May 4, 1976; July 13, 1998)."	0
"I therefore call on all stakeholders to ensure that the 2 January 2015 deadline for the completion of the voluntary disarmament of the FDLR remains binding and non-negotiable."	0
"Ms. Tagliavini reported that much of the fighting has ceased since the signing of the Minsk documents, but fighting continues in some strategic locations, including on the outskirts of the city in the Black Sea port of Mariupol and around Donetsk airport, without regard to the ceasefire and Minsk agreements."	1
"Said Arif is associated with Al-Qaeda or any cell, affiliate, splinter group, derivative, or derivative thereof for âparticipating in the financing, planning, facilitating, preparing, perpetrating, participating with, on behalf of, or in support of [Jabhat al-Nusra for the People of the Levant, also known as Jabhat al-Nusra (QE.A.137.14)] acts or activitiesâ and ârecruiting for itâ."	1
"30. In its resolution 1963 (2010), the Security Council encouraged the Executive Directorate to work with Member States to develop comprehensive and integrated national counter-terrorism strategies and implementation mechanisms."	0
"It is also time for Belgrade to abandon its negative attitude towards the participation of Kosovo Serbs."	0
"When they are arrested or forcibly returned, DPRK officials systematically persecute, torture, and arbitrarily detain them for long periods of time, in some cases using sexual violence, including during intrusive searches."	1
"According to a report by an ad hoc committee set up to assess losses and damage during the popular uprising, some 29 people were killed and 625 injured in the protests."	1
"In the central regions, unresolved conflicts continue to affect livelihoods and delay recovery processes."	1
"As for the requirement that the attack be âsystematicâ, it ârequires that the acts be of an organized nature and that the acts are unlikely to be randomâ."	1
"Propaganda, rocket attacks, improvised explosive devices, and occasional suicide bombers may remain the main weapons used by opposition armed forces."	1
"Twice-weekly passenger flights from Cyprus to Beirut have also begun."	0
"A meeting in Damascus between Mr. Hariri and President Assad on August 26, 2004, seemed to bring the dispute to a head."	1
"(c) Destroying or damaging public installations, transportation and communications networks, including information networks, fixed platforms on the continental shelf, power and water plants, medical and other important facilities, or public places and property, with the aim of endangering human life, compromising the integrity of any of the installations, networks or places, or exposing property to the risk of serious damage."	1
"Other witness testimonies emphasized summary executions of people who had committed theft in MNCI-controlled areas of CÃ´te d'Ivoire."	1
"The state has imposed blatantly discriminatory restrictions on women with the aim of perpetuating the gender stereotype of Korean women as pure and innocent beings."	1
"Attacks against civilians, including sexual violence, by foreign and Congolese armed groups and FARDC elements continue."	1
"Over the next two days, local Somalis brought in a cannon, which they placed on the upper deck of the Alpha Serengeti."	1
"5. The Coordinator conducted three visits to the region (in February, April and May) that coincided with the meetings of the Technical Subcommittee and the Tripartite Commission. On 9 February 2011, he was received by Sheikh Mohammed Sabah Al-Salem Al-Sabah, Deputy Prime Minister and Minister for Foreign Affairs of Kuwait, who noted that the emerging spirit of cooperation between Iraq and Kuwait should be translated into practical, results-oriented steps to resolve the remaining issues, including the files on missing persons and property."	0
"Moreover, because production from the field did not commence until August 2, 1990, there was no record of past production from the field on which to base future cash flow projections."	0
"On March 17, 2005, Brunei Darussalam joined the United Nations Educational, Scientific and Cultural Organization (UNESCO) as its 191st member."	0
"At the 5659th meeting of the Security Council, held on April 12, 2007, in connection with the Council's consideration of the item entitled âThreats to international peace and security caused by terrorist actsâ, the President of the Security Council made the following statement on behalf of the Council:"	1
"On November 29, 2014, regime warplanes dropped two barrel bombs on Wahid al-Yousef School in Kafr Sajna village in Idlib, completely destroying the school. Places of worship"	1
"The embargo includes âarms and related materiel of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment, and spare parts for the aforementioned.â"	1
"Al-Shabaka has not been able to fully document these cases because they are banned and persecuted by regime forces and extremist groups."	1
"(b) To resolve all outstanding issues as referred to in paragraph 12 above, and recalls in this regard that the implementation of the identification process simultaneously with the cantonment of forces, as set out in the National Programme for Disarmament, Demobilization, Reintegration and Rehabilitation, signed in Yamoussoukro on 14 May 2005, would expedite the creation of conditions for free, fair, open and transparent elections."	0
"I therefore have the honor, on behalf of the East African Community, to communicate this common position and furthermore request that it be brought to the attention of the United Nations Security Council for consideration."	0
"Follow-up Committee for the National Symposium on Civil Society"	0
"Eritrea has been organizing and training various categories of criminal gangsters and terrorists and sending them to Ethiopia to wreak havoc in our country and to destabilize the political stability."	1
"The regime arrested about 47 individuals believed to have been forcibly recruited into the regime forces."	1
"Deeply concerned about the recurrence in many parts of the world of violence against journalists, media professionals and associated personnel in armed conflicts, in particular deliberate attacks against them in violation of international humanitarian law."	1
"iii. return of refugees and displaced persons"	0
"âAt around 8 a.m. the next day in the valley, I was raped for the first time."	1
"16. During the reporting period, on some occasions, UNFICYP faced new restrictions on its freedom of movement in its area of operations that in some cases jeopardized the safety and security of United Nations peacekeepers."	1
"As the largest port in the Middle East by far, the UAE's Jebel Ali Port takes maritime security and vulnerability seriously, and has developed advanced systems and infrastructure and processes to assess and respond to risks while ensuring the smooth flow of trade."	1
"The perspective of the National Police, as explained to the Committee, was to arrest the petitioners and hand them over to the National Police if they were moving from one place to another, and that no arrests were authorized."	1
"In the context of possible sanctions for rape and other acts of sexual violence, the Council invited UN missions and relevant UN bodies to share all relevant information with the Security Council Sanctions Committee."	1
":: Cell phone calls made in the area of the explosion: Cell phone calls made in the area of the explosion"	0
