"ar_en_DEEPL"	"VerConf"
"These meetings provide the Committee with valuable information on the implementation of the sanctions regime and on the threat posed by Al-Qaida and its associates, and provide a forum for intelligence and security officials from different countries to interact with each other and with the Team and share information."	1
"562. There is another, more specific reason why the political and military leadership of SLM and JEM cannot refuse to accept responsibility for every crime committed by their soldiers in the field, if they fail to prevent or suppress those crimes."	1
"27. Providing sustainable alternatives for ex-combatants is an essential aspect of the process of neutralizing armed groups."	0
"Examining the threat posed by terrorist groups on the African continent reveals a deeply disturbing reality where, rightly or wrongly, political, religious and ideological extremism and organized crime come together in a single view."	1
"38. The United Kingdom organized a conference on Somalia at Walton Park from 6 to 9 February."	0
"We were even prevented from condemning the violence and endorsing a peace plan developed by Syria's neighbors."	1
"49. The Government also continued its efforts to provide food assistance to vulnerable and food-insecure segments of the population with support from WFP through the Ministry of Health's Maternal and Child Nutrition Programme (47,000 beneficiaries) in 2010 as at 30 June, the Ministry of Education's School Nutrition Programme (241,000 beneficiaries) and the Food for Work Programme (600 beneficiaries), which targets communities in need of food. On 27 May, a food production plant for distribution through the mother and child nutrition program was inaugurated with technical and administrative support from WFP."	0
"It also points to the growing problem in Afghanistan and the Afghanistan-Pakistan border region and the continuing threat in North Africa, with no decline in activity elsewhere."	1
"The document from the Rafidain Bank shows no loss on May 20, 1993."	0
"The specialist, who will be funded by the United Nations Development Program (UNDP), will work under the overall supervision of the United Nations Peacebuilding Support Office in Guinea-Bissau (UNOGBIS)."	0
"We note that the ongoing challenges facing the police in Timor-Leste should not be underestimated."	1
"Haiti's political and civil society leaders continue to call for national consensus in key areas, such as the national budget, education, recovery and development priorities, elections and constitutional reform."	1
"4. By its resolution 733 (1992), the Security Council imposed a general and complete arms embargo on Somalia and, by resolution 751 (1992), established a Committee to oversee the implementation of the embargo."	0
"âThe Security Council expresses its growing concern about the serious threats posed by drug trafficking and related transnational organized crime activities to international peace and stability in West Africa and the Sahel region as referred to in the United Nations Integrated Strategy for the Sahel."	1
":: June 21, 2005: June 21, 2005, former Communist Party leader George Hawi is killed when his car explodes near his home in Wati al-Musaytbeh."	1
"4. The mission will emphasize that lasting peace, security and stability must be achieved for all countries in the region."	0
"27. In addition, the Committee decided that the list of items, materials, equipment, goods and technology related to ballistic missile programmes contained in the annex to a previous report of the Committee (S/2014/253) supersedes the previous list (see S/20142/947) and is subject to the measures imposed by the Security Council in paragraphs 8 (a), (b) and (c) of resolution 1718 (2006)."	1
"Kenya, Mozambique, Kenya, Seychelles and the United Republic of Tanzania have been or are being provided with coastal maritime surveillance and communication systems to provide a âcommon pictureâ of the maritime domain."	0
"Chad and Guinea were also mentioned in the early warning, as deteriorating humanitarian conditions could have an impact on stability in the region."	1
"UNAMA and the UNCT are providing coordinated support to all aspects of the implementation of the law, including to the State Minister for the Promotion of Equality, who is leading the development of the implementation plan, and to civil society to raise awareness of the law."	0
"1. Expresses its strong condemnation of all forms of violence, including, inter alia, murder, rape and sexual assault, intimidation, armed robbery, abduction, hostage-taking, extortion, harassment, unlawful arrest and detention, to which those involved in humanitarian operations are increasingly exposed, as well as attacks on humanitarian convoys and the destruction and looting of their property."	1
"Reports indicate that the severity of the attacks and atrocities committed in any given village spread a degree of fear among neighboring villagers who survived the attacks, prompting them to also flee to areas of relative safety."	1
"The German government strongly condemns these acts of violence."	1
"We strongly condemn the criminal attacks that the terrorist group Boko Haram continues to carry out in northern Nigeria and in neighboring countries."	1
"It has been Uganda's sole concern and unequivocal demand that the LRA terrorists be immediately disarmed, arrested and brought to justice."	1
"The collection of objective, reliable, accurate and timely information on conflict-related sexual violence is critical to formulating Council responses, as well as strengthening action to prevent sexual violence."	1
":: The Plant Protection Law No. 15 of 2005"	0
"These capabilities are underpinned by a core principle/vision and are considered nationally sustainable in the long term."	0
"The Council also deplored the adoption of this resolution by the Assembly of Kosovo and agreed with the Special Representative that such decisions by the Assembly, on matters outside its competence, were null and void."	1
"Eritrea has made new preconditions that have confused the facilitators."	0
"Given the limited jurisdiction of the Serious Crimes Unit and the failure of the Indonesian ad hoc court process, additional remedial measures may be required to achieve justice."	1
"These certificates must be issued by officials responsible for auditing the public finances of the relevant Member State."	0
"At the same time, other essential elements in this institution-building process are strengthening the rule of law by increasing the effectiveness, integrity and overall performance of the judiciary, and strengthening law enforcement institutions to reduce organized crime and ethnic violence and bring all criminals to justice."	1
"10. Calls upon all States, as a further means of addressing that threat, to take cooperative action, in accordance with their national legal authorities and legislation and consistent with international law, to prevent illicit trafficking in nuclear, chemical or biological weapons, their means of delivery and related materials."	1
"The evidence confirms that there are reasonable grounds to charge six Defense Forces soldiers with murder."	1
"However, there are still concerns regarding the 2.3 million people still living in a crisis situation."	1
"Human rights violations continue to be reported, many associated with untrained elements who joined the FARDC from the CNDP and armed groups."	0
"MINUSMA will initiate a mission concept revision process in early 2015 that will inform the review of the complementary concepts for the military, police and support components that detail and support the implementation of the mission concept."	0
"6. Encourages Member States to provide financial resources for the IGAD mission."	0
"The Under-Secretary-General also noted that the UN has observed an increase in accusatory rhetoric by the Government of South Sudan against UNMISS, as well as government violations of the UNMISS Status of Forces Agreement (SOFA)."	1
"This is despite the repeated condemnation of these inhumane acts by Security Council resolutions 1820 (2008), 1888 (2009) and 1960 (2010), which have become a source of hope for millions of women and girl victims around the world."	1
"Condemns all attacks against UN peacekeepers and humanitarian personnel, regardless of their perpetrators, and emphasizes that those involved in such attacks must be brought to justice."	1
"In resolution 2122 (2013), the Council expressed its concern at the increased vulnerability of women in armed conflict and post-conflict situations, in particular in relation to forced displacement as a result of unequal citizenship rights, sexist application of asylum laws and obstacles that often prevent them from registering their data and obtaining identity documents."	1
"At the same time, Germany and the EU have repeatedly in the past condemned terrorist crimes that have resulted in the deaths of hundreds of Israelis."	1
"At the same time, despite the promise of the democratization process, one should not forget that this is a very responsible phase in the history of the Middle East and requires the highest levels of vigilance and hard work in order to rule out miscalculations and unpredictability for the future of the region."	1
"My delegation strongly condemns these acts of violence and offers its condolences to the family of the deceased pediatrician."	1
"Israel must also refrain from taking unilateral actions in Jerusalem that would alter the status quo or undermine trust."	1
"(Study for a new zoo - USD 2,044,822"	0
"To be held in private on Tuesday, April 30, 2013, at 9:30 a.m."	0
"Accountability urges the Government of [the affected country] to ensure the full implementation of its âzero tolerance policyâ for disciplinary and human rights violations, including sexual and gender-based violence, committed by elements of the [armed forces], and further urges that all reports of such violations be thoroughly investigated with [mission] support and that all perpetrators be brought to justice in robust and independent proceedings."	1
"A heated verbal argument took place between Colonel Reis and Mr. Malik."	1
"Du Pont de Nemours International S.A."	0
"Security Council members reiterated their condemnation of this deadly attack on unarmed refugees and expressed their expectation of receiving a final report on the investigation as soon as possible."	1
"The rhetoric from both sides, the Republic of Sudan and the Republic of South Sudan, is deeply troubling."	1
"Reiterating its serious concern at the continuation of hostilities by militias and foreign armed groups in the eastern part of the Democratic Republic of the Congo and the threat they pose to the holding of elections in the Democratic Republic of the Congo."	1
"But make no mistake, my country is also prepared to resist a unilateral declaration of independence for as long as there is no settlement in sight."	1
"23. UNOMIG and the CIS peacekeeping force continued regular coordination visits, weekly quadripartite meetings, information exchange and joint patrols."	0
"âThe Security Council remains deeply concerned about the threat posed by piracy and armed robbery at sea to international navigation, the safety of commercial maritime routes, the security and economic development of States in the regions concerned, the safety and well-being of seafarers and others, including as hostages, and the increasing violence used by pirates and persons involved in piracy and armed robbery at sea. The Security Council condemns in the strongest terms hostage-taking and the use of violence against hostages, and calls upon States to also cooperate, as appropriate, to ensure the early release of hostages, including through the sharing of information and intelligence."	1
"8. It is recommended that the United Nations take the following urgent specific steps to facilitate the continued and enhanced presence of AMISOM in Somalia:"	1
"To be held on Tuesday, January 24, 2006, at 10 a.m."	0
"(Compensation for loss of personal effects (SAR 969,033)."	0
"We should not underestimate the threat posed by the destabilizing activities of Al Qaeda and the Taliban in Afghanistan."	1
"\"Report of the SecretaryGeneral pursuant to paragraph 6 of resolution 1883 (2009) (S/2009/585)\"."	0
"The joint mission met with a number of national and international stakeholders, including representatives of civil society, traditional and religious leaders, opposition parties, and the military."	0
"The international community - including through the auspices of the United Nations - should use diplomatic influence and provide technical assistance in areas such as political, security and justice sector reforms, the drafting of new constitutions, legal frameworks, electoral institutions and the conduct of elections."	1
"9. In its resolution 22/13, the Human Rights Council urged the Government of the Democratic People's Republic of Korea to cooperate fully with the commission of inquiry and allow its members unrestricted access to the country, and to provide them with all necessary information to enable them to fulfill their mandate."	1
"I also say today what I said on 31 January (see S/PV.6710). It is unacceptable that the Council should be prevented from fulfilling its responsibilities."	1
"âThe Security Council emphasizes that any attempt to disrupt the peace and transition process in the DRC, including support for armed groups, will not be tolerated."	1
"It is with great concern that I must inform you of the escalation of criminal acts and attacks against United Nations and humanitarian personnel."	1
"As requested by the Council in resolutions 2170 (2014) and 2178 (2014), the Council also received briefings from the Chairs of the Security Council Committee pursuant to resolutions 1267 (1999) and 1989 (2011) concerning Al-Qaida and associated individuals and entities and the Security Council Committee established pursuant to resolution 1373 (2001) concerning counter-terrorism."	0
"However, it is unacceptable for Israel to invoke its legitimate security concerns to justify the imposition of measures that affect an entire people indiscriminately and in violation of international humanitarian law."	1
"98. The special health risks associated with service in the mission area will be addressed by ensuring in-theatre medical coverage from primary care to tertiary level hospitalization."	0
