"ar_en_DEEP"	"MatConf"
"A brief statement prepared by the Secretary-General on the issues before the Security Council and the stage reached in the consideration of those issues"	0
"- On 19 September, after the explosion of a vehicle that hit a mine in Agelhok, six wounded members of the Chadian battalion were evacuated by helicopter and transported to the Chinese level 2 medical facility in Gao."	1
"The troop strength decreased from 1,435 personnel in January 2006 to 715 personnel as a result of events in the first half of 2006."	1
"Article 11: Formation of the Chambers"	0
"In seeking to frame its discussions in September, the Council should request the Secretary-General to inform it of the scope of the problem posed by foreign terrorist fighters, its implications for ongoing conflicts and the efforts of the United Nations to address it."	1
"We, once again, condemn the killing of civilians, whether by the Palestinian or the Israeli side."	0
"However, detection and prevention mechanisms are often not implemented at borders due to insufficient application of risk indicators and targeting criteria; Lack of information exchange and lack of cooperation between officials in customs, law enforcement, immigration and financial intelligence units; The lack of human and material resources dedicated to this purpose."	0
"The Committee received two such notifications."	0
"(b) Resolve all outstanding issues as referred to in paragraph 12 above, and recalls in this regard that the implementation of the identification process simultaneously with the assembly of forces, as stated in the National Disarmament, Demobilization, Reintegration and Rehabilitation Programme, which was signed in Yamoussoukro on 14 May 2005, which would accelerate the creation of conditions for the holding of free, fair, open and transparent elections;"	0
"Also of concern is the presence of extremist elements and their alleged activities."	1
"17. The situation in the Great Lakes region (1 November 1996; 9 November 2009)."	0
"The spread of misinformation exacerbated identity-based discrimination and stigma, sparking violence within and between communities."	1
"The village was attacked at around four in the morning."	1
"228 - Before proceeding to present the results of the Commission's fact-finding, as well as the legal assessment of these two facts, it is worth presenting some facts about both displacement and destruction, in order to give a clear picture of the scale and scope of the situation."	1
"These cells constitute the main emerging threat posed by Al-Qaeda terrorism today."	1
"In December 2003, the Janjaweed and government forces attacked the village of Nouri, near the town of Morni, Western Darfur."	1
"But how can this be achieved when the two agreements and the authority of the law continue to be disdained? When our land remains occupied by force and our people are displaced from their cities and villages? In fact, how can all possible arrangements of mutual benefit and normalization begin when sovereign territories are neither respected nor demarcated?"	1
"22. On 25 August, a statement attributed to General Laurent Nkunda, one of the main perpetrators of the Bukavu crisis of May 2004, in which he threatened to bring down the transitional Government, was published in Goma."	0
"The mission purchased specialized equipment (armored ambulances, mine-protected vehicles and medical supplies kits); It trained 3,063 military personnel in improvised explosive device prevention and risk mitigation and another 1,481 personnel in first aid, organized orientation activities for the Mission's two explosive ordnance disposal companies, which have limited experience in dealing with asymmetric warfare conditions, and built their capacities Operational (three arms control groups are now able to perform their tasks)."	1
