"ar_en_DEEP"	"VerConf"
"298- The company did not reduce the volume of its production of distilled water."	0
"Condemning acts of kidnapping and hostage-taking for the purpose of raising funds or obtaining political concessions, and expressing the need to address this matter,"	1
"Other tasks undertaken by the Office of the Ombudsman"	0
"Non-proliferation (29 March 2006; 12 December 2013)"	0
"The multi-ethnic character of Kosovo and Metohija mentioned in the report was ignored, and this neglect is most evident in the judicial system that was established in Kosovo and Metohija (para. 57)."	1
"While the focus in the medium term will be on monitoring mining areas, eliminating the threat posed by armed groups in Ituri, and restricting the presence of FDLR in certain areas in view of the disarmament, demobilization, repatriation, reintegration and rehabilitation process."	1
"Some concerns were expressed - not long ago by several presidential candidates - about the integrity of the recording."	1
"One of those arrested was reportedly the driver and bodyguard of Majed Hamdan, Mustafa Hamdan's brother, who runs a company that provided security for the St. George Hotel."	0
"The Council condemns all actions taken unilaterally with the intention of creating facts on the ground that would prejudice the outcome of the negotiations."	1
"In that regard, we would like to go further to say that we believe that the only way to improve security and stability in Somalia is to enable the Somali security forces to subdue the most powerful insurgents and enable the Government to expand its areas of authority as much as possible if peace negotiations fail."	1
"Some States have yet to address concerns raised regarding the extent to which human rights are respected in dealing with terrorism cases (e.g., exceptional periods of police custody and restrictions on access to counsel)."	0
"We are concerned that the security situation remains problematic."	1
"Improving this situation requires the enforcement of laws - in particular the law on the elimination of violence against women - that criminalize and punish violence and harmful practices against women and girls."	1
"Even if this happened as a result of an accident due to a discrepancy in maps, it is puzzling how an international force, which is supposed to have advanced equipment, could fall into this error in judgement."	0
"** The decision to refer Milan Lukic was canceled (20 July 2007)."	0
"If not, we could see more violent defections that can occur when people demand their rights, as there is no force to forcibly prevent them from giving them up."	0
"According to Nevsun, gold production for 2012 was 313,000 ounces."	0
"He did not issue orders or instructions regarding activities related to the crime scene, as this did not fall within the core of his responsibilities."	0
"Doing so is a top priority."	0
"Resolution 32/2003, Ministry of Science, Technology and Environment, Article 32 (f)"	0
"61 - As I look to the future, I call on the parties to the peace process - the Government of Mali and the armed groups represented - to seize the opportunity of the pause in negotiations, to demonstrate their political leadership and to find the compromises necessary to reach an agreement in Algiers."	0
"Letter dated 26 July 2005 addressed to the President of the Security Council from the Chairman of the Security Council Committee established pursuant to resolution 1533 (2004) concerning the Democratic Republic of the Congo"	0
"Not doing anything about such an evil group under the ill-advised pretext that it poses no threat to the government is an abdication of any state's basic responsibility, which is to ensure the safety of its citizens."	1
