"","ar_en_GOOGLE","VerConf"
"1","Note by the Secretary-General (S/2002/801).",0
"2","The two heads of state took this opportunity to review bilateral and multilateral issues.",0
"3","Vice-Chairmen: Croatia, Mexico and the United Kingdom of Great Britain and Northern Ireland",0
"4","Serry described the gap between the progress made in building a Palestinian state and the ongoing, entrenched stagnation on the political track as heart-wrenching.",1
"5","There is significant momentum at all levels of government to address some of the country&#39;s most complex social and economic issues: unemployment, crumbling infrastructure, corruption, poverty, and the high costs of administration.",0
"6","However, we also oppose and condemn extrajudicial executions.",1
"7","The meeting also recommended that the gathering of fighters, disarmament and dismantling of militias be expedited and that the government ensure appropriate funding for the process of gathering and reintegrating former fighters.",0
"8","We are concerned about the lack of political freedoms there.",1
"9","36- Djibouti and Eritrea maintained generally good bilateral relations until June 2008.",0
"10","The threat posed by terrorists, criminals and those involved in the drug trade to the security and stability of Afghanistan is a real phenomenon that must be constantly addressed.",1
"11","I am concerned that this parliamentary vote and the stalemate within Parliament could lead to the hard-won gains of the Somali stakeholders and their partners being wasted.",1
"12","12 - The Permanent Representative of the Central African Republic:",0
"13","With the presidential elections approaching, it is even more necessary and urgent that the security situation improve.",0
"14","Emphasizes that all parties and armed groups in [the affected country] have the responsibility to take appropriate steps to protect the civilian population of the country, consistent with international humanitarian law and international laws relating to human rights and international refugees, in particular, by avoiding indiscriminate attacks on populated areas or excessive use For strength in it.",1
"15","305- The standard of proof has been stated in paragraphs 156 to 159 above.",0
"16","Muhammad Ghazai Saad Ali Al-Mutairi",0
"17","21 - The Chairman of the Committee, in cooperation with the Chairman of the Security Council Committee established pursuant to resolution 1373 (2001) on counter-terrorism, and the Security Council Committee established pursuant to resolution 1540 (2004), submitted two joint briefings to the Council in 2013.",0
"18","The negative impact of the Libyan situation will grow, which poses a threat to continued peace and stability in the region. China expresses its deep concern in this regard.",1
"19","The prosecution concluded its case on 4 December 2007.",0
"20","Further demands that parties to the conflict immediately cease all violations and attacks committed against children and requests the Secretary-General to ensure that: (a) Continued monitoring and reporting on the situation of children, including within the framework of the reports referred to in paragraph 14 above, by means including close cooperation With child protection actors; (b) Continue dialogue with parties to the conflict with a view to preparing and implementing time-bound plans of action to end the recruitment and use of children and other violations committed against children under international humanitarian law and international human rights law;",1
"21","“The Council notes with concern the existing challenges in the field of social and economic development, as there is a marked deterioration in the living standards of the vast majority of Haitians.",1
"22","Article 26: Pardon or commutation of sentences",0
"23","19-Hexa-Aiso-Wortazine (Identification Code: CA 135285-90-4) (CL-20 or HNIW); and CL-20 chlarates;",0
"24","The Security Council also reiterates its support for the Special Representative of the Secretary-General, Mr. Ahmedou Ould Abdallah, for his efforts to advance the political process in Somalia.",0
"25","Minister of Youth in the interim government",0
"26","15. While the political groups representing Kosovo Serbs have focused their attention on Belgrade, they have not, in general, prepared a clear policy on a number of important issues, including the future participation of Kosovo Serbs in the Joint Interim Administrative Council.",1
"27","Establishment of a gender and development unit at headquarters and a network of gender focal points at country and regional levels.",0
"28","While piracy off the coast of Somalia remains a critical challenge, we call on the international community not to lose sight of the fact that the solution to this problem must be achieved on land, not at sea. A comprehensive solution to the Somali conflict must address all the root causes of piracy and other challenges, including the exploitation of marine resources and the dumping of toxic waste.",1
"29","States cannot ignore this basic obligation without any consequences for their illegal behavior.",1
"30","A proposal was made to amend Article 135 of the Criminal Code, relating to aggravating circumstances, by adding the following articles:",0
"31","Preventing entry to the territory",0
"32","The objectives of the program are to help implement the structural reforms necessary to enable the Congolese state to extend its authority throughout the country, to strengthen the capacities of local communities to respond to damaging shocks, to provide economic opportunities for unemployed youth and other high-risk groups, and to realize the benefits of Concrete peace in the western provinces.",0
"33","The Togolese delegation believes that all these issues require urgent action to prevent the Sahel region from falling into complete insecurity, which would be very detrimental to its development.",1
"34","C. Monitor and investigate diamond markets and other countries concerned",0
"35","“Report of the Secretary-General on the African Union-United Nations Hybrid Operation in Darfur (S/2011/244).”",0
"36","However, we are concerned by recent developments, including increased tensions between members of local communities and ISAF forces.",1
"37","The signatories also pledged to conduct an open and fair electoral campaign and to establish a parliamentary committee on corruption during the next session of Parliament.",0
"38","The geographical locations of the sectors will be as follows:",0
