"","ar_en_GOOGLE","VerCoop"
"1","2 - The second group: The group of four inspectors departed from the Canal Hotel in Baghdad at 8:40 and arrived at 9:05 at the First College of Engineering of the University of Baghdad.",0
"2","However, it appears that financial institutions and other implementing bodies have not yet taken note of this, and the Group recommends that the Committee and States find ways to draw attention to this issue more broadly.",1
"3","Noting the recent developments and initiatives that have emerged at the international, regional and subregional levels to prevent and suppress international terrorism, and noting the work undertaken by the Global Counter-Terrorism Forum, in particular its recent adoption of a comprehensive set of good practices aimed at addressing the phenomenon of foreign terrorist fighters and its dissemination of several Framework documents and other good practices, in the areas of, inter alia, countering violent extremism, criminal justice, prisons, kidnapping for ransom, support to victims of terrorism and community policing, to assist interested States in the practical application of the United Nations counter-terrorism legal and policy framework, and to complement The work undertaken in these areas by United Nations entities concerned with counter-terrorism,",0
"4","âThe Security Council renews its call on states to become parties to all international conventions and protocols related to terrorism as soon as possible and to implement the conventions and protocols to which they are parties.",1
"5","Scheduled for Wednesday, 4 February 2004, at 11 p.m.",0
"6","8 - Restoring crop breeding programs (wheat and barley).",0
"7","The Special Representative of the Secretary-General welcomed the efforts made by the Government of the Democratic Republic of the Congo to protect children, in particular the signing on 4 October 2012 of the Action Plan aimed at halting and preventing the recruitment and use of children, sexual violence and other grave violations against children committed by forces Armed forces and national security forces, with the governmentâs participation in the âChildren, Not Soldiersâ campaign, and with the appointment on July 14, 2014 of a presidential advisor on sexual violence and child recruitment.",1
"8","10. Directs the Executive Directorate to make information contained in national counter-terrorism surveys and assessments available, subject to the approval of the Member States concerned, and also directs the Executive Directorate to make information on regional counter-terrorism capabilities available, subject to appropriate approval by the Committee. ;",1
"9","In some recent cases, such as those in CÃ´te d&#39;Ivoire and Libya, the Council welcomed the commissions of inquiry established by the Human Rights Council. This demonstrated the close connection between concrete actions aimed at promoting peace and security and the protection of human rights.",1
"10","Third - Legal Framework 16-24 16",0
"11","73 - The situation in Georgia (8 October 1992; 15 June 2009).",0
"12","âThe Security Council reaffirms the commitment of all Member States to the settlement of differences and conflicts in accordance with the Charter of the United Nations, and calls upon the international community to provide assistance, as appropriate, in the efforts of regional and subregional organizations to settle differences by peaceful means and to prevent the outbreak of conflicts and settle them in accordance with the Charter of the United Nations.â and relevant Security Council resolutions.",1
"13","The Security Council reaffirms the principle of non-refoulement of refugees as stipulated in relevant international law instruments, welcomes recent efforts by countries neighboring [the affected State] to support the voluntary return of refugees, safe and dignified, and urges host States to continue to provide international protection to [the affected State]. Those] refugees who need it.",1
"14","Scheduled for Thursday, January 8, 2009, at 9 p.m",0
