"","ar_en_GOOGLE","MatConf"
"1",":: Another very important aspect is ensuring redress for victims of violations.",1
"2","159. During the armed conflict in CÃ´te d&#39;Ivoire in 2002-2003, the number of Liberians fighting alongside the Government of CÃ´te d&#39;Ivoire was estimated at between 1,500 and 2,500, while approximately 1,000 combatants were believed to be fighting on the side of the Ivorian rebels (see Document S/2004/972).",1
"3","Colonel Leary sent messengers to convey the matter to the soldiers who were not within earshot.",1
"4","Testimonies provided by other witnesses confirmed the summary executions of persons who committed theft in areas under the control of the National Movement in CÃ´te d&#39;Ivoire.",1
"5","87 - The Joint Command Committee of the Chiefs of Staff in Khartoum plans all military operations.",1
"6","The President of Chad reiterated this position.",0
"7","An international court is not considered an appropriate solution since the crimes in question constitute a violation of national law.",1
"8","In both incidents, the young women were forced to undress at gunpoint, raped by the Janjaweed and then left naked on the road.",1
"9","One of the soldiers sustained a minor injury to his finger as a result of a grenade explosion.",1
"10","Indohadi has a âspecial representativeâ who handles drug farm operations on his behalf, and he uses his militia to guard the drug farms he owns.",1
"11","However, the situation on the ground is complex and raises concern, especially for minority communities.",1
"12","105. No State reported to the Committee any attempt to breach the arms embargo, but the Group noted several instances in which effective implementation of the arms embargo was complicated by factors such as the presence of Al-Qaida-linked entities in a post-conflict area or in areas not subject to Under government control, such as Somalia and Afghanistan.",1
"13","The use of lethal violence in such cases must respect the principles of distinction and proportionality, and violations must be subject to accountability.",1
"14","33. In accordance with Presidential Decree No. 2004-236 on the mobilization of the national armed forces and the instructions issued during the meeting held between the President, the Prime Minister, the Ministers of Defense and Internal Security and the relevant heads of the National Police, the Gendarmerie and the National Armed Forces of CÃ´te d&#39;Ivoire on 24 March, the security forces were stationed in Many areas on the outskirts of the city, especially in places where gatherings and demonstrations are scheduled to be held.",1
"15","1 - The Northern Region: (130) armed air sorties at a speed of (720-780) km/hour and an altitude of (6-12) km, as detailed below:",0
"16",":: Launching attacks against the civilian population or against individual civilians not taking a direct part in hostilities;",1
"17","The victim stated that she knew 19 of the women who had been raped, but there were many others. She believes there were 50 victims in total.",1
"18","The following is the Board of Directors’ decision regarding these eligible areas:",0
"19","2 - The second group: The group moved from the Canal Hotel at 8:50 a.m. and arrived at the Al-Mu’tasim factory, affiliated with Al-Rashid General Company, one of the companies of the Military Industrialization Corporation.",0
"20","The prison provides better infrastructure and sanitation facilities, medical support for prisoners and staff, educational programs for prisoners, and vocational training programs in areas such as construction, tailoring, carpentry and brick making.",0
"21","However, the failure to intervene effectively to restore stability in that country truly threatens the effectiveness of the international community, as well as the cost of enormous resources.",0
"22","This campaign benefited from support from the World Health Organization and the United Nations Children&#39;s Fund (UNICEF).",0
"23","128- Another method favored by Al-Qaeda is the recruitment and deployment of elements of whom no law enforcement or security agency is aware, which makes it easier for them to travel without significant difficulty and obtain work or study visas (and, as a safer method, they claim, the loss of any documents containing seals). For visas potentially proving their guilt in order to obtain a new replacement for the lost one.",1
"24","Its intention and ability to plan attacks in Algeria and Niger in 2013 became clear.",1
"25","On November 16, 2014, the Islamic State executed 17 people in the Tabqa market in Raqqa after accusing them of spying and working with regime forces.",1
"26","The company&#39;s shareholders must be announced.",0
"27","34 - The presence of Palestinian armed groups outside the camps remains a challenge to Lebanon&#39;s ability to exercise full sovereignty over its territory.",1
"28","Decides hereby to establish an international tribunal for the sole purpose of trying persons responsible for serious violations of international humanitarian law committed in the territory of [the State concerned] in the period between [two dates]...",0
"29","It is classified according to different types of services",0
"30","âThe Security Council also reiterates its call to all parties named in the annexes to the Secretary-Generalâs report on children and armed conflict to address all violations committed against children and the forms of abuse to which they are exposed, and to make specific commitments and take concrete measures in this regard.",1
"31","1 - The criminal shall be punished by imprisonment from three to ten years or confiscation of his property.",1
"32","57. The evidence confirms that in addition to the killing of one civilian in Rai Koto, two other civilians were killed during the night.",1
"33","In other places, deaths occur in violent circumstances and the authorities are unable or unwilling to issue an official document to prove the death.",1
"34","27 - Recalls its decision that individuals and entities seeking de-listing may, without the sponsorship of a Member State, submit de-listing requests to the coordination center mechanism established pursuant to resolution 1730 (2006);",0
"35","Vending stalls in the Taipei area were burned again the next day, and a National Police officer who was in the area off-duty was attacked.",1
"36","(b) Strengthening the facilitation of technical assistance aimed at increasing the capabilities of Member States to combat terrorism and ensuring that its provisions are tailored to the needs of countries;",0
"37","14 - The situation in Sierra Leone (27 November 1995; 14 September 2011).",0
"38","Scheduled for Thursday, 13 October 2005, at 3.30 p.m",0
"39","The fruit loading station is located next to the military loading station in an isolated part of the seaport which is why military type equipment is unloaded there.",1
"40","9- The Human Rights Council, in its resolution 22/13, urged the Government of the Democratic Peopleâs Republic of Korea to cooperate fully with the Commission of Inquiry and to allow its members to enter the country without restriction, and to provide them with all necessary information to enable them to fulfill their mandate.",0
"41",":: February 14, 2005, Rafik Hariri and 22 others were killed in a huge explosion off the waterfront in central Beirut.",1
"42","45. In addition, the Mission documented killings of children in CitÃ© Soleil and other slums during shootouts between gangs and the Haitian National Police, and the continued use of sexual violence against children.",1
"43","On behalf of the Security Council Committee established pursuant to resolution 1540 (2004), I have the honor to refer to paragraph 9 of Security Council resolution 1810 (2008) and to transmit herewith the Committeeâs decision to extend its ninth program of work until 25 April 2011:",0
"44","âThe Security Council reaffirms the importance of the principle of non-refoulement and the right of refugees to return voluntarily to Syria, and encourages countries neighboring Syria to protect all people fleeing violence in Syria, including Palestinians.",0
"45","In this area, we would also like to refer to the law implementing the European customs rules that applies here.",0
"46","Paragraphs 9 and 11 of resolution 1572 (2004)",0
"47","Accountability, of course, is not limited to ensuring individual criminal responsibility for violations. Rather, it is also related to imposing punishment on anyone who violates the law. administering justice and ensuring reparation; Prevent the recurrence of violations by encouraging changes in laws and policies; Ensuring lasting peace and stability by ensuring, as much as possible, that victims receive redress for the damages they have suffered.",1
"48","Progress on other issues has been slow.",0
"49","We seek to draw the attention of the international community to the horrific fact that, by withdrawing from the above-mentioned resolution, the Russian Federation considers itself no longer bound by the obligation to prevent the sale and supply to the Abkhaz side of all types of weapons, defense equipment, spare parts, ammunition, armored vehicles and equipment (paragraph 3); It also prohibits the use of its citizens in or joining any armed group in the conflict zone (paragraph 5a).",1
"50","These attacks and provocations have indirectly impeded access to humanitarian relief at times.",1
"51","According to some estimates, more than 700 villages were completely or partially destroyed in all three Darfur states, and the Commission also obtained information that the police had made a destruction estimate and recorded the number of villages destroyed at more than 2,000.",1
"52","The mission is responsible for planning and preparing military operations against the Democratic Forces for the Liberation of Rwanda, taking into account the dispersion of the group&#39;s members and their infiltration into the ranks of the local population.",1
"53","(b) Eliminate the need for high-temperature heat treatment of engraved materials;",0
"54","âThe Council encourages international and regional cooperation to determine the origin and transfer of small arms and light weapons in order to prevent their diversion to, including, Al-Qaeda and other terrorist groups.",0
"55","Clause 13 equipment may be exported as part of a manned aircraft or satellite or in quantities suitable for spare parts for manned aircraft.",0
"56","In a form submitted to the Income Tax Division, it was first stated that Benoni Ori and Emmanuel Shaw each received from PLC Investments the sum of $18,000 for the calendar year 2001.",0
"57","This will lead to final plans for the physical renovation of the four prisons, the establishment of information technology infrastructure and the development of a training programme.",0
"58","In particular, the Council expresses its deep concern about the use of sexual violence as a weapon of war. It calls on all States to put an end to the phenomenon of impunity in this area as well.",0
"59","(e) A decision was issued to ground all aircraft registered in Liberia, and consequently all Liberian aircraft were cancelled, effective 6 March 2001. Based on this cancellation, there are no longer Liberian aircraft on the country&#39;s registries.",0
"60","That decision, although members of the Coalition Armed Forces were expressly excluded from the jurisdiction of the United Nations Compensation Commission, authorized the payment of compensation for prisoner-of-war claims by Coalition soldiers for loss or injury resulting from ill-treatment in violation of international humanitarian law.",0
"61","The violations included intentional attacks on civilians, indiscriminate attacks on civilians and civilian targets, attacks on villages where insurgents were hiding or sheltering, which resulted in massive harm to civilians, or the implementation of mass executions and forcible transfer of civilians from their homes. Violations committed on a large scale and systematic basis are considered crimes against humanity.",1
"62","Somalis should take responsibility for providing their own security and developing their judicial system in order to confront the threats to their security.",0
"63","Finally, whenever conditions are considered favourable, these institutions and companies should join forces with the governments concerned to coordinate efforts to adopt a coordinated plan to develop the country, provide livelihoods for the population and improve human rights conditions.",0
"64","18 - Now that the organizational and logistical aspects of the tracing operation appear to have been completed, it has become necessary to achieve the goal of finding the victims, identifying them and finally closing their files.",0
"65","Defining and describing the green belts path and selecting pioneering projects",0
"66","Resolution 1373 (2001), adopted in the wake of the heinous attacks that occurred in the United States on 11 September 2001, constituted a milestone in the efforts made in this regard at the United Nations level.",0
"67","6. The link between terrorism and transnational crime began to be highlighted following the bombings of the United States embassies in the United Republic of Tanzania and Kenya in 1998, which were carried out by Al-Qaida.",1
"68","The UK knows, perhaps better than others around this table, given our role as a leading nation, how great another long-term challenge is: that of drug control.",0
"69","(1) Any person who seizes control of an aircraft with the intention of hijacking it to a foreign country, or uses, without permission, an aircraft entrusted to him, shall be punished with imprisonment for a period of three to ten years or confiscation of his property.",1
"70","102- The Committee learned that when the rebellion, which was initiated by two rebel movements, broke out in Darfur in early 2003, the government requested a number of Arab tribes to assist it in fighting.",1
"71","21. There were frequent reports that Ivorian helicopters were based in Guinea and that one of the helicopters destroyed by the French in November 2004 was on loan from Guinea.",0
"72","Use from January 1, 2008 to December 31, 2008",0
"73",":: Additional checkpoints to inspect passengers and hand luggage at departure gates.",0
"74","The opposition used weapons purchased from the Bakara arms market from fighting the regional federal government in the battle that took place to control the strategically important town of Baidoa (Bay Region, Somalia).",1
"75","Most countries have established in their legislation an obligation to conduct customer due diligence and reporting mechanisms so that financial institutions and some professionals must know the identity of the customer and report any suspicious activities to the authorities.",0
"76","In West Darfur, for example, rebel forces attacked a police station in Tengafuka in October 2003.",1
"77","The leadership states that these children are orphaned as a result of the conflict and that the Sudan Liberation Army provides care for them.",1
"78","The bombing attack in Aleppo on the morning of March 18 was also a continuation of this bloody terrorist plan, as the Takfiri terrorists and those who stand with them and support them with money and weapons openly continue their terrorist acts in implementation of a conspiratorial plan targeting Syria, its people and its institutions.",1
"79","This is considered further evidence of the normalization of the situation on Prevlaka Island.",0
"80","The claimant&#39;s personal statement described in detail only a carpet decorated with pictures and accompanied by a patent.",0
"81","11. To begin with, the weapons available in the Bakara arms market early in the mandate period were influenced by the surveillance activities of foreign naval task forces operating in the Gulf of Aden.",1
"82","âThe Security Council condemns violations of international human rights and international humanitarian law committed by members of the Armed Forces of the Democratic Republic of the Congo, including the mass rapes committed in Minova on 24 November 2012, and calls on the Government of the Democratic Republic of the Congo to expedite the arrest of those responsible those violations, bring them to justice and hold them accountable, regardless of military rank.",1
"83","109. The Mechanism concluded that one of the consequences of the imposition of sanctions on diamond trade is the production of more sophisticated artificial or forged documents to conceal the origin of diamonds.",0
"84","He expresses his deepest sympathy and sincere condolences to the victims of this heinous terrorist act and their family members, and to the government and people of Pakistan.",1
"85","However, Eritrea&#39;s provocative activities were not limited to issuing declarations of war.",1
"86","(s) Prohibition of collective punishments;",1
"87","There is agreement on the need to strengthen the United Nations Mission in the Democratic Republic of the Congo to reach its authorized strength as quickly as possible in order to effectively carry out the tasks assigned to it.",1
"88","The army fired mortar shells at unarmed civilians.",1
"89","Relevant financial information is updated monthly on the Facility&#39;s website (www.irffi.org).",0
"90","The Commander-in-Chief of the National Police removed weapons from the national warehouses without the knowledge of the officer in charge of the warehouse. On 23 March, 60 Steyr weapons and 50 ammunition boxes were sent to the reserve police unit compound in Aliu. On 15 April, 10 Steyr weapons and ammunition were sent to the police station in Liquisa.",1
"91","Vice President: United Kingdom of Great Britain and Northern Ireland",0
"92","This trade is relatively easy to monitor because, until very recently, Walikale was only accessible by air.",0
"93","52 - The ratification of the Timor Sea Treaty has raised hopes for achieving significant revenues from gas and oil in the near future.",0
"94","As the enclosure to this letter demonstrates, regime forces have demonstrated extreme brutality in the city of Raqqa, where they have used the cover of US-led air strikes against the Islamic State to slaughter innocent civilians on an unprecedented scale.",1
"95","Adoption of a presidential statement calling, inter alia, for a reaffirmation of international solidarity in the fight against terrorism, and urging Member States to show greater resolve in their efforts to combat terrorism.",0
"96","Locally made firearms. Molotov cocktails. Rockets made improvised in metal workshops.",1
"97","Affirms its intention to take into account, when establishing or renewing State-specific sanctions regimes, the appropriateness of taking targeted and phased-in measures against parties to armed conflict who commit acts of rape and other forms of sexual violence against women and girls in situations of armed conflict.",1
"98","It is with great concern that I must report to you again today that, despite the great efforts of UNAMID, the security situation in Darfur has not improved significantly.",0
"99","In the JelisiÄ case, the Appeals Chamber noted that âwith regard to evidence of specific intent, it may, in the absence of clear direct evidence, be inferred from a number of facts and circumstances, such as the general context, the preparation for other punishable acts systematically directed against the same group, and the scope of the atrocities.â perpetrators, systematic targeting of victims on the basis of their affiliation to a particular group, or repeated acts of destruction or discriminatory acts.â",1
"100","283. Based on the investigations conducted by the Commission, and based on the pattern of air attacks it established, the Commission is of the view that military forces bear responsibility for a very large number of indiscriminate air attacks that claimed the lives of many civilians.",1
"101","The European Union commends the Economic Community of West African States, its Chairman, President John Kufuor, its Executive Secretary, Mohamed Ben Shembes, and the mediator, Major General Abdel Salam Abu Bakr, for their tireless efforts that led to this successful outcome.",0
"102","For example, the Al-Qaeda cell that carried out the November 2003 bombings in Istanbul had originally intended to rent a quarry so that it could obtain dynamite legally, but it abandoned that plan and used improvised explosives instead.",1
"103","The actions of some Arab groups have led to the forced deportation of those non-Arab communities.",1
"104","The current political situation in Kosovo highlights facts that contradict these basic assertions, and we hope that they will be part of the educational process to achieve democratic stability.",0
"105","Tunisia and the Syrian Arab Republic: draft resolution",0
"106","The Security Council resumed its consideration of this item at its 6022nd meeting, on 25 November 2008.",0
"107","(b) Social unrest linked to issues of long-standing exclusion has contributed to a recurring pattern of protests and the emergence of political and armed groups in the plains of the Southern Terai region, which has placed new risks for children, including their displacement, killing and recruitment;",1
"108","The police component of the operation also provides technical support and advice to the Integrated Command Center on security sector reform.",0
"109","âThe Security Council stresses that the responsibility for consolidating State authority and governance in the eastern Democratic Republic of the Congo rests primarily with the Government of the Democratic Republic of the Congo, including through substantive security sector reform in order to reform the army and police and end impunity for human rights violations and international humanitarian law, and urges the Government of the Democratic Republic of the Congo to address the issues of illegal exploitation and smuggling of natural resources.",0
"110","Expresses concern that the illicit transfer, destabilizing stockpiling and misuse of small arms and light weapons continues to threaten the safety and security of United Nations peacekeepers and undermine the effectiveness of their implementation of peacekeeping mandates...",0
"111","2- Analysis and evaluation of the claim 376- 379 79",0
"112","At the same time, the G7 expressed its intention to organize a march on 25 March 2004, urging the full and unhindered implementation of the Linas-Marcoussis Agreement.",1
"113","While the Government of Iraq affirms its respect for its obligations under the United Nations Security Council resolutions and its pursuit of peaceful policies and living in peace with its neighbors in a way that contributes to the security and stability of the region, the Government of Iraq looks forward to the Security Councilâs recognition of the great and positive developments that have been achieved in Iraq, and that the situation in Iraq is completely different. Essentially, the situation that existed when the Security Council adopted Resolution 661 (1990) and that the time has come for Iraq to regain its legal and international status that prevailed before the Security Council adopted the aforementioned resolution and the subsequent sanctions imposed on it under Chapter VII of the Charter of the United Nations.",0
"114","While I regret the actions taken by Hezbollah, and as I said, Israel has the right to defend itself, the use of excessive force must be condemned.",0
"115","115. The current embargo could have a greater impact on the Taliban if this is taken into account and if all non-State actors in Afghanistan are prevented from purchasing weapons, with necessary exceptions made on humanitarian and other purposes, as authorized by the Government of Afghanistan or the Security Council. .",1
"116","It will continue to follow developments in the security situation on the borders between the Central African Republic, Cameroon and Chad, as well as Sudan and the Democratic Republic of the Congo, with the aim of preventing conflict situations or humanitarian situations of concern from spreading from one country to another.",0
"117","1 - The northern region: 58 air sorties at a speed of 720-780 km/h and an altitude of 6-12 km, as detailed below:",0
"118","3 - Also notes that media equipment and facilities constitute civilian objects and, in this regard, may not be the target of any attacks or reprisals, unless they are military objectives;",1
"119","23. The security situation in most areas of the country remained fragile but generally stable, with only a few incidents reported.",1
"120","31. The strength of the Joint Integrated Units, which has remained unchanged since April 2009, is 32,900 personnel (about 83 per cent of its authorized strength of 39,639 personnel).",1
"121","Others have been identified for potentially being involved in planning and/or ordering the commission of international crimes, or for potentially assisting in the commission of such crimes.",1
"122","(b) Political and military leaders of foreign armed groups operating in the Democratic Republic of the Congo who obstruct the disarmament and voluntary repatriation or resettlement of combatants of those armed groups;",1
"123","The law ratifying the aforementioned agreement includes the following:",0
"124","This law covers the export of goods related to weapons of mass destruction from Australia and the provision of services related to those weapons, both inside and outside Australia.",0
"125","Mr. Lolishki (Morocco) (spoke in French): I would like to begin by congratulating the United Kingdom on assuming the presidency of the Council for the month of March.",0
"126","Regarding Crimea, he reported that, in addition to previously reported human rights violations, the number of enforced disappearances had increased, and he expressed concern about the kidnapping that had occurred last month in Crimea of four Crimean Tatars, one of whom was found dead.",1
"127",":: Relations with other bodies of the United Nations, including the Secretary-General and his office, and other subsidiary bodies of the Security Council working in the field of counter-terrorism.",0
"128","42. The position paper frankly presents some of the difficulties of the situation facing the Government: âThe Army of CÃ´te d&#39;Ivoire, in a state of self-defence, only responded to the attacks launched by the aggressors and with the aim of liberating the territory of CÃ´te d&#39;Ivoire and ensuring the safety of persons and property.",1
"129","These countries realize the importance of cooperation, information exchange, and coordination among different countries and at the regional and national levels.",0
"130","The group then went to the poultry breeding station located in the Abu Ghraib area, affiliated with the same center, and inquired from the station director about the nature of its work, what types of chickens they raise, the capacity of the incubators, and the capacity of the fields.",0
"131","We wish them well, as we have wished for them over the past eleven years.",0
"132","The Comprehensive Nuclear Test Ban Treaty was ratified",0
"133","(a) Ensure that information relating to international humanitarian law, international human rights law and refugee law is disseminated as widely as possible,",0
"134","It is also worth noting that the Minister of Social Affairs for West Darfur, who is also the Deputy Governor of West Darfur State, considered the villagers responsible for the destruction that led to their mass displacement, because they allowed their children to join the ranks of the rebels and use their villages to carry out rebellious activities.",1
"135","At the same time, multiple groups affiliated with Al-Qaeda emerge, often independently, with generational, geographic, ethnic, structural, and operational changes.",1
"136","119. In light of this situation, the Group has taken several initiatives to carry out its mandate of monitoring the travel ban and proposing recommendations for its improvement. These include increasing contacts with Member States and key international organizations; Conduct investigations into the use of forged travel documents by terrorists and find ways to improve national and international systems; Holding regular discussions with INTERPOL on ways to enhance coordination between the United Nations and INTERPOL; Investigate the emerging trend of free movement and visa-exempt areas, and their connection to UN sanctions; The relationship of practices related to refugees and asylum seekers to United Nations efforts to combat terrorism.",0
"137","8 - More than six years after the adoption of resolution 1624 (2005), there are still serious risks and threats in most parts of the world of incitement to commit terrorist acts. However, there are variations in the level of these risks and threats, including among countries from the same region or region.",1
"138","The Special Representative provided a brief overview of the fighting that broke out in Bentiu, Unity State, on 26 October.",1
"139","Both parties to the Comprehensive Peace Agreement appointed a coordinator for children and armed conflict.",0
"140","68. During the period under review, UNICEF and WHO initiated the third round of immunization of children against polio.",0
"141","These children were seen wearing uniforms and carrying weapons in and around the rebel camps.",1
"142","Despite this decision, destruction operations continue.",1
"143","Most countries have only weak capabilities to freeze funds and assets linked to terrorism without delay.",1
"144","While the Group and many States believe that the expression âweapons and related materiel of all kindsâ (resolution 1735 (2006), para. 1 (c)) applies to both military and civilian explosives, some point out that preventing the supply of civilian explosives or materials What goes into making homemade bombs is impossible.",1
"145","236 - The obligations imposed on States with regard to the criminalization of the financing of terrorism are contained in resolution 1373 (2001) and the 1999 International Convention for the Suppression of the Financing of Terrorism.",0
