"ar_en_GOOGLE"	"MatCoop"
"These instruments cover all items included in the Nuclear Exporting Countries List of Substances as well as the List of Substances Subject to the Missile Technology Control Regime."	0
"At the multilateral level, the Republic of Guinea has acceded to Convention A/P.1/7 of the Organization of African Unity, 1992, on Mutual Judicial Assistance."	0
"3 - Terrorism, in its essence, opposes the basic values of humanity enshrined in the Charter of the United Nations and basic human rights documents."	0
"8. The survey aims to present current general trends in the implementation of the resolution with a view to identifying regional weaknesses and areas where groups of States face particular difficulties in implementation and thus may benefit from a regional or subregional approach to combating terrorism."	1
"Progress in this area will enable the Republika Srpska Public Security Centers and the Police Department of the Ministry of the Interior of the Federation of Bosnia and Herzegovina to operate with improved financial methodology in the coming year."	1
"Scheduled for Thursday, 13 October 2005, at 3.30 p.m"	0
"However, it is worth noting the quality of support provided by the French forces to the integrated mission in several areas, which is described below:"	1
"3 - Throughout the reporting period, Ambassador Gennady Tarasov, High-Level Coordinator, focused his activities on the task of building confidence and bridges of cooperation between Kuwait and Iraq with the aim of strengthening their effective involvement in the search for missing persons and lost property and encouraging them to achieve clear and tangible progress towards implementing the objectives specified in paragraph 14 of Security Council Resolution 1284 (1999)."	1
"âThe Council stresses the importance of national ownership, constructive dialogue and partnership between national authorities and the international community in order to help meet priority peacebuilding needs and address the underlying causes of recurring instability."	1
"3. Progress towards neutralizing foreign and Congolese armed groups in North Kivu and South Kivu provinces remains limited."	1
"Security Council Resolution 1880 (2009), operative paragraph 14"	0
"The measures it took to confront the rebellion in Darfur were a flagrant violation of international law."	0
"94. The Commission and INTERPOL have only recently begun the process of developing and issuing notices for each of the individuals of interest on the United Nations list."	1
"The United Nations sent about 300 observers from member states of the Southern African Development Community."	0
"The West Darfur team consisted of investigators, a military analyst, and was supported by one or two forensic experts, as needed."	1
"The establishment of regulatory bodies and the continued development of the banking sector are considered among the achievements that contribute to possible economic development."	1
"And, just as a reminder, I quickly reviewed these facts."	0
"13. The Force estimates that approximately 50 per cent of the local population has left their villages in the south."	0
"On 5 July, the Mission and the Force conducted joint patrols in the Gali district, on 21 August in the Zugdidi sector (both on the Georgian side) and on 22 September in the lower Kodori Valley."	1
"In an investigation conducted in Morni camp, West Darfur, medical teams treated about 20 victims of sexual violence from April to June 2004."	1
"The program collects information at the national level on all persons arrested or suspected of involvement in low-level crimes such as forgery of bank/credit cards or travel documents."	1
"The ability to freeze funds and assets linked to terrorism is often insufficient and limited in all countries."	1
"As the situation in the Beni region clearly demonstrates, efforts to incapacitate diffuse armed groups supported by local criminal networks and elements of the Armed Forces of the Democratic Republic of the Congo (FARDC) will take some time to produce tangible results."	1
"(c) Cooperate, in particular through bilateral and multilateral arrangements and agreements, to prevent and suppress terrorist attacks and take action against the perpetrators of such acts;"	1
"All States in the subregion have established in their legislation relevant crimes adequate jurisdiction to prosecute terrorism-related crimes."	1
"At the same time, the city received 11,000 displaced persons, whom it tried to help as best it could, following its recapture by government forces."	1
"In the context of recodifying substantive criminal law, the Government proposed making legal entities criminally liable for a number of crimes, including terrorist crimes and terrorism-related crimes, such as money laundering and terrorist financing."	1
"First, the establishment of the two ad hoc tribunals has galvanized national authorities into the fight against impunity for these same crimes."	1
"17 - Through its visits to donor countries, the Executive Directorate was able to collect much more accurate information about their regional interests, their capabilities in the field of technical assistance to combat terrorism and their existing programs."	1
"It was recommended that the Committee strengthen, and institutionalize as appropriate, its cooperation with international non-proliferation mechanisms, other United Nations bodies, the Group of Eight, regional and subregional organizations, and nuclear-weapon-free zones, where appropriate, that could add value to Implement resolution 1540 (2004) by expanding formal and informal working relations with it."	1
"Security Council Resolution 1906 (2009), operative paragraph 12"	0
"All countries have introduced laws to prevent and suppress the movement of terrorists across borders, and 4 countries have taken practical steps to pursue criminals."	1
"The team investigated the process of supplying these vehicles to northern CÃ´te d&#39;Ivoire, but faced an obstacle resulting from its inability to closely examine Forces Nouvelles vehicles. However, the team took pictures of a number of these vehicles that were part of a military convoy in BouakÃ©."	1
"(Q.Q.: 493 IQD (21) - 3/30/2009)"	0
":: Consider how more effective implementation of the Women, Peace and Security Program can contribute to improving security for all and achieving lasting peace"	1
"14 - Expresses its readiness to consider any further request for assistance submitted by the Lebanese government to ensure that all those responsible for this crime are held accountable;"	1
"General People&#39;s Committee for Transportation and Transport:"	0
"82. The priority recommendations are: (a) Encourage States to adopt comprehensive and consistent counter-terrorism legal frameworks that will facilitate the implementation of legally sound and coherent counter-terrorism strategies;"	1
"The draft law, which will be presented before Parliament, stipulates that no less than 30 percent of parliamentary seats be allocated to women. One district in each electoral district at the local council level should be allocated to female candidates, and political parties should allocate âsafeâ seats for female candidates."	1
"96 - The subregion has achieved a reasonable level of ratification of international counter-terrorism instruments."	1
"The village was attacked at around four in the morning."	0
"S/RES/1208 (1998), operative paragraphs 4 and 12"	0
"For example, in 2009, Tunisia amended Law No. 2003-75 to criminalize incitement to commit terrorist acts, thus separating âincitement to hatredâ and âreligious fanaticismâ from terrorist crimes."	1
"It is necessary to address recurring criticisms of the fairness and transparency of the system, so that the Committee can direct its attention more fully to confronting the threat posed by Al-Qaida and the Taliban."	1
"The remaining funds will be used to support additional mitigation measures, including pre-deployment training and the installation of monitoring and warning systems, including dog teams, in the mission&#39;s camps."	1
"4 - The recent exchange of visits at a high level between Iraq and Kuwait contributed to creating a favorable atmosphere for the coordinator to conduct his contacts with representatives of Iraq and Kuwait, as well as with other members of the Tripartite Committee and the technical subcommittee emanating from it, which remains the main body concerned with the issue of unaccounted for persons in the Gulf War. 1990-1991."	1
"24. The Chairman of the Committee and the Chairman of the two committees established pursuant to Security Council resolutions 1373 (2001) and 1540 (2004), which also deal with counter-terrorism issues, provided joint briefings to the Security Council in 2009. The briefings took place on 26 May (see document S/PV.6128) and 13 November (see document S/PV.6217)."	0
"36. At its 47th formal session, on 20 June 2014, the Working Group heard from the Prosecutor of the International Criminal Court on the work of the Court in relation to children and armed conflict."	0
"As part of a transition strategy to establish an independent police institution, preparations are currently underway to transfer responsibilities from the Kosovo Police Service School and UNMIK Police to the Kosovo Police Service."	1
":: Burundi ranks last on the 2013 Global Hunger Index (the same place it was ranked in 2012)"	0
"Law No. 535/2004 on the Prevention and Combating of Terrorism was issued by Decree of the President of Romania under No. 994/2004 of 24 November 2004, and became effective three days later."	1
"Uganda remains concerned about the humanitarian situation in Darfur."	0
"The two-year continuation of the conflict has exacerbated political differences and deepened the already harsh social and economic conditions in which the vast majority of the population lives."	0
"Scheduled for Wednesday, 21 June 2006, at 10.3 p.m"	0
"(d) An advocacy visit by the Chair of the Counter-Terrorism Committee or the Executive Director (or both), possibly accompanied by one or more members of the Committee, aimed at raising public awareness of the threat of terrorism and focusing high-level political attention, within the Government or Parliament concerned, on The importance of implementing resolution 1373 (2001) (eg by adopting or passing counter-terrorism legislation);"	1
"At its 4170th meeting, on 13 July, the Council adopted resolution 1307 (2000), in which it authorized, inter alia, the extension of the mandate of the United Nations Observer Mission in Privlaka until 15 January 2001 to continue monitoring the demilitarization of the peninsula."	1
"103 - At the time of writing this report, the ship âSemloâ and its crew are still in captivity. The perpetrators of the kidnapping requested a ransom of $500,000."	0
"Despite the implementation of this ban through tightened border controls, citizens still risk fleeing, mainly to China."	0
"Some reports hinted, while a few confirmed, that the elements of the crime of genocide exist in the patterns and nature of violations committed by the government and its affiliated militias."	0
"âThe Security Council takes note with interest of the important proposal made by the Secretary-General to establish a Peacebuilding Commission, and believes in the goal of improving the capacity of the United Nations to coordinate with donors and troop-contributing countries and to undertake peacebuilding activities, especially from the beginning of peacekeeping operations through the stabilization and reconstruction phases.â And development."	1
"The remarks made by Deputy Prosecutor Bensouda focused on the role and impact of the International Criminal Court in strengthening the investigation and prosecution of serious crimes of concern to the international community."	1
"Let&#39;s be frank: these reports from the press, human rights groups and civilians on the ground raise serious concerns about the nature and scope of the conflict."	0
"Natural resources play an essential role in the Government of Liberia&#39;s vision for a future of sustainable and equitable growth."	0
":: August 22, 2005, three people were injured in an explosion in a garage near the âPromenadeâ Hotel in the Zalka area, north of Beirut."	0
"The Bir Lahlou team&#39;s position was reinforced with additional military observers from the Tifariti team site and remained in close contact with the Polisario Front."	1
