"","ar_en_TRANSFORMERS","VerConf"
"1","We are concerned about the deterioration of the living standards of the people as a result of the difficulties faced by the country in 2008, particularly as a result of the global food crisis and the damage caused by the hurricanes that struck the island.",1
"2","This day, the inspection teams of the International Atomic Energy Agency (IAEA) and the United Nations Monitoring, Verification and Inspection Commission (UNMOVIC) conducted surprise inspections of 12 sites inside and outside Baghdad and one site in Basra Governorate.",0
"3","1. JEM/Dr. Khalil Ibrahim",0
"4","In Kosovo, responsibility for the province &apos; s operations was transferred to the Kosovo Police Service (KPS), with the international police playing the oversight role.",0
"5","Chapter 17 of the Immigration Act (revised 2002 version) regulates immigration to Brunei Darussalam.",0
"6","This law applies equally to chemicals and micro-organisms.",0
"7","Turkish newspaper Thaqr -- 4 January 2012",0
"8",":: The Agency needs to be able to confirm a satisfactory solution on all the issues identified in the annex to document GOV/2011/65 before it considers that they are no longer outstanding issues and report back to the Board of Governors.",0
"9","Call on States and regional and subregional organizations to provide technical assistance to local police, judicial and corrections personnel (e.g. mentoring and legislative development).",1
"10","Somali leaders must work towards an open political process for those who are willing to renounce violent opposition.",1
"11","Of the 12 Security Council sanctions regimes, 5 apply listing criteria for violations of international human rights law and international humanitarian law, including in particular violations of the rights of children and women in conflict situations.",0
"12","(c) Construction and maintenance of a music and theatre school;",0
"13","The scope of health care and education is very limited.",0
"14","We call on the Palestinian Authority to do everything in its power to stop those attacks.",1
"15","According to a senior commander of the armed forces, border intelligence soldiers are recruited directly into the army in the same way as regular soldiers.",0
"16","3. Thoraya McKay El Khader Toto",0
"17","21. The Congolese Government confirmed that it would meet the 2 January 2015 deadline.",1
"18","Only 10 per cent were registered as voters.",0
"19","We express our deep concern at the plight of the Palestinians in the Gaza Strip.",1
"20","3. Motives for the assassination of Rafiq Hariri",0
"21","Calling upon all parties to armed conflict to cease immediately and fully all acts of sexual violence against civilians, in accordance with resolutions 1325 (2000), 1820 (2008), 1888 (2009) and 1889 (2009); the recruitment and use of children, in accordance with resolutions 1612 (2005) and 1882 (2009); and indiscriminate attacks against civilians, in accordance with resolution 1894 (2009),",1
"22","Strongly condemn all acts of violence and abuses committed against civilians in situations of armed conflict, in contravention of applicable international obligations, in particular: (i) torture and other prohibited treatment; (ii) gender-based and sexual violence; (iii) violence against children; (iv) recruitment and use of child soldiers; (v) trafficking in human beings; (vi) forced displacement; (vii) deliberate denial of humanitarian assistance; and demand that all parties put an end to such practices.",1
"23","Request for additional extrabudgetary resources for the establishment of a post of Gender Adviser at Headquarters.",0
"24","85. Unless differences within the transitional federal institutions are addressed, the current political impasse can evolve into deeper divisions and undermine the very institutions that the Somali people long for and which the international community and the United Nations stand ready to support.",1
"25","Although there has in fact been no case since the last report of the Panel, there is still a risk that listed groups and individuals may keep their hopes for such an attack, apart from a number of reports of the continued existence of an illegal stockpile of radioactive materials, including in areas where Al-Qaida and the Taliban are active.",1
"26","I must say that the theme chosen for our debate today is a major challenge, although it is a matter of interest.",1
"27","However, the crucial element of the intention of genocide seems to be lacking, at least with regard to central government authorities.",1
"28","Similarly, there has never been any evidence of the Government &apos; s arrest of the perpetrators of attacks against civilians, in accordance with the Joint Statement and resolution 1556 (2004).",0
"29","2. During the reporting period, the persistent disagreement between the parties on how to find a mutually acceptable solution to enable the people of Western Sahara to exercise their right to self-determination continued.",1
"30","American newspaper The New York Times, American journalist Neil McFarcoar -- 28 November 2011",0
"31","Finally, we should caution that it is not in the interest of international peace and security for the international community, including the Security Council, to use the plight of Arab peoples for self-interest and change in the system of government.",1
"32","a Claims for C6-MPA losses.",0
"33","""The Security Council reiterates its strong condemnation of the desecration, destruction and destruction of sites of sacred, historic and cultural standing, in particular those on the UNESCO list of World Heritage sites, including but not limited to the city of Timbuktu.",1
"34","Issued in Kampala on 22 November 2002.",0
"35","During the Janjaweed attack on the village of Mparasa, Western Darfur, in November 2003, 20 girls were abducted and taken to the Amar camp.",0
"36","Despite our assessment that achieving a complete ceasefire is difficult at this time, I continue to believe that the international community must make its position clear: the need for an immediate cessation of hostilities and more credible efforts by Israel to protect civilians and civilian infrastructure, while urgent efforts are being made to create conditions to halt such attacks.",1
"37","There are other ways in southern Africa and perhaps in West Africa that cannot be known in this way because of the high levels of domestic diamond production.",0
"38","The network was unable to collect information on deaths in the isolated areas of the system.",1
"39","The members of the Council expressed their deep concern at the ongoing crimes committed in Libya.",1
"40","The Council stresses that all those responsible for violations of international law, including international humanitarian law and human rights law, as well as those who have been instructed to commit such acts, will be held accountable.",1
"41","This evidence is found in Kisangani, Bunia and Moba.",0
"42","It should also be noted that other senior Lebanese representatives, such as former Prime Minister Najib Mikati, declared that ""there should be no weapons either inside or outside the camps.""",1
