"","en_ar_DEEPL","MatCoop"
"1","2. بالنسبة لالتماسات الشطب من القائمة التي لم تُرد إلى مقدم الالتماس، يحيل أمين المظالم طلب الشطب من القائمة على الفور إلى أعضاء اللجنة، والدولة (الدول) التي اقترحت الشطب، ودولة (دول) الإقامة والجنسية أو التأسيس، وهيئات الأمم المتحدة ذات الصلة، وأي دول أخرى يعتبرها أمين المظالم ذات صلة.",0
"2","وقد أظهرت التحقيقات المبكرة أن أحداً لم يدّعِ أنه كان لديه أدنى فكرة عن وجود شيء ما يدور حول السيد الحريري يمكن أن يهدد حياته.",1
"3","(ج) حالة (حالات) العملية (العمليات) الحالية;",0
"4","2. يقرر أن تواصل المديرية التنفيذية للجنة مكافحة الإرهاب العمل كبعثة سياسية خاصة في إطار التوجيه السياسي للجنة مكافحة الإرهاب للفترة المنتهية في 31 كانون الأول/ديسمبر 2017، ويقرر كذلك إجراء استعراض مؤقت بحلول 31 كانون الأول/ديسمبر 2015;",1
"5","مكان وتاريخ الميلاد: 1980",0
"6","الفقرات 159-160؛ الفقرات 28-31، 161-163.",0
"7","وقد أكد الفريق أن شركة Ipedex تلقت مبلغ 064,656,656 فرنكاً فرنسياً للموظفين الذين تمت إعارتهم للمشروع.",0
"8","1. Šešelj IT-03-67-Ar15bis",0
"9","طائرة من طراز AN-26 (رقم تسجيل القوات المسلحة السودانية 7705) في مطار الخرطوم الدولي، 21 يونيو 2007",0
"10","22. وقاد فريق التحقيق التابع للجنة رئيس محققين وضم أربعة محققين ومحققتين متخصصتين في العنف الجنساني وأربعة خبراء في الطب الشرعي ومحللين عسكريين.",1
"11","ومن شأن ذلك أن يظهر حقاً الطبيعة العالمية لجهود مكافحة الإرهاب التي تبذلها الأمم المتحدة وحقيقة أن الدول الأعضاء متحدة.",0
"12","المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية: مشروع قرار",0
