"","en_ar_DEEPL","MatConf"
"1","وفي حين أن هناك مخاوف مشروعة من إضعاف العقوبات، أو الظهور بمظهر ""متساهل"" مع الإرهاب، فإن تحسين إجراءات الشطب من القائمة من شأنه أن يعزز العقوبات مع إضافة المزيد من الإنصاف.",1
"2","بعد نصف ساعة، وصلت ثلاث سيارات جيب أخرى من تشاد مدعومة بمروحية عسكرية، ومرة أخرى حدثت مواجهة مع الوحدة العسكرية السودانية أصيب خلالها جندي وعدد من المدنيين.",1
"3","وقد أفاد الأمين العام المساعد للشؤون السياسية بتزايد الهجمات التي شنها جيش الرب للمقاومة في عام 2011 وشدد على الأثر الخطير على المدنيين والوضع الإنساني.",1
"4","بين عامي 1901 و1965، كانت جزر كوك إقليماً غير متمتع بالحكم الذاتي تابعاً لنيوزيلندا.",0
"5","تعد إعادة التجنيد انتهاكًا جسيمًا في حد ذاتها، ولكنها أيضًا تقوض بشدة قدرة البرامج على العمل، وأن يكون لدى الأطفال ثقة في إعادة تأهيلهم دون مضايقات.",1
"6","وفي الختام، أوضح الفريق أول سينغا أنه منذ مارس 2012 شهدت قوة الأمم المتحدة لمراقبة فض الاشتباك بين جماعات المعارضة والجيش السوري في منطقة الفصل، وهو ما يعد انتهاكاً واضحاً للتفويض.",1
"7","الأنشطة البحرية والإيرادات: الفحم، مصايد الأسماك والقرصنة",0
"8","فعلى سبيل المثال، ذكر سكان منطقة ناكتوكا في مقاطعة نيتيبي الفرعية أن مجموعة من حوالي 20 جندياً إندونيسياً قامت في 29 أيار/مايو بتفكيك جزئي لهيكلين شيدتهما حكومة تيمور - ليشتي في هذه المنطقة التي لم يتم التوصل إلى حل فيها.",1
"9","وذكر رب الأسرة أنهم أثناء محاولة الفرار من منزلهم واجهوا ستة رجال عرب اغتصبوا ابنته البالغة من العمر 25 عاماً أمامه هو وزوجته وأطفاله الصغار.",1
"10","رئيس العملية هو باولو كالوفيلي، شقيق أرملة سافيمبي، ساندرا.",0
"11","25. وقد حظيت المسيرة المزمع تنظيمها في 25 مارس بتغطية إعلامية واسعة النطاق، واعتبرها البعض تحديًا خطيرًا للرئيس ومؤسسات الدولة الشرعية.",1
"12","وفي إحدى الحالات التي تم الإبلاغ عنها من دلبة في غرب دارفور، تعرض الضحية للضرب حتى الموت.",1
"13","ومع ذلك، فإن أي تغييرات في الاتفاقات يجب أن تكون مقبولة للطرفين وأن تظل متسقة مع المبدأ القائل بضرورة أن تحافظ القوات العسكرية على الوضع الراهن خلال وقف إطلاق النار وأن يُسمح للمراقبين العسكريين التابعين للبعثة بممارسة حرية الحركة الكاملة، وفقاً للمبادئ الأساسية لحفظ السلام.",0
"14","21. وتشمل أحدث الإضافات إلى القائمة الإرهابيين المرتبطين بتنظيم القاعدة والجماعات الإرهابية العاملة في وسط وجنوب وجنوب شرق آسيا والشرق الأوسط، بما في ذلك العراق.",0
"15","الأرقام غير مؤكدة، لكن الأدلة المعروضة على اللجنة تشير إلى مقتل ما يصل إلى تسعة أشخاص وإصابة ثلاثة آخرين بجروح من أسلحة نارية نتيجة هذا العنف.",1
"16","64. منذ عام 1950، انخرطت جمهورية كوريا الشعبية الديمقراطية في عمليات اختطاف منهجية لأشخاص من بلدان أخرى وحرمانهم من العودة إلى أوطانهم ثم اختفائهم قسراً على نطاق واسع وكمسألة سياسة للدولة.",1
"17","وأشار خبراء الوكالة الدولية للطاقة الذرية للفريق إلى أنه من المرجح أن يحصل الإرهابيون على جهاز عسكري بطريقة غير مشروعة أكثر من بناء جهاز مرتجل خاص بهم.",1
"18","ويعد مركز الحياة الإعلامي التابع لها عملية متطورة. ويتم إنتاج أشرطة الفيديو الخاصة به بشكل احترافي، وتترجم مواده إلى عدد من اللغات المختلفة.",0
"19","العبور عبر نيوزيلندا (أي البقاء على متن السفينة أو الطائرة) لا تتم مراقبتها حاليًا.",0
"20","وأسفرت عملية مماثلة تم تنفيذها في بريشتينا في 18 نوفمبر/تشرين الثاني عن اعتقال ستة أشخاص.",1
"21","(د) معدات الرياضة والصالات الرياضية 056,682,682,056 3,212,000 302-305 3",0
"22",":: القانون الاتحادي السويسري بشأن العتاد الحربي المؤرخ 13 كانون الأول/ديسمبر 1996 (قانون العتاد الحربي؛ SR 514.51)",0
"23","وقدم الممثل الخاص موجزاً للقتال الذي اندلع في بانتيو بولاية الوحدة في 26 أكتوبر/تشرين الأول.",1
"24","قُتل بعض جنود الحكومة بإجراءات موجزة.",1
"25","انخفض إلى 0.5 مليون في عام 1997 وارتفع مرة أخرى إلى أكثر من 640,000 في عام 2002.",0
"26","وكما هو موضح في المادة 7 (2) (د) من النظام الأساسي للمحكمة الجنائية الدولية، والتي يمكن اعتبارها تدويناً للقانون الدولي العرفي في هذا الشأن، فإن الإبعاد أو النقل القسري للسكان يعني التشريد القسري للأشخاص المعنيين بالطرد أو غيره من الأعمال القسرية من المنطقة التي يتواجدون فيها بصورة مشروعة، دون أسباب يسمح بها القانون الدولي.",1
"27","o في 9 تشرين الثاني/نوفمبر 2014، ألقت مروحيات النظام عدة براميل متفجرة على مدينة داعل مما أسفر عن مقتل 6 أشخاص، من بينهم طفلان، بالإضافة إلى إلحاق أضرار بالمباني السكنية.",1
"28","ووفقًا لهذه المصادر، غالبًا ما كان اغتصاب الضحايا الأفراد متعددًا، حيث كان يقوم به أكثر من رجل واحد، وكان مصحوبًا بأشكال أخرى من العنف الشديد، بما في ذلك الضرب والجلد.",1
"29","47. بذلت الحكومة عدة جهود للوقاية من الأمراض والأمراض ومكافحتها.",0
"30","ويدرك الكثيرون الآن أن ما يدعيه تنظيم القاعدة بأنه واجب ديني أو ""جهاد"" ليس أكثر من عنف إجرامي، موجه في كثير من الأحيان ضد إخوانهم المسلمين. وقد أصبحوا يعتبرون افتراض مقاتلي تنظيم القاعدة الحق في تكفير المسلمين الآخرين (التكفير) ليس فقط على أنه غطرسة بل أيضا إهانة بالغة.",1
"31","أما اشتراط أن يكون الهجوم ""ممنهجاً""، فيتطلب طبيعة منظمة للأفعال وعدم احتمال حدوثها بشكل عشوائي.",1
"32","ويبلغ قوام المركز الآن 544 فرداً من أفراد القوات الجديدة والدفاع والأمن الوطني، من أصل الحد الأقصى المأذون به البالغ 568 فرداً، بما في ذلك وحدات الشرطة المختلطة.",1
"33","كما توجد معاهدة ثنائية للمساعدة القانونية المتبادلة مع الولايات المتحدة الأمريكية.",0
"34","أولاً، كان هناك أكثر من مليون نازح داخل دارفور (1.65 مليون شخص داخل دارفور (1.65 مليون شخص وفقاً للأمم المتحدة) وأكثر من 200,000 لاجئ من دارفور في تشاد المجاورة إلى الشرق من السودان.",1
"35","10. الحالة في جورجيا (8 تشرين الأول/أكتوبر 1992؛ 15 حزيران/يونيه 2009).",0
"36","بعد ذلك، فحصت المجموعة الأختام على الآلات الخاضعة لنظام التفتيش.",0
