"en_ar_DEEPL"	"VerCoop"
"من المستحيل وصف جميع حوادث القتل التي وثقتها اللجنة في هذا التقرير."	0
"كما التزموا أيضًا بالتحقق من أن جميع المجندين فوق سن 18 عامًا."	0
"عملاً بالمادة 15 من النظام الأساسي، يكون المسجل مسؤولاً عن إدارة وخدمة فروع الآلية."	0
"ومع ذلك، وبالنظر إلى أهمية هؤلاء الأشخاص بالنسبة ليونيتا، ستبقي الآلية المسألة قيد نظرها."	0
"يتم تغطية تكاليف اللجنة من الأموال المخصصة للتكاليف الإدارية والتشغيلية للبرنامج."	0
"217. وستشجع اللجنة، على سبيل المثال، على وضع برنامج وطني للتعويضات. وهذا لا يعني مجرد التعويض النقدي. وبدلاً من ذلك، ينبغي النظر في مجموعة من التدابير اللازمة، بما في ذلك الاعتراف بالخطأ، والتعويض عن الأضرار التي يمكن تقييمها اقتصادياً، والكشف العلني الكامل عن الأحداث المعنية (بما في ذلك من خلال نشر هذا التقرير)، ووضع برامج لإعادة التأهيل، وفرض عقوبات إدارية على الأشخاص داخل المؤسسات التي تتحمل المسؤولية."	1
"وأدار رئيس الفريق، السيد خوسيه راموس - هورتا، المناقشات نيابة عن الفريق، مشيراً إلى أن الفريق سيركز خلال المرحلة الأولى من عمله على الاستماع إلى آراء جميع الدول الأعضاء باعتبارها مساهمين جماعياً في السلام والأمن، على أن تشمل المشاورات أيضاً لجان الجمعية العامة والمنظمات الإقليمية والبلدان المساهمة بقوات عسكرية وقوات شرطة."	1
"لا تخضع عمليات نقل المواد ذات الاستخدام المزدوج الأقل حساسية داخل المجتمع لتراخيص التصدير."	0
"لذلك سوف يستغرق الأمر بعض الوقت قبل أن تكون هناك خدمة صحية تيمورية كاملة."	0
"كما يجب على إسرائيل أن تمتنع عن اتخاذ إجراءات أحادية الجانب في القدس من شأنها تغيير الوضع الراهن أو تقويض الثقة."	0
"20 و21 نوفمبر 2014، فرانكفورت، ألمانيا"	0
"وكان من بين الاجتماعات التي حضرها مؤتمران أفضيا إلى طلب محدد إلى مكتب الأمم المتحدة المعني بالمخدرات والجريمة لتنظيم حلقات عمل لإعداد التقارير للدول من أفريقيا ومنطقة البحر الكاريبي/ أمريكا اللاتينية التي تدين بتقديم تقارير إلى واحدة أو أكثر من لجان مجلس الأمن الثلاث التي تعنى بمكافحة الإرهاب."	1
"شركة ميريل لينش وشركاه المحدودة (جزء مقطوع من 4002249)"	0
"تم إرسال البروتوكولات بشكل يومي إلى اللواء عازار وإلى قائد الجيش العماد ميشال سليمان."	1
"في الخرطوم، أجرت اللجنة مقابلات مع محتجزين محتجزين بمعزل عن العالم الخارجي من قبل قوات الأمن في \"بيوت الأشباح\" في ظروف بغيضة."	1
"13. ستنظم اللجنة اجتماعا خاصا مفتوحا أمام جميع الأعضاء وغيرهم من أصحاب المصلحة المعنيين للاحتفال بالذكرى السنوية العاشرة لاتخاذ القرار 1373 (2001) وإنشاء اللجنة، وفقا للقرار 1963 (2010)."	1
"وحتى عندما يكون هناك أساس قانوني للتعاون في المسائل المتصلة بمكافحة الإرهاب بين الدول، فإن تحقيق التعاون العملي لا يزال يشكل تحديا. والأسباب ذات طبيعة تقنية وسياسية على حد سواء."	1
"الطبيعة المحددة الأخرى للقانون:"	0
"وخلال عام 2013، أُحيلت القائمة في 8 نيسان/أبريل (SCA/2/13 (13))، و 29 آب/أغسطس (SCA/2/13 (26))، و 30 تشرين الأول/أكتوبر (SCA/2/13 (35))، وستحال مرة أخرى في 31 كانون الأول/ديسمبر."	0
"62. وفيما يتعلق بالمهام المتصلة بالمصفوفة، كان اتفاق اللجنة على شكل جديد خطوة هامة إلى الأمام."	1
"وفي هذا السياق، وعلى الرغم من تناول مكافحة الإرهاب بشكل أكثر جدية من قبل الأمم المتحدة بشكل عام ومجلس الأمن بشكل خاص، إلا أن هناك أدلة محدودة على وجود جهد مشترك حقيقي لخلق استجابة دولية أكثر توحداً للإرهاب."	0
"وتنظر حاليا لجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان وما يرتبط بهما من أفراد وكيانات في التقرير المتعلق بنتائج استعراض الأسماء المدرجة في القائمة الموحدة الوارد وصفها في الفقرة 25 من القرار 1822 (2008)."	1
"وهي ممتنة لها لأنها وفرت المأوى لعدة مئات الآلاف من اللاجئين في السنوات الأخيرة."	0
"نفقات الخدمات العامة (063,549,549,237,237 ريال سعودي)"	0
"يجب أن يعلم أعضاء المجلس أن جميع الخطوات اللازمة قد تم اتخاذها وسيستمر اتخاذها لإلقاء القبض على المذنبين في أسرع وقت ممكن."	0
"22. وبعد رصد تحركات المشردين داخليا إلى كوسوفو والتحدث مع السكان من أصل ألباني في جنوب صربيا نفسها، أفادت مفوضية الأمم المتحدة لشؤون اللاجئين بأن المشردين داخليا قد فروا خوفا من الوقوع بين خطوط إطلاق النار، ومن القلق العام إزاء تعزيز قوات الشرطة والجيش في وادي بريسيفو."	0
"وتلاحظ اللجنة أنه لا يوجد دليل على أن قتل 8 من رجال الشرطة وجرح 27 من ضباط الشرطة لم يكن سوى أفعال عفوية لأفراد قاموا بها بشكل عفوي خارج نطاق أوامر التسلسل الهرمي للقوات المسلحة التيمورية."	1
"وسيساعد مفهوم العمليات أيضاً الجهات المانحة على اتخاذ قرار بشأن تقديم المزيد من الدعم لبعثة الاتحاد الأفريقي في السودان في مؤتمر إعلان التبرعات المتوقع عقده في بروكسل في 7 تموز/يوليو 2006."	0
"حصل المرشح الدكتور بشار حافظ الأسد على 10,319,723 صوتاً، أو 88.7 في المائة من الأصوات الصحيحة. وفاز الدكتور حسان عبد الله النوري بـ 500,279 صوتاً، أو 4.3 في المائة من الأصوات الصحيحة. وفاز السيد ماهر عبد الحفيظ حجار بـ 372,301 صوت، أو 3.2 في المائة من الأصوات الصحيحة."	0
"ويكرر مجلس الأمن طلبه إلى الأمين العام أن يدرج في تقاريره عن الحالات الخاصة بكل بلد معلومات أكثر شمولا وتفصيلا فيما يتعلق بحماية المدنيين في النزاعات المسلحة."	1
