"en_ar_DEEP"	"VerConf"
"سعى المدعون العامون الهولنديون بعد ذلك إلى حظر المؤسسة وحلها والإفراج عن أي رصيد دائن في الحساب المصرفي للمنظمة إلى الدولة، لكن المحكمة قضت بأن الحكومة لم تثبت أن فرع مؤسسة الحرمين في هولندا، منفصل ومنفصل عن المنظمة الدولية، كان يدعم الإرهاب. وقال ممثلو الادعاء الهولنديون إنهم يعتزمون استئناف حكم المحكمة، وكذلك الحصول على مزيد من المعلومات حول مؤسسة الحرمين والعقيل من الولايات المتحدة."	1
"ويدعو إلى التقيد بالقانون الدولي وتنفيذ الأطراف لالتزاماتها وخريطة الطريق من أجل تحقيق رؤية دولتين تعيشان جنبا إلى جنب في سلام وأمن."	1
"أن يطلب من الأمانة تقديم تحديثات عن حالة مسألة التعويضات المزدوجة المحتملة في الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها في اجتماعاته المقبلة وإبقائها مدرجة في جدول أعمال الدورة المقبلة لمجلس الإدارة؛ والموافقة على طلب الأمانة تمديد فترة عمل خمسة موظفين حتى 31 كانون الأول/ديسمبر 2005 لتقديم الدعم لخبراء المحاسبة القضائية وتنفيذ أي توصيات قد يتم تقديمها بشأن احتمال الازدواج في التعويضات."	0
"ويساورنا القلق إزاء انعدام الحريات السياسية هناك."	1
"ينص البند الثالث من القسم 1 و 2 من تعميم البنك المركزي رقم 2852/98 على إلزام المؤسسات المالية بالتسجيل في نظام معلومات البنك المركزي ما يلي:"	0
"16. الوضع في الأراضي العربية المحتلة (1) (4 مايو 1976؛ 13 يوليو 1998)."	0
"إن مثل هذه الاتهامات الباطلة تتعارض مع العقل والمعايير الأساسية للسلوك المهني. وأنا على يقين من أن المجلس سوف يقيلهم."	1
"وقد طُلب منه المساعدة في تصوير عملية إخراج الموكب بتاريخ 14 شباط/فبراير 2005 خلال اللقاء مع قاضي التحقيق، لكن لم يذكر أي شيء آخر عن إخراج سيارات الموكب من مسرح الجريمة."	0
"إن مثل هذه الأفعال غير مقبولة على الإطلاق، ويجب على السلطة الفلسطينية أن تضع حداً لهذه العمليات وتلاحق مرتكبيها قضائياً."	1
"إن الفظائع التي لا توصف والتي ترتكب ضد نزلاء معسكرات الاعتقال السياسي كوانليسو تشبه أهوال المعسكرات التي أنشأتها الدول الشمولية خلال القرن العشرين."	0
