"en_ar_DEEP"	"VerCoop"
"\"ويقر مجلس الأمن بأن الإرهاب لن يُهزم بالقوة العسكرية وتدابير إنفاذ القانون والعمليات الاستخباراتية وحدها، ويشدد على ضرورة معالجة الظروف المؤدية إلى انتشار الإرهاب، بما في ذلك، على سبيل المثال لا الحصر، الحاجة إلى تعزيز الجهود الرامية إلى الوقاية الناجحة والحل السلمي للصراعات الطويلة الأمد، والحاجة إلى تعزيز سيادة القانون وحماية حقوق الإنسان والحريات الأساسية والحكم الرشيد والتسامح والشمول لتوفير بديل قابل للتطبيق لأولئك الذين قد يكونون عرضة للتجنيد الإرهابي والتطرف المؤدي إلى العنف."	1
"62 - ولا تزال معظم الدول تعتمد على النظم المصممة لمكافحة الأشكال الأخرى من الجرائم المالية في التعامل مع تمويل الإرهاب."	0
"وإنني على استعداد للعمل بشكل وثيق مع مجلس الأمن، بشكل جماعي، ومع أصحاب المصلحة الرئيسيين، بشكل فردي، لإنهاء هذه الأزمة الخطيرة، واختتام عملية السلام على وجه السرعة، وإعادة تأسيس الأنشطة الإنسانية الحيوية في إريتريا."	1
"وكشفت مراجعة شاملة لاحقة للملفات الموجودة في خزانة الأمم المتحدة أن العدد الصحيح لخطابات الاعتماد التي أكملت شركة كوتيكنا جميع الأعمال المتعلقة بوثائق التصديق عليها وقت التسليم كان بالفعل 17 خطابا."	0
"1.2 تفكر حكومة جنوب أفريقيا في إصدار التشريع الجديد التالي لتنفيذ الفقرة 2 (أ) إلى (ز) من القرار 1373 (2001):"	0
"وحتى 23 يونيو/حزيران، عبر أكثر من 1.1 مليون شخص الحدود الليبية إلى تونس ومصر والنيجر والجزائر وتشاد والسودان."	0
"42 - وقام معهد الأمم المتحدة الأقاليمي لأبحاث الجريمة والعدالة، بناء على طلب الفريق العامل 2 التابع لفريق الاتصال المعني بالقرصنة قبالة سواحل الصومال وبدعم من حكومة إيطاليا، بتنظيم اجتماعين غير رسميين لفريق الخبراء العامل في عام 2013 من أجل صياغة مجموعة من المبادئ التوجيهية والمعايير وأفضل الممارسات فيما يتعلق باستخدام أفراد الأمن المسلحين المتعاقد معهم من القطاع الخاص على متن السفن التجارية، لاستخدام شركات القطاع الخاص والحكومات المهتمة."	1
"يجب أن تكون النتيجة النهائية مستقرة ومستدامة. لذلك لا ينبغي تحديد مواعيد نهائية مصطنعة."	1
"35 - ويجب على قوات التحرير الوطنية (حزب تحرير شعب الهوتو - قوات التحرير الوطنية)، التي تشكل تهديدا لأمن بوروندي والمنطقة ككل، أن تنضم إلى معسكر السلام دون تأخير."	1
"ولا تزال الحالة الإنسانية في الصومال تشكل مصدرا للقلق البالغ."	0
"صادرات النفط أسعار فوب 2.9 2.9 3.0 3.8"	0
"وجاء في الرسالة أن اللجنة تدرس التوصيات الواردة في التقرير بهدف تحسين تدابير الجزاءات المقررة وتنفيذها."	1
"6 - يشير إلى الالتزامات المشار إليها في الفقرة 2 (هـ) من منطوق القرار 1373 (2001)، ويشير إليها بشكل خاص فيما يتعلق بالهجمات الإرهابية ضد موظفي الأمم المتحدة وحفظة السلام ومنشآتها؛"	1
"2. أنشئت المديرية التنفيذية للجنة مكافحة الإرهاب لفترة أولية تنتهي في 31 كانون الأول/ديسمبر 2007، وهي تخضع لمراجعة شاملة من جانب مجلس الأمن بحلول 31 كانون الأول/ديسمبر 2005."	0
"وبعبارة أخرى، فقد ظهر الآن في القانون الدولي حق ضحايا الانتهاكات الجسيمة لحقوق الإنسان (وخاصة جرائم الحرب والجرائم ضد الإنسانية والإبادة الجماعية) في الحصول على تعويضات (بما في ذلك التعويض) عن الأضرار الناجمة عن تلك الانتهاكات."	0
"افتتحت الجلسة الساعة 3.25 بعد الظهر."	0
"الدستور يجعل رئيس الجمهورية ضامن الوحدة الوطنية."	0
"والحقيقة أنه باستثناء بن لادن والزرقاوي والملا محمد عمر وغيرهم من الإرهابيين المعروفين، فإن عامة الناس قد لا يعرفون سوى القليل نسبياً عن العديد من الأفراد المدرجين في القائمة."	0
"23 - منذ وصول ممثلي الخاص إلى نيروبي في 27 أيار/مايو 2005، أكد للقادة في المنطقة دون الإقليمية وغيرهم ضرورة اتباع نهج منسق تجاه القادة الصوماليين وحثهم على الدخول في حوار والامتناع عن القيام بأي عمل عسكري من أجل التوصل إلى حل. - الخلافات داخل المؤسسات الاتحادية الانتقالية. وفي 10 حزيران/يونيه، التقى في كمبالا بالرئيس يوري موسيفيني، رئيس أوغندا، وفي 29 حزيران/يونيه أجرى محادثات مع الرئيس إسماعيل عمر جيله، رئيس جيبوتي، والأمين التنفيذي للهيئة الحكومية الدولية المعنية بالتنمية في جيبوتي."	1
"11 - يشجع في هذا الصدد حكومة بوروندي على القيام، بالتعاون مع جميع الشركاء الدوليين، بوضع استراتيجية لنزع السلاح والتسريح وإعادة الإدماج وإرساء الأسس اللازمة لإعادة الإدماج الاجتماعي والاقتصادي المستدام للجنود المسرحين والمقاتلين السابقين واللاجئين العائدين، والنازحون وغيرهم من الفئات الضعيفة المتضررة من النزاع، ولا سيما النساء والأطفال، وفقا لقرارات مجلس الأمن 1325 (2000)، و1612 (2005)، و1674 (2006)، و1820 (2008)؛"	1
"11 - يطلب إلى الأمين العام أن يدرج في تقريره المقبل تقييما شاملا لبرامج نزع السلاح والتسريح وإعادة الإدماج وإعادة التوطين وإعادة الإدماج التابعة للبعثة، وأن يقدم، بالتنسيق الوثيق مع مبعوثه الخاص إلى منطقة البحيرات الكبرى، توصيات بشأن التعديلات الممكنة اللازمة لزيادة فعاليتها وتوفير الموارد لها. والتنسيق مع العنصر العسكري في بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية؛"	1
"وقد أدى ذلك إلى زيادة إمكانية استخدام الحظر على الأسلحة كجزء من استراتيجية فعالة لبناء السلام بعد انتهاء الصراع."	0
