"","en_ar_GOOGLE","MatCoop"
"1","وتدرك اللجنة أن عدم تقديم التقارير قد يكون علامة على &quot;الإرهاق العام في تقديم التقارير&quot; الناجم عن عدد التقارير التي يتعين على الدول الأعضاء تقديمها إلى اللجنة، ولجنة مكافحة الإرهاب، واللجنة المنشأة عملا بالقرار 1540 (2004). ) وغيرها من هيئات الأمم المتحدة.",1
"2","وفي المشاورات المغلقة التي تلت ذلك، تناول الممثل الخاص والمبعوث الخاص بعض القضايا المتعلقة بإصلاح قطاع الأمن وإنشاء قوة للرد السريع داخل القوات المسلحة لجمهورية الكونغو الديمقراطية، والعملية الانتخابية، والانتخابات العامة.",1
"3","(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والإقليمية والدولية، والترتيبات المتعددة الأطراف التي تتناول ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملاً القرارات 1540 (2004)، 1267 (1999) و 1373 (2001)، بتقييم مستوى تبادل المعلومات وتنسيق الزيارات إلى البلدان، على وجه الخصوص، وتقديم توصيات محددة، إذا كان ذلك مناسبا، لتعزيز التعاون.",1
"4","تفكيك ونزع سلاح جميع الجماعات المسلحة، بما في ذلك ما يسمى بالقوات الموازية، مع المراعاة الواجبة لإمكانية دمج أفراد هذه القوات في الهياكل الأمنية النظامية للدولة، على أساس إعادة تدريبهم والتزامهم الكامل بمعايير حقوق الإنسان الدولية المعمول بها والمواثيق الدولية. القانون الإنساني;",1
"5","رسالة مؤرخة 12 نيسان/أبريل 1999 من الممثل الدائم لـ",0
"6","ويحظر الأمر أيضًا بيع أو توريد أي شخص أمريكي أو من الولايات المتحدة أو باستخدام سفن أو طائرات مسجلة في الولايات المتحدة لما يلي: (1) أي معدات مستخدمة في التعدين؛ (2) المركبات الآلية أو الزوارق المائية وأجزائها؛ أو (3) خدمات التعدين أو خدمات النقل البري أو المائي، بغض النظر عن الأصل، إلى أراضي أنغولا بخلاف نقطة دخول محددة.",0
"7",":: أكثر من 000 3 طن من السلائف الكيميائية",0
"8","لدى جميع الدول، باستثناء دولة واحدة، تشريعات لتنظيم المنظمات غير الربحية، ولكن دولة واحدة فقط هي التي أدخلت، ونفذت بشكل فعال، أحكاما قانونية لمنع تمويل الإرهاب من خلال المنظمات غير الربحية.",1
"9","22 - ولم ترد تقارير عن عمليات قتل عمد للأطفال على يد القوات المسلحة أو الجماعات المسلحة.",1
"10","396. ومع ذلك، تمكنت اللجنة، من خلال تحقيقاتها الخاصة، من جمع المزيد من المعلومات الجوهرية حول حالات الاختفاء القسري.",1
"11","وأثناء زيارتي إلى لبنان في شهر كانون الثاني/يناير، أوضحت لمحاوري اللبنانيين، سراً وعلناً، المخاطر الجسيمة التي يشكلها استمرار وجود هذه الميليشيات في البلاد على استقرار البلاد والسلام الداخلي.",1
"12","&quot;ويظل مجلس الأمن يشعر بقلق بالغ إزاء العواقب الإنسانية والسياسية والاقتصادية المدمرة التي تترتب على الصراعات المسلحة؛ ويشدد على الضرورات السياسية والأخلاقية الأهم لمنع اندلاع الصراعات المسلحة والأزمات الإنسانية وتصاعدها، وما يعود ذلك من فوائد على السلام والتنمية والرخاء. العلاقات الودية بين جميع الدول.",0
"13","8 - يشدد على أهمية الوصول الآمن ودون عوائق للعاملين في مجال تقديم المساعدة الإنسانية إلى المدنيين في الصراعات المسلحة، ويهيب بجميع الأطراف المعنية، بما في ذلك الدول المجاورة، أن تتعاون تعاونا كاملا مع منسق الأمم المتحدة للشؤون الإنسانية ووكالات الأمم المتحدة في توفير هذا الوصول، ويدعو الدول إلى الأمين العام أن يلفت انتباهه إلى المعلومات المتعلقة بالمنع المتعمد من الوصول إلى هذه المعلومات انتهاكا للقانون الدولي، حيث قد يشكل هذا الرفض تهديدا للسلم والأمن الدوليين، ويعرب، في هذا الصدد، عن استعداده للنظر في هذه المعلومات و عند الضرورة، اتخاذ الخطوات المناسبة؛",0
