"en_ar_GOOGLE"	"MatConf"
"ورغم أنني لم أتلق بعد ردودا رسمية من الدول الأعضاء الـ 36 المتبقية، فإن تقديري هو أنه من غير المرجح أن تتحقق التعهدات بإرسال قوات كافية للسماح بنشر قوة متعددة الجنسيات."	1
"95. يُظهر هيكل وتنظيم أجهزة المخابرات السورية واللبنانية في لبنان وقت الانفجار، بما في ذلك بروتوكولات إعداد التقارير، تأثيرًا واسع النطاق على الحياة اليومية في لبنان."	1
"11 - يحث جميع الدول الأعضاء، ولا سيما دول الساحل والمغرب العربي، على تنسيق جهودها لمنع التهديد الخطير الذي تشكله الجماعات الإرهابية التي تعبر الحدود بحثا عن ملاذات آمنة في منطقة الساحل على الأمن الدولي والإقليمي، وتعزيز التعاون والتنسيق من أجل وضع استراتيجيات شاملة وفعالة لمكافحة أنشطة الجماعات الإرهابية بطريقة شاملة ومتكاملة، ومنع توسع تلك الجماعات وكذلك الحد من انتشار جميع الأسلحة والجريمة المنظمة العابرة للحدود الوطنية؛"	0
"وقد صاحبت التطورات الأخيرة في العديد من دول المنطقة دون الإقليمية تغييرات في الهياكل الأمنية."	0
"كما أحضر الجنجويد عدة نساء أخريات من القرى المحيطة بطويلة إلى هذا المخيم بعد اختطافهن في أعقاب الهجمات على قراهن."	1
"6 - يطالب جميع الدول والأطراف في النزاعات المسلحة بالتنفيذ الكامل لجميع قرارات مجلس الأمن ذات الصلة، وبالتعاون الكامل في هذا الصدد مع بعثات الأمم المتحدة لحفظ السلام والأفرقة القطرية في متابعة وتنفيذ هذه القرارات؛"	0
"ومع ذلك، فإن الإمكانات المتبقية لدى حركة النهضة في تقويض التقدم الملموس في تحقيق الاستقرار في إيتوري تظل مثيرة للقلق، لا سيما في ضوء عجز الحكومة الانتقالية حتى الآن عن تقديم قادة الجماعات المسلحة إلى العدالة ومنع تحركاتهم من وإلى أوغندا."	1
":: معاهدة الحظر الشامل للتجارب النووية."	0
"6 - تم تعزيز إنفاذ حظر الأسلحة في القرار 1945 (2010)، عندما أوضح المجلس الاستثناءات من هذا الإجراء وجعل بيع أو توريد الأسلحة والأعتدة ذات الصلة إلى السودان غير المحظورة بموجب الحظر مشروطا بالنهاية الضرورية وثائق المستخدم."	1
"سبا تريفي (منتجع تريفي كوليسيوم)"	0
"41 - وعلاوة على ذلك، لم تشترط برامج الجزاءات التي تفرضها الأمم المتحدة إدانة الأشخاص المستهدفين من قبل محكمة قانونية."	1
"107- ويتعرض الصحفيون في كوت ديفوار، ولا سيما المقربون من أحزاب المعارضة، للعنف والضغوط والتهديدات بالقتل."	1
"79- وتشير الأدلة المتوفرة إلى أن الغالبية العظمى من الجثث التي لا تزال في المشارح في انتظار التشريح تظهر عليها آثار طلقات نارية."	1
"وأطلقت بعض الدول والمنظمات الإقليمية أيضًا مبادرات أخرى تتعلق بمراقبة الحدود، مثل أنظمة الإخطار أو الترخيص التي تتطلب من المسافرين تقديم معلومات تحديد الهوية قبل سفرهم، أو أنشأت أنظمة جديدة لمعلومات التأشيرات، أو قواعد بيانات مشتركة."	0
"كما عثروا على جثث ما بين 20 إلى 30 مدنياً قتلوا خلال الهجوم، بينهم نساء وأطفال. وبحسب ما ورد كان جميع الضحايا من العدوة وينتمون إلى قبيلة الفور."	1
"وستقدم الأمانة العامة قريبا جدا القائمة الموحدة بهذا الشكل."	0
"قرر مجلس الأمن، في الفقرتين 1 و 2 من قراره 2118 (2013)، أن استخدام الأسلحة الكيميائية في أي مكان يشكل تهديدا للسلام والأمن الدوليين، وأدان بأشد العبارات أي استخدام للأسلحة الكيميائية في الجمهورية العربية السورية."	0
"وأشار أعضاء آخرون إلى مبادرة حكومة السودان للتحقيق في هذه الادعاءات من خلال آليتها الوطنية، ودعوا إلى حل النزاعات من خلال المفاوضات تحت رعاية فريق التنفيذ الرفيع المستوى التابع للاتحاد الأفريقي المعني بالسودان، بقيادة الرئيس السابق للسودان. جنوب أفريقيا، ثابو مبيكي، والمبعوث الخاص للأمين العام للسودان وجنوب السودان، هايلي منكيريوس."	0
"وذلك يوم الأربعاء 25 يونيو 2014 الساعة 3 بعد الظهر"	0
"يتم توفير المزيد من التفاصيل في دراسة الحالة في الملحق 6.5."	0
"واعترف أحد المتكلمين بأن عمل المجلس قد تغير بشكل كبير على مدى السنوات الخمس عشرة الماضية، وأشار إلى أن الاتجاه كان نحو المزيد من الانفتاح."	0
"وتشتمل هذه الزيارات في المجمل على ما يلي: ثماني زيارات شاملة (كمبوديا، ومصر، وجمهورية لاو الديمقراطية الشعبية، والجماهيرية العربية الليبية، والمملكة العربية السعودية، وجنوب أفريقيا، وأوغندا، وأوزبكستان)؛ زيارتان إقليميتان تغطيان ستة بلدان (بلجيكا والدانمرك ولوكسمبورغ وهولندا في أوروبا الغربية، وبوركينا فاسو والسنغال في غرب أفريقيا)؛ سبع زيارات مركزة (أستراليا، ومدغشقر، ونيوزيلندا، وبنما، وجمهورية كوريا، وسنغافورة، والمملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية)؛ وثلاث زيارات متابعة (بنغلاديش وكينيا ومالي)."	0
"ومع ذلك، لا يزال العراق يواجه قوى إرهاب تضم عناصر أجنبية تقوم بهجمات مروعة وأعمال إرهابية في محاولة لإحباط التنمية السياسية والاقتصادية في العراق."	1
"إذا حاول السكان مغادرة الغوطة الشرقية المحاصرة، فإن قناصة النظام السوري يستهدفونهم مباشرة، مما يؤدي كل شهر إلى مقتل العشرات من المدنيين."	1
"وفي الواقع، يعتبر استخدام حاملي الأموال النقدية أحد الأساليب الرئيسية المستخدمة لنقل الأموال غير المشروعة وغسل الأموال وتمويل الإرهاب."	1
"وفي ليبيا، عززت جماعة أنصار الشريعة وجودها في الشرق، ولا سيما في درنة وبنغازي، ونفذت العديد من الاغتيالات لأفراد من قوات الأمن الوطني ومؤسسات الدولة الأخرى."	1
"وفي إحدى الحالات، قبض الجنجويد على مدني بعد هجوم على قريته، واحتجزوه في معسكر للجنجويد ثم نقلوه بعد ذلك إلى معسكر للجيش في المنطقة."	1
"وبالإضافة إلى ذلك، فقد تناولوا احتجاز الشرطة الجورجية، يومي 12 و 31 آب/أغسطس، لشاحنات تابعة لقوة حفظ السلام التابعة لرابطة الدول المستقلة والتي كانت تنقل بضائع من الجانب الأبخازي من خط وقف إطلاق النار."	1
"وفي 4 سبتمبر/أيلول، أفادت التقارير أن جيش الرب للمقاومة هاجم قريتي بودو وناهوا في ولاية غرب الاستوائية، مما أسفر عن مقتل ثمانية أشخاص واختطاف طفلين، وقد هرب أحدهما فيما بعد."	1
"منع [ing] الشخص من نقل أو تعهد أو التصرف في أي أموال أو ممتلكات أخرى محجوزة على هذا النحو إلا بالطريقة التي قد يتم تحديدها في الأمر."	0
"96 - وقد عانت دول منطقة غرب آسيا دون الإقليمية من عدد كبير من الهجمات الإرهابية. وقد اتخذت خطوات علاجية هامة، بما في ذلك تعزيز تشريعاتها لمكافحة الإرهاب."	1
"وتوصلت الدراسة إلى الاستنتاجات التالية:"	0
"وتمركزت نقاط التفتيش في أحياء البكاهارة والمدينة وسيناء بالمدينة."	0
"وأكدت اللجنة أيضاً أنه في أعقاب الهجوم على الطويلة في فبراير/شباط 2004، اختطفت مجموعة من نحو 30 طالبة على يد الجنجويد واحتجزت في مخيم حيث تعرضن للاغتصاب مراراً وتكراراً."	1
"وتظل هذه إحدى الطرق الرئيسية التي تحصل بها القوى السلبية على الأسلحة ويُسمح لها بإعادة تنظيم نفسها."	1
"وذلك يوم الأربعاء 19 فبراير 2014 الساعة 10 صباحاً"	0
"ومن الأهمية بمكان تجنب أي أعمال أو أنشطة أو بيانات يمكن أن تقوض أو تعرقل جهود السلام."	0
"وتشير بعض التقارير أيضاً إلى أن أجانب من تشاد والجماهيرية العربية الليبية ودول أخرى استجابوا للنداء وأن الحكومة كانت على أتم استعداد لتجنيدهم."	1
"ثامنا. حظر السفر 116 - لا يزال فريق الرصد يعتبر حظر السفر تدبيرا جزائيا هاما ضد تنظيم القاعدة وحركة الطالبان، لكنه يلاحظ البراعة التي يبديها الإرهابيون الذين يحاولون عبور الحدود الوطنية دون أن يتم اكتشافهم."	1
"غير أن إريتريا جاءت بشروط مسبقة جديدة كانت أيضا مصدرا للحيرة بالنسبة للميسرين."	0
"وسينصب التركيز على المدى القصير على مراقبة الحدود والموارد الطبيعية في إيتوري، وتقييد حركة عناصر القوات الديمقراطية المتحالفة/الجيش الوطني لتحرير أوغندا في شمال كيفو، والسيطرة على المناطق التي أخلتها القوات الديمقراطية لتحرير رواندا بعد العملية المشتركة بين بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية والقوات المسلحة لجمهورية الكونغو الديمقراطية. العمليات، ومساعدة الشرطة الوطنية في توفير الأمن للسكان في جنوب كيفو."	1
