"en_ar_GOOGLE"	"VerConf"
"اليرموك محاصر منذ يونيو 2013."	0
"وذلك على الرغم من الإدانة المتكررة لتلك الأعمال اللاإنسانية بموجب قرارات المجلس 1820 (2008)، و 1888 (2009)، و 1960 (2010)، التي أصبحت منارة الأمل للملايين من النساء والفتيات الضحايا في جميع أنحاء العالم."	1
"إن مناقشة اليوم تتناول مسألة ملحة."	1
"ويبحث تقرير الفريق السبب وراء عدم اعتراف العديد من الدول بالإمكانات الكاملة لنظام الجزاءات."	1
"ويكرر المجلس عزمه على مواصلة مكافحة الإفلات من العقاب بقوة ودعم المساءلة بالوسائل المناسبة."	1
"وإذ يقرر أن الحالة في أفغانستان تشكل تهديدا للسلم والأمن الدوليين في المنطقة،"	1
"وبالأمس فقط، أعلن رئيس الوزراء الجورجي عن خطة مفصلة لحل الصراع في منطقة انفصالية أخرى في جورجيا - منطقة تسخينفالي/أوسيتيا الجنوبية السابقة."	0
"لدينا قلق جدي بشأن هذا التنظيم. ويمكن أن يكون لها عواقب بعيدة المدى للغاية."	1
"وسوف تشير ورقة استراتيجية الحكومة للحد من الفقر، التي تجري صياغتها الآن، إلى ما إذا كان ينبغي تحقيق هذا التحول."	0
"حماية البيئة البحرية والحفاظ عليها"	0
"وخلص أعضاء اللجنة إلى أن هناك أسبابا معقولة لإثبات أن جرائم ضد الإنسانية قد ارتكبت وما زالت ترتكب في جمهورية كوريا الشعبية الديمقراطية باعتبار ذلك مسألة تتعلق بسياسة الدولة."	0
"ويشدد المجلس على ضرورة تعزيز التعاون عبر الوطني بين وكالات إنفاذ القانون، بما في ذلك من خلال إدراج الأمن البحري في إصلاحات قطاع الأمن ومن خلال اعتماد اتفاقات ثنائية وإقليمية لتيسير التدابير، وفقا للقانون الدولي، لمكافحة الاتجار بالمخدرات عن طريق البحر. ولمحاكمة المشتبه بهم المتورطين في هذا الاتجار، بعد عمليات الاعتراض البحري في أعالي البحار. ويدعو إلى مواصلة الدعم من مكتب الأمم المتحدة المعني بالمخدرات والجريمة وغيره من المنظمات الدولية والإقليمية ذات الصلة."	0
"32. في الفقرة 67 من رأيه، يحدد المحامي العام خمسة أسباب لعدم تطبيق المراجعة البحثية في هذا السياق: (أ) الطبيعة الوقائية لتدابير الجزاءات المفروضة على تنظيم القاعدة؛ (ب) السياق الدولي للعمل المطعون فيه؛ (ج) الحاجة إلى الموازنة بين متطلبات مكافحة الإرهاب ومتطلبات حماية الحقوق الأساسية؛ (د) الطبيعة السياسية للتقييمات التي أجرتها لجنة القرار 1267؛ (هـ) التحسينات التي أدخلت على إجراءات رفع الأسماء من القائمة داخل اللجنة المنشأة عملاً بالقرار 1267 في السنوات الأخيرة، ولا سيما منذ قرار القاضي الذي أصدرته محكمة العدل في عام 2008."	1
"60 - ومن المهم بشكل خاص تطوير عمليات تبادل عملية بين مجلس الأمن والجمعية العامة بشأن وقف التدفقات غير المشروعة للأسلحة والذخيرة إلى مناطق الأزمات والصراعات."	0
"لقد ورثت الحكومة الديمقراطية الجديدة في باكستان تحديات سياسية واقتصادية وأمنية جسيمة."	1
"وأصبحت المواطنة والجنسية وحق الترشح للمناصب العليا مرتبطة بهذه القضية وأثارت مشاعر عميقة."	0
"وأوضح الممثل السامي/الممثل الخاص أنه نظرا لفشل سلطات جمهورية صربسكا ووزارة الداخلية في جمهورية صربسكا على وجه الخصوص، في إلقاء القبض على الأشخاص المتهمين بارتكاب جرائم حرب وفشل البوسنة والهرسك في الانضمام إلى شراكة الناتو ومن أجل السلام، ستُكلف اللجنة بإعداد توصيات لإنشاء هيكل شرطة واحد وفعال للبوسنة والهرسك بأكملها."	1
"ولكننا لا نعتقد أن السيادة تتطلب من المجلس أن يظل صامتا عندما تذبح الحكومات شعوبها، مما يهدد السلام والأمن الإقليميين في هذه العملية."	1
