"en_ar_GOOGLE"	"VerCoop"
"كما زار مخيم اللاجئين بالعيون."	1
"وسيتم إحراز تقدم في الأبحاث وتحليل السياسات بشأن مجموعة من القضايا، بما في ذلك منع الصراعات وآليات الإنذار المبكر."	1
"تحسين وصول السكان المدنيين إلى الخدمات الأساسية والبنية التحتية وسبل العيش"	0
"1 - يعرب عن تصميمه على اتخاذ الخطوات المناسبة لمواصلة تطوير التعاون بين الأمم المتحدة والمنظمات الإقليمية ودون الإقليمية في صون السلام والأمن الدوليين، بما يتفق مع الفصل الثامن من ميثاق الأمم المتحدة، ويدعو المنظمات الإقليمية ودون الإقليمية التي لديها القدرة على منع الصراعات أو حفظ السلام لوضع هذه القدرات في إطار نظام الأمم المتحدة للترتيبات الاحتياطية؛"	0
"قرار CITMA رقم 32/2003، المادة 19ب"	0
"وستستخدم هذه الاجتماعات أيضا لاستعراض القضايا العامة ذات الصلة بعمل اللجنة، بهدف تشجيع اتباع نهج أكثر إبداعا وديناميكية في عمل المديرية التنفيذية وتوليد أفكار جديدة بشأن الكيفية التي يمكن بها للمنظمة أن تعالج بشكل أكثر فعالية التحديات الناشئة. التهديد الإرهابي."	1
"وفي ختام عمل جميع أفرقة المفوضين التابعة للجنة الأمم المتحدة للتعويضات في حزيران/يونيه 2005، تقرر أن 1.55 مليون مطالبة (من أصل 2.69 مليون) كانت ناجحة."	1
"وشدد على أن المكتبة لديها نسخ من وثائق من عدة منظمات دولية، مثل منظمة حلف شمال الأطلسي، وتستضيف بالفعل بعض المواد العامة للمحكمة الجنائية الدولية ليوغوسلافيا السابقة."	0
"وستكون المساعدة الثنائية من الجهات المانحة مطلوبة أيضاً للسماح بالاستجابة المجدية للتهديدات الأمنية التي تشكلها تدفقات المخدرات والأسلحة."	1
"وفي القرار 22/13، كلف المجلس اللجنة بالتحقيق في الانتهاكات المنهجية والواسعة النطاق والجسيمة لحقوق الإنسان في الدولة، بهدف ضمان المساءلة الكاملة، ولا سيما عن الانتهاكات التي قد ترقى إلى مستوى جرائم ضد الإنسانية."	1
"25 - يطلب إلى جميع الدول الأعضاء، ولا سيما حكومة أفغانستان، إبلاغ اللجنة إذا علمت بأي معلومات تشير إلى ضرورة النظر في إدراج أي فرد أو مجموعة أو مؤسسة أو كيان تم رفع اسمه من القائمة بموجب الفقرة 1 من هذا القرار. ، ويطلب كذلك أن تقدم حكومة أفغانستان إلى اللجنة تقريراً سنوياً عن حالة الأفراد الذين تفيد التقارير بأنهم تصالحوا والذين رفعت اللجنة أسمائهم من القائمة في العام السابق؛"	1
"53 - وبدأت الأمم المتحدة التخطيط لعقد اجتماع تقني بشأن تنمية القدرات في جنوب السودان من أجل تنسيق نهجها."	1
"وإذ يؤكد من جديد قراره 1373 (2001) المؤرخ 28 أيلول/سبتمبر 2001، ويكرر تأكيد دعمه للجهود الدولية الرامية إلى استئصال شأفة الإرهاب، وفقا لميثاق الأمم المتحدة،"	1
"وإذ ندرك أن معظم الدول قد تعهدت بالتزامات قانونية ملزمة بموجب المعاهدات التي هي أطراف فيها، أو تعهدت بالتزامات أخرى تهدف إلى منع انتشار الأسلحة النووية أو الكيميائية أو البيولوجية، واتخذت تدابير فعالة لحصر المواد الحساسة وتأمينها وحمايتها ماديا ، مثل تلك التي تتطلبها اتفاقية الحماية المادية للمواد النووية وتلك التي أوصت بها مدونة قواعد السلوك للوكالة الدولية للطاقة الذرية بشأن سلامة وأمن المصادر المشعة،"	1
"ثم استخدم مارك فيلتمان، مدير أوروبا الشرقية لدانييل تشيكرون، شركة ليتوانية لنقل هذه المركبات من مينسك إلى ميناء كلايبيدا الليتواني."	0
"21 - وفي مناسبات عديدة، سلط أعضاء اللجنة الضوء على المهام التكاملية للجان الثلاث في مكافحة الإرهاب الدولي وضرورة التبادل المستمر للمعلومات فيما بينها."	1
"الحالة في غينيا - بيساو (6 تشرين الثاني/نوفمبر 1998؛ 21 كانون الأول/ديسمبر 2011)"	0
"(2) يتم تحميل النفقات المتكبدة للممتلكات غير المستهلكة على ميزانية الفترة التي تم شراؤها ولا يتم رسملتها."	0
"وفي ضوء ما سبق، قامت اللجنة الوطنية بزيارة عدة مناطق في ولايات دارفور تفيد بعض الادعاءات بأنها تمارس عمليات تهجير قسري أو تطهير عرقي."	1
"الحالة في أنغولا (انظر S/25070/Add.4، 10، 17، 22، 23، 28، 37، 44 و50؛ S/1994/20/Add.5، 10، 21، 25، 31، 35، 38، 42، 43 و48؛ S/1995/40/Add.5، 9، 14، 18، 31، 40 و50؛ وS/1997/40/Add.4، 8، 11، 12، 15، 26، 29، 34، 39 و43؛ وS/19420/Add.51؛ 23370/Add.12، 27، 37، 40، 43، 48 و51)"	0
"يمكن توضيح الإجراءات أو الإجراءات الخاصة بتسجيل وثيقة الهوية الوحيدة على النحو التالي:"	0
"وإذ يشير إلى البيان الرئاسي الصادر عن مجلس الأمن (S/PRST/2012/17) المؤرخ 4 أيار/مايو 2012 بشأن التهديدات التي يتعرض لها السلام والأمن الدوليان بسبب الأعمال الإرهابية،"	0
"ز. دليل معايير وإجراءات إدارة سلسلة الحيازة"	0
"27 - وستؤكد البعثة مجددا استعداد المجلس لدعم الجهود التي تبذلها السلطات الانتقالية لمكافحة الإفلات من العقاب في جمهورية الكونغو الديمقراطية."	1
"وإذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة،"	0
"شركة الطيران الإقليمية هي شركة طيران مقرها في منطقة الشرق الأوسط أو بالقرب منها."	0
"يسلّم بأنه على الرغم من التقدم المحرز في مجال المساواة بين الجنسين، فإن تعزيز الجهود، بما في ذلك ما يتعلق بالأهداف القابلة للقياس والموجهة نحو العمل، ضروري لتأمين حقوق النساء والفتيات وضمان حماية جميع النساء والفتيات في [البلد المتأثر] من العنف وسوء المعاملة، التمتع بحماية متساوية بموجب القانون والمساواة في الوصول إلى العدالة، ويدين بشدة التمييز والعنف ضد النساء والفتيات، ولا سيما العنف الذي يهدف إلى منع الفتيات من الالتحاق بالمدارس، ويشدد على أهمية تنفيذ قرارات مجلس الأمن 1325 (2000)، 1820 (2008). و1888 (2009)، و1889 (2009)، و1960 (2010)، تلاحظ التزامات التعميم الواردة فيها، وضمان قدرة النساء الهاربات من العنف المنزلي على العثور على ملاذ آمن ومأمون؛"	1
"وإنني أدرك تصميم باكستان وجهودها للبحث عن الحقيقة وتقديم جميع الممولين والمنفذين والمنظمين والرعاة والمتآمرين لهذا العمل الإرهابي إلى العدالة حتى تتم محاسبتهم."	1
"واتفق أعضاء المجلس على ضرورة معالجة الأسباب الجذرية للصراع وعلى ضرورة الاستجابة المنسقة التي تشارك فيها جميع هيئات الأمم المتحدة ذات الصلة."	1
"ثالثا. التقدم نحو التوصل إلى تسوية عن طريق التفاوض"	0
"وتم إرسال قضيتهم للمحاكمة."	0
"وأعرب المدعي العام عن أسفه لتدهور الوضع الأمني في ليبيا، وتزايد عدم الاستقرار السياسي، ونتيجة لذلك، فإن البيئة الحالية لم تكن مواتية لسد فجوة الإفلات من العقاب في ليبيا."	0
"34 - يقرر استعراض تنفيذ التدابير المبينة في هذا القرار في غضون ثمانية عشر شهرا وإجراء التعديلات، حسب الضرورة، لدعم السلام والاستقرار في أفغانستان؛"	1
"ومع ذلك، فهذه ليست ممارسة بسيطة، لأسباب ليس أقلها أن الوكالات الوطنية التي عملت تقليديا في مجال مكافحة الإرهاب (مثل الشرطة ودوائر الهجرة والجمارك ووكالات الاستخبارات)، ليست بالضرورة الوكالات المسؤولة عن السياسات الرامية إلى مكافحة الإرهاب. في التصدي لجاذبية الأيديولوجيات المتطرفة والقائمة على الكراهية."	0
"ولتوجيه التزامات المانحين الجديدة هذا العام، أعدت بعثة الأمم المتحدة كوسوفو: إعادة إعمار 2000 - وهو برنامج عام لإعادة الإعمار والاستثمار يوجه المانحين نحو أولويات الهيكل التنظيمي المشترك."	0
"السيد إيدي (تكلم بالإنكليزية): لا أعتقد أنه تم توجيه أية أسئلة إلي، ولكن هل لي أن أدلي ببعض التعليقات."	0
"45 - تؤكد اللجنة من جديد مسؤوليتها عن إدراج تنفيذ قرار المجلس 1624 (2005) في حوارها مع الدول الأعضاء والمساعدة في بناء القدرات في هذا الصدد، بما في ذلك من خلال نشر أفضل الممارسات القانونية وتعزيز تبادل المعلومات."	1
"وأبلغت الأطراف البعثة بأنها مقتنعة بأن اتفاق واغادوغو قد أنهى النزاع المسلح وأن الأزمة السياسية التي طال أمدها لا يمكن حلها إلا من خلال إجراء الانتخابات."	1
