"en_ar_TRANSFORMERS"	"MatCoop"
"(أ) مواصلة تعزيز تعاونها مع المنظمات الدولية والإقليمية ودون الإقليمية وإيجاد سبل للعمل مع تلك المنظمات على أساس كل حالة على حدة، بما يعكس التباين في قدرة كل منظمة وولايتها، بما في ذلك تبادل الآراء على مستوى العمل، وتقديم إحاطات إلى اللجنة ومنها، وتعزيز ترتيبات تبادل المعلومات؛"	1
"ووصل فريق الطب الشرعي إلى بريشتينا في 21 كانون الثاني/يناير."	0
"ويمكن بل وينبغي تنفيذ بعض توصياته الموجهة إلى السلطات السودانية فورا، بما في ذلك منح لجنة الصليب الأحمر الدولية ومراقبي حقوق الإنسان التابعين للأمم المتحدة إمكانية الوصول الكامل ودون عوائق إلى جميع المحتجزين فيما يتعلق بالحالة في دارفور."	1
"والمحكمة الخاصة لسيراليون، وهي أول محكمة لجرائم الحرب منذ نورمبرغ تتخذ من البلد الذي وقعت فيه الفظائع مقرا لها، مصممة على إعطاء الأولوية لتوعية الجمهور ونشر العدالة."	1
"تنفيذ سياسته المتعلقة بالمساواة بين الجنسين وخطة عمله لتعميم مراعاة القضايا الجنسانية في أربعة مجالات عمل هي: التنسيق، وإدارة المعلومات، والدعوة، والسياسات."	1
"(ب) دعوة أطراف النـزاع المسلح إلى الامتثال للالتزامات المنطبقة عليها بموجب القانون الإنساني الدولي باحترام وحماية موظفي المساعدة الإنسانية والشحنات المستخدمة في عمليات الإغاثة الإنسانية،"	1
":: زيادة التعاون والتنسيق مع لجنة مكافحة الإرهاب ومديريتها التنفيذية، واللجنة المنشأة عملا بالقرار 1540 (2004) وجميع الوكالات أو المنظمات الدولية التي اكتسبت خبرات وخبرات متخصصة في مجال مكافحة الإرهاب."	1
"هبوط النشاط التجاري (إيران): الكسب الفائت (إيرادات الخدمات المباشرة - مطار بوشهر)"	0
":: السودان: نحو سلام غير كامل، تقرير أفريقيا رقم 73، 11 كانون الأول/ديسمبر 2003"	0
"وستُستخدم هذه الاجتماعات أيضا لاستعراض المسائل العامة ذات الصلة بعمل اللجنة، بهدف التشجيع على اتباع نهج أكثر إبداعا ودينامية في عمل المديرية التنفيذية وتوليد أفكار جديدة بشأن الكيفية التي يمكن بها للمنظمة أن تتصدى بفعالية أكبر للتهديد الإرهابي الناشئ."	0
"تعيين أخصائي في الحماية - إعداد وتوزيع كتيب عن اتفاقية حقوق الطفل. زاي - 2 وضع وتنفيذ استراتيجيات وبرامج لمنع العنف الجنساني والتصدي له في النزاعات المسلحة. (يرأسها مكتب تنسيق الشؤون الإنسانية ومنظمة الصحة العالمية)"	1
"(د) عدد صفحات بترتيب مسلسل يصل إلى 48 صفحة؛"	0
"وكان أول قرارين اتخذهما هو تعيين مساعد رئيس شرطة بيروت، اللواء نجيب ملايب، المسؤول عن موقع الحادث، وإسناد مهمة نقل جميع الجثث والجرحى من مكان الحادث، وإخماد الحرائق، ثم سحب جميع الأشخاص من موقع الحادث وإغلاقه [بيان شاهد]."	1
"إن مجلس الجامعة على مستوى القمة،"	0
"(أ) استخدام وجود شخص مدني أو شخص محمي آخر لجعل بعض النقاط أو المناطق أو القوات العسكرية في مأمن من العمليات العسكرية؛"	0
"23 - وخلال الزيارات الميدانية الأخيرة لمخيمات اللاجئين ومواقع المشردين داخليا والقرى المجاورة، سجلت البعثة عددا أقل من التقارير عن انتهاكات حقوق الإنسان."	1
