"","en","VerConf"
"1","In their public statements, Colonel Al-Qadhafi and members of his family have continued to threaten citizens with a civil war and the possibility of mass killing if the protests continue.",1
"2","Recalling the Presidential Statement of the Security Council (S/PRST/2011/9) of 2 May 2011 which notes that Usama bin Laden will no longer be able to perpetrate acts of terrorism,",1
"3","VII. DRAWDOWN OF MONUA AND ITS LIQUIDATION PHASE",0
"4","Further to the Guidelines, investment objectives of all the cash pools, in order of priority, are the following:",0
"5","The German Government strongly condemns those acts of violence.",1
"6","The acting Assistant Secretary-General provided a briefing on political developments in Ukraine, including the conduct of the 26 October parliamentary elections and the elections that had been held by rebels in Donetsk and Lugansk on 2 November, which had been deplored by the Secretary-General and many in the international community.",1
"7","That restriction will need to remain in place as long as participation in any such travel triggers an obligation to report on substantive matters.",0
"8","Questions were raised by some of our Iraqi interlocutors about what that term -- ""national reconciliation"" -- actually entails and requires.",0
"9","The Report of the Secretary-General on the United Nations operation in Cyprus (S/2002/1243).",0
"10","4. Crimes provided for in treaties concluded with other States (articles 6 (8) of the Code).",0
"11","Determining that the situation in the Democratic Republic of the Congo continues to constitute a threat to international peace and security in the region,",1
"12","It is crucial to stress again at this point that, when considering if the murder of civilians amounts to a war crime or crime against humanity, the presence of non-civilians does not deprive a population of its civilian character.",0
"13","38. Because of the urgency of the present situation, the international community's efforts must be immediate, coordinated and determined.",1
"14","32. The situation in Côte d'Ivoire (20 December 2002; 30 July 2013).",0
"15","Urges Members States, in accordance with the United Nations Programme of Action on Small Arms and Lights Weapons to Prevent, Combat and Eradicate the Illicit Trade in Small Arms and Light Weapons, to take effective action through, inter alia, conflict resolution and the development and implementation of national legislation, in a manner which is consistent with existing responsibilities of States under relevant international law, to control the illicit trade of small arms to parties in armed conflict that do not respect fully the relevant provisions of applicable international law relating to the rights and protection of children in armed conflict.",0
"16","One PNTL officer was killed and two were injured.",0
"17","The Commission cannot agree with the Government's position that the statistics representing the work of the committees indicate a much lower incidence of the crime of rape than is reported by sources such as the United Nations, AU and other national and international organizations.",1
"18","Emphasizing the obligation placed upon all Member States to implement, in full, resolution 1373 (2001), including with regard to the Taliban or Al-Qaida, and any individuals, groups, undertakings or entities associated with Al-Qaida, Usama bin Laden or the Taliban, who have participated in financing, planning, facilitating, recruiting for, preparing, perpetrating, or otherwise supporting terrorist activities or acts, as well as to facilitate the implementation of counter-terrorism obligations in accordance with relevant Security Council resolutions,",1
"19","First, while Sierra Leone is the most advanced member of the West Africa Coast Initiative, the slow pace of progress elsewhere hinders intelligence-sharing and early warning.",1
"20","They see the Kosovo Serbs as instruments of Belgrade and therefore as part of a remaining threat to their future.",1
"21","DPA, DPKO, UNDP, UNESCO, UNHCR, UNICEF, WFP",0
"22","Recalling resolution 1373 (2001) of 28 September 2001, which established the Counter-Terrorism Committee (CTC), and recalling also its other resolutions concerning threats to international peace and security caused by terrorist acts,",0
"23","Claimant’s name: Musaad Al-Saleh Travel Company",0
"24","To be held on Tuesday, 25 May 2010, at 10 a.m.",0
"25","n-Butyl ferrocene(CAS 31904-29-7);",0
"26","14. The Committee and its working group on assistance continued to work towards improving the effectiveness of its assistance mechanism.",0
"27","In response, the UNMIK Department of Justice established a joint working group with the institution building pillar to study the report and develop ways to implement its recommendations.",0
"28","Lack of land and jobs, as well as insecurity, prevent many returnees from settling in their original communities.",1
"29","Despite those challenges, we cannot fail to acknowledge that approximately 50 per cent of the Afghan population lives in areas where responsibility for security has been handed over to Afghan security forces.",1
"30","""The Security Council expresses its serious concern that the continued instability and increased security vacuum in the CAR continue negatively to affect counter-LRA operations and to contribute to the reinforcement of the LRA in the country.",1
"31","The investigation and prosecution of cases involving new payment methods requires a high level of technical skill and speedy action by the authorities. They also require enhanced forms of international cooperation, especially in the preservation of electronic evidence.",0
"32","163. The adoption of the Statute of the International Criminal Court, followed by the statute of the Special Court for Sierra Leone, can be regarded as the culmination of a law-making process that in a matter of a few years led both to the crystallization of a set of customary rules governing internal armed conflict and to the criminalization of serious breaches of such rules, in the sense that individual criminal liability may ensue from serious violations of those rules.",0
"33","We consider any deviation from that principle unacceptable lest the fragile situation in the province descend into widespread destabilization.",1
"34","The leaders of the Provisional Institutions of Self-Government frequently shirk their obligations under resolution 1244 (1999) and the Constitutional Framework.",1
"35","We are concerned that the success of the presidential elections runs the risk of being eroded by the lack of progress in establishing Government.",1
"36","Seychelles Immigration does have a computerized database on all persons entering and leaving the country.",0
"37","428. The Commission repeatedly requested the Government to provide information on judicial action taken to bring to justice the perpetrators of the alleged crimes committed in Darfur.",1
"38","46. At my behest, Prime Minister Seniora and President Abbas met on 18 October in Paris to discuss issues related to the presence of the Palestinian refugees in Lebanon.",0
"39","[R]eiterates its call on parties to armed conflict [listed in the relevant Secretary-General's report] that have not already done so to prepare and implement, without further delay, concrete time-bound action plans to halt recruitment and use of children in violation of applicable international law, and to address all violations and abuses against children in close cooperation with the [Special Representative of the Secretary-General on Children and Armed Conflict], as well as with UNICEF and the UN Country Task Forces on Monitoring and Reporting.",0
"40","One or two States have shown concern that by freezing the assets of a listed NPO, they would be unable to fund projects under their control such as orphanages, hospitals or refugee centres.",0
"41",":: A private farm, which the inspectors entered with the owner's consent;",0
"42","On the one side, there were those who considered it natural that a country would define the requirements for citizenship or nationality, while on the other, there were those who denounced the exploitation of this concept as having been at the origins of the crisis in Côte d'Ivoire.",1
"43","The Declaration commits participating States to support programmes on reducing armed violence with a development and human rights perspective.",0
"44","Members expressed concern over the security situation and underlined that, unless it was addressed quickly and effectively, normalization might become stalled, undermining the efforts of the authorities to stabilize the State.",1
"45","In addition, many victims informed the Commission that they had little confidence in the impartiality of the Sudanese justice system and its ability to bring to justice the perpetrators of the serious crimes committed in Darfur.",1
"46","9. Calls on States that have not already done so to consider ratifying the instruments of international humanitarian, human rights and refugee law, and to take appropriate legislative, judicial and administrative measures to implement their obligations under these instruments;",0
"47","They are under real pressure from the international community and any two-way communication risks their security.",1
"48","4. Syria reaffirms that it categorically rejects any attempt to establish a link between a given religion and terrorism, and it states that terrorism is neither a belief nor a culture nor a religion, in accordance with international conventions, legitimate human rights law and the purposes and principles set out in the Charter of the United Nations.",0
"49","The role of industry and the private sector is crucial in implementing regulatory frameworks based on resolution 1540 (2004). Only through the cooperation of the private sector with industry can the risk of proliferation of weapons of mass destruction to nonState actors be effectively addressed.",0
"50","He described the gap between the progress made in Palestinian State-building and the persistent and profound deadlock on the political track as dramatic.",1
"51","Electronic databases are accessible for searching at the country's two (2) international airports and at major seaports.",0
"52","It is indeed high time for the international community to take effective measures to protect and enforce the most basic rights of the Palestinian people and help put an end to the vicious cycle of violence brought about by the persistent and continued illegal occupation of Palestinian territories by Israel.",1
"53","When considering the evolution of the risk of incitement, one must bear in mind that forms and means of communication have evolved substantially since the adoption of resolution 1624 (2005).",1
"54","In addition, on 29 July, UNOMIG issued a violation report for the establishment of an Abkhaz ""taxation"" post 50 metres from a CIS peacekeeping force checkpoint in violation of the 12 May 2005 Gali Protocol (see S/2005/453, para. 4).",1
"55","(3) The offender shall be punished by imprisonment for a term of ten to fifteen years accompanied by forfeiture of property as the court deems fit, or by an exceptional sentence,",1
"56","It is clear that the general issue of weapons distribution was raised by Minister Ramos-Horta.",1
"57","The Syrian Network for Human Rights could not collect information on the deaths in areas cut off by the regime.",1
"58","The Afghan Government has urged a more flexible response from the Committee to its proposals for de-listing, fearing that its inability to achieve de-listings robs it of an essential reward system for Taliban who reconcile, and so risks their return to the fighting.",1
"59","V. Humanitarian situation, recovery and return",0
"60","129. The Commission is satisfied that Oan Kiak and his men were involved in crimes against the person and life at the roadblock established near the Mercado Lama on the afternoon of 25 May as described in paragraph 87 above.",0
"61","That is unacceptable and must be categorically condemned, particularly by the Security Council, using the means that it has at its disposal.",1
"62","I say again today what I said on 31 January (see S/PV.6710). It is unacceptable for the Council to be prevented from assuming its responsibilities.",1
"63","II. COMPLETION OF THE POLICE SUPPORT GROUP'S MANDATE",0
"64","Nonetheless, Afghanistan continues to face challenges in its endeavour to achieve stability and development. Key among them are the security situation, a worsening humanitarian situation, rule of law and human rights challenges, and continued violence that has resulted in civilian casualties, which continue to increase.",1
"65","The actions of PNTL were publicly denounced as being heavy handed and lacking in respect towards a leading veteran of the resistance.",1
"66","A pilot demobilization project is expected to commence in January 2001.",0
"67","However, we are still concerned that there is an overemphasis on visits to developing countries.",1
"68","Training for peacekeeping personnel Requests the Secretary-General to ensure that United Nations personnel involved in peacemaking, peacekeeping and peace-building activities have appropriate training in international humanitarian, human rights and refugee law, including child and gender-related provisions, negotiation and communication skills, cultural awareness and civilian-military coordination, and urges States and relevant international and regional organizations to ensure that appropriate training is included in their programs for personnel involved in similar activities.",0
"69","122. The evidence establishes that armed men under the command of Abilio Mesquita initiated the attack on the residence of Brigadier General Ruak on 24 May, as described in paragraphs 69 and 70 above.",0
"70","The Council affirms the need to bring to justice, in an appropriate manner, individuals who incite or cause violence against civilians in situations of armed conflict or who otherwise violate international humanitarian and human rights law.",0
"71","1. Dinitrogen trioxide (CAS 10544-73-7);",0
"72","We have noted the caution expressed by the Secretary-General and the technical assessment mission with regard to security sector reform, and especially with regard to the PNTL.",1
"73","We urge the Government of Haiti to take strong measures to prevent such violence and ensure that the perpetrators of those acts are brought to justice.",1
"74","In resolution 2122 (2013), the Council expresses concern at women's exacerbated vulnerability in armed conflict and post-conflict situations, particularly in relation to forced displacement, as a result of unequal citizenship rights, gender-biased application of asylum laws, and obstacles to registering and accessing identity documents which occur in many situations.",1
"75","This group remains as one of the most capable extremist armed groups in Iraq.",1
"76","The Team's report examines why many States still do not recognize the full potential of the sanctions regime.",1
"77","The decision to expel humanitarian workers and silence others by threats of expulsion, or the attempts at restricting the freedom of movement of the African Union-United Nations Hybrid Operation in Darfur (UNAMID) are part of this policy to reduce the monitoring capacity of the international community.",1
"78","8. It is recommended that the United Nations take the following urgent and specific steps to facilitate continued and reinforced presence of AMISOM in Somalia:",1
