"en"	"MatConf"
"Non-profit organizations manage large budgets and move sums of money across jurisdictions legally and with great ease; thus they can provide a relatively safe global platform from which to move funds with minimum risk of detection. The sheer number of beneficiaries of large non-profit organizations also allows the diversion of funds with little risk, especially where non-profit organizations enjoy a semi-autonomous status that takes their activities outside the scope of regulators and law enforcement authorities."	1
"By entertaining initiatives that effectively reward that strategy, the Council would only embolden extremists and undermine the letter and spirit of the road map."	0
"In line with the above, on 15 May 2012, the President of the Republic issued executive decree PCM 014-2012 in the Council of Ministers. Article 1 of that decree states that the official map of the Republic of Honduras, with the limits determined in the system of territorial administration, shows the municipalities which border on the land frontier with the Republic of El Salvador, including: in Ocotepeque Department: Ocotepeque, Sinuapa and Mercedes; in Lempira Department: Cololaca, Guarita, San Juan Guarita, Valladolid, La Virtud, Mapulaca, Virginia and Piraera; in Intibucá Department: San Antonio, Santa Lucía, Magdalena and Colomoncagua; in La Paz Department: Santa Elena, Yarula, Marcala, Cabañas, Santa Ana, Opatoro, Mercedes de Oriente and San Antonio del Norte; and in Valle Department: Caridad, Aramecina, Goascorán and Alianza."	0
"While the number of political prison camps and inmates has decreased owing to deaths and some releases, it is estimated that between 80,000 and 120,000 political prisoners are currently detained in four large political prison camps."	1
"However, given the quality of staff at the FIU, the task at hand is certainly within their competence."	0
"It also appears that, while SLM/A is the larger military actor of the two, the JEM is more political and has a limited military capacity, in particular following the reported split of the group and the ensuing emergence of NMRD (see para. 139 below)."	1
"As the United Nations and international partners' analysis of contingent and future United Nations support conditions develop, it is anticipated that other required services would be identified."	0
"q. Any other responsibility identified by the Committee."	0
"The Government of the Republic of Macedonia, at its meeting on 19 April 2011, adopted a decision to enforce the restrictions contained in the above-mentioned resolution."	1
"To be held on Monday, 9 February 2009, at 10 a.m."	0
"However, when crimes are committed regularly and on a large scale, as part of a pattern of criminal conduct, the responsibility of the superior is more serious."	1
"Other judges will arrive in the near future as new trials commence."	0
"It will therefore be some time before there can be a full Timorese health service."	0
"The situation in Angola (see S/25070/Add.4, 10, 17, 22, 23, 28, 37, 44 and 50; S/1994/20/Add.5, 10, 21, 25, 31, 35, 38, 42, 43 and 48; S/1995/40/Add.5, 9, 14, 18, 31, 40 and 50; S/1996/15/Add.5, 16, 18, 27, 40 and 49; S/1997/40/Add.4, 8, 11, 12, 15, 26, 29, 34, 39 and 43; and S/1998/44/Add.4 and 11; see also S/19420/Add.51; S/22110/Add.21; and S/23370/Add.12, 27, 37, 40, 43, 48 and 51)"	0
"He also addressed dangerous outbreaks of violence in Lebanon between the Lebanese Armed Forces and the Fatah al-Islam gunmen around the Palestinian refugee camps."	1
"Our country has ratified the following nine international instruments:"	0
"H. Ministry of Education 286-331 64"	0
"(s) The prohibition on collective punishments;"	1
"Acting under Chapter VII of the Charter of the United Nations,"	0
"Reports continue to be received from various human rights organizations of serious human rights violations and breaches of international humanitarian law including arbitrary detentions, killings, child trafficking and rape throughout the country in both the Forces Nouvelles- and Government-controlled areas."	1
"While some reports have noted a few incidents of destruction of villages and private property committed by the rebel groups, most of the reports contain witness accounts indicating that the majority of villages were destroyed during attacks by Janjaweed, often under the direction and with the participation and the support of the armed forces of the Government of the Sudan."	1
