"","en_es_DEEPL","MatCoop"
"1","(1 EURO equivale a 1,95 leva búlgara)",0
"2","PROMOCIÓN Y FORTALECIMIENTO DEL ESTADO DE DERECHO EN EL MANTENIMIENTO DE LA PAZ Y LA SEGURIDAD INTERNACIONALES",0
"3","VI. MEDIDAS PROPUESTAS POR LAS NACIONES UNIDAS",0
"4","No todos los Estados cuentan con una estrategia antiterrorista autónoma, pero todos han desarrollado una serie de políticas y prácticas antiterroristas y han creado una agencia o centro nacional, con un mandato legislativo que le sirva de guía en su labor, para gestionar las medidas antiterroristas.",1
"5","En las consultas a puerta cerrada que siguieron, el Representante Especial y el Enviado Especial abordaron algunas cuestiones relacionadas con la reforma del sector de la seguridad y la creación de una fuerza de reacción rápida dentro de las FARDC, el proceso electoral y las elecciones generales.",1
"6","II. EVOLUCIÓN DURANTE EL PERÍODO DEL INFORME",0
"7","En Darfur septentrional, donde se registra la cifra más baja de los tres estados de Darfur, se calcula que hay 685.200 personas afectadas por el conflicto, de las cuales 403.000 son desplazados internos.",0
"8","En cuanto a la erradicación de cultivos, se han erradicado alrededor de 5.100 hectáreas, es decir, el 5% del cultivo total.",0
"9","::Restricciones o regulaciones, si las hay, impuestas al movimiento de productos preciosos como el oro, los diamantes y otros artículos relacionados.",0
"10","2. Justicia y Estado de Derecho: el papel de las Naciones Unidas",0
"11","Los ""gastos realizados en Yemen"" se produjeron entre el 7 de febrero y el 30 de septiembre de 1990. Comprenden los gastos de instalación de la oficina del emplazamiento, el mobiliario de oficina, el salario del director del proyecto, el alojamiento del director del proyecto, el alquiler de coches, los gastos de agua, electricidad y combustible para la oficina del emplazamiento y el alojamiento, la secretaria de la oficina y el material de oficina, y un billete de avión de ida y vuelta.",0
"12","En conjunto, las tres oficinas emplean actualmente a un total de 131 miembros del personal local.",0
"13","Tales actos son totalmente inaceptables. La Autoridad Palestina debe poner fin a esos lanzamientos y procesar a sus autores.",0
"14","El Teniente General Ahmed recordó al Consejo que los Comandantes de las Fuerzas están al mando de más de 90.000 soldados de un total de 105.000 uniformados y que es probable que esta cifra aumente en el próximo periodo.",0
"15","El Consejo a nivel ministerial de la Liga de Estados Árabes,",0
"16","En las zonas rurales, las cifras fueron del 15,4% en 1998 y del 23,8% en 1999, muy por debajo de las normas de calidad de la OMS.",0
"17","85. Las fuerzas armadas también cuentan con una unidad operativa denominada Inteligencia de Fronteras, cuya función principal es recopilar información.",1
"18","""El Consejo de Seguridad reafirma que los Estados miembros se abstendrán, en sus relaciones internacionales, de recurrir a la amenaza o al uso de la fuerza contra la integridad territorial o la independencia política de cualquier Estado, y también prestarán a las Naciones Unidas toda la ayuda posible en cualquier acción que emprenda de conformidad con la Carta de las Naciones Unidas, y se abstendrán de prestar ayuda a cualquier Estado contra el que las Naciones Unidas estén adoptando medidas preventivas o coercitivas"".",1
"19","8. Más de seis años después de la aprobación de la resolución 1624 (2005), el riesgo y la amenaza de incitación a la comisión de actos de terrorismo siguen siendo graves en la mayor parte del mundo. Sin embargo, existen diferencias en el nivel de riesgo y amenaza, incluso entre Estados de una misma región o subregión.",0
"20","Interlocutores de los partidos de la oposición y de la sociedad civil de todo el país pidieron a la comunidad internacional que impidiera un cambio en la Constitución. Los socios internacionales consideraron que una transición pacífica del poder era esencial para la paz y la estabilidad futuras del país.",0
"21","6. Confirma además que los requisitos del apartado 1 (a) anterior también se aplicarán al pago de rescates a personas, grupos, empresas o entidades que figuren en la Lista;",1
"22","22. El primer lote de 2.000 milicianos se registró en Guiglo en junio de 2006 y 981 de ellos fueron desarmados posteriormente y recibieron una asignación en efectivo de la red de seguridad.",1
"23","17. La situación en los territorios árabes ocupados.",0
"24","79. Es necesario realizar más esfuerzos concertados para poner fin a las continuas y graves violaciones de los derechos humanos cometidas por grupos armados y las FARDC contra civiles en Ituri, los Kivus y el centro y el norte de Katanga, que están socavando gravemente los esfuerzos por estabilizar estas zonas y afectando a la organización de las elecciones.",0
"25","2. Partido Comunista de Nepal-Maoísta (PCN-M)",0
"26","En la reunión también se debatieron los medios para aumentar la presión sobre los grupos armados extranjeros y las medidas que debían adoptar al respecto los Estados participantes, la Unión Africana y el Consejo de Seguridad.",1
"27","Los detalles se especificarán durante el próximo proceso de planificación.",0
"28","10. Queja de Cuba (véase S/10855/Add.38).",0
"29","14. La situación en Sierra Leona (27 de noviembre de 1995; 14 de septiembre de 2011).",0
"30","Un grupo de expertos, establecido en virtud de la resolución 1929 (2010), actúa bajo la dirección del Comité y le presta asistencia en la ejecución de su mandato.",1
"31","El Equipo ha observado que Al-Qaida, los talibanes y sus asociados utilizarán cualquier explosivo disponible, por ejemplo, explosivos de uso militar en zonas de conflicto, o los componentes necesarios para improvisar un artefacto explosivo, como nitrato de amonio, en otros lugares (S/2007/132, párr. 90).",0
"32","Además, insta a todos los Estados miembros a que, en coordinación con las instituciones financieras internacionales y los organismos de las Naciones Unidas, aumenten su apoyo para hacer frente al creciente impacto político, socioeconómico y financiero de la crisis de los refugiados en los países de acogida.",1
"33","La Comisión considera que los delitos de violencia sexual cometidos en Darfur pueden constituir violación como crimen de lesa humanidad, o esclavitud sexual como crimen de lesa humanidad.",0
"34","Apoyo de las Naciones Unidas en la fase de consolidación",0
"35","105. El Gobierno tiene el mandato de concebir y ejecutar la política general del país.",1
"36",":: Conclusiones y resultados de las actividades realizadas por las autoridades libanesas en el lugar del crimen y las zonas adyacentes",1
