"","en_es_DEEPL","VerConf"
"1","El Consejo ha deplorado asimismo que la Asamblea de Kosovo haya adoptado dicha resolución, y ha coincidido con el Representante Especial en que tales resoluciones y decisiones de la Asamblea, sobre asuntos que no son de su competencia, son nulas y sin valor.",1
"2","En el cuartel general, la agitada intervención del Ministro del Interior, incluida la retirada de un arma de la armería, habría contribuido a crear una atmósfera de pánico.",1
"3","64. La cuestión de las armas ligeras no puede abordarse únicamente con medidas de control de armamento. Es parte integrante de un espectro más amplio, en el que se entrecruzan los conflictos, la seguridad, la violencia armada, la delincuencia, el comercio, los derechos humanos, la salud y el desarrollo.",0
"4","Se corre el riesgo de centrar la atención en el estatus en detrimento de las normas.",1
"5","Según los informes, se sigue violando el embargo de armas de las Naciones Unidas y ha aumentado la entrada de armas en el país.",0
"6","7. Reafirma que poner fin a la impunidad es esencial para que una sociedad en conflicto o que se está recuperando de un conflicto pueda asumir los abusos cometidos en el pasado contra civiles afectados por conflictos armados y prevenir futuros abusos de este tipo, llama la atención sobre toda la gama de mecanismos de justicia y reconciliación que deben tenerse en cuenta, incluidos los tribunales y cortes penales nacionales, internacionales y ""mixtos"" y las comisiones de la verdad y la reconciliación, y señala que dichos mecanismos pueden promover no sólo la responsabilidad individual por delitos graves, sino también la paz, la verdad, la reconciliación y los derechos de las víctimas;",0
"7","En la zona de Bagdad, había documentos limitados y unos pocos ordenadores en instalaciones gubernamentales seleccionadas, como el Diwan Presidencial.",0
"8","Pedir el estricto cumplimiento por las partes en un conflicto armado del derecho internacional humanitario aplicable, incluidas las prohibiciones de:",1
"9","▪ La prohibición de la violencia contra la vida y la persona, en particular el asesinato, la mutilación, los tratos crueles y la tortura; las desapariciones forzadas; los ultrajes a la dignidad personal; y la violación, la esclavitud sexual, la prostitución forzada, el embarazo forzado, la esterilización forzada y cualquier otra forma de violencia sexual.",1
"10","38. En su resolución 1559 (2004), el Consejo de Seguridad pidió la disolución y el desarme de todas las milicias libanesas y no libanesas.",1
"11","Condenamos todos los actos de terrorismo perpetrados en Afganistán, especialmente el más reciente ocurrido en la embajada india en Kabul, y expresamos nuestras condolencias a los gobiernos y pueblos de los países afectados y a las familias y allegados de las víctimas.",1
"12","S/RES/1882 (2009), op. 6",0
"13","Permítanme comenzar reiterando la profunda preocupación de la Unión Europea por la situación en Somalia y por las implicaciones regionales de su conflicto.",1
"14","El Gobierno de Haití y las organizaciones humanitarias internacionales deben dedicar más esfuerzos a las actividades preventivas, como el suministro de saneamiento y agua potable.",1
"15","El candidato del MDC tiene poco o ningún acceso a los medios de comunicación de Zimbabue; se le prohíbe hacer campaña libremente; y se informó de que el Estado confiscó autobuses y vehículos de campaña, supuestamente por registro ilegal.",1
"16","Pedimos a todos los grupos armados signatarios del Acuerdo de Uagadugú que se desvinculen de los grupos terroristas.",1
"17","La prohibición de la esclavitud y la trata de esclavos en todas sus formas y del trabajo forzoso no remunerado o abusivo.",1
"18","No debemos subestimar la amenaza que suponen en Afganistán las actividades desestabilizadoras de los talibanes y Al Qaeda.",1
"19","Condenar la incidencia de los secuestros y la toma de rehenes con el objetivo de recaudar fondos u obtener concesiones políticas, y expresar la necesidad de que se aborde esta cuestión,",1
"20","Recordando sus resoluciones anteriores sobre la situación en Iraq,",0
"21","19. Decide seguir conociendo del asunto.",0
"22","2. La situación en Oriente Próximo (18 de julio de 1960; 22 de diciembre de 2010).",0
"23","En total, el equipo recopiló información sobre ataques en 51 ciudades o pueblos y 11 casos de violaciones mediante entrevistas con 116 testigos presenciales y 12 testigos circunstanciales.",0
"24","En sus comentarios, los miembros del Consejo expresaron su honda preocupación por los recientes acontecimientos, subrayaron la necesidad de establecer mecanismos de seguridad fronteriza y exhortaron a ambas partes a tomar medidas para normalizar sus relaciones.",1
"25","Tales posiciones pueden considerarse una participación indirecta en el engaño a la opinión pública y un desconocimiento de la posición del Gobierno sirio en relación con los acontecimientos que tienen lugar en su propio territorio. Se trata de una incitación irresponsable a todo tipo de actos de violencia, dando cobertura internacional a actos terroristas internacionales emprendidos por grupos terroristas contra Siria, sus intereses y su pueblo.",1
"26","Sin embargo, a pesar de la creciente atención y de los recientes avances positivos en este ámbito, siguen existiendo numerosos problemas sobre el terreno en lo que respecta a la aplicación, en particular problemas relacionados con la continua falta de claridad en torno al concepto y la operacionalización de la protección de civiles, los mecanismos de coordinación interna y externa, la alerta temprana y la respuesta rápida, el apoyo a las fuerzas de seguridad del gobierno anfitrión, las capacidades de las tropas y la dotación de recursos.",1
"27","ORIGINAL: INGLÉS CARTA DE FECHA 3 DE DICIEMBRE DE 1998 DEL REPRESENTANTE PERMANENTE",0
"28","(c) Mecanismos de reglamentación y seguimiento",0
"29","En este sentido, la petición del Primer Ministro Soro para que la ONUCI emita informes públicos periódicos sobre los medios de comunicación marfileños podría contribuir a frenar tendencias peligrosas en los medios de comunicación que podrían incitar a la violencia relacionada con las elecciones.",1
"30","El Ministerio de Relaciones Económicas Exteriores de la República de Serbia, por su parte, elaboró un proyecto de Ley a lo largo de 2002.",0
"31","56. Hace poco más de una década, África Occidental era un lugar marcadamente diferente.",0
"32","El segundo punto que me gustaría subrayar hoy es nuestra constante preocupación por el bienestar de la población inocente de Gaza y de los pueblos y ciudades del sur de Israel.",1
"33","Este fondo no autoejecutará sus programas: los financiará pero confiará su ejecución a los propios países o a otros organismos multilaterales.",0
"34","El General de Brigada Taur Matan Ruak rechazó la petición del Presidente Gusmão de asistir a la marcha y, en su lugar, envió al Jefe de Estado Mayor de las F-FDTL, el Coronel Lere Annan Timor.",1
"35","También sigue profundamente preocupado por las acciones unilaterales, las restricciones y las provocaciones en los Santos Lugares de Jerusalén.",1
"36","14. Observa la evolución del nexo entre el terrorismo y las tecnologías de la información y las comunicaciones, en particular Internet, y el uso de dichas tecnologías para cometer actos terroristas, y para facilitar dichos actos mediante su uso para incitar, reclutar, financiar o planificar actos terroristas, y encarga a la Dirección Ejecutiva del Comité contra el Terrorismo que siga ocupándose de esta cuestión, en consulta con los Estados miembros, las organizaciones internacionales, regionales y subregionales, el sector privado y la sociedad civil, y que asesore al Comité contra el Terrorismo sobre nuevos planteamientos;",0
"37","40. Durante el último mes y medio, las autoridades haitianas han hecho algunos intentos preliminares para abordar los problemas de la administración de justicia y la detención.",1
"38","Los palestinos y los países árabes deben dar a Israel las garantías necesarias y fiables de su seguridad como Estado.",1
"39","En julio de 2009 se celebrará un taller para los Estados miembros de la Comunidad del Caribe sobre la redacción de respuestas a los tres comités del Consejo de Seguridad que se ocupan de la lucha contra el terrorismo.",0
"40","Además, como se señala más adelante, la destrucción parece haberse combinado sistemáticamente con el saqueo de objetos de valor personal, dinero en efectivo y, sobre todo, ganado.",0
"41","En lugar del famoso logotipo de la Copa del Mundo 2014, en el que tres manos victoriosas sostienen el globo terráqueo, creando juntas el prestigioso trofeo, la caricatura de la Autoridad Palestina muestra un ""trofeo"" de tres manos que sostienen a tres personas con las manos en alto en señal de rendición.",1
"42","En este sentido, pensamos que las acciones destructivas encaminadas a obtener beneficios políticos unilaterales deben condenarse categóricamente.",1
"43","Tomamos nota de las preocupaciones en materia de seguridad que, según Israel, le obligan a continuar esos sobrevuelos, concretamente las acusaciones de violaciones del embargo de armas establecido en virtud de la resolución 1701 (2006).",1
"44","El extremismo fundamental con sus manifestaciones puede seguir existiendo en zonas del este.",0
"45","15. Ha surgido una amenaza particular debido al creciente uso por parte de grupos e individuos terroristas de las nuevas tecnologías de la información y la comunicación para el reclutamiento, la incitación y la recaudación de fondos, a menudo a través de fronteras internacionales.",1
"46","1. Condena el extremismo violento, que puede propiciar el terrorismo, la violencia sectaria y la comisión de actos terroristas por parte de combatientes terroristas extranjeros, y exige que todos los combatientes terroristas extranjeros se desarmen y pongan fin a todos los actos terroristas y a su participación en conflictos armados;",1
"47","Convencido de que, en principio, es inaceptable que cualquier persona, en cualquier lugar, pueda eludir su responsabilidad por un acto de terrorismo por cualquier motivo, incluida su propia obstrucción a la investigación o su falta de cooperación de buena fe,",1
"48","He expresado la profunda preocupación de este Consejo y del Secretario General por el reciente aumento de las tensiones entre el Norte y el Sur, así como por la continua falta de progresos en Abyei y en otras cuestiones posteriores al Acuerdo General de Paz.",1
"49","Véanse también, por ejemplo, las resoluciones 1828 (2008), párr. 13; 1814 (2008), párr. 12; 1794 (2007), párr. 17; 1778 (2007), párr. 17; 1769 (2007), párr. 14; 1747 (2007), párr. 24; 1674 (2006), párrs. 8 y 22; 1574 (2004), párr. 11; 1565 (2004), párrs. 20 y 21; 1545 (2004), párr. 12; 1533 (2004), párr. 5; 1509 (2003), sexto párrafo del preámbulo y párr. 8; 1502 (2003), párr. 4; 1497 (2003), párr. 11; 1493 (2003), párr. 12; 1296 (2000), párrs. 12 y 15; y 1265 (1999), párrs. 7-9.",0
"50","Me preocupa especialmente la inestabilidad que podría surgir si la situación política y socioeconómica siguiera deteriorándose.",1
"51","Reafirma que poner fin a la impunidad es esencial para que una sociedad en conflicto o que se está recuperando de un conflicto pueda asumir los abusos cometidos en el pasado contra civiles afectados por conflictos armados y prevenir futuros abusos de este tipo",1
"52","No obstante, la situación sigue siendo preocupante dada la larga frontera que separa nuestros dos países, sobre la que es difícil ejercer control.",1
"53","Se han detectado casos de blanqueo de capitales y financiación del terrorismo que implican el uso de nuevos métodos de pago. Sin embargo, los Estados tienen dificultades para desarrollar una legislación y unos sistemas de regulación adecuados para estos métodos de pago, que evolucionan a un ritmo cada vez más rápido.",0
"54","La dotación del centro asciende actualmente a 544 efectivos de las Forces nouvelles y del personal de defensa y seguridad nacional, de un máximo autorizado de 568, incluidas las unidades mixtas de policía.",0
"55","Mientras tanto, los bienes del ACNUR procedentes de Belgrado se entregaron como de costumbre.",0
"56","Todos los Estados han promulgado leyes para controlar la fabricación, posesión, adquisición, venta, transferencia, transporte y suministro de armas pequeñas y municiones, pero estas leyes no incluyen disposiciones claras sobre el corretaje de armas, el tránsito de armas o los embargos de armas del Consejo de Seguridad.",0
"57","Algunos Estados han empezado a reconocerlo desarrollando estrategias nacionales integrales de lucha contra el terrorismo que van más allá de la aplicación tradicional de la ley para implicar a múltiples actores sociales.",0
