"","en_es_DEEPL","VerCoop"
"1","Las licencias expedidas por la UNMIK cumplen todas las normas europeas y pueden utilizarse en toda Europa.",0
"2","El régimen se modificó en las resoluciones 1333 (2000) y 1390 (2002) para imponer tres medidas selectivas (congelación de activos, prohibición de viajar y embargo de armas) contra personas y entidades asociadas con los talibanes y Al-Qaida. Existen excepciones a la congelación de activos y a la prohibición de viajar. El 17 de junio de 2011, el Consejo adoptó por unanimidad las resoluciones 1988 (2011) y 1989 (2011), que dividen el régimen en dos, estableciendo un comité para Al-Qaida y otro para los talibanes.",0
"3","2. La situación en Oriente Medio",0
"4","""El Consejo de Seguridad recuerda sus resoluciones 1265 (1999), de 17 de septiembre de 1999, y 1296 (2000), de 19 de abril de 2000, sobre la protección de los civiles en los conflictos armados, así como las declaraciones de su Presidencia de 12 de febrero de 1999 (S/PRST/1999/6), de 15 de marzo de 2002 (S/PRST/2002/6) y de 20 de diciembre de 2002 (S/PRST/2002/41), y reafirma la necesidad de mantener la protección de los civiles en los conflictos armados como tema importante del orden del día del Consejo.",1
"5","I. Mandato de la misión",0
"6","Los miembros del Consejo se mostraron unánimemente preocupados por el estado del proceso de paz y expresaron su esperanza de que la próxima reunión del Grupo de Amigos del Secretario General lo haga avanzar. Otras cuestiones",1
"7","En la 6900ª sesión del Consejo de Seguridad, celebrada el 15 de enero de 2013, en relación con el examen por el Consejo del tema titulado ""Amenazas a la paz y la seguridad internacionales causadas por actos terroristas"", el Presidente del Consejo de Seguridad hizo la siguiente declaración en nombre del Consejo:",1
"8","Dicha oficina haría de los buenos oficios un objetivo secundario.",0
"9","El Comité del Consejo de Seguridad establecido en virtud de la resolución 1267 (1999) relativa a Al-Qaida y los talibanes (en lo sucesivo, ""el Comité"") ha hecho mucho para brindar a los Estados miembros la oportunidad de expresar sus opiniones, ya sea directamente o a través del Equipo.",1
"10","6. Recuerda su decisión, contenida en la resolución 1373 (2001), de que todos los Estados miembros velen por que toda persona que participe en la financiación, planificación, preparación o comisión de actos de terrorismo o preste apoyo a actos de terrorismo sea llevada ante la justicia, y decide que todos los Estados velen por que sus leyes y reglamentos internos tipifiquen delitos penales graves suficientes para permitir el enjuiciamiento y la imposición de penas que reflejen debidamente la gravedad del delito:",0
"11","El Consejo de Seguridad reitera también su apoyo al Representante Especial del Secretario General, Sr. Ahmedou Ould-Abdallah, por sus esfuerzos para hacer avanzar el proceso político en Somalia.",1
"12","3. Los participantes consideraron que, debido a su gravedad, estos acontecimientos ponían de relieve la necesidad y la urgencia de acelerar los preparativos del diálogo intermaliense inclusivo, de manera que se sienten las bases de una auténtica reconciliación entre los malienses y de una paz, seguridad y estabilidad duraderas en el país.",1
"13","Desarrollar un conjunto de políticas, directrices y procedimientos para la planificación, ejecución y supervisión de los programas de DDR, conocidos como Normas Integradas de DDR, e integrar las perspectivas de género.",0
"14","Por este motivo, la Dirección Ejecutiva siempre plantea estas cuestiones en el transcurso de las visitas a los países, los talleres de vídeo y otros intercambios, y considera valioso para el futuro trabajar más intensamente con los Estados sobre los aspectos prácticos de estos enfoques.",1
"15","En este ámbito cabe mencionar también la Ley de Aplicación de las Normas Aduaneras Europeas de 2004, que es aplicable en este caso.",0
"16","12. Pide al Comité que, en cooperación con el Comité establecido en virtud de la resolución 1373 (el ""Comité contra el Terrorismo"" o ""CCT""), informe al Consejo de las medidas adicionales concretas que los Estados podrían adoptar para aplicar las medidas esbozadas en el párrafo 1 supra;",1
"17","Durante la misma sesión, de conformidad con el párrafo 41 de la resolución 2093 (2013), el Coordinador del Grupo de Supervisión presentó la evaluación del Grupo sobre los progresos realizados por el Gobierno Federal de Somalia en el establecimiento de la infraestructura logística para la gestión de armas y la institución de procedimientos de control de armas.",1
"18","Venezuela ratificó la Convención el 4 de febrero de 1983.",0
"19","464. El Comité formuló recomendaciones en los ámbitos de la seguridad, la ayuda humanitaria, la mejora de la estructura social, los servicios y el desarrollo, la apertura de puestos de policía con una logística adecuada para responder con rapidez a las crisis y la incautación de armas en manos indebidas.",1
"20","8. El presente informe abarca asuntos que, en opinión de la Junta, deben señalarse a la atención del Consejo de Seguridad.",0
"21","Tras las consultas informales, el 14 de septiembre, el Consejo adoptó por unanimidad la resolución 1560 (2004) presentada por la Delegación alemana, por la que prorrogaba el mandato de la Misión de las Naciones Unidas en Etiopía y Eritrea (MINUEE) hasta el 15 de marzo de 2005, aprobaba los ajustes de la MINUEE (incluida su presencia y operaciones según lo recomendado por el Secretario General en su informe, párrs. 13-18), y pidió al Secretario General que siguiera vigilando de cerca la situación y que revisara el mandato de la Misión a la luz de los avances logrados en el proceso de paz y de los cambios introducidos en la MINUEE.",1
"22","El Gobierno reembolsó 1,5 millones de dólares en septiembre de 2007 y 2,5 millones de dólares en los últimos meses, lo que deja un saldo de 2,8 millones de dólares pendientes de reembolso.",0
