"","en_es_DEEP","VerConf"
"1","Turquía ha lanzado el Proyecto de Unidad Nacional para abordar las desigualdades sociales y económicas en la sociedad turca que supuestamente alimentan la disidencia kurda y el reclutamiento del Partido de los Trabajadores Kurdos (PKK).",0
"2","Condené tales restricciones a la libertad de movimiento del personal de mantenimiento de la paz de las Naciones Unidas.",1
"3","117. Especialmente desde que la comunidad internacional tomó conciencia de las repercusiones de las acciones de los Janjaweed, las respuestas del Gobierno del Sudán al uso del término parecen haber tenido como objetivo negar la existencia de cualquier vínculo entre el Estado y los Janjaweed; y la mayoría de los funcionarios atribuyen habitualmente las acciones de los Janjaweed a ""bandidos armados"", ""elementos incontrolados"" o incluso al ELS y el JEM.",0
"4","Esas posiciones pueden considerarse una participación indirecta para engañar a la opinión pública y un desprecio por la posición del Gobierno sirio respecto de los acontecimientos en su propio territorio. Es una incitación irresponsable a todo tipo de actos de violencia, que proporciona cobertura internacional a los actos terroristas internacionales cometidos por grupos terroristas contra Siria, sus intereses y su pueblo.",1
"5","El entorno cambiante en Afganistán plantea interrogantes sobre los grupos de Asia Central que actualmente operan allí, como el Jamaat Ansarullah (no incluido en la lista), la escisión étnica tayika del Movimiento Islámico de Uzbekistán (QE.I.10.01).",1
"6","No hay duda de que la estructura y el desarrollo de la administración pública en Timor-Leste todavía nos plantean importantes desafíos que debemos tener en cuenta.",1
"7","Colombia, Chile, Paraguay y Perú también han promulgado leyes que otorgan a sus autoridades encargadas de hacer cumplir la ley poderes especiales de investigación.",0
"8","Se celebrará el viernes 15 de febrero de 2013, a las 14.45 horas.",0
"9","Sin embargo, la naturaleza misma de la mayoría de los crímenes internacionales implica, por regla general, que son cometidos por funcionarios del Estado o con su complicidad; por lo tanto, a menudo es mejor dejar su persecución en manos de otros mecanismos.",1
"10","Rogerio Lobato fue considerado para el puesto de Secretario de Estado de Defensa, pero se le negó, después de que el general Taur Matan Ruak amenazara con abandonar las fuerzas de defensa. Se nombró a Roque Rodrigues.",1
"11","Debo decir que el tema elegido para nuestro debate de hoy, si bien cautivador, plantea un gran desafío.",1
