"","en_es_DEEP","VerCoop"
"1","Metodología y dotación de personal Metodología Las cuatro prioridades estratégicas de la Misión son: creación de instituciones y capacidad a nivel de gestión; combatir el crimen organizado y la corrupción; desarrollar la viabilidad financiera y la sostenibilidad; y promover la independencia y la rendición de cuentas de la policía.",1
"2","La Autoridad reafirmó su compromiso inquebrantable con los valores de solidaridad y los principios sagrados de la democracia, la paz y la buena gobernanza para una región estable y altamente integrada.",1
"3","Resolución 2098 (2013) de 28 de marzo de 2013",0
"4","La reclamación Nº 5000394 fue examinada inicialmente por el Grupo en la primera serie ""F4"".",0
"5","También pidieron a las Forces nouvelles que iniciaran lo antes posible, antes del 15 de octubre, sin condiciones previas, el proceso de desmovilización, desarme y reintegración que acordaron en Accra. Hicieron hincapié en que todos los grupos paramilitares y milicianos también deben ser desarmados.",1
"6","Apoyando el llamado del Enviado a una implementación inmediata y visible por parte del gobierno sirio de todos los elementos de la propuesta de seis puntos del Enviado en su totalidad para lograr un cese sostenido de la violencia armada en todas sus formas por parte de todas las partes,",1
"7","35. El 5 de septiembre de 2011, la Comisión de Registro de Partidos Políticos convocó un taller de reforma jurídica, durante el cual los participantes examinaron el mandato de la Comisión y recomendaron, entre otras cosas, revisiones de la Ley de Partidos Políticos de 2002 a fin de otorgar a la Comisión autoridad legal para hacer cumplir el código de conducta de los partidos políticos.",1
"8","8. La situación en Somalia (17 de marzo de 1992; 21 de noviembre de 2012).",0
"9","En la medida de lo posible, las actividades de creación de capacidad y estabilización a más largo plazo deberían transferirse al equipo en el país, en áreas en las que tenga una ventaja comparativa.",1
"10","77. En esta sección se examinarán brevemente los diversos grupos que participan activamente en el conflicto armado de Darfur.",1
"11","Como se esperaba, la llegada del verano ha resultado en un mayor nivel de actividad de las fuerzas militantes opuestas.",0
"12","Además, el Consejo de Seguridad condena el terrorismo en todas sus formas y manifestaciones, independientemente de cómo y quienquiera que lo cometa.",0
"13","Un cuarto atacante no logró detonar su bomba y fue arrestado unos días después.",0
"14","Los cargos por horas extras no se corresponden con las listas de tareas proporcionadas por el IDEC.",0
"15","Actuando de conformidad con los Capítulos VII y VIII de la Carta,",0
"16","En el futuro, estas organizaciones regionales –y en particular la UE– tendrán que desempeñar el papel más destacado en Kosovo.",1
"17","""El Consejo de Seguridad reafirma el papel vital de las mujeres en la prevención y solución de conflictos, las negociaciones de paz, la consolidación y el mantenimiento de la paz, la respuesta humanitaria y la reconstrucción posconflicto, reafirma además la importancia de la prevención y la protección contra la violencia sexual en los conflictos armados y situaciones posteriores a conflictos, y destaca la necesidad de que las Naciones Unidas y las organizaciones regionales y subregionales trabajen para garantizar que las mujeres y las perspectivas de género se integren plenamente en todos los esfuerzos de paz y seguridad emprendidos por las Naciones Unidas y las organizaciones regionales y subregionales, incluso mediante la creación de la capacidad necesaria.",1
"18","Por lo tanto, el marco reconoce la importancia de involucrar a los movimientos no signatarios en el proceso de paz con miras a concluir rápidamente una solución negociada y plenamente inclusiva del conflicto.",0
"19","Sin embargo, Bin Laden ha podido aprovechar las comunicaciones modernas para atraer a muchos musulmanes como un líder espiritual que de alguna manera hace que la violencia parezca gloriosa y un deber en lugar del terrorismo que es.",0
"20","200. La perspectiva gubernamental más coherente sobre el conflicto fue presentada por un comité creado por el Ministro del Interior en su calidad de representante del Presidente en Darfur.",1
"21",":: El Ejército Libre Sirio no está sitiando las ciudades.",0
"22",":: Establecer un sistema de seguimiento, supervisión y prevención en esa materia;",0
"23","Solicita al Secretario General que siga ayudando al Gobierno [del país afectado] a desarrollar las instituciones de seguridad de transición, incluidas la fuerza policial [nacional] y la fuerza de seguridad nacional, y que siga apoyando al Gobierno [del país afectado] ] en el desarrollo de una estrategia de seguridad nacional, que refleje el respeto por el estado de derecho y la protección de los derechos humanos, incluidos planes de desarme, desmovilización y reintegración (DDR), justicia y capacidades penitenciarias, así como el marco legal y político para la funcionamiento de sus fuerzas de seguridad, incluidos mecanismos de gobernanza, investigación y supervisión.",1
"24","4. A las 14.15 horas del 1º de abril de 1998, una formación de dos aviones estadounidenses lanzó ocho bengalas térmicas sobre la ciudad de Mosul.",0
"25","25. Exhorta a todos los Estados a gestionar responsablemente y minimizar en la mayor medida que sea técnica y económicamente viable el uso de uranio altamente enriquecido con fines civiles, incluso trabajando para convertir los reactores de investigación y los procesos de producción de radioisótopos al uso de combustibles de uranio poco enriquecido. y objetivos;",1
"26","Muchas personas fueron sometidas al trato más horrible y muchas fueron ejecutadas sumariamente.",0
"27","- En Serbia y Montenegro se han registrado oficialmente 78.536 personas expulsadas de sus hogares;",0
"28","Carta de fecha 26 de julio de 2005 dirigida al Presidente del Consejo de Seguridad por el Presidente del Comité del Consejo de Seguridad establecido en virtud de la resolución 1533 (2004) relativa a la República Democrática del Congo (S/2005/436)",0
"29","""El Consejo de Seguridad pide al Secretario General que redoble sus esfuerzos para garantizar el fortalecimiento de las capacidades del Mecanismo de Vigilancia y Presentación de Informes con miras a la aplicación de la resolución 1882 (2009) para permitir una pronta promoción y una respuesta eficaz a todas las violaciones y abusos cometidos contra los niños, entre otras cosas, garantizando que todos los organismos pertinentes de las Naciones Unidas ayuden activamente a recopilar información precisa, objetiva, fiable y verificable sobre los actos de violación y otros tipos de violencia sexual cometidos contra los niños, y también garantizando sinergias y evitando superposiciones entre las entidades pertinentes de las Naciones Unidas, a nivel de la sede y de los países, como se solicita en las resoluciones 1882 (2009) y 1888 (2009).",1
"30","3. Encarga al Comité que transmita al Comité establecido en virtud de la resolución 1988 (2011) todas las presentaciones de inclusión, solicitudes de exclusión de la lista y propuestas de actualización de la información existente pertinente a la sección A (""Personas asociadas con los talibanes"") y la sección B (""entidades y otros grupos y empresas asociados con los talibanes"") de la Lista consolidada que estaban pendientes ante el Comité en la fecha de aprobación de la presente resolución, para que el Comité establecido en virtud de la resolución 1988 (2011) pueda examinar esas cuestiones de conformidad con resolución 1988 (2011);",0
"31","La OACI y la IATA han acordado destacar el trabajo del Comité 1267 y crear conciencia sobre la Lista Consolidada entre sus miembros. F. INTERPOL",1
"32","Dijo que la asociación tenía como objetivo desarrollar una estrategia para incorporar la protección de los niños en las actividades de la Unión Africana y la institucionalización de políticas y procedimientos sobre protección de los niños de conformidad con las normas regionales e internacionales.",1
"33","197. La mayoría de los Estados de la subregión han promulgado leyes que regulan la importación y exportación de armas.",0
"34","""El Consejo de Seguridad reafirma que el terrorismo en todas sus formas y manifestaciones constituye una de las amenazas más graves a la paz y la seguridad y que cualquier acto de terrorismo es criminal e injustificable, independientemente de su motivación, cuándo y quién lo cometa.",1
"35","90. El párrafo 4 de la resolución 1624 (2005) destaca que ""los Estados deben garantizar que cualquier medida que adopten para aplicar los párrafos 1, 2 y 3 de esta resolución cumpla con todas sus obligaciones en virtud del derecho internacional, en particular el derecho internacional de los derechos humanos, el derecho de los refugiados y el derecho humanitario"".",1
"36","S/AC.49/2011/10/Add.1",0
"37","Decide por la presente establecer un tribunal internacional con el único propósito de procesar a los responsables de violaciones graves del derecho internacional humanitario cometidas en el territorio de [el Estado afectado] entre [fechas]...",1
"38","""El Consejo de Seguridad recuerda a los Estados que deben garantizar que todas las medidas adoptadas para combatir el terrorismo cumplan todas sus obligaciones en virtud del derecho internacional, en particular el derecho internacional de los derechos humanos, el derecho de los refugiados y el derecho humanitario.",1
"39","V. Actividades de las Naciones Unidas y de la comunidad internacional",0
"40","S/RES/1828 (2008), pág. 12",0
"41","Para el ejercicio fiscal 2009/2010, el Gobierno ha previsto ingresos de 23 millones de dólares (véase el cuadro 7).",0
"42","La actividad es parte de un diálogo continuo entre el Programa de Seguridad y Estado de Derecho de las Naciones Unidas y el Gobierno Federal de Transición sobre cuestiones relacionadas con las minas y el apoyo a los procesos que garantizarán que conozca los instrumentos jurídicos internacionales pertinentes y pueda considerar participar en ellos. .",1
"43","No se celebró ninguna sesión de identificación en la zona de la Misión durante las dos semanas que comenzaron el 6 y el 27 de abril de 1998.",0
"44","2 Cancelación de gastos de tercera emisión – USD 195.672 [xxxix]/",0
"45","(c) Fotocopia de cédula de identidad y certificado judicial;",0
"46","El grado de daño de los fragmentos de metal que nos mostró la policía (procedentes supuestamente de un Mitsubishi Canter) coincide con los fragmentos que esperaríamos si un vehículo de este tipo estuviera situado en el centro de la explosión.",0
