"en_es_DEEP"	"MatCoop"
"Se han reembolsado los costos de los contingentes y del equipo de propiedad de los contingentes correspondientes al período comprendido hasta el 31 de mayo."	0
"Está claro, sin embargo, que los efectos no se limitarán sólo a Yugoslavia."	0
"La Comisión no puede estar de acuerdo con la posición del Gobierno de que las estadísticas que representan el trabajo de los comités indican una incidencia mucho menor del delito de violación que la que informan fuentes como las Naciones Unidas, la UA y otras organizaciones nacionales e internacionales."	0
"Se refiere a todas las fases de producción tales como:"	0
"139. Este enfoque de dos partes (utilizar restricciones a nivel de todo Schengen para excluir a las personas incluidas en la lista que se encuentran fuera de la zona Schengen, manteniendo al mismo tiempo restricciones nacionales para limitar el movimiento de los extranjeros incluidos en la lista dentro de la zona) puede servir como modelo para otros Estados en países establecidos. o desarrollar regiones sin fronteras ni visados."	0
"105. El periodista iraní Mostafa Afzalzadeh, 11 de enero."	0
"i) Contribuir a proteger a los civiles en peligro, en particular los refugiados y las personas desplazadas;"	1
"En esas condiciones, donde convergen profundas inequidades y exclusión política, económica y social, emerge un proceso encaminado a transformar el orden imperante y busca cambios y alternativas económicas y políticas, que permitan la participación y la apertura de nuevos espacios y medios de expresión, que implican, en definitiva, demandas de derechos fundamentales."	0
"140. En algunas de sus visitas, en particular a Estados menos desarrollados, el Equipo ha descubierto que los organismos nacionales pertinentes que participan en la lucha contra el terrorismo carecen de fondos suficientes, en particular en la esfera de la seguridad fronteriza, hasta el punto de que funcionarios relativamente superiores carecen de acceso a computadoras y otras tecnologías relevantes y otros tienen poco o ningún personal para realizar tareas críticas."	1
"El Comité continúa vigilando y evaluando la naturaleza cambiante de la amenaza que plantean Al-Qaida y sus asociados a la paz y la seguridad internacionales y adaptando su enfoque operacional en consecuencia para dar respuestas efectivas y eficientes a esas amenazas."	1
"30. Raja Hamud Saleh Al-Sahli"	0
"Tratado de Prohibición Completa de los Ensayos Nucleares (TPCE)"	0
"Un Estado observó que, si bien las iniciativas mundiales de lucha contra el terrorismo habían debilitado sustancialmente el liderazgo de la organización Al-Qaida, la fuente de la amenaza se había desplazado a grupos afiliados a la organización principal, pero separados de ella, así como a personas afectadas por el ideología de esos grupos y por su incitación a la violencia. Varios Estados destacaron que el terrorismo no debe asociarse con ninguna religión, nacionalidad, civilización o grupo y que la amenaza terrorista provenía de múltiples fuentes, incluidos grupos de extrema derecha y xenófobos."	0
"Los iraníes procedieron a construir una serie de grandes cobertizos abiertos al sur del monumento, frente a la ciudad de Faw."	0
"3. Durante el período que abarca el informe, el Coordinador de Alto Nivel, Embajador Gennady Tarasov, centró sus actividades en la tarea de fomentar la confianza y la cooperación entre Kuwait y el Iraq con miras a fortalecer su participación práctica en la búsqueda de personas y bienes desaparecidos y alentar lograr avances visibles y significativos hacia la aplicación de los objetivos del párrafo 14 de la resolución 1284 (1999) del Consejo de Seguridad."	1
"Para llevar a cabo su plan, pretenden unir varias milicias bajo su control y equiparlas y entrenarlas en Fer Fer (Etiopía) y Waajid (región de Bakool)."	1
"El proyecto será ejecutado por la Oficina de las Naciones Unidas de Servicios para Proyectos y lo ejecutarán los municipios de las regiones de Pristina y Gnjilane."	1
"Siguieron recibiéndose informes de violaciones de derechos humanos, muchas de ellas asociadas con elementos no capacitados integrados en las FARDC del Congreso Nacional para la Defensa del Pueblo (CNDP) y grupos armados."	0
"\"El Consejo de Seguridad reafirma además la necesidad de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas, las amenazas a la paz y la seguridad internacionales causadas por actos terroristas. El Consejo recuerda a los Estados que deben garantizar que todas las medidas adoptadas para combatir el terrorismo cumplir con todas sus obligaciones en virtud del derecho internacional, en particular el derecho internacional de derechos humanos, el derecho internacional humanitario y el derecho de los refugiados."	0
"Aplaudiendo la reciente admisión del Gobierno de Liberia como participante en el Sistema de Certificación del Proceso de Kimberley,"	0
"Sólo el Estado de derecho, respaldado por fuerzas iraquíes bien entrenadas, respaldado por una infraestructura y una economía prósperas y dinamizado por un proceso electoral libre y justo, podría derrotar a quienes deseaban desestabilizar el país."	1
"El tipo competitivo estaba disponible para las importaciones de bienes y servicios no cubiertos por el tipo oficial básico."	0
"34. Al concluir el examen, la secretaría notificaría al Estado donde se creía que se encontraba la persona o entidad y, en el caso de las personas, al Estado de ciudadanía, para que pudieran notificar a la parte interesada."	0
"Expresando el deseo de unificar sus fuerzas y promover la armonía intercomunitaria dentro de todos los componentes de la sociedad del Azawad;"	1
"14. Expresa su disposición a considerar cualquier solicitud adicional de asistencia del Gobierno libanés para garantizar que todos los responsables de este crimen rindan cuentas;"	1
"22. Después de observar los movimientos de los desplazados internos hacia Kosovo y hablar con personas de etnia albanesa en el sur de Serbia, el ACNUR informó que los desplazados internos habían huido por miedo a quedar atrapados entre las líneas de fuego y por la preocupación general por la acumulación de de las fuerzas policiales y militares en el valle de Presevo."	0
"Habiéndose reunido en Argel a instancias de Argelia en un esfuerzo continuo por alinear más estrechamente las posiciones de los movimientos armados en el norte de Malí a fin de crear todas las condiciones para el éxito de las futuras negociaciones con el Gobierno de Malí;"	1
"Pero si bien el método es relativamente simple, los explosivos resultantes son, a diferencia de los explosivos militares, inestables y poco confiables."	0
"Según la jurisprudencia, en caso de duda también se debe establecer si (a) un conjunto de personas es percibido y de hecho tratado como perteneciente a uno de los grupos protegidos, y además (b) se consideran pertenecientes a uno de los grupos protegidos. de tales grupos."	1
"31. En cuanto a la coordinación interna, muchos Estados asiáticos han establecido organismos u órganos centralizados con mandatos para coordinar las actividades de lucha contra el terrorismo y analizar la inteligencia conexa, incluso con respecto a la incitación."	1
"Además, la llanura de aluvial del río Moro en Liberia es especialmente propensa a grandes inundaciones durante la temporada de lluvias, lo que hace imposible la explotación minera aluvial sistemática y mecanizada."	0
"o) Nkosazana Dlamini-Zuma, Presidenta de la Comisión de la Unión Africana."	0
"29. Se lograron avances notables en el marco legislativo y de políticas general para el sector de la seguridad, en particular con la promulgación por el Presidente de las leyes de seguridad nacional, defensa nacional y seguridad interna el 21 de abril."	0
"También informó que la Fuerza de las Naciones Unidas de Observación de la Separación (FNUOS) seguía observando intensos enfrentamientos entre las fuerzas armadas sirias y miembros armados de la oposición, así como ataques aéreos de las fuerzas armadas sirias, dentro de la zona de separación y la zona de limitación."	0
"(Resolución de la Cumbre 484, 21º período ordinario de sesiones - 30 de marzo de 2009)"	0
"579. En tercer lugar, la investigación y el enjuiciamiento se referirían a personas que gozan de autoridad y prestigio en el país y ejercen control sobre el aparato del Estado. Parece poco probable que se establezca un tribunal especial mediante acuerdo entre el actual Gobierno y las Naciones Unidas para investigar y enjuiciar a miembros de ese mismo Gobierno."	1
"24. Solicita al Comité contra el Terrorismo que, dentro de su mandato actual y con el apoyo de la Dirección Ejecutiva y Ejecutiva, identifique las principales deficiencias en la capacidad de los Estados Miembros para aplicar las resoluciones 1373 (2001) y 1624 (2005) del Consejo de Seguridad que puedan obstaculizar la capacidad de los Estados para detener el flujo de combatientes terroristas extranjeros, así como identificar buenas prácticas para detener el flujo de combatientes terroristas extranjeros en la implementación de las resoluciones 1373 (2001) y 1624 (2005), y facilitar la asistencia técnica, específicamente promoviendo el compromiso entre los proveedores. de la asistencia para el desarrollo de capacidades y de los destinatarios, especialmente aquellos en las regiones más afectadas, incluso mediante el desarrollo, cuando lo soliciten, de estrategias antiterroristas integrales que abarquen la lucha contra la radicalización violenta y el flujo de combatientes terroristas extranjeros, recordando el papel de otros actores relevantes actores, por ejemplo el Foro Global Contra el Terrorismo;"	0
"Además, muchas víctimas informaron a la Comisión de que tenían poca confianza en la imparcialidad del sistema de justicia sudanés y en su capacidad para llevar ante la justicia a los autores de los graves crímenes cometidos en Darfur."	0
"132. Mientras el Comité y la Interpol determinan la mejor manera de avanzar, el Equipo espera que la base de datos de Interpol pueda proporcionar información de identificación adicional sobre las personas que figuran en la Lista Consolidada."	1
"Recientemente, la Dirección Ejecutiva llevó a cabo, en colaboración con el ICPAT, un taller para funcionarios de policía, aduanas y relaciones exteriores de los países de la subregión sobre la cuestión del control fronterizo."	1
