"","en_es_GOOGLE","MatConf"
"1","IV. DRAGADO INTERNACIONAL NV 43 - 58 19",0
"2","El informe fue presentado al Comité del Consejo de Seguridad establecido en virtud de la resolución 1267 (1999) relativa a Al-Qaida y los talibanes y personas y entidades asociadas el 31 de marzo de 2008, de conformidad con la resolución 1735 (2006) del Consejo de Seguridad, y actualmente está siendo examinado por el Comité.",0
"3","5. Durante la guerra fría, los Secretarios Generales de las Naciones Unidas llamaron la atención sobre cuestiones específicas de delincuencia transfronteriza que complicaban situaciones de conflicto que ya figuraban en el programa del Consejo de Seguridad.",1
"4","También vale la pena señalar que esta decisión de Rusia coincide con los actos de provocación de los separatistas y su intenso fortalecimiento militar.",1
"5","También visitaron comisarías y la fiscalía para obtener información sobre los casos de violación ya registrados.",0
"6","Sin embargo, sólo 20 Estados han adoptado medidas prácticas y una estrategia nacional para reprimir el reclutamiento por parte de grupos terroristas.",0
"7","En San Pedro, se informa que el alcalde ha comenzado a destruir otros barrios marginales.",1
"8","30. Dado que se ha suspendido la financiación multilateral, el Gobierno de Côte d&#39;Ivoire depende de la cosecha de cacao para mantener su solvencia y poder pagar a sus funcionarios públicos, incluidos los militares. El cacao desempeña un papel importante al proporcionar fondos para las actividades de adquisiciones militares extrapresupuestarias y extrapresupuestarias del Gobierno y, aunque la cantidad de ingresos procedentes del cacao ha disminuido, el porcentaje que se deduce de lo disponible sigue siendo alto.",1
"9","Se dice que muchas aldeas fueron atacadas más de una vez, hasta quedar completamente destruidas.",1
"10","Además, las instalaciones eran básicas, sin &quot;espacios adaptados a los niños&quot;.",0
"11","6. Decide seguir ocupándose del asunto.",0
"12","Las Secciones de Servicios Generales han identificado espacio de oficinas apropiado para el personal del Mecanismo Residual y están brindando servicios de viajes, visas, correo y transporte.",0
"13","d) El enfrentamiento armado entre soldados de las F-FDTL y oficiales de la PNTL en el cuartel general de la PNTL el 25 de mayo, que provocó numerosos heridos y la muerte de un soldado de las F-FDTL, Bure.",0
"14","&quot;El Consejo de Seguridad condena la muerte de civiles inocentes y los abusos contra los derechos humanos en el este de la República Democrática del Congo y pide que tales incidentes sean investigados exhaustivamente.",0
"15","El Consejo de Seguridad reitera su exigencia a las fuerzas armadas de que se sometan plenamente al control civil.",0
"16","9. La situación de los defensores de los derechos humanos en todo el país es otro motivo más de grave preocupación. Muchos de ellos son objeto de acoso, detención arbitraria y detención injustificada.",1
"17","Dos sospechosos del ataque están detenidos en la prisión construida en el marco del Programa contra Delitos Marítimos de la ONUDD.",1
"18","Se declara abierta la sesión a las 10.15 horas.",0
"19","Turquía ha lanzado el Proyecto de Unidad Nacional para abordar las desigualdades sociales y económicas en la sociedad turca que supuestamente alimentan la disidencia kurda y el reclutamiento del Partido de los Trabajadores Kurdos (PKK).",0
"20","Incorporación de la perspectiva de género en respuestas coordinadas para prevenir y responder a conflictos armados y emergencias humanitarias.",0
"21","Es significativo señalar que el 22 de mayo de 2005, aproximadamente una semana antes de la segunda batalla de Baidoa, llegó a BAM un cargamento muy grande de armas desde Yemen, a través de las redes de comercio de armas.",1
"22","Cuando son detenidos o repatriados por la fuerza, los funcionarios de la República Popular Democrática de Corea los someten sistemáticamente a persecución, tortura, detención arbitraria prolongada y, en algunos casos, a violencia sexual, incluso durante registros corporales invasivos.",1
"23","Según el Banco Mundial, nada socava tanto el clima de inversión como la inseguridad armada.",1
"24","El régimen arrestó a aproximadamente 47 personas que se cree que fueron reclutadas por la fuerza para unirse a las fuerzas del régimen.",1
"25","Por lo tanto, el conflicto no se reduce simplemente a una situación de disturbios y tensiones internas, disturbios o actos de violencia aislados y esporádicos. Más bien, los requisitos de (a) existencia de grupos armados organizados que luchan contra las autoridades centrales, (b) control por parte de los rebeldes sobre parte del territorio y (c) combates prolongados, para que esta situación se considere un conflicto armado interno según el artículo 3 comunes a los Convenios de Ginebra.",1
"26","A pesar del anuncio radial del ex Presidente Compaoré, más tarde ese mismo día, de retirar el proyecto de ley y establecer el estado de emergencia, las protestas violentas se intensificaron en Uagadugú y se extendieron más allá de la capital.",1
"27","Según los testimonios, miles de miembros de las fuerzas de seguridad podrían haber estado en acción esos días en Abiyán.",1
"28","También está en vigor un Tratado bilateral de asistencia jurídica mutua (MLAT) con los Estados Unidos de América.",0
"29","o El 16 de noviembre de 2014, las fuerzas del régimen lanzaron granadas de mortero contra la mezquita de Madera, en Rif Dimashq, hiriendo a cuatro civiles y dañando gravemente la mezquita.",1
"30","Después de un largo enfrentamiento con la multitud, el subcomandante Babo desarmó a seis oficiales de la UIR del este y les quitó los chalecos antibalas. Fueron escoltados a vehículos que los esperaban.",1
"31","70. En el marco del Grupo de Trabajo sobre la lucha contra la financiación del terrorismo del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo y su iniciativa mundial para proteger a las organizaciones sin fines de lucro contra los abusos terroristas, la Dirección organizó un taller regional para los Estados Miembros de África Oriental, que se celebró en marzo de 2012 en Nairobi. El taller discutió las prácticas nacionales e identificó deficiencias en la supervisión del sector de organizaciones sin fines de lucro con respecto a riesgos específicos de financiamiento del terrorismo.",0
"32","28. Poco después del 1 de marzo de 2009:",0
"33","Recuerda la prohibición del desplazamiento forzoso de civiles en situaciones de conflicto armado en circunstancias que violen las obligaciones de las partes en virtud del derecho internacional humanitario.",1
"34","20. Desde mi informe (véase S/2007/619, párr. 25), el Real Ejército de Marruecos ha seguido denunciando un gran número de presuntas violaciones del acuerdo militar Nº 1 por parte del Frente Polisario en relación con la presencia de personas y vehículos en la franja de protección.",0
"35","Amenaza no convencional: química, biológica, radiológica, nuclear y explosiva, Asia",1
"36","Desde entonces sólo dos de estos centros han reabierto.",0
"37","577. Los tribunales mixtos establecidos en otros conflictos han seguido dos modelos similares pero distintos.",0
"38","Un tribunal internacional no se considera apropiado dado que los crímenes bajo consideración contravienen el derecho interno.",1
"39","Las armas fueron confiscadas por el oficial de armas del buque estadounidense y posteriormente entregadas a las autoridades yemeníes.",1
"40","Este fue el caso de Jamal Suliman Mohamad Shayeb en la aldea de Halouf en relación con el asesinato de 24 personas, algunas de ellas mujeres y niños, el saqueo de propiedades y el incendio de la aldea.",1
"41","La situación interétnica en Kosovo sigue siendo relativamente tranquila, pero inestable.",1
"42","Puede que ya haya llegado el momento de hacerlo, pero más vale tarde que nunca.",0
"43","Aumento (disminución) de los intereses devengados por pagar",0
"44","Gobiernos de Suecia y Estados Unidos de América",0
"45","4. Decide seguir ocupándose del asunto.",0
"46",":: Incrementar la cooperación y la coordinación con el Comité contra el Terrorismo y su Dirección Ejecutiva, el Comité establecido en virtud de la resolución 1540 (2004) y todos los organismos u organizaciones internacionales que hayan acumulado experiencia y conocimientos especializados en la lucha contra el terrorismo.",0
"47","Entre ellas figuraban emboscadas, así como ataques asimétricos y con cohetes contra los bienes y el personal de la Misión Multidimensional Integrada de Estabilización de las Naciones Unidas en Malí (MINUSMA).",1
"48","Servicios públicos y horas extraordinarias (5.357.643 riyals)",0
"49","Redadas, registros y arrestos sin orden judicial",1
"50","En marzo de 2005 se produjeron allí descargas clandestinas de barcos con matrícula griega y panameña, sin declaración previa a la aduana ni a la policía.",1
"51","Declaró que los campamentos de desplazados internos se utilizaban ahora como lugares desde donde lanzar ataques contra el Gobierno.",1
"52","La aldea de Nurei, cercana a la ciudad de Mornei, en Darfur occidental, fue atacada por los Janjaweed y las fuerzas gubernamentales en diciembre de 2003.",1
