"en_es_GOOGLE"	"MatCoop"
"79. Cuatro Estados tienen sistemas jurídicos eficaces para garantizar la asistencia jurídica mutua y la extradición, pero ningún Estado tiene mecanismos adecuados para intercambiar información rápida y eficazmente con sus homólogos internacionales."	1
"2. La situación entre Eritrea y Etiopía"	0
"Algunos Estados han comenzado a reconocer esto desarrollando estrategias nacionales integrales de lucha contra el terrorismo que van más allá de la aplicación tradicional de la ley e involucran a múltiples actores sociales."	1
"El Consejo también pide a la ONU y a la UA que investiguen conjuntamente las redes logísticas del LRA y las posibles fuentes de financiación ilícita, incluida su supuesta participación en la caza furtiva de elefantes y el contrabando ilícito relacionado."	1
"También informó que la Fuerza de las Naciones Unidas de Observación de la Separación (FNUOS) seguía observando intensos enfrentamientos entre las fuerzas armadas sirias y miembros armados de la oposición, así como ataques aéreos de las fuerzas armadas sirias, dentro de la zona de separación y la zona de limitación."	0
"2. Decide seguir ocupándose del asunto."	0
"b) Continuar trabajando en estrecha coordinación y cooperación con INTERPOL, Estados y organizaciones donantes para facilitar asistencia técnica destinada a desarrollar las capacidades de los organismos encargados de hacer cumplir la ley y en la entrega de equipos e instalaciones a los Estados necesitados;"	1
"Vemos señales alentadoras en esta dirección y logros significativos en esta tarea tan importante."	0
"Que se celebrará el viernes 16 de mayo de 2003, a las 13.25 horas"	0
"El Consejo también pidió a Croacia y a la República Federativa de Yugoslavia que cooperaran plenamente con la Misión y garantizaran la seguridad y la libertad de movimiento plena y sin restricciones de los observadores."	1
"Expresando el deseo de unificar sus fuerzas y promover la armonía intercomunitaria dentro de todos los componentes de la sociedad del Azawad;"	1
"d) El Comité garantizará que cualquier medida adoptada por los Estados miembros para combatir el terrorismo cumpla con todas sus obligaciones en virtud del derecho internacional, en particular el derecho internacional de los derechos humanos, el derecho de los refugiados y el derecho humanitario;"	1
"Alrededor del 30 por ciento de los niños se encontraban en zonas de difícil acceso."	0
"El Centro ha preparado una estrategia de salida para abordar la transferencia de responsabilidades, incluida la limpieza continua de cualquier amenaza residual, la concienciación sobre las minas y la asistencia a las víctimas, a los departamentos apropiados del JIAS."	1
"De conformidad con el artículo 3 común a los cuatro Convenios de Ginebra, el derecho internacional humanitario es aplicable también en conflictos armados de carácter no internacional."	1
"78. La ONUDD y la Organización para la Seguridad y la Cooperación en Europa (OSCE) organizaron conjuntamente un taller regional de expertos sobre la aplicación de los instrumentos jurídicos universales contra el terrorismo como forma de mejorar la cooperación contra el terrorismo en la cuenca del Mediterráneo, celebrado en Málaga (España). en septiembre de 2013."	1
"La Comisión observa con preocupación la ausencia de un control sistemático de las armas y municiones de la PNTL."	0
"La misión se dirigió a Daloa por carretera, escoltada por un destacamento militar de Costa de Marfil."	1
"En 45 países del África subsahariana, la UNESCO desarrolló un mapeo integral de las políticas y recursos actuales para proporcionar una descripción de cómo se fomenta una cultura de paz."	1
