"en_es_GOOGLE"	"VerConf"
"Al mismo tiempo, es imperativo que todas las partes interesadas somalíes, especialmente las Instituciones Federales de Transición, cumplan sus promesas de resolver los enormes desafíos políticos, económicos y de seguridad que enfrentan."	1
"También señaló que los actos de terrorismo se definían como delitos comunes y se trataban con arreglo a procedimientos penales estándar, en lugar de normas especiales o tribunales especiales."	1
"2. Figura que muestra la Bahía de La Unión y la Isla Conejo, anexa al sector de Goascarán y confirmada como bajo soberanía hondureña por la sentencia de la Corte Internacional de Justicia del 11 de septiembre de 1992, y confirmada además por la sentencia del 18 de septiembre de 1992. de diciembre de 2003 declarando inadmisible el recurso de revisión interpuesto por El Salvador respecto del sector Goascarán."	1
"10. Las medidas adoptadas por los Estados abarcan las actividades prohibidas por agentes no estatales, enumeradas en el párrafo 2 de la resolución 1540 (2004), en relación con las armas nucleares, químicas y biológicas y sus sistemas vectores, y los controles de los materiales conexos, de conformidad con el párrafo 3 de la resolución."	0
"Treinta graduados del primer programa de capacitación a mediano plazo de cuatro semanas para altos funcionarios municipales recibieron capacitación en derecho, economía, finanzas públicas, gestión de recursos humanos y resolución de conflictos."	0
"Recordando la Declaración Presidencial del Consejo de Seguridad (S/PRST/2012/17) de 4 de mayo de 2012 sobre las amenazas a la paz y la seguridad internacionales causadas por actos terroristas,"	1
"&quot;El Consejo de Seguridad expresa su preocupación por el hecho de que aviones u otros medios de transporte que partan de territorio controlado por el EIIL y el FAN puedan utilizarse para transferir oro u otros artículos valiosos y recursos económicos para su venta en los mercados internacionales, o para transferir armas y material para uso del EIIL y ANF, y observa que las personas o entidades que participan en tales actividades pueden ser elegibles para ser incluidas en la lista del Comité 1267/1989, expresa su preocupación por los informes de que elementos de importancia arqueológica, histórica, cultural y religiosa están siendo retirados ilegalmente del territorio controlado por ISIL; y ANF que puedan estar generando ingresos para esos grupos, y pide a los Estados miembros que adopten medidas apropiadas para impedir dicho comercio ilegal y, en este sentido, recuerda a todos los Estados que deben garantizar que no se reciban fondos, activos financieros o recursos económicos; puestos a disposición, directa o indirectamente, en beneficio del EIIL, el FAN y todas las demás personas, grupos, empresas y entidades asociados con Al-Qaida; y espera con interés que el Comité Al-Qaida examine detenidamente las recomendaciones pertinentes relativas a nuevas medidas para desbaratar esas actividades que figuran en el informe del Equipo de Apoyo Analítico y Vigilancia de Sanciones de Al-Qaida presentado de conformidad con la resolución 2170, con miras a seguir desbaratando las actividades de esos grupos."	1
"(v) Cualquier otra responsabilidad identificada por el Comité."	0
"Sin embargo, el régimen sigue sufriendo reveses en los tribunales, aunque antes de que el Comité pudiera demostrar la eficacia del proceso del Defensor del Pueblo."	1
"La delegación cubana condena enérgicamente la realización de ataques contra civiles palestinos, así como la destrucción general que están provocando las fuerzas de ocupación israelíes en el norte de la Franja de Gaza. También pedimos el fin inmediato de esos ataques y la retirada urgente de las fuerzas de ocupación."	1
"Exige el fin de la violencia por parte de todas las partes, de los ataques contra civiles, personal de mantenimiento de la paz y personal humanitario, y de otras violaciones de los derechos humanos y del derecho internacional humanitario..."	1
"El Gobierno también comparte algunas de las preocupaciones expresadas en el informe sobre, entre otras cuestiones, los derechos humanos y la situación de las mujeres y los niños."	1
"Que se celebrará el viernes 28 de marzo de 2014, a las 10.00 horas"	0
"El verdadero establecimiento del Estado de derecho en la República Democrática del Congo requiere la formación de un ejército, un sistema de justicia y una fuerza policial que sean eficaces y democráticos."	1
"La gran mayoría de los puestos fronterizos de la policía terrestre carecen de herramientas y equipo para desempeñar sus misiones, y los organismos nacionales de control de fronteras no cooperan suficientemente entre ellos ni con sus homólogos de los Estados vecinos."	1
"Subrayando el papel central de las Naciones Unidas en la lucha mundial contra el terrorismo y acogiendo con beneplácito la adopción por la Asamblea General de la Estrategia Global de las Naciones Unidas contra el Terrorismo (A/60/288) de 8 de septiembre de 2006 y la creación de la Estrategia Antiterrorista Grupo de Trabajo de Implementación (CTITF) para asegurar la coordinación y coherencia generales en los esfuerzos antiterroristas del sistema de las Naciones Unidas,"	0
"En ese contexto, reiteramos nuestra repetida afirmación de que la mayor amenaza a la investigación reside en el hecho de que ciertas partes dentro y fuera de nuestra región la están explotando para politizar conclusiones que no tienen ninguna relación con la investigación y que no se basan en bases firmes. evidencia."	1
"15. Ismail Mohammad al Qaed, de Namr, Daraa"	0
"También como parte de la cumbre, el Consejo buscaría profundizar la coordinación con otros organismos multilaterales que trabajan en este campo, como el Grupo de Trabajo sobre la Implementación de la Lucha contra el Terrorismo y sus 31 entidades, el Centro de las Naciones Unidas contra el Terrorismo, la Oficina de las Naciones Unidas sobre Drogas y Delito y la Organización Internacional de Policía Criminal (INTERPOL)."	0
"Profundamente preocupado por las actividades armadas y el bandidaje en [la región] que amenazan la seguridad de la población civil, la realización de operaciones humanitarias en esas zonas y la estabilidad de esos países, y que resultan en graves violaciones de los derechos humanos y del derecho internacional humanitario."	1
"La atención se centraría en el control de las zonas mineras y en la eliminación de la amenaza de los grupos armados de Ituri y en la restricción de la presencia de las FDLR en zonas seleccionadas con vistas al proceso de desarme, desmovilización, repatriación, reintegración y rehabilitación."	1
"Otro se refirió a los riesgos de aumento de los flujos migratorios, movimientos radicales y activación de redes terroristas internacionales en las inmediaciones de Europa, aunque afirmó que no detectaba ninguna amenaza inmediata a su territorio."	1
"3. Destaca la necesidad de mejorar la coordinación y aumentar el intercambio de información entre el Comité establecido en virtud de la resolución 1267 (1999) (en adelante denominado &quot;el Comité&quot;) y el Comité establecido en virtud de la resolución 1373 (2001);"	0
":: Llevar ante la justicia a quienes financian, planifican, apoyan, facilitan o cometen actos terroristas, teniendo en cuenta en particular el principio de &quot;extraditar o enjuiciar&quot;, de conformidad con el derecho internacional, incluidas las normas de derechos humanos"	1
"Desde entonces, el Gobierno ha manifestado en repetidas ocasiones su preferencia por recibir apoyo bilateral directo para fortalecer la capacidad de sus fuerzas de seguridad."	0
"Tenemos que reconocer nuestra gran preocupación por la situación actual en Afganistán."	1
"Los esfuerzos antiterroristas no deben implicar dobles raseros ni medidas unilaterales de uso de la fuerza, que podrían dañar la cohesión de la coalición contra el terrorismo y desestabilizar la situación regional y mundial."	0
"44. A las 11.30 horas del 5 de octubre de 1998, una formación estadounidense rompió la barrera del sonido en la zona de Mosul."	0
"11. El Gobierno o las instituciones estatales han emprendido o previsto otras investigaciones. Entre ellas se incluyen una investigación a cargo de una comisión parlamentaria, una investigación a cargo del Ministerio de Derechos Humanos y una investigación a cargo del Ministerio de Justicia a través de una comisión nacional que pronto debería establecerse."	0
"33. La situación en la ex República Yugoslava de Macedonia (véanse S/25070/Add.24 y Corr.1; S/1995/40/Add.47; S/1996/15/Add.6, 21 y 47; S /1997/40/Add.14, 21, 47 y 48; S/1998/44/Add.29; S/1999/25/Add.7; y S/2001/15/Add.33 y 39)."	0
"Otra área en la que la Dirección Ejecutiva ve margen para seguir trabajando es una mayor integración de los enfoques de derechos humanos en los programas de lucha contra el terrorismo."	0
"En 2009 y 2010 se produjeron varias incautaciones de grandes cantidades de armas militares en África Occidental (Malí, Nigeria y Senegal)."	0
"Que se celebrará el miércoles 5 de junio de 2013, a las 10.15 horas"	0
"Reafirmando que no se debe permitir que los actos de terrorismo perturben la transición política y económica del Iraq, y reafirmando además las obligaciones de los Estados Miembros en virtud de la resolución 1618 (2005), de 4 de agosto de 2005, y otras resoluciones y convenios internacionales pertinentes con respecto, entre otras cosas, a los terroristas actividades en y desde Irak o contra sus ciudadanos,"	1
"El Gobierno de Jordania destaca la necesidad de que el Gobierno de Israel ponga fin plena e inmediatamente a sus actos de violencia y destrucción en la Franja de Gaza y en todo el territorio palestino ocupado, ponga fin a su política de destrucción deliberada de la infraestructura y los hogares palestinos y cese de inmediato sus actos de ejecuciones extrajudiciales, la imposición de castigos colectivos y otras prácticas contra el pueblo palestino."	1
"B. Desminado en la zona de amortiguación"	0
"Alienta [a la misión], de conformidad con su mandato y dentro de los niveles autorizados de policía civil, a continuar sus esfuerzos para ayudar a las partes en el [acuerdo de paz] a promover el estado de derecho, reestructurar la policía y los servicios penitenciarios en todo [el país afectado] ], particularmente en el sur debido a la falta de desarrollo de los servicios policiales, y ayudando en la capacitación de policías civiles y funcionarios penitenciarios;"	0
"13. Al concluir la reunión, las partes aceptaron el comunicado de mi Enviado Personal, que figura en el anexo I del presente informe, y reiteraron su compromiso de continuar las negociaciones en Manhasset en una fecha que se determinará de común acuerdo."	0
"Que se celebrará el lunes 9 de abril de 2001, a las 10.50 horas"	0
"El estancamiento corre el riesgo de aumentar las tensiones políticas y socavar el sentimiento de mayor confianza que prevaleció tras las elecciones y la toma de posesión del Presidente Martelly."	1
"Condenamos los repetidos ataques terroristas con cohetes contra objetivos civiles israelíes."	1
"Todos los participantes hicieron referencia a la conmemoración, el 19 de agosto, del Día Mundial Humanitario."	0
"Los proveedores de productos petrolíferos recibieron un aviso que prohibía atracar en Pointe Noire a los barcos que atracaran en Liberia, Guinea y Sierra Leona."	0
"Insto a Hamas a que responda positivamente a esas exhortaciones."	1
"Unidades especiales de policía aplicaron medidas especiales de protección en zonas de comunidades minoritarias, además de brindar seguridad para eventos importantes, protección esencial para la fundición de plomo de Zvecan, las instalaciones de la UNMIK y el tribunal de Mitrovica, con personal internacional."	0
"La situación a lo largo de la frontera del Líbano con Siria también sigue siendo motivo de preocupación."	1
"Observando con preocupación que la amenaza del terrorismo se ha vuelto más difusa, con un aumento, en varias regiones del mundo, de los actos terroristas, incluidos los motivados por la intolerancia o el extremismo, y expresando su determinación de combatir esa amenaza,"	1
"En muchos casos, las milicias que atacan aldeas &quot;africanas&quot; tienden a utilizar epítetos despectivos, como &quot;esclavos&quot;, &quot;negros&quot;, nuba o zurga, que podrían implicar una percepción de las víctimas como miembros de un grupo distinto."	0
"Destacando la obligación impuesta a todos los Estados Miembros de aplicar plenamente la resolución 1373 (2001), incluso en lo que respecta a los talibanes o Al-Qaida, y a cualquier persona, grupo, empresa o entidad asociada con Al-Qaida, Usama bin Laden o los talibanes, que han participado en la financiación, planificación, facilitación, reclutamiento, preparación, perpetración o apoyo de otro modo a actividades o actos terroristas, así como para facilitar la implementación de obligaciones antiterroristas de conformidad con las resoluciones pertinentes del Consejo de Seguridad,"	1
"8. La Comisión iniciará sus actividades en la fecha que determinará el Secretario General, que será comunicada oficialmente al Gobierno de Pakistán."	0
"NITC contrataba buques tanto en fletamento por tiempo, por un período de tiempo determinado, como en fletamento por viaje, para un solo viaje."	0
"Isaac Wehyee Nyenabo (Partido Nacional Demócrata de Liberia) fue elegido Presidente Pro Tempore del Senado."	0
"En diciembre de 2007 se completó, bajo la dirección de la Dependencia de Conducta y Disciplina, un programa integral obligatorio de capacitación para todo el personal de la MINURSO sobre las normas de conducta previstas, incluida la prevención de la explotación, el abuso y el acoso sexuales."	0
"121. La licencia de prospección tiene una validez de un año y no es renovable."	0
"Por ejemplo, la sentencia en un caso conocido como Jagre al-Hadi al-Makbul y otros describe cómo una combinación de 39 miembros de la policía y fuerzas populares armadas dejó a los habitantes de Thabit a merced de un gran contingente de atacantes fursan."	1
"&quot;El Consejo de Seguridad subraya que no se tolerará ningún intento de perturbar el proceso de paz y transición en la República Democrática del Congo, incluso mediante el apoyo a grupos armados."	1
"Las disposiciones pertinentes son 2B(b)(2) y 2B(b)(5)."	0
"El Equipo recuerda a los Estados que, a pesar de las sugerencias en contrario del Panel de Alto Nivel sobre las Amenazas, los Desafíos y el Cambio (A/59/565, párr. 152) y otros, el Comité ha establecido desde hace tiempo criterios tanto para la inclusión como para la eliminación de -listado."	1
"Las habilidades y métodos técnicos están pasando cada vez más de un afiliado de Al-Qaida a otro, lo que respalda un nivel de innovación que aumenta la amenaza."	1
"45. Reconoce la necesidad de mantener contacto con los comités pertinentes del Consejo de Seguridad de las Naciones Unidas, las organizaciones internacionales y los grupos de expertos, incluido el Comité establecido en virtud de la resolución 1267 (1999), el Comité contra el Terrorismo (CTC), la Oficina de las Naciones Unidas contra la Droga y el Crimen, la Dirección Ejecutiva del Comité contra el Terrorismo (CTED), el Comité establecido en virtud de la resolución 1540 (2004) y el Grupo de Acción Financiera Internacional (GAFI), en particular dada la presencia continua y la influencia negativa de Al-Qaida en el conflicto afgano y cualquier célula, afiliado, grupo escindido o derivado del mismo;"	0
"Se pueden solicitar al Gobierno excepciones a esta regla para áreas agrícolas residenciales dentro de este límite."	0
"C. Nuevos métodos de pago 55. Los nuevos métodos de pago están cada vez más extendidos y pueden presentar un desafío en términos de financiación del terrorismo."	0
"Creemos que la cuestión del fortalecimiento de la legitimidad del Gobierno es crucial, porque se establece una relación de causa y efecto entre esa legitimidad y la eliminación de la resistencia de los actores y redes informales que caracterizan la naturaleza del poder en el Afganistán."	1
"Y también deseo un buen año a vuestros países, los gobernantes soberanos que os han acreditado aquí en Costa de Marfil."	0
"Los intentos de desestabilizar la situación interna en el Líbano mediante asesinatos políticos son inaceptables."	1
"42. Los objetivos del Plan de Acción actualizado en las cinco áreas temáticas son los siguientes:"	0
"2 1A/90/348A – julio y agosto de 1990"	0
"De conformidad con esta política, tan pronto como tuvo conocimiento de la indeseable presencia de los rebeldes ugandeses del Ejército de Resistencia del Señor (LRA), mi Gobierno no dudó en darles un ultimátum para que abandonaran inmediatamente el territorio nacional."	1
"Es un pasaje difícil, que requiere paciencia y perseverancia."	0
"El domingo pasado, con motivo del vigésimo primer aniversario de Hamás, el líder de Hamás, Haniyeh, cuestionó la continuidad en el cargo del Presidente Abbas en espera de una resolución de la división interna."	1
"531. La Comisión observa para empezar que ha identificado a 10 funcionarios de alto rango del Gobierno central, 17 funcionarios del Gobierno que operaban a nivel local en Darfur, 14 miembros de los Janjaweed, 7 miembros de diversos grupos rebeldes y 3 oficiales de un ejército extranjero. (que participaron a título individual en el conflicto) sospechosos de asumir responsabilidad penal individual por los crímenes cometidos en Darfur."	1
"Gastos de servicios públicos (14.312.881.900 riyals)"	0
"&quot;El Consejo de Seguridad reitera su disposición a imponer sanciones a personas y entidades que alberguen, financien, faciliten, apoyen, organicen, entrenen o inciten a personas o grupos a perpetrar actos de violencia o actos terroristas contra otros Estados o sus ciudadanos en Somalia o su región de conformidad con sus resoluciones pertinentes, y otras redes regionales, así como personas, grupos, empresas y entidades que no cortan todos los vínculos con Al Qaida y grupos asociados, incluida Al Qaida en el Magreb Islámico (AQMI), el &quot;Mouvement pour l &#39;Unicité et le Jihad en Afrique de l&#39;Ouest&#39; (MUJAO) y Ansar Eddine, de conformidad con la resolución 2083 (2012)."	1
"El Banco de Tanzania emitió una circular administrativa Nº 8 sobre control del blanqueo de dinero el 30 de junio de 2000."	0
"14. El 14 de julio se iniciaron en Argel negociaciones oficiales de paz entre el Gobierno de Malí y los grupos armados, con la facilitación de un equipo de mediación internacional integrado por las Naciones Unidas, organizaciones regionales y países vecinos y dirigido por Argelia. Las negociaciones tenían como objetivo preservar el alto el fuego y encontrar una solución política al conflicto, salvaguardando al mismo tiempo la integridad territorial de Malí. El 24 de julio, el Gobierno de Malí y los grupos armados firmaron un acuerdo preliminar en el que se establecía una hoja de ruta para futuras negociaciones."	0
"La situación en la República Centroafricana (6 de agosto de 1997; 22 de enero de 2014)"	0
"El estándar de prueba se establece en los párrs. 156-159, supra."	0
"El informe del Equipo examina por qué muchos Estados todavía no reconocen todo el potencial del régimen de sanciones."	1
"En primer lugar, las preocupaciones en el frente de la seguridad siguen siendo primordiales."	1
"Esto fue posible en gran parte gracias al liderazgo del Primer Ministro Gusmão, así como a la cooperación de todos los partidos políticos representados en el parlamento, incluida la oposición, quienes demostraron su voluntad de avanzar en una cuestión nacional prioritaria."	0
"Muchos Estados también seguirán enfrentándose a cuestiones como la radicalización, el extremismo violento y el movimiento de terroristas a través de las fronteras."	0
"Una copia de la Ley está disponible en www.stgc.gov.sg."	0
"Para camuflar esos hechos, a veces visten uniformes militares para transmitir la percepción errónea de que el ejército oficial es responsable de perpetrar esa violencia."	1
"Determinando que la situación en la región sigue constituyendo una amenaza a la paz y la seguridad internacionales,"	1
"49. Está claro que, cuando la MINURCAT comience su retirada de Birao el 21 de octubre de 2010, las fuerzas nacionales de la República Centroafricana tal vez no estén inmediatamente en condiciones de desplegar y mantener tropas adicionales."	1
"Destaca que todos los responsables de violaciones y abusos de los derechos humanos deben rendir cuentas, y subraya la necesidad de una investigación exhaustiva, independiente e imparcial, coherente con las normas internacionales, sobre los presuntos abusos y violaciones de los derechos humanos, para evitar la impunidad y garantizar la plena rendición de cuentas;"	1
"642. La conclusión de que las autoridades gubernamentales, directamente o a través de las milicias bajo su control, no han seguido ni aplicado ninguna política genocida en Darfur no debe interpretarse como que resta en modo alguno la gravedad de los crímenes perpetrados en esa región."	1
"Nos preocupa profundamente que los procesos ad hoc establecidos con este fin parezcan haber fracasado."	1
"Acogiendo con satisfacción la propuesta de cinco puntos presentada por Etiopía el 25 de noviembre de 2004,"	0
"Hago un llamado a la comunidad de donantes para que contribuya generosamente a las actividades de remoción de minas de Landmine Action, que son esenciales para brindar un entorno seguro a la población local, así como al personal militar y civil de las Naciones Unidas en el Sáhara Occidental."	0
"Por lo tanto, se están tomando medidas para enviar al equipo."	0
"En consecuencia, los observadores señalaron la necesidad de capacitar a abogados y personal judicial y encargado de hacer cumplir la ley, así como la importancia de establecer garantías creíbles de independencia frente a las presiones e intimidaciones que podrían ejercer los miembros de clanes y comunidades étnicas."	0
"Aplicar su política de género para 2003-2007 estableciendo ocho compromisos reforzados con las mujeres para garantizar la seguridad alimentaria y la incorporación de la perspectiva de género en las actividades apoyadas por el PMA, los programas de seguridad alimentaria del PMA y sus asociados y los programas en apoyo de las operaciones de mantenimiento de la paz de las Naciones Unidas."	0
"A pesar de todo lo mencionado, todavía creemos que no existe una solución militar; por el contrario, confiamos en que es contraproducente."	1
"2. La situación en Timor Oriental"	0
"a) Evaluar la evolución de los riesgos y amenazas;"	1
"Una vez hecho esto, obtuvo la confirmación de la Asamblea Nacional de la República Srpska el 29 de noviembre."	0
"La adición de estos nombres demuestra una vez más la continua preocupación del Comité por la amenaza a la paz y la seguridad internacionales que plantean los talibanes."	1
"&quot;El Consejo de Seguridad reitera su firme apoyo a la aprobación por la Asamblea General de la Estrategia global de las Naciones Unidas contra el terrorismo (A/60/288), de 8 de septiembre de 2006, y a la institucionalización del CTITF, de conformidad con la resolución 64/235 de la Asamblea General. , para garantizar la coordinación y coherencia generales en los esfuerzos antiterroristas del sistema de las Naciones Unidas, y la plena participación, dentro de sus mandatos, de los órganos subsidiarios pertinentes del Consejo de Seguridad en la labor del CTITF y sus grupos de trabajo, y acoge con satisfacción la aprobación por parte del Asamblea General de la resolución 64/297."	0
"Lamentablemente, también hay numerosos ejemplos en los que los mecanismos de investigación habrían podido contribuir a establecer la verdad, garantizar la rendición de cuentas y prevenir nuevas violaciones de los derechos humanos, pero en los que el Consejo no adoptó medidas eficaces debido a consideraciones políticas."	1
"Ministerio del Interior y Justicia"	0
"Además, las violaciones aéreas israelíes de la Línea Azul han continuado de forma periódica, en violación directa de la resolución 1701 (2006)."	1
"En Darfur septentrional, que registra el número más bajo de los tres estados de Darfur, se estima que hay 685.200 personas afectadas por el conflicto, de las cuales 403.000 son desplazados internos."	0
"El ministro del Interior, Lobato, llegó a la sede vestido con un chaleco antibalas y muy agitado, gritando &quot;mátenlos a todos&quot;."	1
"2. Exhorta al gobierno sirio a implementar visiblemente sus compromisos en su totalidad, como acordó hacerlo en el Entendimiento Preliminar y como se estipula en la resolución 2042 (2012), de (a) cesar los movimientos de tropas hacia centros de población, (b) cesar todo uso de armas pesadas en dichos centros, (c) retirada completa de las concentraciones militares dentro y alrededor de los centros de población, así como retirar sus tropas y armas pesadas de los centros de población a sus cuarteles o lugares de despliegue temporal para facilitar un cese sostenido de la violencia ;"	1
"Se informó que se infligía sistemáticamente a los detenidos sufrimientos físicos y mentales como castigo por su presunta afiliación o apoyo a los rebeldes, y con el fin de obtener información o confesiones."	0
"Sobre todo, nuestras preocupaciones estaban relacionadas con la insistencia de las autoridades de Pristina en implementar de algún modo la llamada estrategia para el norte de Kosovo, en flagrante violación de la resolución 1244 (1999), que sigue siendo la principal plataforma jurídica internacional para un acuerdo en Kosovo."	1
"Consideramos la postura de Armenia como un desafío abierto al proceso de solución del conflicto y una grave amenaza a la paz y la seguridad internacionales y regionales."	1
":: 21 de junio de 2005, el ex dirigente del Partido Comunista Libanés George Hawi muere cuando su automóvil explota cerca de su casa en Wata Musaytbeh."	1
"&quot;El Consejo de Seguridad, subrayando que la paz y la seguridad en el mundo son indivisibles y teniendo en cuenta la interconexión e interdependencia del mundo, reafirma que el terrorismo en todas sus formas y manifestaciones constituye una de las amenazas más graves a la paz y la seguridad internacionales y que Cualquier acto de terrorismo es criminal e injustificable, independientemente de sus motivaciones, cuándo y quién lo cometa."	1
"Reitero que el personal de las Naciones Unidas nunca debe ser amenazado ni sancionado por realizar su trabajo, que se basa en la Carta de las Naciones Unidas y, en este caso, por mandato del Consejo de Seguridad."	1
"Tomando nota de los recientes acontecimientos e iniciativas a nivel internacional, regional y subregional para prevenir y reprimir el terrorismo internacional, tomando nota de la labor del Foro Mundial contra el Terrorismo (GCTF), en particular su reciente adopción de un conjunto integral de buenas prácticas para abordar el tema de los combatientes terroristas extranjeros. fenómeno, y su publicación de varios otros documentos marco y buenas prácticas, incluso en las áreas de lucha contra el extremismo violento, justicia penal, prisiones, secuestros para pedir rescate, prestación de apoyo a las víctimas del terrorismo y actuación policial orientada a la comunidad, para ayudar a los Estados interesados a la aplicación práctica del marco jurídico y normativo de las Naciones Unidas contra el terrorismo y complementar la labor de las entidades pertinentes de las Naciones Unidas contra el terrorismo en esas esferas,"	0
"Su disciplina y porte han sido de alto nivel, reflejando crédito para ellos mismos, para sus países y para las Naciones Unidas."	0
"60. La cuestión India-Pakistán (6 de enero de 1948; 5 de noviembre de 1965)."	0
"Además, la Acción Coordinadora sobre Armas Pequeñas ha decidido embarcarse en el desarrollo de estándares internacionales para el control de armas pequeñas, no muy diferentes de los estándares que se han creado sobre acción contra minas y sobre desarme, desmovilización y reintegración."	0
"13. Insta a la comunidad internacional a brindar apoyo y asistencia para permitir que los Estados cumplan con sus responsabilidades en materia de protección de los refugiados y otras personas protegidas por el derecho internacional humanitario;"	0
"g) Traslado de personas (artículo 16 de la Convención, previsto en el artículo 22 del proyecto de ley);"	0
"Israel está obligado, según el derecho internacional y como potencia ocupante, a proteger a los civiles palestinos, especialmente a los niños, y a salvaguardar la propiedad civil."	1
"Sobre la base de un análisis exhaustivo de la información reunida en el curso de sus investigaciones, la Comisión estableció que el Gobierno del Sudán y los Janjaweed son responsables de graves violaciones del derecho internacional humanitario y de los derechos humanos que constituyen crímenes de derecho internacional."	1
"Máscaras antigás (1.033.600 riyals)"	0
"Los resultados de la revisión, incluidas las cuestiones importantes identificadas, se registraron en la base de datos de reclamaciones."	0
"Se había desplegado un total del 72 por ciento del personal de policía previsto (el 5 por ciento de los cuales son mujeres)."	0
"Lamentablemente, esta postura no ha cambiado, a pesar de los numerosos intentos de la comisión de lograr un compromiso."	1
"La situación en Timor Oriental (véanse S/11593/Add.50 y 51; S/11935/Add.15 y 16; S/1999/25/Add.17, 22, 25, 30, 33 a 36, 42 y 50 ; y S/2000/40/Add.4, 11, 16 y 20)"	0
"Durante las consultas oficiosas del Comité celebradas el 22 de mayo, el Coordinador del Equipo de Vigilancia hizo una presentación oral sobre la actual amenaza a la paz y la seguridad internacionales que plantean AlQaida y sus afiliados."	1
"Discurso del Sr. Amre Moussa, Secretario General de la Liga de los Estados Árabes, en la sesión inaugural"	0
"Sr. Le Luong Minh (Viet Nam) (habla en inglés): El terrorismo es una preocupación compartida por todos los Miembros de las Naciones Unidas y la comunidad internacional en general."	1
"27. Las F-FDTL sufrieron una amplia reacción pública, en particular de las organizaciones de veteranos que surgieron en 2001."	1
"Reafirmando que el terrorismo en todas sus formas y manifestaciones constituye una de las amenazas más graves a la paz y la seguridad internacionales y que cualquier acto de terrorismo es criminal e injustificable, independientemente de sus motivaciones, cuándo y quién lo cometa,"	1
"Si esta persona es declarada culpable, tiene el deber de castigarla y proporcionar un recurso y reparación efectivos a las víctimas."	0
"Que se celebrará el lunes 19 de agosto de 2013, a las 11.10 horas"	0
"ORIGINAL: INGLÉS ASAMBLEA GENERAL CONSEJO DE SEGURIDAD"	0
"8. El 21 de septiembre, en respuesta a una solicitud de las partes en el Acuerdo General de Paz, anuncié el establecimiento de un grupo de tres miembros, encabezado por el ex Presidente de la República Unida de Tanzania, Benjamin Mkapa, para vigilar el Sudán meridional y Referendos de Abyei."	0
"38. Dada la urgencia de la situación actual, los esfuerzos de la comunidad internacional deben ser inmediatos, coordinados y decididos."	1
