"en_es_GOOGLE"	"VerCoop"
"83. Los combatientes del MPCI proporcionaron a la misión información sobre la existencia de otras fosas comunes en las zonas de combate. Se dice que las fosas comunes son cinco, tres de ellas en Man y dos en Danané, a 72 kilómetros de Man."	1
"A través de un enfoque amplio, de &quot;toda la sociedad&quot;, los esfuerzos destinados a contrarrestar el extremismo violento son fundamentales para frenar el reclutamiento y abordar las necesidades de los combatientes terroristas extranjeros que regresan (para garantizar que no se radicalicen hacia la violencia en su país de origen o en terceros países)."	0
"Exige que todas las partes en un conflicto armado adopten inmediatamente medidas apropiadas para proteger a los civiles, incluidos mujeres y niños, de todas las formas de violencia sexual, incluidas medidas como, entre otras, aplicar medidas disciplinarias militares apropiadas y defender el principio de responsabilidad del mando, entrenar tropas sobre la prohibición categórica de todas las formas de violencia sexual contra civiles, desacreditar los mitos que alimentan la violencia sexual y examinar a los candidatos para los ejércitos y fuerzas de seguridad nacionales para garantizar la exclusión de aquellos asociados con violaciones graves del derecho internacional humanitario y de los derechos humanos, incluida la violencia sexual."	1
"Casos en fase previa al juicio (anexo 2)"	0
"42. El Gobierno de Côte d&#39;Ivoire prevé actualmente que este número de casos se tramitará durante un período de dos años."	0
"Sírvanse informar al Comité contra el Terrorismo si se ha promulgado como ley el nuevo Código Penal, y específicamente las disposiciones que tipifican como delito el reclutamiento de personas con el fin de cometer actos terroristas."	0
"Acogiendo con beneplácito el establecimiento de la Oficina del Ombudsman de conformidad con la resolución 1904 (2009) y el papel que ha desempeñado desde su creación, observando el importante papel del Ombudsman en la mejora de la equidad y la transparencia, recordando el firme compromiso del Consejo de Seguridad de garantizar que la Oficina del El Ombudsman pueda seguir desempeñando su función con eficacia, de conformidad con su mandato, y recordando también la Declaración Presidencial del Consejo de Seguridad (S/PRST/2011/5) de 28 de febrero de 2011,"	1
"El órgano de supervisión, el Consejo Superior del Ministerio Público, aún no se ha creado."	0
"B. Instalaciones, logística y apoyo 56. La Misión ha iniciado la transición prevista de instalaciones administradas por la Fuerza Multinacional a instalaciones administradas por ella misma."	0
"5. Confirma que los requisitos del párrafo 1 (a) anterior se aplican a los recursos financieros y económicos de todo tipo, incluidos, entre otros, los utilizados para la prestación de alojamiento de Internet o servicios relacionados, utilizados para el apoyo de aquellos que figuran en esta Lista, así como a otros individuos, grupos, empresas o entidades asociados con los talibanes por constituir una amenaza a la paz, la estabilidad y la seguridad de Afganistán;"	1
"54. Los Estados &quot;de ideas afines&quot; han propuesto que el Comité cambie su procedimiento de toma de decisiones para permitir una votación mayoritaria, en lugar de actuar por consenso, al considerar la eliminación de una entrada de la Lista después de un período de revisión, lo que sugieren reducirse a dos años."	1
"Es necesaria una aplicación más eficaz de la resolución 1624 (2005), que fomenta el diálogo y el entendimiento entre religiones y culturas a fin de contrarrestar la incitación a actos terroristas motivados por el extremismo y la intolerancia."	1
"El Consejo pide a los combatientes restantes del LRA que abandonen las filas del grupo y participen en el proceso de Desarme, Desmovilización, Repatriación, Reasentamiento y Reintegración (DDRRR)."	1
"Estaba oxidado de forma oscura, pero cuando lo colocaron en el aire después de quitar el óxido oscuro, se volvió amarillo."	0
"Bahrein Saudi Aluminium Marketing Co (BALCO)"	0
"Se ha realizado un ajuste de los gastos de los equipos suministrados para tener en cuenta su valor residual."	0
"Los miembros del Consejo coincidieron en que era necesario abordar las causas profundas del conflicto y que era necesaria una respuesta coordinada en la que participaran todos los órganos pertinentes de las Naciones Unidas."	1
"8. A falta de objeciones por parte del Consejo, tengo la intención de proceder como se establece anteriormente."	0
"Solicita al Secretario General y a los organismos pertinentes de las Naciones Unidas, entre otras cosas, mediante consultas con mujeres y organizaciones dirigidas por mujeres, según corresponda, que desarrollen mecanismos eficaces para brindar protección contra la violencia, incluida en particular la violencia sexual, a las mujeres y las niñas en las Naciones Unidas y sus alrededores. gestionaba campamentos de refugiados y desplazados internos, así como en todos los procesos de desarme, desmovilización y reintegración, y en las iniciativas de reforma del sector de la justicia y la seguridad con asistencia de las Naciones Unidas."	1
"236. El Grupo de Supervisión se reunió dos veces con miembros del equipo del Banco Mundial en Nairobi."	0
"Tengo el honor de informarle que, como Presidente del Consejo de Seguridad durante el mes de agosto, el Reino Unido ha programado una reunión informativa para el 19 de agosto con motivo del Día Mundial de la Asistencia Humanitaria. La sesión informativa se centrará en la protección de los trabajadores humanitarios, en el marco del tema del programa sobre la protección de los civiles en los conflictos armados."	1
"Colombia, Chile, Paraguay y Perú también han promulgado leyes que otorgan a sus autoridades encargadas de hacer cumplir la ley poderes especiales de investigación."	1
"C. Contra el ejército de Yugoslavia"	0
"Destacando en este contexto la importancia de que el Gobierno [del país afectado] siga avanzando para poner fin a la impunidad y fortalecer las instituciones judiciales, el estado de derecho y el respeto de los derechos humanos dentro [del país afectado], incluidos los de las mujeres y las niñas, y en el reconstrucción y reforma del sector penitenciario en [el país afectado]."	1
"Nuevas estimaciones publicadas por el Ministerio de Salud Pública y Población en marzo de 2013 muestran que las nuevas infecciones por el VIH entre jóvenes de entre 15 y 24 años se redujeron en un 21 por ciento durante el período 2011-2013."	0
"En este sentido, solicitamos que se haga todo lo posible para que estas reuniones se celebren cada dos meses, tal como se acordó, y que, en la medida de lo posible, los jefes de los servicios de inteligencia y seguridad participen personalmente en estas reuniones. Instamos a todas las partes interesadas, incluido el Centro Africano para el Estudio y la Investigación sobre el Terrorismo, la Unidad de Enlace y Fusión del Sahel y el Comité de Servicios de Inteligencia y Seguridad de África, en estrecha cooperación con la Comisión de la Unión Africana, a proseguir e intensificar su esfuerzos para intercambiar opiniones y asistencia mutua, así como para implementar los aspectos pendientes de las conclusiones operativas de la reunión de los jefes de los servicios de inteligencia y seguridad."	1
"Actualmente no está claro cuándo se podrá alcanzar un acuerdo sobre la reestructuración de la policía que permita el inicio de las negociaciones, pero la Unión Europea está dispuesta a ayudar en futuras negociaciones una vez que se alcance un acuerdo que satisfaga las condiciones de la Comisión Europea."	1
"18. En Beni, las autoridades locales y la sociedad civil han pedido una participación más activa de la Fuerza de la MONUSCO en operaciones militares contra las FDA, incluso mediante la realización de operaciones unilaterales."	1
"17. La MINURSO siguió disfrutando de buenas relaciones tanto con el Real Ejército de Marruecos como con las fuerzas armadas del Frente Polisario."	1
":: Las organizaciones regionales y subregionales deberían formar parte de un enfoque integrado de la lucha contra el terrorismo."	0
"Informe del Secretario General sobre la Misión de Estabilización de las Naciones Unidas en Haití (S/2012/128)."	0
"Una expresión que se pronuncie de tal manera que pueda llegar a un gran número de personas se considerará equivalente a una expresión pronunciada públicamente."	0
"La UNODC organizará un taller nacional sobre cooperación internacional en asuntos penales relacionados con el terrorismo, el crimen organizado transnacional y la corrupción para Namibia en marzo de 2014."	1
"El Acuerdo de Argel exige a las dos partes, en el párrafo 1 del artículo 1, &quot;abstenerse del uso o la amenaza de la fuerza&quot;."	1
"18. En el sector financiero, los asesores civiles de la UNOTIL transfirieron con éxito todas las funciones que desempeñaban dentro de la Tesorería a sus homólogos nacionales."	0
"Que se celebrará el miércoles 20 de julio de 2011, a las 10.00 horas"	0
"Los partidos kurdos, con excepción de Gorran, se presentarán juntos sólo en la gobernación de Salah al-Din."	0
"También recomienda que el Gobierno de Nepal se comprometa claramente con la reintegración de los niños asociados con fuerzas y grupos armados, y que mejore la protección jurídica de los niños penalizando el reclutamiento de niños y enjuiciando a los violadores de los derechos de los niños."	1
"Por lo tanto, los Estados de Asia central se enfrentan a una grave amenaza terrorista transnacional que requiere respuestas regionales concertadas y coordinadas."	0
"3. Decide renovar el mandato de la ONUCI, según lo establecido en la resolución 1933 (2010), hasta el 30 de junio de 2011;"	0
"&quot;El Consejo de Seguridad toma nota de la apertura del centro internacional de excelencia para la lucha contra el extremismo violento, en Abu Dhabi el 14 de diciembre de 2012."	0
"Que se celebrará el viernes 11 de octubre de 2002, a las 10.00 horas"	0
"No se ha realizado ninguna auditoría financiera."	0
"Oficialmente, la FACI los describe como aviones de &quot;reconocimiento&quot;, aunque el Grupo observó que a uno de ellos se le habían añadido puntos reforzados bajo las alas, que fueron adaptados para intentar transportar municiones no especificadas por la OTAN para acciones militares."	0
"Esto es evidente en los grupos que luchan en Somalia, el Yemen, la República Árabe Siria y Nigeria."	0
"... destacando la importancia de investigar [presuntos abusos de los derechos humanos y violaciones del derecho internacional humanitario], incluidos los ocurridos durante la ... crisis, cometidos por todas las partes, independientemente de su estatus o afiliación política, reafirmando que los responsables de tales violaciones deben rendir cuentas y ser llevadas ante la justicia independientemente de su afiliación política, respetando al mismo tiempo los derechos de las personas detenidas..., instando al Gobierno a aumentar y acelerar sus esfuerzos para combatir la impunidad,"	1
"El Gobierno se ha ofrecido a proporcionar terrenos e instalaciones, como electricidad, agua y un sistema de drenaje, sin costo alguno para la Organización."	0
"Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,"	0
"Mantuvo numerosos intercambios con el Gobierno marroquí, que, antes de aceptar la reanudación de la diplomacia itinerante, solicitó una reunión para aclarar sus preocupaciones sobre el último informe del Secretario General (S/2014/258), precisando que Marruecos consideraba que esto permitiría que el proceso avanzara de la mejor manera posible."	1
"REPÚBLICA CHECA REPÚBLICA FEDERAL DE YUGOSLAVIA POLONIA"	0
"12. Expresa su apoyo a la inclusión, cuando proceda, en los acuerdos de paz y los mandatos de las misiones de mantenimiento de la paz de las Naciones Unidas, de medidas específicas y adecuadas para el desarme, la desmovilización y la reintegración de los excombatientes, prestando especial atención a la desmovilización y la reintegración de niños soldados, así como disposiciones claras y detalladas para la destrucción de los excedentes de armas y municiones y, a este respecto, recuerda la declaración de su Presidente de 8 de julio de 1999;"	1
"33. La amenaza que representan los antiguos militares disminuyó durante el período que abarca el informe, tras la muerte, el 9 de abril, del autoproclamado dirigente Ravix Rémissainthe (véase S/2005/313, párr. 16)."	0
"También pueden estar utilizando oro y materias primas preciosas como medio de transferencia."	0
"1. El 26 de julio de 2005, el Consejo de Seguridad adoptó la resolución 1612 (2005), sobre los niños y los conflictos armados."	1
"60. Muchas zonas siguen siendo en gran medida inaccesibles."	0
"c) Decidió que la Dirección Ejecutiva seguiría funcionando como misión política especial bajo la orientación normativa del Comité durante el período que terminaría el 31 de diciembre de 2010 y decidió además realizar un examen provisional antes del 30 de junio de 2009 y un examen amplio de la labor de la Dirección Ejecutiva antes de la expiración de su mandato;"	0
"Algunos miembros del Consejo señalaron la importancia de la coordinación -- entre los comités de sanciones, los grupos de expertos y los Estados Miembros del Consejo, así como entre las entidades de las Naciones Unidas, las misiones sobre el terreno y los comandantes de las fuerzas -- para lograr la aplicación efectiva de las sanciones del Consejo."	1
"Pide una acción internacional eficaz para prevenir el flujo ilegal de armas pequeñas hacia zonas de conflicto."	1
"Los participantes en el foro iniciaron un proceso de identificación de elementos para una estrategia nacional sobre la participación de las mujeres en la resolución de conflictos."	1
"Algunos han argumentado que, en cualquier caso, estas empresas deberían tomar medidas para cerrar sitios que enseñan técnicas terroristas, como la producción de explosivos o el uso de armas que puedan causar víctimas masivas."	1
"El Presidente informó al Consejo de que durante las consultas del Comité, el Grupo de Supervisión había presentado un informe sobre sus conclusiones respecto de la recuperación de activos somalíes en el extranjero y había examinado la cuestión de las interdicciones de carbón y armas por parte de fuerzas marítimas internacionales en alta mar y dentro del territorio territorial. aguas de Somalia."	1
"Dado que para la mayoría de los fines las Naciones Unidas necesitan transmitir un mensaje común sobre la lucha contra el terrorismo, es apropiado que el Grupo de Trabajo tome la iniciativa a este respecto, aunque la Dirección Ejecutiva también necesitará mantener su perfil público independiente y garantizar la transparencia como a sus propios procedimientos, según corresponda."	1
"Por lo tanto, consideré atentamente la cuestión de presentar una propuesta por escrito."	0
"Teniendo presente el carácter especial de la resolución 1373 (2001), las continuas amenazas a la paz y la seguridad causadas por el terrorismo, el importante papel que las Naciones Unidas y el Consejo de Seguridad deben seguir desempeñando en la lucha mundial contra el terrorismo, la necesidad de reforzar la Comité como órgano subsidiario del Consejo de Seguridad responsable en esta esfera, y sin sentar precedente para otros órganos del Consejo de Seguridad,"	0
"Cartas de crédito 55 - 59 19"	0
"Reconociendo que la cooperación internacional y todas las medidas que adopten los Estados Miembros para prevenir y combatir el terrorismo deben ajustarse plenamente a la Carta de las Naciones Unidas,"	1
"En la resolución 22/13, el Consejo encargó a la comisión que investigara las violaciones sistemáticas, generalizadas y graves de los derechos humanos en el Estado, con miras a garantizar la plena rendición de cuentas, en particular, por violaciones que pudieran constituir crímenes de lesa humanidad."	1
"a) Promover la adopción de instrumentos y legislación internacionales de lucha contra el terrorismo para aplicar plenamente los instrumentos internacionales de lucha contra el terrorismo en toda la subregión;"	1
"No se dispone de cifras oficiales sobre la existencia estimada de servicios de envío de dinero/transferencia de valor."	0
"Reconoce que, a pesar de los avances logrados en materia de igualdad de género, es necesario intensificar los esfuerzos, incluidos objetivos mensurables y orientados a la acción, para garantizar los derechos de las mujeres y las niñas y garantizar que todas las mujeres y las niñas en [el país afectado] estén protegidas de la violencia y el abuso, disfrutar de igual protección ante la ley y de igual acceso a la justicia, condena enérgicamente la discriminación y la violencia contra las mujeres y las niñas, en particular la violencia dirigida a impedir que las niñas asistan a la escuela, destaca la importancia de aplicar las resoluciones del Consejo de Seguridad 1325 (2000), 1820 (2008) , 1888 (2009), 1889 (2009) y 1960 (2010), señala los compromisos de integración introducidos en ellos y de garantizar que las mujeres que huyen de la violencia doméstica puedan encontrar un refugio seguro;"	1
"Insta a los Estados Miembros a garantizar una mayor representación de las mujeres en todos los niveles de toma de decisiones en las instituciones y mecanismos nacionales, regionales e internacionales para la prevención, gestión y resolución de conflictos."	1
"Nadie en la región está exento de las demandas de cambio que hemos visto."	0
"11. Insta a todos los Estados miembros, en particular a los Estados del Sahel y el Magreb, a coordinar sus esfuerzos para prevenir la grave amenaza que suponen para la seguridad internacional y regional los grupos terroristas que cruzan fronteras y buscan refugios seguros en la región del Sahel, a mejorar la cooperación y la coordinación para desarrollar estrategias inclusivas y efectivas para combatir de manera integral e integrada las actividades de los grupos terroristas, y para prevenir la expansión de esos grupos, así como para limitar la proliferación de todas las armas y el crimen organizado transnacional;"	1
":: Alentar a los Estados a promover el diálogo y la cooperación, incluso con la sociedad civil, el mundo académico y la industria, para hacer frente a la amenaza que plantea el tráfico ilícito de armas nucleares, químicas o biológicas y sus sistemas vectores y materiales conexos."	1
"24. El examen de mitad de período de la Estrategia de Visión Conjunta concluyó en septiembre de 2011, tras celebrar consultas con el Gobierno. El examen destacó la contribución de las Naciones Unidas a la aplicación del Programa para el Cambio del Gobierno y proporcionó orientación hacia un enfoque programático que permitiría mayores sinergias y más flexibilidad en las intervenciones de las Naciones Unidas."	1
"Acogiendo con beneplácito y apoyando las medidas adoptadas para concertar tratados sobre zonas libres de armas nucleares y reafirmando la convicción de que el establecimiento de zonas libres de armas nucleares internacionalmente reconocidas sobre la base de acuerdos concertados libremente entre los Estados de la región interesada y de conformidad con las directrices de la Comisión de Desarme de las Naciones Unidas de 1999, mejora la paz y la seguridad mundiales y regionales, fortalece el régimen de no proliferación nuclear y contribuye a la realización de los objetivos del desarme nuclear,"	1
"El Fondo obtiene ingresos de dos fuentes:"	0
"Subrayando que los refugios que se ofrecen a los terroristas siguen siendo una preocupación importante y que todos los Estados miembros deben cooperar plenamente en la lucha contra el terrorismo para encontrar, negar refugio y llevar ante la justicia, sobre la base del principio de extraditar o procesar, cualquier persona que apoye, facilite, participe o intente participar en la financiación, planificación, preparación o comisión de actos terroristas o proporcione refugio seguro,"	1
"105. El Gobierno tiene el mandato de diseñar y ejecutar la política general del país."	0
"31. Los Estados y muchos actores internacionales acogieron con agrado la apertura del proceso de revisión integral e instaron al Comité 1540 a continuar con este enfoque y aumentar sus ya útiles esfuerzos para lograr la transparencia y la inclusión."	1
"La conferencia también nos recordó los difíciles desafíos que tenemos por delante."	0
"El Gobierno de la República Árabe Siria desea expresar su agradecimiento por los esfuerzos del Departamento de Operaciones de Mantenimiento de la Paz y de los funcionarios de la FNUOS en el Golán sirio ocupado para mantener la seguridad y la paz en la zona de operaciones de la Fuerza, de conformidad con su mandato. Desde que se creó la Fuerza en 1974, Siria ha apoyado y facilitado constantemente su labor y respetado su mandato. También ha mantenido estrechos vínculos con funcionarios de la FNUOS, el Organismo de las Naciones Unidas para la Supervisión de la Tregua y el Departamento de Operaciones de Mantenimiento de la Paz. En sus informes anteriores, el Secretario General siempre ha expresado su agradecimiento por la cooperación de Siria, sus esfuerzos asiduos para garantizar la seguridad de las tropas de la FNUOS y su respeto por el mandato de la Fuerza."	1
"En particular, recomienda que el Comité modifique el párrafo 6 i) de sus directrices para que los nombres de las personas identificadas como muertas se revisen automáticamente cada año, junto con las listas seleccionadas por el Comité del conjunto de entradas que no se han actualizado. en cuatro años o más, a menos que un miembro del Comité solicite específicamente que se retire de la consideración el nombre de una persona supuestamente fallecida."	1
"Si bien la OMS y la MINUSMA apoyaron el ejercicio de seguimiento del Gobierno, la OIM desplegó personal en los puntos de entrada fronterizos para fortalecer la vigilancia y el rastreo de viajeros entre Guinea y Malí, así como para concienciar a la población local sobre la enfermedad. Atendiendo a una solicitud del Presidente Keïta, el 22 de noviembre establecí una oficina de apoyo de la Misión de las Naciones Unidas para la Respuesta de Emergencia al Ébola en Malí, que opera en coordinación con la MINUSMA y cuenta con su apoyo. UNICEF, en coordinación con la OMS, ha ampliado su respuesta para apoyar al Ministerio de Salud en programas de agua, saneamiento e higiene."	0
"c) ordenará a la persona que lo reciba bajo custodia que lo lleve al Estado extranjero y, cuando el detenido regrese a Tonga, lo devuelva a un lugar de reclusión en Tonga especificado en la orden;"	0
"14. La situación en Sierra Leona (27 de noviembre de 1995; 26 de marzo de 2014)."	0
"El banco no puede abrir una cuenta ni operar con un cliente que insiste en permanecer en el anonimato o que da un nombre falso."	0
"465. En el comunicado conjunto emitido por el Gobierno y las Naciones Unidas durante la visita del Secretario General el 3 de julio de 2004 sobre la situación en Darfur, el Gobierno del Sudán se comprometió a adoptar medidas concretas para poner fin a la impunidad de los derechos humanos. violaciones en la región."	1
"II. EVOLUCIÓN DURANTE EL PERIODO DEL INFORME"	0
"El Gobierno australiano, que actualmente preside el Arreglo de Wassenaar, ha presentado una iniciativa de reducción de amenazas sobre el uso de estos sistemas en el Foro Regional de la Asociación de Naciones del Sudeste Asiático (ASEAN)."	1
"4. En la determinación de cualquier cargo contra el acusado de conformidad con el presente Estatuto, el acusado tendrá derecho a las siguientes garantías mínimas, en plena igualdad:"	0
"2. Exhorta a todos los Estados a que cooperen, entre otras cosas, para fortalecer la seguridad de sus fronteras internacionales, incluso combatiendo los documentos de viaje fraudulentos y, en la medida de lo posible, mejorando los procedimientos de detección de terroristas y de seguridad de los pasajeros con miras a impedir que los culpables de la conducta prevista en el párrafo 1 (a) entren en su territorio;"	1
"Reiteraron su llamado a todas las partes afganas a trabajar juntas por la paz y el establecimiento de un gobierno de base amplia, multiétnico y plenamente representativo."	1
"También ha habido avances en el intercambio de información sobre esas personas, en particular a través de la Organización Internacional de Policía Criminal (INTERPOL), así como en la cooperación en materia de seguridad fronteriza."	0
"74. Se lograron avances significativos en el actual programa de trabajo para aumentar la concienciación entre los parlamentarios, a través de los eventos celebrados en Ginebra con la UIP y en San Petersburgo (Federación de Rusia) con parlamentarios de los países de la CEI."	1
"El 24 de noviembre, en el Salón, el Consejo recibió un informe de 90 días del Presidente del Comité del Consejo de Seguridad establecido en virtud de la resolución 1591 (2005) relativa al Sudán. Embajadora María Cristina Perceval (Argentina), quien actualizó al Consejo sobre las actividades del Comité durante el período que abarca el informe, incluida la colaboración con los Estados miembros de la región, para identificar lagunas de información e informar sobre los requisitos de creación de capacidad para promover la implementación de las medidas de sanciones."	1
