"","en_es_TRANSFORMERS","MatCoop"
"1",":: Aumentar la cooperación y coordinación con el Comité contra el Terrorismo y su Dirección Ejecutiva, el Comité establecido en virtud de la resolución 1540 (2004) y todos los organismos u organizaciones internacionales que han acumulado experiencia y conocimientos especializados en la lucha contra el terrorismo.",1
"2","Tengo el honor de referirme a la resolución 1606 (2005) del Consejo de Seguridad, de 20 de junio de 2005, en la que el Consejo me pidió que iniciara negociaciones con el Gobierno de Burundi y consultas con todas las partes burundianas interesadas sobre la forma de aplicar las recomendaciones contenidas en el informe de la misión de evaluación (véase S/2005/158) sobre el establecimiento de una Comisión de la Verdad mixta y una Sala Especial dentro del sistema judicial de Burundi.",0
"3","El Consejo destaca la utilidad de seguir estableciendo alianzas eficaces entre las Naciones Unidas y las organizaciones regionales y subregionales pertinentes, a fin de dar una respuesta rápida a las controversias y las crisis emergentes y fortalecer el papel de las Naciones Unidas en la prevención de conflictos.",1
"4","Decreto No 340/84 (21 de agosto de 1984)",0
"5","El componente militar sigue prestando servicios en condiciones sumamente difíciles en el norte.",0
"6","En mi calidad de representante del Presidente en ejercicio de la Unión Africana, tengo el honor de transmitir adjunto el comunicado sobre Côte d'Ivoire emitido por la 40a reunión del Consejo de Paz y Seguridad de la Unión Africana a nivel de Jefes de Estado y de Gobierno, celebrada en Addis Abeba el 6 de octubre de 2005.",1
"7","Como mínimo, deberían incluir una articulación por parte de los dirigentes superiores de una misión de su comprensión de la protección de los civiles y de las funciones y responsabilidades detalladas dentro de la misión en la realización de esas actividades, en relación con las amenazas cotidianas y persistentes de bajo nivel y las posibles crisis.",1
"8","10. Pide además al Grupo de Trabajo, establecido en virtud del párrafo 9, que considere la posibilidad de establecer un fondo internacional para indemnizar a las víctimas de actos terroristas y a sus familias, que podría financiarse mediante contribuciones voluntarias, que podrían consistir en parte en activos incautados a organizaciones terroristas, sus miembros y patrocinadores, y que presente sus recomendaciones al Consejo;",1
"9","En el caso de Petrolube, estas consideraciones no son aplicables.",0
"10","Cada pago de rescate fomenta nuevos secuestros, creando un círculo vicioso de estímulo y financiación para AlQaida y sus afiliados.",0
"11","Los edificios restantes fueron destruidos por la quema.",0
"12","Sobre la base del acuerdo concertado por el Primer Ministro y mi ex Representante Especial el 13 de mayo de 2009 (véase S/2009/504, párr. 20), en el que se reiteran los criterios mutuamente convenidos para que la policía nacional vuelva a asumir las funciones principales de policía, al 20 de septiembre los equipos conjuntos de evaluación de los representantes civiles y policiales del Gobierno y la UNMIT habían evaluado los 13 distritos y las 6 unidades.",1
"13","La División de Asuntos del Consejo de Seguridad también administró el sitio web del Comité de conformidad con las directrices del Comité, en particular actualizando la lista de sanciones del Comité del Consejo de Seguridad establecido en virtud de la resolución 1521 (2003).",0
