"","en_es_TRANSFORMERS","VerConf"
"1","3. Decide prorrogar el mandato de la ONUCI, establecido en la resolución 1933 (2010), hasta el 30 de junio de 2011;",0
"2","Si el delincuente ha destruido, dañado, transferido, dejado inservible o utilizado, en particular gastado o gastado, cualesquiera bienes que pudieran ser objeto de decomiso en virtud de los párrafos 1 y 2 del artículo 70, o si el delincuente ha impedido de otra manera el decomiso de esos bienes, el tribunal podrá ordenar el decomiso de fondos hasta la cantidad correspondiente al valor de esos bienes; el valor de los bienes que podrían ser objeto de decomiso podrá ser estimado por el tribunal.",1
"3","Una vez más, la Federación de Rusia exhorta a las partes israelí y palestina a que demuestren moderación y un alto nivel de responsabilidad y rechacen el unilateralismo.",1
"4","Este enfoque se ajusta al compromiso contraído por los Ministros de Cooperación Económica de Asia y el Pacífico (APEC) en noviembre de 2005 de llevar a cabo, antes de finales de 2006, una evaluación de la vulnerabilidad de los aeropuertos a los ataques de los sistemas portátiles de defensa antiaérea.",0
"5","Subrayó la disposición de las Naciones Unidas a apoyar la estrategia regional de la Unión Africana sobre el Ejército de Resistencia del Señor.",0
"6","Sin embargo, con miles de jóvenes pobres, desnutridos y desempleados vagando por las calles de todo el país, muchos de ellos analfabetos o semialfabetos, Sierra Leona todavía no es un ejemplo brillante que Liberia pueda imitar.",0
"7","y) Celebrar consultas con los representantes pertinentes de organizaciones internacionales, entre ellas la Asociación de Transporte Aéreo Internacional (IATA), la Organización de Aviación Civil Internacional (OACI) y la Organización Mundial de Aduanas (OMA), a fin de promover el conocimiento de la prohibición de viajar y el embargo de armas y mejorar su cumplimiento;",0
"8","El proceso de examen ha dado lugar a la confirmación de la inclusión en la lista de todas las personas que, si bien no figuran únicamente sobre esta base, son conocidas principalmente por su función de justificación ideológica de la violencia relacionada con Al-Qaida a nuevos reclutas o a un público más amplio, a pesar de que las propias sanciones tienen poco o ningún efecto en su instrumento fundamental: la capacidad de comunicarse y persuadir a través de Internet.",1
"9","Aunque el mando de la PNTL no sancionó los ataques del 23 y 24 de mayo en los que participaron algunos oficiales de la PNTL, están relacionados con la ruptura de la cadena de mando, la existencia de facciones y un historial anterior de responsabilidad limitada.",1
"10","Reiterando su profunda preocupación por el hecho de que, pese a su reiterada condena de la violencia contra las mujeres y los niños, incluidas todas las formas de violencia sexual en situaciones de conflicto armado, y pese a los llamamientos que ha dirigido a todas las partes en los conflictos armados para que cesen esos actos con efecto inmediato, esos actos siguen ocurriendo y en algunas situaciones se han hecho sistemáticos o generalizados.",1
"11","Rumania hace hincapié una vez más en que todo acto terrorista es inaceptable y debe ser condenado.",1
"12","La comunidad internacional debería, incluso con los auspicios de las Naciones Unidas, utilizar la influencia diplomática y prestar asistencia técnica en esferas como las reformas políticas, de seguridad y del sector de la justicia, la redacción de nuevas constituciones y marcos jurídicos, las instituciones electorales y la celebración de elecciones, entre otras.",1
"13","38. Debido a la urgencia de la situación actual, los esfuerzos de la comunidad internacional deben ser inmediatos, coordinados y decididos.",1
"14","a) Los documentos de reclamación presentados por los reclamantes;",0
"15","En marzo de 2009, cuando se dictó la orden de detención del Presidente Omar al-Bashir, algunos predijeron que esta orden judicial contra el Jefe de Estado en funciones del Sudán destruiría las perspectivas de aplicar el Acuerdo General de Paz de 2005.",1
"16","Condenando la continua corriente ilícita de armas dentro y dentro del [Estado afectado], en violación de las resoluciones [por las que se prescriben sanciones], y declarando su determinación de seguir vigilando de cerca la aplicación del embargo de armas y otras medidas establecidas en sus resoluciones relativas al [Estado afectado],",1
"17","En otros lugares de la región, a lo largo de la Línea Azul, las violaciones habían amenazado con perturbar una estabilidad precaria.",1
"18","5. Jon Anderson, corresponsal de la revista The New Yorker, 28 de diciembre.",0
"19","Preocupada por el abandono sin fin y la angustia generalizada de las poblaciones de las regiones del norte de Malí, a las que algunos denominan Azawad (término reconocido en los acuerdos de paz anteriores), en ausencia de una solución definitiva del conflicto cuyos efectos devastadores persisten;",1
"20","La comunidad internacional ha expresado claramente su enérgica condena de esas medidas por conducto de la Asamblea General, el Consejo de Derechos Humanos y el Grupo de Amigos de Siria, que cuenta con una amplia y amplia participación.",1
"21","De hecho, Azerbaiyán mismo viola esas resoluciones, que instan a las partes interesadas a que prosigan las negociaciones en el marco del Grupo de Minsk de la Organización para la Seguridad y la Cooperación en Europa (OSCE), así como mediante diferentes contactos entre ellas.",1
"22","Las fronteras largas, inaccesibles y en gran medida abiertas dificultan en extremo la gestión eficaz de las fronteras y facilitan las actividades de los grupos delictivos transnacionales y los grupos terroristas.",1
"23","Insto a Hamas a que responda positivamente a esas exhortaciones.",1
"24","Algunos Estados todavía no han abordado los problemas de derechos humanos (por ejemplo, los períodos excepcionales de detención policial y los límites de acceso a un abogado) en relación con casos de terrorismo.",0
"25","Deplorando los persistentes obstáculos que el Gobierno del Sudán ha impuesto a la labor del Grupo de Expertos en el curso de su mandato, incluidas las restricciones a la libertad de circulación del Grupo de Expertos y de la UNAMID, y las limitaciones al acceso del Grupo de Expertos a las zonas de conflicto armado y a las zonas de presuntas violaciones de los derechos humanos y del derecho internacional humanitario, y observando al mismo tiempo una mejor interacción entre el Gobierno del Sudán y el Grupo de Expertos,",1
"26","Las recomendaciones, sobre las que se ha consultado a las partes y a los países que aportan contingentes, tienen por objeto fortalecer, dentro de los límites de los recursos existentes, la capacidad del componente militar para supervisar la cesación del fuego y los acuerdos militares.",0
"27","El Gobierno también comparte algunas de las preocupaciones expresadas en el informe sobre, entre otras cuestiones, los derechos humanos y la situación de las mujeres y los niños.",1
"28","Los informes indican que la intensidad de los ataques y las atrocidades cometidas en cualquier aldea han extendido tanto el temor que las poblaciones de las aldeas circundantes que escaparon de esos ataques también huyeron a zonas de relativa seguridad.",1
"29","Corrí hacia mi vaca y la desaté.",0
"30","Los somalíes bien informados y otros que tienen un profundo conocimiento de los acontecimientos de ambas partes dicen, con respecto a la probabilidad de un enfrentamiento militar, que no se trata de si, sino de cuándo.",1
"31","- Ref. a): Acuerdo de Armisticio, 27 de julio de 1953",0
"32","(11 de noviembre de 1980 a 9 de septiembre de 1983)",0
