"en_es_TRANSFORMERS"	"MatConf"
"27. El 2 de noviembre, 16 de las 20 personas detenidas durante una operación de las MDSF en Boulkessi (región de Mopti), zona controlada por el HCUA, informaron a la MINUSMA de que habían recibido fuertes palizas durante los interrogatorios."	1
"Los equipos de seguridad libaneses (policía y militares) colaboraron estrechamente con el equipo de seguridad de la Comisión para garantizar la seguridad del personal y los locales."	0
"La proximidad de la frontera con el Pakistán ofrece a esas fuerzas mano de obra, material y refugio."	1
"Como se aclara en el apartado d) del párrafo 2 del artículo 7 del Estatuto de la Corte Penal Internacional, que puede ordenarse codificar el derecho internacional consuetudinario sobre la cuestión, la deportación o el traslado forzoso de población significa el desplazamiento forzoso de las personas afectadas mediante la expulsión u otros actos coercitivos de la zona en que se encuentren legalmente, sin motivos autorizados por el derecho internacional."	1
"El régimen abjasio no ha escatimado esfuerzos para legalizar la situación demográfica, que ha cambiado por la fuerza como consecuencia de la depuración étnica, y crear condiciones de vida insoportables para los repatriados georgianos en el distrito de Gali."	1
"El Consejo de Seguridad reitera su pleno apoyo a la fuerza multinacional de la CEMAC y pide que continúe la reestructuración de las fuerzas de defensa y seguridad de la República Centroafricana."	0
"De la información reunida y verificada por la Comisión se desprende que las violaciones u otras formas de violencia sexual cometidas por los soldados Janjaweed y el Gobierno en Darfur eran generalizadas y sistemáticas y, por lo tanto, podían constituir un crimen de lesa humanidad."	1
"El elemento subjetivo necesario (conciencia del carácter sistemático del desplazamiento forzoso) sería inherente al hecho de que ese desplazamiento constituía claramente una política gubernamental aplicada sistemáticamente por las autoridades gubernamentales competentes y los Janjaweed."	1
"Después de un largo enfrentamiento con la multitud, el Comandante Adjunto Babo desarmó a seis oficiales de la UIR oriental y les quitó sus chalecos antibalas, que fueron escoltados a vehículos de espera."	1
"Posteriormente, esos oficiales permanecieron bajo su mando y estaban armados con armas Steyr."	1
"Muchos ahora entienden que lo que Al-Qaida afirma ser un deber religioso, o \"jihad\", no es más que violencia criminal, a menudo dirigida contra compañeros musulmanes. Han llegado a considerar que los combatientes de Al-Qaida han asumido el derecho de declarar a otros musulmanes apóstatas (takfirismo) no sólo como arrogantes sino también como profundamente ofensivos."	1
"9. En su resolución 22/13, el Consejo de Derechos Humanos instó al Gobierno de la República Popular Democrática de Corea a que cooperara plenamente con la investigación de la comisión, permitiera a los miembros de la comisión el acceso irrestricto a visitar el país y les proporcionara toda la información necesaria para que pudieran cumplir su mandato."	0
"Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,"	0
"o El 16 de noviembre de 2014, aviones de combate del régimen atacaron la ciudad de Maarat Misreen con un misil, matando a cinco personas, entre ellas un niño y una mujer, además de destruir edificios residenciales."	1
"EN CATEGORÍAS \"D\", \"E\" Y \"F\""	0
"El fallo de primera instancia restante se dictará antes de finales de 2012, y se han concluido las actuaciones de apelación con respecto a 44 personas."	0
"a) Tener al menos 25 años de edad y ser plenamente competente;"	0
"El régimen fue modificado en las resoluciones 1333 (2000) y 1390 (2002) para imponer tres medidas selectivas (congelación de activos, prohibición de viajar y embargo de armas) contra personas y entidades asociadas con los talibanes y Al-Qaida."	1
"En los contextos en que los sistemas judiciales nacionales carecen de capacidad y siguen viéndose debilitados por los conflictos, los mecanismos cuasijudiciales especiales parecen ser una solución apropiada -- si no necesaria -- para tratar de manera imparcial la afluencia de reclamaciones relacionadas con los conflictos y proporcionar a las personas el acceso a ciertas formas de reparación."	0
"Es parte de un mantra que se repite constantemente ante este Consejo que ya no es cierto por su repetición, que ignora tanto las responsabilidades palestinas como los derechos israelíes, y que no reconoce las terribles dificultades que enfrentan las fuerzas israelíes para tratar de proteger a sus ciudadanos y reducir al mínimo los daños a la vida palestina cuando los terroristas a los que se enfrentan muestran tan poca preocupación por la vida palestina como lo hacen por la vida israelí."	0
"En ese contexto, consideramos importante señalar a la atención del Consejo de Seguridad las amenazas que plantean organizaciones religiosas radicales y extremistas como Hizb ut-Tahrir e instar al Consejo a que imponga las sanciones más enérgicas contra las organizaciones terroristas."	0
"Pérdida de beneficios en un proyecto en particular"	0
"Un Estado señaló que había ampliado la base sobre la que se podía incluir a las organizaciones terroristas en su Código Penal para incluir a las organizaciones que abogaban por la comisión de un acto terrorista."	1
"Esto dará lugar a planes finales para la renovación física de las cuatro prisiones, el establecimiento de infraestructuras de tecnología de la información y un programa de capacitación."	0
"Los muertos están enterrados en ocho tumbas múltiples en la zona del mercado de la aldea."	1
"En los últimos seis meses, la crisis cada vez más profunda en la República Árabe Siria ha seguido afectando al Líbano, aumentando la polarización política y la preocupación de que los disturbios en la República Árabe Siria puedan tener consecuencias negativas para la estabilidad del Líbano."	1
"Reafirmando también sus resoluciones 1368 (2001), de 12 de septiembre de 2001, y 1373 (2001), de 28 de septiembre de 2001, y reiterando su apoyo a los esfuerzos internacionales por erradicar el terrorismo, de conformidad con la Carta de las Naciones Unidas,"	0
"Entrenamiento y reclutamiento militares como parte del embargo de armas"	1
"188. Los testimonios de numerosos incidentes publicados en esos informes indican que las fuerzas asaltantes llevan uniforme, pero distinguen entre los uniformes que llevan los militares regulares y los Janjaweed."	1
"Los días 22 y 23 de julio se informó nuevamente de enfrentamientos en Elwak entre los mismos clanes, que causaron 32 muertos y heridas a más de 60 personas."	1
"SLA-Minni Minawi se separó del Gobierno a finales de 2010."	0
"La aeronave utilizada principalmente para estos vuelos tenía inicialmente la matrícula EK-76705, y luego volvió a registrarse ST-ATH, con el número de serie 0063472158."	0
"Durante el período comprendido entre el 20 de octubre y el 10 de diciembre de 2014, los helicópteros del régimen arrojaron un total de 1.125 bombas de barril, matando a 603 civiles, incluidos 129 niños y 112 mujeres."	1
"Durante las reuniones con el Presidente Gbagbo y con los Ministros de Defensa y Seguridad Interior, se informó a la Comisión de que la decisión de movilizar a las fuerzas armadas nacionales tenía por objeto poner fin a la manifestación e impedir que tuviera lugar."	1
"El Consejo expresa su profunda preocupación por el hecho de que los civiles sigan representando a la mayoría de las víctimas de actos de violencia cometidos por las partes en conflictos armados, incluso como resultado de ataques deliberados, uso indiscriminado y excesivo de la fuerza y violencia sexual y basada en el género."	1
"Tanto en la resolución como en la Convención se dispone que, para que exista el delito de financiación del terrorismo, los fondos destinados a financiar el acto terrorista no tienen por qué ser producto del delito, y que el acto terrorista que los fondos tenían por objeto financiar no tiene que haber tenido lugar realmente ni siquiera haber sido intentado."	1
"Se han detectado casos de blanqueo de dinero y financiación del terrorismo mediante la utilización de nuevos métodos de pago, pero los Estados tropiezan con dificultades para elaborar leyes y sistemas reglamentarios adecuados para esos métodos de pago, que evolucionan a un ritmo cada vez más rápido."	1
"Por lo tanto, hay una amplia razón para estar vigilantes."	0
"Desde entonces, se han producido dos acontecimientos importantes: el traslado, el 31 de octubre de 2009, de los ocho presos condenados hasta la fecha por el Tribunal a Rwanda, donde cumplirán sus condenas, y el traslado, el 16 de noviembre de 2009, de los centros de detención del Tribunal al Gobierno de Sierra Leona."	0
"Insta a todas las partes interesadas, incluidos los Estados Miembros, las entidades de las Naciones Unidas y las instituciones financieras, a que apoyen el desarrollo y el fortalecimiento de la capacidad de las instituciones nacionales, en particular de los sistemas judicial y de salud, y de las redes locales de la sociedad civil, a fin de prestar asistencia sostenible a las víctimas de la violencia sexual en situaciones de conflicto armado y posteriores a un conflicto."	0
"Como se mencionó anteriormente, la legislación de Lesotho en materia de extradición es bastante antigua y se están tomando medidas para revisarla."	0
"Las operaciones se aprobaron a nivel del Líder Supremo y la gran mayoría de las víctimas desaparecieron por la fuerza para obtener mano de obra y otras aptitudes para el Estado."	1
"23. Liberia obtuvo 277.961 dólares en concepto de derechos de exportación de diamantes durante los nueve primeros meses de 2008."	0
"Sin embargo, el Partido Socialdemócrata del Viceprimer Ministro ha indicado públicamente que no se retiraría de la coalición AMP para no poner en peligro la estabilidad del Gobierno."	0
"Es igualmente importante que el compromiso de una misión con las Naciones Unidas y otros agentes humanitarios no socave la independencia y neutralidad de esos agentes y la percepción de que lo hacen."	0
"Sin embargo, el Grupo ha reclasificado 195.965.672 ITL (169.038 dólares de los EE.UU.) de esa cantidad en lucro cesante."	0
"De ida y vuelta a través de estas fronteras hay una población migrante de jóvenes combatientes -- guerreros regionales -- que ven la guerra principalmente como una oportunidad económica."	1
"La razón de ello es que el régimen de sanciones del Consejo de Seguridad, que sigue siendo el único vehículo para la acción verdaderamente mundial contra las amenazas gemelas de Al-Qaida y los talibanes, sigue padeciendo dos deficiencias principales: las limitaciones de la Lista consolidada y la falta de participación de los Estados Miembros."	1
"a) Una amenaza al proceso de paz y reconciliación nacional en Côte d'Ivoire, en particular bloqueando la aplicación del proceso de paz, como se menciona en el Acuerdo Político de Uagadugú;"	1
"En junio de 2005, la terminal de frutas también se utilizó para descargar 22 vehículos de tipo militar de Belarús (véase el caso dos)."	1
"85. Trbic IT-05-88/1-Ar73.1 20/07/06"	0
"El término Janjaweed, en particular, ha sido ampliamente utilizado por las víctimas de ataques para describir a sus atacantes."	1
"En otros lugares de la región, a lo largo de la Línea Azul, las violaciones habían amenazado con perturbar una estabilidad precaria."	0
"Además, la Comisión considera que el hecho de que la violación y otras formas de violencia sexual se hayan llevado a cabo principalmente contra tres tribus \"africanas\" es indicativo de la intención discriminatoria de los autores."	1
"La Comisión de Indemnización de las Naciones Unidas adoptó medidas para reducir los gastos de personal en preparación para su próxima rescisión, como se indica en el cuadro II.6."	0
