"en_es_TRANSFORMERS"	"VerCoop"
"La mayoría de los niños anteriormente vinculados con grupos armados en Nepal han dejado a los grupos armados sin medidas para su recuperación y reintegración, o marco para su protección."	0
"Recordando la declaración de su Presidente de 8 de julio de 1999 (S/PRST/1999/21) y destacando su llamamiento para que se incluyan, según proceda, en acuerdos de paz concretos y, caso por caso, en los mandatos de mantenimiento de la paz de las Naciones Unidas, términos claros para el desarme, la desmovilización y la reintegración de los excombatientes, incluida la eliminación segura y oportuna de las armas y municiones,"	1
"Poniendo de relieve que el diálogo entre el Comité establecido en virtud de la resolución 1267 (1999) (\"el Comité\") y los Estados Miembros es fundamental para la plena aplicación de las medidas,"	1
"La adición de esos nombres demuestra además la continua preocupación del Comité por la amenaza que representan los talibanes para la paz y la seguridad internacionales."	0
"Los siguientes son ejemplos de indicadores que entran dentro de este ámbito:"	0
"Fecha de emisión: 18.02.2010"	0
"c) Remitirá del Comité toda la información sobre la decisión que se haya presentado al Ombudsman de conformidad con el párrafo 13 supra."	0
"A medida que se resuelvan otras cuestiones, se podrán añadir al final de las futuras ediciones de este Resumen."	0
"Las medidas adoptadas por los Estados abarcan las actividades prohibidas de agentes no estatales, enumeradas en el párrafo 2 de la resolución 1540 (2004) en relación con las armas nucleares, químicas y biológicas y sus sistemas vectores, y los controles de los materiales conexos, de conformidad con el párrafo 3 de la resolución."	0
"Poniendo de relieve que la intensificación del diálogo y la ampliación del entendimiento entre las civilizaciones, en un esfuerzo por impedir que se ataque indiscriminadamente a diferentes religiones y culturas y hacer frente a los conflictos regionales no resueltos y a toda la gama de cuestiones mundiales, incluidas las cuestiones de desarrollo, contribuirán a la cooperación internacional, que por sí sola es necesaria para sostener la lucha más amplia posible contra el terrorismo,"	1
"El Consejo podría desempeñar un papel importante en el establecimiento de programas de reparación para atender a las necesidades de las víctimas."	0
"Respuestas recibidas de conformidad con el párrafo 20 de la resolución 1596 (2005)"	0
"A este respecto, el Consejo de Seguridad alienta a que se siga incorporando la protección de los niños en las actividades de promoción, las políticas, los programas y la planificación de las misiones de esas organizaciones y arreglos, así como la capacitación del personal y la inclusión del personal de protección de los niños en sus operaciones de mantenimiento de la paz y sobre el terreno y el establecimiento, en sus secretarías, de mecanismos de protección de los niños, incluso mediante el nombramiento de coordinadores de la protección de los niños."	1
"El Grupo esperaba que la homogeneidad con respecto a esta pérdida se repitiera en futuras series."	0
"Tres oficinas regionales, en Nyala, El Geneina y El Fasher, están en funcionamiento, y se espera que a principios de junio se abra una cuarta oficina en Zalingei."	0
"Reitera la condena por el Secretario General de todo uso de armas químicas por cualquier parte en el conflicto sirio y su llamamiento para que los autores de tales actos sean llevados ante la justicia."	0
"9. Exhorta a los Estados Miembros a que exijan que las líneas aéreas que operen en sus territorios proporcionen información anticipada sobre pasajeros a las autoridades nacionales competentes a fin de detectar la salida de sus territorios, o la tentativa de entrada o tránsito por sus territorios, por medio de aeronaves civiles, de personas designadas por el Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011) (\"el Comité\"), y exhorta además a los Estados Miembros a que comuniquen al Comité toda salida de esas personas de sus territorios, o la tentativa de entrada o tránsito por sus territorios, y a que compartan esa información con el Estado de residencia o nacionalidad, según proceda y de conformidad con el derecho interno y las obligaciones internacionales;"	1
"57. El objetivo de la visita era examinar los progresos realizados en la aplicación del plan de acción firmado el 4 de octubre de 2012 por el Gobierno y el equipo de tareas de las Naciones Unidas en el país sobre vigilancia y presentación de informes; examinar las conclusiones sobre los niños y el conflicto armado en la República Democrática del Congo aprobadas el 19 de septiembre de 2014; e interactuar con los ministerios competentes y otros funcionarios gubernamentales, los agentes de protección de la infancia, las ONG y los niños anteriormente vinculados con grupos armados y obtener conocimientos directos de la situación de los niños afectados por el conflicto armado en la República Democrática del Congo, prestando especial atención a las actividades de cumplimiento de las Fuerzas Armadas de la República Democrática del Congo (FARDC) y los problemas pendientes, en particular con respecto a los agentes no estatales enumerados en el informe anual del Secretario General, y evaluar los problemas y las oportunidades para la reintegración de los niños asociados con fuerzas y grupos armados en la República Democrática del Congo."	1
"c) Costos futuros 210 - 213 56"	0
"Además, la asignación forzosa a un lugar de residencia y empleo designado por el Estado se debe en gran medida a la discriminación basada en el canto."	0
"2. La situación en Guinea-Bissau"	0
"Colombia, Chile, el Paraguay y el Perú también han promulgado leyes que otorgan a las autoridades encargadas de hacer cumplir la ley facultades especiales de investigación."	1
"9. Observa el apoyo de las partes en el Acuerdo de Paz a la continuación de la fuerza multinacional de estabilización, enunciado en la declaración de la reunión ministerial de la Conferencia sobre la Aplicación del Acuerdo de Paz celebrada en Madrid el 16 de diciembre de 1998 (S/1999/139, anexo);"	1
"Ambos enfoques serán esenciales para hacer frente al desafío del terrorismo."	1
"El 1o de febrero de 1999, el nuevo Primer Ministro recibió un voto de confianza de los diputados."	0
"Decide que todos los Estados Miembros congelen sin demora todos los fondos, otros activos financieros y recursos económicos que se encuentren en su territorio y que sean de propiedad o estén bajo el control, directo o indirecto, de las personas o entidades enumeradas en [el anexo de la resolución por la que se impongan sanciones] o [designadas por el Comité de Sanciones y que participen o sean cómplices en ordenar, controlar o dirigir de otro modo la comisión de violaciones graves de los derechos humanos contra personas en [el Estado afectado], incluso participando en la planificación, el mando, el orden o la realización de ataques, en violación del derecho internacional, incluidos bombardeos aéreos, contra poblaciones e instalaciones civiles, o por personas o entidades que actúen en su nombre o personas y entidades que actúen en su nombre o en su nombre o bajo su dirección], y decide además que todos los Estados Miembros se aseguren de que sus nacionales o cualquier persona o entidad que se encuentre en su territorio impidan poner fondos, activos financieros o recursos económicos a disposición de las personas o entidades enumeradas en [el anexo de la resolución por la que se impongan sanciones] o de las personas designadas por el Comité."	0
"El Consejo de Seguridad insta a los Gobiernos de la República Democrática del Congo y Rwanda a que respondan sin más demora a los esfuerzos de la MONUC en virtud de su mandato actual de establecer, lo antes posible, un mecanismo conjunto de verificación para su seguridad común, incluida la verificación de los movimientos transfronterizos."	1
"El Consejo de Seguridad subraya que las organizaciones regionales y subregionales desempeñan un papel importante en la lucha contra el tráfico ilícito de armas pequeñas y armas ligeras y la necesidad de tener en cuenta en los mandatos de las operaciones de mantenimiento de la paz, cuando proceda, los instrumentos regionales que permiten a los Estados identificar y rastrear las armas pequeñas y las armas ligeras ilícitas."	1
"317. La Comisión no encontró información ni pruebas que indicaran que los grupos rebeldes son responsables de causar una destrucción generalizada."	0
"El Consejo de Seguridad reitera su firme apoyo a la aprobación por la Asamblea General de la Estrategia global de las Naciones Unidas contra el terrorismo (A/60/288), de 8 de septiembre de 2006, y a la institucionalización del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, de conformidad con la resolución 64/235 de la Asamblea General, a fin de asegurar la coordinación y coherencia generales de las actividades de lucha contra el terrorismo del sistema de las Naciones Unidas, y la plena participación, en el marco de sus mandatos, de los órganos subsidiarios pertinentes del Consejo de Seguridad en la labor del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo y sus grupos de trabajo, y acoge con beneplácito la aprobación por la Asamblea General de la resolución 64/297."	1
"Reconociendo la importancia de la justicia de transición para promover una reconciliación duradera entre todo el pueblo de Burundi y acogiendo con beneplácito los progresos realizados en los preparativos de las consultas nacionales sobre el establecimiento de mecanismos de justicia de transición, incluso mediante el establecimiento de un Comité Técnico de Seguimiento y un foro de representantes de la sociedad civil,"	1
"El 24 de julio de 2008, el Comité celebró un intercambio de opiniones con el Representante Especial del Secretario General para Somalia, Sr. Ahmedou Ould-Abdallah, en relación con la solicitud formulada por el Consejo en los párrafos 6 y 7 de la resolución 1814 (2008)."	1
"El Consejo alienta el establecimiento o fortalecimiento, cuando proceda, de mecanismos subregionales o regionales de cooperación, coordinación e intercambio de información, en particular la cooperación aduanera transfronteriza y las redes de intercambio de información, con miras a prevenir, combatir y erradicar el tráfico ilícito de armas pequeñas y armas ligeras a través de las fronteras."	1
