"","es","VerConf"
"1","El conflicto pareció llegar a un clímax en una reunión celebrada en Damasco entre el Sr. Hariri y el Presidente Al-Assad el 26 de agosto de 2004.",0
"2","Sin embargo, algunos dirigentes de Mogadishu acusaron al Presidente de acudir al territorio de Etiopía para adquirir armas y tropas para sus futuras actividades en Somalia.",1
"3","emitida el 16 de febrero de 1999 en Asmara",0
"4","Los grupos de milicias más importantes son los siguientes:",0
"5","22. La situación en Guinea-Bissau (6 de noviembre de 1998; 26 de julio de 2012).",0
"6","Las F-FDTL fueron objeto de amplias críticas públicas, en particular por las organizaciones de ex combatientes que se crearon en 2001.",1
"7","Que se celebrará el martes 30 de agosto de 2005, a las 12.20 horas",0
"8","La situación de las minorías sigue siendo motivo de preocupación, especialmente en cuanto a la libertad de circulación y el acceso a la justicia.",1
"9","c) Seguir cooperando con las organizaciones internacionales y regionales, así como con los Estados para que, en los puestos de control fronterizos de entrada y de salida, los organismos encargados de hacer cumplir la ley tengan mejor acceso a las bases de datos penales y de lucha contra el terrorismo, tanto nacionales como internacionales, y de conexiones sin interrupción con esas bases de datos. E. Cooperación internacional",0
"10","Su respeto del Consejo de Seguridad también es parte de esa tradición.",0
"11","Cuatro Estados han tipificado debidamente como delito la financiación del terrorismo, mientras que tres aún no lo han hecho.",1
"12","Condena el uso de [canales nacionales de televisión] y otros medios de información para incitar a la discriminación, la hostilidad, el odio y la violencia, incluso contra [la Misión pertinente de las Naciones Unidas], así como los actos de intimidación y violencia contra periodistas, y pide que se levanten todas las restricciones impuestas al ejercicio del derecho a la libertad de expresión en [el país afectado];",1
"13","Aunque el mando de la PNTL no sancionó los ataques del 23 y 24 de mayo en que participaron algunos oficiales, éstos estuvieron vinculados con el desmembramiento de la cadena de mando, las facciones existentes y un historial de escasa rendición de cuentas.",1
"14","En el cuartel general, la intervención agitada del Ministro del Interior, inclusive el hecho de que éste hubiera retirado un arma del depósito, habría contribuido a crear un clima de pánico.",1
"15","De conformidad con el Decreto Presidencial No. 2004-236, por el que se movilizaba a las fuerzas armadas nacionales, y con las instrucciones recibidas en la reunión celebrada el 24 de marzo por el Presidente, el Primer Ministro, los Ministros de Defensa y Seguridad Interna y los jefes pertinentes de la policía nacional, la gendarmería y las FANCI, las fuerzas de seguridad fueron estacionadas en muchas zonas de la periferia urbana, en particular en las localidades donde se habían previsto concentraciones y manifestaciones.",0
"16","Mejora el acceso de la población civil a los servicios básicos, la infraestructura y los medios de vida",0
"17","Esos 14 fallos consisten en tres sentencias condenatorias, una sentencia absolutoria y diez resoluciones de sobreseimiento.",0
"18","El Consejo de Seguridad considera que los refugios de terroristas siguen siendo objeto de grave preocupación, y reafirma la necesidad de que los Estados fortalezcan su cooperación con el fin de encontrar, denegar refugio y poner a disposición de la justicia, sobre la base del principio de extraditar o juzgar, a cualquier persona que apoye, facilite, participe o trate de participar en la financiación, planificación, preparación o comisión de actos terroristas o que facilite refugio.",1
"19","El Presidente Al-Bashir tomó represalias diplomáticas contra Kenya y la amenazó con aplicarle sanciones económicas y comerciales.",1
"20","Según las circunstancias de cada caso, pueden ser sospechosos, con arreglo a la doctrina de la asociación ilícita, de haber cometido los crímenes de lesa humanidad de asesinato de civiles y traslado forzoso de población y los crímenes de guerra de ataques indiscriminados contra civiles y destrucción de objetos de carácter civil.",1
"21","Las medidas contra la financiación del terrorismo han mejorado en toda la subregión, pero sigue habiendo deficiencias, especialmente en lo que respecta a los mecanismos para la congelación de activos, la reglamentación de los sistemas alternativos de envío de remesas y la vigilancia de las organizaciones sin fines de lucro.",0
"22","Solo será posible lograr progresos a este respecto si se encuentran soluciones prácticas para superar las restricciones al acceso, especialmente en el caso de los Estados que están con frecuencia implicados en casos concretos.",0
"23","El sitio debe ser levantado de inmediato para que la población civil en Gaza pueda tener acceso, esencialmente a agua, empleos, comercio, asistencia médica y educación, en fin, acceso a sus necesidades básicas.",1
"24","Algunos de esos soldados fueron asesinados en el acto.",0
"25","Cada fondo se mantiene como una entidad financiera y contable distinta, con un grupo de cuentas separadas que se llevan por partida doble y se compensan entre sí.",0
"26","El único punto en que están de acuerdo los participantes es que no se habló de armas.",0
