"es"	"VerCoop"
"En la 6897ª sesión del Consejo de Seguridad, celebrada el 20 de diciembre de 2012, en relación con el examen del tema titulado \"Consolidación de la paz después de los conflictos\", la Presidencia hizo la siguiente declaración en nombre del Consejo:"	1
"En términos generales, la actitud de las autoridades de gobierno hacia la Comisión ha sido una actitud de cooperación."	1
"El Equipo recomienda que el Consejo de Seguridad y el Comité alienten a los Estados a elegir o establecer mecanismos nacionales para individualizar y designar a personas y entidades que han de ser incluidas en la lista consolidada con base en atribuciones legales claramente definidas independientes de un proceso penal."	1
"Muchas personas murieron y más de 100 resultaron heridas."	0
"Reconociendo la importancia de la justicia de transición para promover la reconciliación duradera entre todo el pueblo [del Estado afectado] y acogiendo con beneplácito el proceso de consultas nacionales sobre el establecimiento de mecanismos de justicia de transición ..."	1
"e) Otros tipos de mecanismos de financiación y otros temas que el Comité 1540 acaso quiera examinar;"	0
"Creemos firmemente que esa visita contribuirá enormemente a revitalizar el proceso de paz y abrirá el camino a nuevos acontecimientos positivos en esta región devastada por los conflictos."	1
"En otra causa, el Tribunal examinó de nuevo los distintos elementos de un ataque dirigido contra la población civil como parte de la definición de crímenes de lesa humanidad."	1
"El Comité también celebró un intercambio de opiniones sobre tres propuestas de designación formuladas por un Estado Miembro el 31 de octubre."	1
"En términos más generales, la Ley de 1939 define la palabra \"organización\" como toda asociación, sociedad u otra organización o combinación de personas de cualquier tipo o naturaleza, tenga o no nombre determinado."	0
"24. Solicita al Comité contra el Terrorismo que, en el marco de su mandato actual y con el apoyo de la Dirección Ejecutiva del Comité contra el Terrorismo, determine cuáles son las principales carencias en la capacidad de los Estados Miembros para aplicar las resoluciones del Consejo de Seguridad 1373 (2001) y 1624 (2005) que pueden obstaculizar la capacidad de los Estados para frenar el flujo de combatientes terroristas extranjeros, y determine cuáles son las buenas prácticas para ello en la aplicación de las resoluciones 1373 (2001) y 1624 (2005), y facilite la prestación de asistencia técnica, concretamente promoviendo la cooperación entre quienes proporcionan y reciben asistencia para desarrollar capacidad, en particular quienes se encuentran en las regiones más afectadas, incluso mediante la elaboración, a solicitud de estos, de estrategias amplias de lucha contra el terrorismo que incluyan medidas para contrarrestar la radicalización violenta y el flujo de combatientes terroristas extranjeros, recordando las funciones de otros agentes pertinentes, por ejemplo el Foro Mundial contra el Terrorismo;"	1
"En el presente informe se examinan diversos aspectos de la cuestión de las armas pequeñas, con especial atención al efecto negativo que las armas pequeñas ilícitas tienen en la seguridad, los derechos humanos y el desarrollo social y económico, especialmente en zonas de crisis y en situaciones posteriores a un conflicto."	0
"Aunque no está claro cuáles han sido el papel y la influencia de Turabi en el Movimiento Justicia e Igualdad, poco después de ser liberado inicialmente en octubre de 2003 tras dos años de detención, al parecer, habría admitido que su partido mantiene vínculos con el Movimiento Justicia e Igualdad."	0
"Sin embargo, en tanto que entidad que ejerce el gobierno efectivo la Franja de Gaza, Hamas también es responsable de mantener las condiciones que permiten satisfacer las necesidades de la vida diaria."	0
"El Consejo de Seguridad destaca el importante papel de las organizaciones regionales y subregionales en la lucha contra el comercio ilícito de armas pequeñas y armas ligeras, y la necesidad de que los mandatos de las operaciones de mantenimiento de la paz tengan en cuenta, cuando proceda, los instrumentos regionales que facultan a los Estados a detectar y rastrear las armas pequeñas y las armas ligeras ilegales."	1
"b) Vehículos robados"	0
"En segundo lugar, la delincuencia transfronteriza debilita las capacidades del Estado, incluidas las capacidades en los ámbitos militar y de la policía."	1
"Como parte de las medidas adoptadas por la División para contratar expertos cualificados para prestar servicios en los grupos y equipos de sanciones, y como se hace cada año, en diciembre se envió una nota verbal a todos los Estados Miembros con el fin de solicitar la designación de candidatos idóneos para integrar la lista de expertos de la División."	1
"En la 6900ª sesión del Consejo de Seguridad, celebrada el 15 de enero de 2013, en relación con el examen por el Consejo del tema titulado \"Amenazas a la paz y la seguridad internacionales causadas por actos terroristas\", la Presidencia hizo la siguiente declaración en nombre del Consejo:"	1
"El Consejo de Seguridad reconoce la necesidad de que los organismos humanitarios mantengan una interacción permanente con todas las partes en los conflictos armados para fines humanitarios, incluidas actividades destinadas a garantizar el respeto del derecho internacional humanitario."	1
"En particular, el Primer Ministro Seniora me ha informado de que se está celebrando un diálogo interno sobre la disposición de la resolución relativa a la disolución y el desarme de las milicias, que ha iniciado recientemente, y está decidido a que concluya con éxito."	1
"Todos los Estados han promulgado leyes para reglamentar la producción, la venta y la transferencia de armas y explosivos."	0
"El intercambio de información permite evaluar mejor los riesgos de proliferación presentes en las oportunidades comerciales y, por tanto, es crucial para todos los participantes del sector privado y beneficia a las empresas con menores recursos, como las pequeñas y medianas empresas."	1
"El único punto en que están de acuerdo los participantes es que no se habló de armas."	1
":: Es más difícil detectar un envío por vía aérea porque el tiempo de tránsito es breve;"	0
"No se ha realizado ninguna auditoría financiera."	0
"9. Pide al Comité contra el Terrorismo que, además de presentar el informe solicitado en el párrafo 8, le informe oralmente, por intermedio de su Presidente y como mínimo cada 180 días, sobre su labor general y la de su Dirección Ejecutiva y, si corresponde, lo haga conjuntamente con la presentación de los informes de los Presidentes del Comité establecido en virtud de la resolución 1267 (1999) y del Comité establecido en virtud de la resolución 1540 (2004), y alienta la celebración de reuniones informativas oficiosas para todos los Estados Miembros interesados;"	1
"En mayo de 2004 se agruparon en un programa separado todos los aspectos de la formación policial y se ha alcanzado un acuerdo sobre la creación de un sistema de formación en todo el territorio de Bosnia y Herzegovina."	1
"Los miembros del Consejo estuvieron de acuerdo en que había que tratar de resolver las causas profundas del conflicto y que se requería una respuesta coordinada en la que participaran todos los órganos de las Naciones Unidas pertinentes."	1
"En estrecha cooperación con los comités establecidos en virtud de las resoluciones 1267 (1999) y 1540 (2004) y de conformidad con su mandato, el Comité prestará especial atención a los Estados que estén atrasados en la presentación de la información pertinente y estudiará la mejor manera de resolver ese problema."	0
"Sobre la base del examen inicial que realizó la MINURSO, se desplegó un equipo de examen del personal, y después un equipo de evaluación de la gestión, del Departamento de Operaciones de Mantenimiento de la Paz, con objeto de ultimar las recomendaciones destinadas a reconfigurar la estructura civil a fin de prestar un mejor apoyo a las actividades comprendidas en el mandato actual, asegurar una mayor integración entre los componentes militar y civil y mejorar la gestión de la MINURSO."	1
"Apoyando el llamamiento del Enviado al Gobierno de Siria para que cumpla de manera visible e inmediata todos los elementos de la propuesta de seis puntos del Enviado en su totalidad a fin de lograr el cese sostenido de la violencia armada en todas sus formas por todas las partes,"	1
"2. Pago o socorro a terceros: 9.785.464 dólares de los EE.UU."	0
"El Consejo alienta a que se establezcan o fortalezcan, según proceda, mecanismos subregionales o regionales de cooperación, coordinación e intercambio de información, en particular la cooperación aduanera transfronteriza y las redes de intercambio de información, con miras a prevenir, combatir y erradicar el comercio ilícito de armas pequeñas y armas ligeras a través de las fronteras."	1
"Esto exige una postura clara, especialmente, hablando con toda honestidad, por parte de los Estados Unidos de América."	0
"5. Subraya el hecho de que la crisis de Côte d'Ivoire sólo podrá resolverse mediante el diálogo y las consultas, con el apoyo de la comunidad internacional. El Consejo exhorta a las partes a que procedan con la mayor circunspección y se abstengan de todo uso de la fuerza y de actos unilaterales, que sólo pueden complicar la búsqueda de una solución;"	1
"Mantenimiento de un diálogo permanente con los países que aportan contingentes y efectivos policiales sobre el aumento de la proporción de mujeres en los contingentes nacionales mediante, entre otras cosas, la organización de reuniones para examinar prácticas recomendadas a fin de impulsar el equilibrio entre los géneros e incorporar una perspectiva de género en la labor del personal uniformado en las operaciones de mantenimiento de la paz."	1
"Presidente: Sir Jeremy Greenstock (Reino Unido de Gran Bretaña e Irlanda del Norte)"	0
"a) Nombramiento de personalidades de la OTU para que ocupen puestos a todos los niveles del poder ejecutivo: fines de septiembre;"	0
"Ninguna de las personas o entidades incluidas en la Lista es nacional o residente de Andorra."	0
"El 21 de febrero de 2005 la ONUCI autorizó a la FACI a llevar a cabo dos ensayos en tierra de motores y sistemas, de una hora de duración, el último miércoles de cada mes para su Mi-24P (TU-VHO), a condición de que no estuviera armado y el ensayo se hiciera fuera del hangar en la base aérea de Abidján y en presencia de observadores de la ONUCI."	1
"El 23 de mayo se hizo entrega de los vehículos a Rai Los, junto con 31 uniformes de la Unidad de Reserva de Policía de la PNTL. El 24 de mayo Rai Los y sus hombres, ataviados con esos uniformes, participaron en el ataque contra los soldados de las F-FDTL que realizaban tareas de patrulla."	0
"Mucho se ha hablado sobre la financiación del terrorismo mediante la droga, entre otros lugares en convenciones y convenios internacionales y en resoluciones del Consejo de Seguridad."	1
"La transparencia es uno de los principios esenciales que rigen la labor y las actividades del Comité, contribuyendo a fomentar la confianza, promover una mayor cooperación, y hacer que los Estados, las organizaciones internacionales, regionales y subregionales pertinentes, la sociedad civil y el sector privado conozcan mejor las cuestiones relativas a la resolución 1540 (2004), lo que facilita su aplicación por los Estados. La transparencia y la divulgación a través de los medios de comunicación están estrechamente interrelacionadas."	1
"A instancias mías, el Primer Ministro Seniora y el Presidente Abbas se reunieron en París el 18 de octubre para debatir cuestiones relacionadas con la presencia de refugiados palestinos en el Líbano."	1
"Los dos testigos que habían participado en el proceso de investigación, el Sr. Donghyuk y la Sra. Lee, hablaron de sus experiencias personales en la República Popular Democrática de Corea antes de escapar como refugiados."	1
"El Presidente Abbas y el Primer Ministro Seniora consideraron además la posibilidad de establecer un diálogo libanés-palestino sobre el bienestar social y económico, la seguridad y la representación de los refugiados palestinos en el Líbano."	1
"XVI. LA RECLAMACIÓN DE W. J. WHITE LTD."	0
"Timor-Leste ha logrado progresos notables desde su independencia, hace poco más de dos años."	0
"6. Confirma además que las disposiciones del párrafo 1 a) serán aplicables también al pago de rescates a personas, grupos, empresas o entidades que figuren en la Lista;"	0
"Al igual que Osman Atto, Deylaf ha sido descrito al Grupo como una persona con libre acceso no sólo a los países vecinos sino también a los centros económicos de Europa."	0
"Subraya la importancia de garantizar la independencia y neutralidad de los medios de información en Côte d'Ivoire."	0
"Exhorta a todas las partes en el conflicto armado [del país afectado], incluidos los miembros de [un grupo armado en concreto], a que den órdenes claras contra la violencia sexual, y las exhorta además a que asuman y cumplan compromisos específicos sobre la investigación oportuna de los presuntos abusos a fin de que los autores rindan cuentas de sus actos, de conformidad con lo dispuesto en la resolución 1960 (2010), y a que faciliten el acceso inmediato de las víctimas de la violencia sexual a los servicios disponibles;"	1
"6. Pide también al Comité establecido en virtud de la resolución 1267 (1999) que presente al Consejo de Seguridad informes periódicos sobre la aplicación de la presente resolución;"	1
"En la resolución 1820 (2008), el Consejo alienta al Secretario General a que, en consulta con las mujeres y las organizaciones dirigidas por mujeres, elabore mecanismos eficaces para proteger de la violencia, en particular de la violencia sexual y otras formas de violencia por razón de género, a las mujeres y las niñas en los campamentos de refugiados y desplazados internos y sus alrededores."	1
"La Comisión, sin embargo, no pudo llegar a la conclusión de que formaban parte de un ataque sistemático o generalizado contra la población civil."	0
"En la Asamblea Nacional, el Partido del Congreso Nacional ganó 73 de los 86 escaños asignados a Darfur."	0
"\"El Consejo de Seguridad recuerda sus resoluciones y las declaraciones de su Presidencia sobre la consolidación de la paz después de los conflictos, en particular las declaraciones S/PRST/2009/23, S/PRST/2010/20, S/PRST/2011/2 y S/PRST/2011/4, y reafirma la importancia decisiva de la consolidación de la paz como cimiento para construir una paz y un desarrollo sostenibles después de los conflictos."	1
"c) Fuesen compatibles con el interés público."	0
"Por ultimo exhorto al Consejo de Seguridad a solidarizarse con Nigeria en este período crítico y a prestarle el apoyo que sea necesario para evitar una mayor desestabilización y violencia, en particular en los Estados nororientales tan afectados."	1
"Su experiencia anterior con las Naciones Unidas y su profundo conocimiento de la región de los Balcanes lo convierten en la persona ideal para esta labor."	0
