"","es_en_DEEPL","VerCoop"
"1","The Committee will continue to organize meetings and special events on topics and issues of common concern and interest to Member States, with a view to maximizing the impact of the resolutions and maintaining the international community's commitment to combating terrorism.",0
"2","The Contact Group will hold its 17th plenary meeting in Dubai, United Arab Emirates, on the sidelines of the 4th UAE Anti-Piracy Conference in the last week of October 2014.",1
"3","My Special Representative participated in both forums. On 16 August, the Secretary of State for Youth and Sport opened the Youth Parliament (see S/2010/85, para. 105), a forum of 130 young people (including 66 girls) between the ages of 12 and 17 who will receive two years of leadership and representation skills training and have the opportunity to engage in dialogue on policy issues affecting young people.",1
"4","d) Planning, acquisition and presentation costs 138 - 142 46",0
"5","Thematic Session of the Security Council on the fight against the",1
"6","Done at Addis Ababa (Ethiopia) on July 4, 2011.",0
"7","This is the essence of C̫te d'Ivoire's humanitarian traditions: a society with a strong democratic spirit, which is eager for the rule of law and respect for the human rights of all, without discrimination based on nationality or origin.",1
"8","It is equally important that the momentum generated by the expansion of the ISAF is not lost and that the ISAF is introduced in the western region of the country.",0
"9","The participants considered that the seriousness of these events underscored the need for urgent action to accelerate the process of an inclusive dialogue among Malians, with a view to laying the foundations for genuine reconciliation among Malians and achieving lasting peace, security and stability in the country.",1
"10","(m) To study and report to the Committee on changes in the nature of the threat posed by Al-Qaida and the Taliban and the most effective measures to address it, including by engaging in dialogue with relevant academic institutions and specialists, in consultation with the Committee;",1
"11","As for Art. 185 bis of the Penal Code, it effectively applies to funds only in relation to their origin.",0
"12","To be held on Monday, December 15, 2014, at 10:00 a.m.",0
"13","This was to be a technical process that would not involve substantial alteration of the boundary.",0
"14","A number of States in the African region stressed their determination to ensure that measures were taken to protect the population from terrorist acts within the framework of legislation and in accordance with their obligations under international law.",1
"15","There can be nothing more urgent in Sierra Leone than the maintenance of peace, security and stability in the country.",1
"16","III. Background Over the past several months, a number of influential reports and recommendations have been issued in relation to counter-terrorism sanctions, including the Secretary-General's speech on the anniversary of the Madrid terrorist attacks of 11 March 2004 and his subsequent report entitled ""In larger freedom: towards development, security and human rights for all"" (A/59/2005 and Add.1-3).",1
"17","The Committee encourages CTED to continue its analysis of regional and thematic issues, with the aim of informing it and Member States in general, taking into account the evolving global situation and focusing on key issues such as the use and abuse of new information and communications technologies, the protection of the rights of victims of terrorism, emerging challenges to the prosecution of terrorists, building strategic partnerships with relevant non-governmental actors (including women's and youth groups, religious leaders, the media and the private sector), protection of tourism infrastructure, kidnapping for ransom, countering violent extremism and crimes committed to finance terrorism.",1
"18","b) By a public official in the performance of his or her official duties;",0
"19","The parties to the peace process have not yet made provisions for release or offered reintegration programs under which the children of these forces would have been eligible for recovery and reintegration measures.",1
"20","It was also noted that, because the Court lacked compliance mechanisms, it was important for the Council to remain involved in the situations it referred to the Court and to take steps to promote the cooperation of the relevant parties with the Court.",1
"21","I ran to untie my cow.",0
"22","Council members welcomed the efforts made by the Government to fight the LRA, as well as the African Union's regional cooperation initiative to wipe out the LRA and to appoint an African Union special envoy to coordinate the initiative.",1
"23","D. Listen More Carefully to Victims The growing recognition of the importance of listening to victims of terrorism in developing effective counterinstigation strategies is closely linked to the concept of counter-argument.",0
"24","The Special Representative stated that the hostilities gave no hope that the warring parties would reach an agreement during the IGAD-led peace talks to be held on November 6.",1
"25","The adoption of a presidential statement calling, inter alia, for the reaffirmation of international solidarity in the fight against terrorism and urging Member States to make greater efforts in the fight against terrorism.",1
"26","(h) To submit to it, through the Committee, a mid-term report within 90 days of its establishment;",1
"27","Welcoming the increased representation of women in Parliament, commending the [national] authorities and stressing the need to increase their participation in decision-making processes in conflict prevention and resolution,",1
"28","It is recommended that the United Nations make a greater commitment to address the root causes of conflict, for example by supporting natural resource management initiatives and conflict prevention and resolution mechanisms.",1
"29","Decides to establish an international tribunal for the exclusive purpose of prosecuting persons responsible for serious violations of international humanitarian law committed in the territory of [affected State] between [dates].",0
"30","The time has also come for Belgrade to abandon its negative position on the participation of Kosovo Serbs.",1
"31","Council members noted that all candidates should strive to maintain a calm and peaceful environment, exercise restraint, await the results to be released in accordance with national constitutional procedures, and resolve their disputes peacefully through established legal and mediation mechanisms, such as the National Mediation Committee.",1
"32","Once the planned elections take place, it will be essential to consult with the elected Government to determine the nature and level of support that the Ivorian authorities will require from UNOCI for the legislative and local elections before the Operation's drawdown commences.",1
"33","The emphasis on consensus necessarily brings with it cooperative attitudes.",0
"34","All states are members of the OAS, which provides regional cooperation mechanisms in terms of policies and operations.",0
"35","52. The State has also used deliberate starvation as a means of control and punishment in detention centers.",0
"36","Approximately half of the States carry out customs controls to combat illegal trafficking in small arms and light weapons, ammunition and explosives, but there is still a need to strengthen customs controls and train customs officers.",1
"37","III. Freezing of financial and economic assets",0
"38","Research and policy analysis on a range of issues, such as conflict prevention and early warning mechanisms, will be promoted.",1
"39","Major General Cameron Ross continued in command of the Force.",0
"40","At the 5303rd meeting of the Security Council, held on 10 November 2005, in connection with the consideration of the item entitled ""Threats to international peace and security caused by terrorist acts"", the President of the Security Council made the following statement on behalf of the Council:",1
"41","The Group of Experts traveled extensively in C̫te d'Ivoire, the sub-region and elsewhere to assess compliance with the embargo and to identify complementary measures that could be taken to enhance its effectiveness.",0
"42","54. The Haiderabad question (September 16, 1948; May 24, 1949).",0
"43","As noted above, looting or pillaging is a war crime under customary international law.",0
"44","Interlocutors from opposition parties and civil society throughout the country urged the international community to prevent the Constitution from being amended. International partners noted that the peaceful transfer of power was essential for the future peace and stability of the country.",1
"45","Here, too, we perceived reactions that seemed to justify our concerns.",0
"46","Many political parties in the Terai region have created youth wings that engage in violent street actions and several armed political groups practicing political violence have recruited children.",0
"47","However, make no mistake: my country is also prepared to resist unceasingly the unilateral declaration of independence as long as a compromise solution is not in sight.",0
"48","This session is not an opportunity to examine the details of a specific situation or situations.",0
"49","E. Loss of tangible property 378 - 387 91",0
"50","Second, cross-border crime weakens state capabilities, including military and police capabilities.",1
"51","If banks take a very restrictive approach to deciding what should be examined as possible cases of terrorist financing, they are as likely to overlook the use of new methods as they are to discover the use of old methods.",0
"52","The Security Council also welcomes the recent improvements made to the procedures of the Committee established pursuant to resolutions 1267 (1999) and 1989 (2011), in particular with regard to the effective and valuable work of the Office of the Ombudsman, established pursuant to resolution 1904 (2009).",1
"53","Given the vulnerability of the subregion, further action is needed to criminalize recruitment.",1
"54","They met with leaders of the Patriotic Movement of C̫te d'Ivoire (MPCI) in Bouak̩ and with leading human rights, civil society and peace organizations, senior religious, Christian and Islamic authorities, the United Nations country team, members of the diplomatic corps and military personnel.",1
"55","46. The situation in Myanmar (15 September 2006; 13 July 2009).",0
"56","At the 5052nd meeting of the Security Council, held on October 6, 2004, in connection with the Council's consideration of the items entitled ""Justice and the rule of law: the role of the United Nations"" and ""Post-conflict national reconciliation: the role of the United Nations"", the President of the Security Council made the following statement on behalf of the Council:",1
"57","In general terms, the attitude of the government authorities towards the Commission has been one of cooperation.",1
"58","9. Urges all States to cooperate fully with the Committee established pursuant to paragraph 6 above in the performance of its tasks, including by providing such information as may be required by the Committee in accordance with this resolution;",1
"59","While the majority of UN international staff remain in northern Somalia, approximately 30% are based in central and southern Somalia.",0
"60","To be held on Friday, March 28, 2014, at 10.00 a.m.",0
