"","es_en_DEEPL","MatConf"
"1","Non-conventional threat: chemical, biological, radiological and nuclear explosives, Asia",1
"2","He quoted me and said, ""You always say you are with Syria.",0
"3","The Security Council welcomes the establishment of the African Union Border Program Technical Team to conclusively determine the centerline on the ground of the Demilitarized Secure Border Zone, and reiterates that the centerline does not in any way affect the current or future legal status of the border, the ongoing negotiations on disputed or claimed areas, or the demarcation of the border.",0
"4","They killed six men, who were buried in individual graves.",1
"5","Reports of child abductions during recent attacks on the civilian population demonstrate the very high price paid by Darfur's children in this civil war.",1
"6","The payments to Bechtel related to reimbursable expenses charged by Bechtel for its work and recurring expenses.",0
"7","Council members expressed concern over reports that Congolese armed forces were conducting an offensive in Equateur province, called for an immediate end to the fighting and urged all parties to exercise restraint.",1
"8","Since the demonstration was scheduled to end at 1:00 p.m. on Friday, April 28, a change in the mood of the crowd gathered in front of the Government Palace was palpable from early in the morning.",1
"9","Some of these items can be upgraded or used as component parts of domestically manufactured items.",0
"10","In its resolution 2154 (2014), adopted on May 8, 2014, the Security Council noted with deep appreciation the manner in which Captain Mbaye Diagne of Senegal, who, acting in the service of the United Nations Assistance Mission for Rwanda, unarmed and facing extreme and constant danger, saved hundreds, or perhaps even a thousand, Rwandans from death during the 1994 genocide in Rwanda.",0
"11","The report covers the period from March 24 to September 23, 1999.",0
"12","Acting, for these reasons, under Chapter VII of the Charter of the United Nations,",0
"13","Liberian alluvial gold export figures show an increase in production from 5.36 ounces ($1,317.93) in October 2001 to 192.90 ounces ($41,642.19) in January 2002.",0
"14",":: H.E. Mr. Hamadou Konaté, Minister for Solidarity, Humanitarian Affairs and Reconstruction of the North of the Republic of Mali",0
"15","1. Ingots or bars having a size of 100 mm or more in each dimension;",0
"16","Underlining the importance of the Arusha Peace Agreement in achieving a peaceful resolution of the conflict in Rwanda and the need for all parties to reaffirm their commitment to its full implementation,",0
"17","In most of today's conflicts, mainly small arms and light weapons are used.",1
"18","The Commission also found that rebel groups had carried out attacks, in almost all cases against army, police or security force targets.",1
"19","To date, Belgium and Switzerland have concluded agreements for this purpose.",0
"20","From February 18 to March 13, the Royal Moroccan Army conducted a series of scheduled military maneuvers in the vicinity of Awsard, involving some 1,200 soldiers from infantry, cavalry and artillery units already stationed in the Awsard subsector.",1
"21","There he sought clarification from the station manager about the nature of his work, the types of hens being raised, and the size of the hatcheries and the extent of the fields.",0
"22","According to eyewitness reports, in January 2004, rebels attacked and looted a police station and state offices in Yassin, South Darfur.",1
"23","Women and children, especially girls, have been affected by new situations of violence and conflict related to the proliferation of militias and armed groups, in some cases linked to violent extremism, while many protracted conflicts remain unresolved.",1
"24","b) Rent remission",0
"25","The Commission has also found that rebels have killed civilians, although few such incidents and deaths have been reported.",1
"26","After a while we left the houses.",0
"27","General GuÃ©Ã¯, former head of the military junta, was executed along with seven of his entourage.",1
"28","The Council urges [the affected State] to immediately implement appropriate procedures to resolve the issue of property rights and to end any discrimination against [the minority population] in the provision of social benefits and reconstruction assistance.",0
"29","Azahari Husin, Jemaah Islamiyah's best-known bomb-maker until his death in November 2005, trained, in addition to an unknown number of ordinary disciples, several other instructors who remain at large and who can pass on their knowledge to cells throughout Southeast Asia.",0
"30","Apparently, the forest is currently guarded by the national army.",1
"31","The region's natural resources, cross-border crime and the availability of small arms due to past armed conflicts make the sub-region potentially exposed to money launderers, international criminals, drug traffickers and terrorist groups.",1
"32","Expressing its concern about continuing reports of human rights abuses and violations of international humanitarian law, including against women and children, including reports of increasing incidents of sexual violence, in particular those attributed to armed men, stressing the importance of investigating such alleged abuses and violations committed by all parties, regardless of their status or political affiliation, including those occurring during the [relevant] crisis, as ......., reaffirming that those responsible for such violations must be held accountable and noting [the relevant entity's] commitments in this regard,",1
"33","In the reports, this distinction is explained in a number of ways, for example that the Government's Popular Defense Forces, largely recruited from among the Arab tribes, are given the term Janjaweed commonly used in the context of this conflict.",1
"34","In addition, they decided to exert more pressure for the disarmament of militias operating in eastern DRC and to negotiate bilateral treaties for the extradition of active militia leaders.",0
"35","Some witnesses stated that a young man had his eyes gouged out. After they blinded him, they forced him to run and shot him to death.",1
"36","The Commission received evidence showing that the camp leaders had kidnapped civilians and held them in the camp, where they were subjected to torture and forced to work.",1
"37","First of all, let me emphasize the importance of taking as a basis the current negotiations, both the Israeli-Palestinian track and the Israeli-Syrian track.",0
