"es_en_DEEPL"	"MatConf"
"Non-conventional threat: chemical, biological, radiological and nuclear explosives, Asia"	1
"He quoted me and said, \"You always say you are with Syria."	0
"The Security Council welcomes the establishment of the African Union Border Program Technical Team to conclusively determine the centerline on the ground of the Demilitarized Secure Border Zone, and reiterates that the centerline does not in any way affect the current or future legal status of the border, the ongoing negotiations on disputed or claimed areas, or the demarcation of the border."	0
"They killed six men, who were buried in individual graves."	1
"Reports of child abductions during recent attacks on the civilian population demonstrate the very high price paid by Darfur's children in this civil war."	1
"The payments to Bechtel related to reimbursable expenses charged by Bechtel for its work and recurring expenses."	0
"Council members expressed concern over reports that Congolese armed forces were conducting an offensive in Equateur province, called for an immediate end to the fighting and urged all parties to exercise restraint."	1
"Since the demonstration was scheduled to end at 1:00 p.m. on Friday, April 28, a change in the mood of the crowd gathered in front of the Government Palace was palpable from early in the morning."	1
"Some of these items can be upgraded or used as component parts of domestically manufactured items."	0
"In its resolution 2154 (2014), adopted on May 8, 2014, the Security Council noted with deep appreciation the manner in which Captain Mbaye Diagne of Senegal, who, acting in the service of the United Nations Assistance Mission for Rwanda, unarmed and facing extreme and constant danger, saved hundreds, or perhaps even a thousand, Rwandans from death during the 1994 genocide in Rwanda."	0
"The report covers the period from March 24 to September 23, 1999."	0
"Acting, for these reasons, under Chapter VII of the Charter of the United Nations,"	0
"Liberian alluvial gold export figures show an increase in production from 5.36 ounces ($1,317.93) in October 2001 to 192.90 ounces ($41,642.19) in January 2002."	0
":: H.E. Mr. Hamadou Konaté, Minister for Solidarity, Humanitarian Affairs and Reconstruction of the North of the Republic of Mali"	0
"1. Ingots or bars having a size of 100 mm or more in each dimension;"	0
"Underlining the importance of the Arusha Peace Agreement in achieving a peaceful resolution of the conflict in Rwanda and the need for all parties to reaffirm their commitment to its full implementation,"	0
"In most of today's conflicts, mainly small arms and light weapons are used."	1
"The Commission also found that rebel groups had carried out attacks, in almost all cases against army, police or security force targets."	1
"To date, Belgium and Switzerland have concluded agreements for this purpose."	0
"From February 18 to March 13, the Royal Moroccan Army conducted a series of scheduled military maneuvers in the vicinity of Awsard, involving some 1,200 soldiers from infantry, cavalry and artillery units already stationed in the Awsard subsector."	1
"There he sought clarification from the station manager about the nature of his work, the types of hens being raised, and the size of the hatcheries and the extent of the fields."	0
"According to eyewitness reports, in January 2004, rebels attacked and looted a police station and state offices in Yassin, South Darfur."	1
"Women and children, especially girls, have been affected by new situations of violence and conflict related to the proliferation of militias and armed groups, in some cases linked to violent extremism, while many protracted conflicts remain unresolved."	1
"b) Rent remission"	0
"The Commission has also found that rebels have killed civilians, although few such incidents and deaths have been reported."	1
"After a while we left the houses."	0
"General GuÃ©Ã¯, former head of the military junta, was executed along with seven of his entourage."	1
"The Council urges [the affected State] to immediately implement appropriate procedures to resolve the issue of property rights and to end any discrimination against [the minority population] in the provision of social benefits and reconstruction assistance."	0
"Azahari Husin, Jemaah Islamiyah's best-known bomb-maker until his death in November 2005, trained, in addition to an unknown number of ordinary disciples, several other instructors who remain at large and who can pass on their knowledge to cells throughout Southeast Asia."	0
"Apparently, the forest is currently guarded by the national army."	1
"The region's natural resources, cross-border crime and the availability of small arms due to past armed conflicts make the sub-region potentially exposed to money launderers, international criminals, drug traffickers and terrorist groups."	1
"Expressing its concern about continuing reports of human rights abuses and violations of international humanitarian law, including against women and children, including reports of increasing incidents of sexual violence, in particular those attributed to armed men, stressing the importance of investigating such alleged abuses and violations committed by all parties, regardless of their status or political affiliation, including those occurring during the [relevant] crisis, as ......., reaffirming that those responsible for such violations must be held accountable and noting [the relevant entity's] commitments in this regard,"	1
"In the reports, this distinction is explained in a number of ways, for example that the Government's Popular Defense Forces, largely recruited from among the Arab tribes, are given the term Janjaweed commonly used in the context of this conflict."	1
"In addition, they decided to exert more pressure for the disarmament of militias operating in eastern DRC and to negotiate bilateral treaties for the extradition of active militia leaders."	0
"Some witnesses stated that a young man had his eyes gouged out. After they blinded him, they forced him to run and shot him to death."	1
"The Commission received evidence showing that the camp leaders had kidnapped civilians and held them in the camp, where they were subjected to torture and forced to work."	1
"First of all, let me emphasize the importance of taking as a basis the current negotiations, both the Israeli-Palestinian track and the Israeli-Syrian track."	0
"Welcoming the establishment of the Independent and Permanent National Electoral Commission, recalling the need to follow an independent and inclusive process to nominate its members and recalling the importance that the elections scheduled for 2010 be prepared in the spirit of reconciliation and dialogue enshrined in the Constitution of Burundi that facilitated the successful transition,"	0
"The massacres resulted in 393 deaths, including 93 children and 48 women, or 36% of the victims, indicating a deliberate policy of targeting women and children."	1
"To achieve sustainable repatriation and viable minority communities, a broader decentralization process will be needed."	0
"A September 2005 study of foreign-born terrorists who had operated in the United States concluded that about two-thirds had entered or remained in the country fraudulently and that more than one-third had subsequently been charged with passport and visa fraud or misrepresentation in their statements to an immigration official."	1
"The results of the review, including the main issues identified, were included in the claims database."	0
"The Czech Republic is a party to most of the conventions listed in the Annex to this Convention, except for instruments 7 and 8."	0
"Starvation, as a method of warfare, of civilians by depriving them of objects indispensable to their survival, including the wilful obstruction of relief supplies in accordance with international humanitarian law."	1
"In addition, there are death squads and militias made up of autonomous elements that sow terror and carry out executions and kidnappings."	1
"According to Jordanian official sources, the explosive vests were manufactured by Al-Qaida in Iraq, using explosives and grenades from former Iraqi army warehouses and smuggled into Jordan."	1
"Since October 2013, it has thwarted two pirate attacks and transferred five suspected pirates to Seychelles for prosecution."	1
"As previously reported, the destruction of the 12 IPAQs is expected to be completed by the end of June 2015, with the possibility of a slight delay."	1
"Thus, in view of the potential threat posed by the demonstration to the regime and public order, the highest State authorities stated that even if the decree banning demonstrations had not been issued, they would not have allowed or tolerated the march."	1
"In a press statement by the President, Council members expressed their deep concern about the grave humanitarian situation, as the recent fighting had led to an increase in human rights violations and further population displacement."	1
"Although terrorism is not expressly mentioned as a recurring event, it is certainly a cause for concern, as many of the factors mentioned could encourage terrorist acts in the region."	1
"(Summit Resolution 22/537, adopted on March 28, 2010)"	0
"The Commission cannot accept the Government's position that statistics from the work of the committees indicate a much lower incidence of the crime of rape than that reported by sources such as the United Nations, the African Union and other national and international organizations."	0
"Some States have the ability to freeze without delay funds and assets linked to terrorism, although in most cases this is a limited ability."	1
"The Health Professional Licensing Board reviewed the credentials of approximately 750 local health workers who were licensed from the parallel, informal system of medical education maintained by the Kosovo Albanians prior to the establishment of UNMIK."	0
"Attack on a school in Tawila, North Darfur, Sudan."	1
"Our aims and purposes are no different."	0
