"","es_en_DEEP","VerCoop"
"1","This strategy would be aimed, first and foremost, at the Member States; However, it would also be addressed to international organizations, universities, study centers and the population in general.",0
"2","- Call upon parties to armed conflict to take appropriate measures to refrain from, prevent and protect all persons from all forms of sexual violence, including by:",1
"3","In November, ten children who had been in UNICEF transit centres were returned to their families.",0
"4","Reaffirms the importance of the Government of [the affected country] continuing to review and reform the country's security sector, in particular the need to delineate the roles and responsibilities of the [affected country's national security forces], strengthen legal frameworks and improve the civilian oversight and accountability mechanisms of both security institutions, supports the work carried out by the Special Representative of the Secretary-General to promote the professionalization of the security sector and requests [the Mission] to continue providing the support requested by the Government of [the affected country] for the initiatives it undertakes in the country;",1
"5","h) Intensify awareness-raising efforts among parliamentarians and other high-level decision-makers;",1
"6","This will allow the production of unleaded gasoline of much higher quality.",0
"7","However, it can be inferred within reasonable limits that the average employment ranges between 5,000 and 8,000 people.",0
"8","Since MINURSO does not have a specific mandate to defend human rights, it does not have personnel to observe the human rights situation in the territory or in the refugee camps near Tindouf.",0
"9","The Government of the Syrian Arab Republic would like to first express its appreciation for the efforts of the United Nations Department of Peacekeeping Operations and those responsible for the United Nations Disengagement Observer Force ( UNDOF) deployed to the occupied Syrian Golan to maintain security and peace in its area of ââoperations, in accordance with its mandate. The Syrian Arab Republic has continuously supported and facilitated the work of the Force and respected its mandate since its establishment in 1974; has established close links with those responsible for the Force, with the United Nations Truce Supervision Organization (UNTSO) and with the Department of Peacekeeping Operations; and successive Secretaries-General have consistently expressed in their reports their appreciation of the Syrian Arab Republic's willingness to cooperate, to ensure the security of UNDOF members and to respect the Force's mandate.",1
"10","The Security Council commends the efforts of the European Union's Operation ATALANTA, the North Atlantic Treaty Organization's Operations Allied Protector and Ocean Shield, led by NATO Member States, the Combined Maritime Forces Operational Force 151 Combined, led by the United States of America, Denmark, New Zealand, Pakistan, the Republic of Korea, Singapore, Thailand, Turkey, and other States acting individually and in cooperation with the Somali authorities and each other, to suppress piracy and protect vulnerable vessels transiting the waters off the coast of Somalia, and appreciates the efforts of Member States, including China, the Russian Federation, India, Japan, Malaysia and the Republic of Korea, that have deployed ships or aircraft to the region, as indicated in the report of the Secretary-General (S/2012/783).",1
"11","Where appropriate, a stronger link between security sector reform and the lifting of an arms embargo can provide an effective incentive for the success of such reform. This is also important from the point of view of preventing conflict recurrence in fragile post-conflict situations.",1
"12","See Viet Nam's response to paragraph 1.2.",0
"13","Furthermore, the Team proposes that the Committee consider the merits of conditional or provisional removal, under which the Committee could either adopt an extended exemption period for some listed Taliban or even suspend sanctions altogether, with subject to certain conditions, while periodically receiving, during a defined period of time, guarantees that its inclusion is no longer necessary.",1
"14","Written in the form of a regulation, the text complies with the provisions of the International Convention on the Physical Protection of Nuclear Materials.",0
