"es_en_DEEP"	"MatConf"
"Colonel AMID HUSAIN AL KUNI Governor of Ghat (southern Libya)."	0
"The two press conferences, especially the first one, as well as the interview of the first suspect, and the arrest of former senior officials of the security services at the suggestion of the Commission, have had a catalytic effect."	1
"All available evidence indicates that the initial shots on the morning of March 25, which were the spark that triggered the rest of the events, were the result of a coordinated action by the security forces, which caused the death of more than 100 civilians. ."	1
"Import/export of weapons: surveillance and detection of smuggling activities"	1
"The F-FDTL also have in their possession a Minimi submachine gun, a .38 special revolver, a 9mm Browning pistol, two G3 semi-automatic rifles, an M16 A1 rifle and a .50 calibre M2 carbine, the origin of which has not been explained."	1
"b) If the hostage is under 18 years of age;"	1
"These are events linked to the ruthless attacks of Boko Haram, but there are also worrying reports of human rights violations committed by the security forces."	1
"It is not clear who was responsible for this attack."	1
"Furthermore, the European Union has established a supranational regime to ensure that all its member states freeze funds and assets associated with terrorism."	0
"From this point of view, the restoration of peace, security and national unity are the first challenges that must be faced."	0
"The purpose of Al-Qaida in Iraq is to establish a means to launch attacks wherever targets are available, either using its own members or by cooperating with other groups that agree to work with it or, better yet, implement its instructions."	1
"Women were selected for 92 of the 600 positions."	0
"Which will be held on Monday, November 24, 2014, at 3:00 p.m."	0
"In resolution 1425 (2002), it established a Group of Experts on Somalia, which was followed by the Monitoring Group established pursuant to resolution 1519 (2003)."	0
"In Mali, terrorists were on the verge of destroying the basic structure of the State, which affected the stability of the country and the entire region. Al-Qaida in the Islamic Maghreb, the Movement for Unity and Jihad in West Africa and Ansar Eddine continue to operate in northern Mali, an activity that indirectly affects neighboring countries and endangers the presence and work of the United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA)."	1
"The death of two UNODC experts on an anti-piracy mission on 7 April 2014 was a sad reminder of the risks the United Nations faces in its work to improve the lives of others."	1
"The Commission is satisfied that Oan Kiak and his men were involved in crimes against life and limb which occurred on the evening of 25 May at the barricade placed near Lama Market, as indicated in paragraph 87."	1
"In order to determine whether the time has come to start this process, a general assessment of the situation in Kosovo is necessary, which covers much more than the implementation of the rules."	0
"85. Trbic IT-05-88/1-Ar73.1 07/20/06"	0
"We believe that Somalia faces a challenge comparable to that of a marathon runner, since the drafting of the constitution must be completed by April 20, which must then be adopted by May 22."	0
"Deploring the fact that the Taliban continues to provide a safe haven for Usama bin Laden and allows him and his associates to run a network of terrorist training camps in Taliban-controlled territory and use Afghanistan as a base to sponsor international terrorist operations,"	1
"For example, some States have extended the permitted period of pretrial detention or detention pending investigation, or restricted access to legal counsel."	1
"Regarding paragraphs 46, 48 and 49, regarding the arms embargo and border control, in reality, weapons are smuggled into Syria from Lebanon. Everyone knows that certain parties in Lebanon are seeking to destabilize Syria by providing armed terrorist groups in Syria with weapons and funds to undermine the Government."	1
"Evidence shows that in addition to the civilian killed in Rai Kotu, two other civilians died during the night."	1
"The Abkhazian regime has spared no effort to legalize the imposition of demographic change as a result of ethnic cleansing and has created unsustainable living conditions for Georgian citizens who have returned to the Gali district."	1
"As occurred with the issue of links between drug trafficking and terrorism, the issue of piracy came to appear on the Council's agenda through the conflict situations that were included in it, among which African situations stand out, particularly Somalia and the Gulf of Guinea."	1
"With the exception of cases where a person is caught red-handed, law enforcement officials must present a warrant to arrest or detain a person."	1
"Furthermore, from 23 to 27 April, MONUSCO launched Operation Eastern Shield in the Doruma area after reports of two attacks carried out by the LRA in that area."	1
"Signed in Kigali on April 26, 2002"	0
"a) Intentional killings, beatings, kidnappings, disappearances, forced labor and recruitment of Ethiopian civilians;"	1
"The Group observed at Abidjan airport in August 2005 three Mitsubishi L-200 four-wheel drive vehicles, registered to the FANCI, travelling around the military base with personnel and equipment."	1
"A. Current needs Since the imposition of Security Council measures against C̫te d'Ivoire, the Government has limited the acquisition of weapons and ammunition. This is due to an intensive pre-embargo procurement program and the limited use of weapons and ammunition during the brief period of intense armed conflict in 2004."	1
"9. Urges all States to cooperate fully with the Committee established pursuant to paragraph 6 above in the performance of its tasks, including by providing such information as the Committee may require in accordance with this resolution;"	0
"We consider that Armenia's position constitutes a clear challenge to the conflict resolution process and a serious threat to regional and international peace and security."	0
"(c) A list of listed individuals known to have died and entities reported or confirmed to have ceased to exist, together with the documentation requirements described in paragraph 21(c);"	0
"Additionally, MINUSTAH documented the deaths of children in Cit̩ Soleil and other poor districts as a result of shootouts between gangs and the Haitian National Police and the continued use of sexual violence against children."	1
"d) Publish on the Committee's website a summary of the reasons for the inclusion of all entries on the List;"	0
"Ransoms paid for the release of detained vessels, cargo and crews are believed to be used to finance terrorist groups or activities."	0
"The Commission received reliable information that these people had been tortured and subjected to cruel, inhuman and degrading treatment."	1
"Mr. Wissam changed his stance two days later, admitting that he remembered an Israeli named Abi or Avi who could be Alon Avraham."	0
"Security conditions in most of the country remained delicate but generally stable, with few reported incidents."	1
"The involvement of Government forces in some of the attacks is an extremely negative development."	1
"The general proposals are set out in Annex I entitled \"Summary of general proposals\" (the \"Summary\")."	0
"21. Decides that the Secretariat will notify, within one week after a name is removed from the Committee's list, the permanent mission of the country or countries in which the person or entity is believed to be located, and in the case of persons to the country of nationality (to the extent that information is known), and requires States receiving such notification to take measures, in accordance with national law and practice, to promptly notify or inform the persons or entities interested in their exclusion from the list;"	0
":: Directing attacks against the civilian population or against identified civilians not taking a direct part in hostilities;"	1
"According to his statement, he was in his office when he heard the explosion, but thought the noise was due to Israeli military planes passing through the sound barrier."	1
"The group allegedly has close ties to Al-Qaida in the Arabian Peninsula and has provided training in Somalia to terrorists from Nigeria and other countries close to its borders."	1
"\"The Security Council condemns in the strongest terms the suicide terrorist attack that occurred in Issers (Algeria) on 19 August 2008, which caused numerous deaths and injuries at a gendarmerie training academy. Expresses its deep regret and condolences to the victims of this atrocious act of terrorism and their families, as well as to the people and Government of Algeria."	1
"Calls upon all stakeholders to ensure that the special needs of women and children are taken into account and included in all peace processes and agreements and in all post-conflict recovery and reconstruction planning. concrete measures for the protection of civilians, including... iii) creating conditions conducive to the voluntary, safe, dignified and sustainable return of refugees and internally displaced persons..."	0
"Recruiting a second time is in itself a serious violation, but it also deeply undermines the ability of the programs to function and the confidence of children that in the rehabilitation process they will be safe from harassment."	1
"The Syrian Network for Human Rights was unable to document these cases in detail as they are subject to prohibition and persecution by regime forces and extremist groups."	1
"While there is a legitimate concern not to weaken sanctions or appear \"soft\" on terrorism, improving procedures for delisting names would strengthen sanctions and make them fairer."	1
"13. Authorizes Member States acting in accordance with paragraph 10 above, under Annex 1 - A of the Peace Agreement, to take the necessary measures to ensure compliance with the standards established by the Commander of SFOR on command and control of the airspace over Bosnia and Herzegovina in relation to all civil and military air traffic;"	0
"There was also news of new desertions of former integrated CNDP elements, as well as refusals of elements of integrated armed groups to accept the redeployment."	1
