"es_en_DEEP"	"VerConf"
"Which will be held on Wednesday, April 30, 2008, at 10:25 p.m."	0
"28. Amer Deydan Ali Al-Ajami"	0
"The first consultative meeting on the end of the transition in Somalia was held in Mogadishu from 4 to 6 September 2011."	0
"Rogerio Lobato was proposed for the position of Secretary of State for Defense, but he declined the position after General Taur Matan Ruak threatened to abandon the defense force. He was named Roque Rodrigues."	1
"It has also been said that Al-Shabaab has been able to gain support from other international terrorist networks."	0
"Some program officials have been subject to threats."	1
"To achieve the viability and financial sustainability of the local police, the European Union Police Mission has built local capacity in the areas of salary scales, budget planning of organizational units, review of premises maintenance costs, rationalization of the use of police equipment, inventory and payroll control, and general budget execution and management."	0
"In mid-November, the United Nations Humanitarian Assistance Coordinator for Kosovo released the results of a study on the dangers to the humanitarian situation, which indicated that some 42,000 families may need firewood and charcoal and another 6,000 approximately they may need temporary emergency housing for the winter."	0
"Over the course of the next two days a group of Somali locals brought on board a cannon that was mounted on the upper deck of the Alpha Serengeti."	0
"Condemns once again in the strongest terms all acts of violence or abuse committed against civilians in situations of armed conflict in violation of applicable international obligations, in particular with respect to i) torture and other prohibited treatment, ii) violence of gender and sexual violence, iii) violence against children, iv) the recruitment and use of child soldiers, v) trafficking in human beings, vi) forced displacement and vii) the intentional denial of humanitarian assistance, and requires that all parties put an end to such practices."	1
"While this is constructive, direct negotiations without preconditions, in which the parties would be expected to present territorial and security proposals within 90 days, remain not taking place."	1
"The results of collection and destruction programs are uneven."	0
":: Consultative meetings held with various partners, who had recognized the importance of the priority investment program and had expressed their commitment to support the G-5 Sahel with respect to the financing of the program and the establishment of the permanent secretariat, including the World Bank, the African Development Bank, the Islamic Development Bank, Arab funds and banks, the European Union and the United Nations. These partners had praised the energy of the G-5 Sahel and the strong leadership of the Heads of State, demonstrated in their excellent approach to addressing the main challenges of the Sahel, in particular security and development."	0
"In fact, Azerbaijan itself violates these resolutions, which call on the interested parties to engage in negotiations within the framework of the OSCE Minsk Group and through various contacts between them."	1
"States should address all aspects of denial of shelter, as a variety of interrelated measures, such as legislation, law enforcement, border control, refugees and asylum, must be adopted to ensure an effective system."	0
"The incident in North Mitrovica clearly demonstrated that, despite the Security Council mandate on the reconfiguration of UNMIK, EULEX is increasingly deviating from the principle of status neutrality, which is detrimental to the position of the international presence."	1
"Article 535 defines what is meant by an aircraft in flight and an aircraft in service."	0
"The Security Council expresses serious concern at reports of an unusual and sudden influx of thousands of Misseriyas into the town of Abyei and its surroundings, a phenomenon that could force major changes in the ethnic composition of the area."	1
"Currently, there is not a single civilian commodity that cannot enter Gaza."	0
"Climate change was therefore not only exacerbating existing threats to international peace and security; It also constituted in itself a threat to international peace and security."	1
"The Panel of Experts had access to flight records from El Fasher, Nyala and El Geneina airports in Darfur and from Khartoum International Airport, covering different periods within the time frame of the Panel's mandate."	0
"12. Deputy Secretary of the Legal Affairs Department of the Government of the North West Frontier Province, January 19, 1982 to July 9, 1983"	0
"Expressing concern at the continuing threats that the illicit trafficking, destabilizing accumulation and misuse of small arms and light weapons pose to the safety and security of United Nations peacekeeping personnel and their effectiveness in the implementation of peacekeeping mandates peace ..."	1
"The Commission also received credible evidence that the ranks of the Janjaweed militias included fighters from neighboring countries, mainly Chad and the Libyan Arab Jamahiriya."	0
"However, international human rights mechanisms have raised concerns about violations allegedly committed by intelligence agencies and law enforcement agencies in the course of their investigations and interrogations."	1
"c) Prevent the supply, sale or transfer, direct or indirect, to those persons, groups, companies or entities, from their territory or by their nationals, outside their territory or by means of ships or aircraft of their flag, of weapons and related materials of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and related spare parts, as well as technical advice, assistance or training related to military activities;"	0
"c) Encourage States to adopt appropriate measures to protect non-profit organizations from being used for the financing of terrorism."	0
"Likewise, many financial institutions complain that they have received little or no information on how to detect possible indicators of transactions carried out to finance terrorism."	1
"12. Recalls its decision in resolution 2161 (2014) that all States must ensure that their nationals or persons within their territory do not place any funds, financial assets or economic resources, directly or indirectly, at disposition of ISIL, AAF or any persons, groups, companies and entities associated with Al-Qaida, and reaffirms its decision in resolution 1373 (2001) that all States should prohibit their nationals and any persons or entities located in its territory that make funds, financial assets or economic resources, or financial services or other related services, directly or indirectly available to persons who commit or attempt to commit acts of terrorism or facilitate or participate in their commission, or available to entities owned or controlled directly or indirectly by such persons, and to persons and entities acting on behalf of or at the behest of such persons;"	1
"3) The notification under paragraph 1) must be made:"	0
"Concerned by the constant helplessness and widespread anguish suffered by the populations of the northern regions of Mali, called by some Azawad (an expression recognized by previous peace agreements), in the absence of a definitive solution to a conflict whose devastating effects they continue to suffer ;"	1
"Noting with concern that the threat of terrorism has become more diffuse, with an increase in terrorist acts in various regions of the world, including those motivated by intolerance or extremism, and expressing its determination to combat this threat,"	1
"At 5:25 p.m., an Iranian helicopter was detected flying over the area in front of Ras al-Bisha."	0
"It will assist the Committee in initiating a discussion to consider the technical assistance needs of States to implement resolution 1624 (2005) and will facilitate the provision of such assistance where appropriate."	0
"Emphasizing that sanctions are an important instrument for the maintenance and restoration of international peace and security, and emphasizing in this regard the need for the measures indicated in paragraph 1 of the present resolution to be vigorously implemented as an important means to combat terrorist activity,"	1
"Machines that combine spin-forming and flow-forming functions are considered stretch-forming machines for the purposes of this article."	0
"I condemned these restrictions on the freedom of movement of United Nations peacekeeping personnel."	1
"Timor-Leste continues to face significant challenges related to poverty reduction and the creation of employment opportunities, particularly for young people."	1
"Although no real case of use of such a device has been reported since the publication of the Team's previous report, concern remains that the groups and individuals included on the list remain interested in committing such an attack. type, as well as news that illicit sources of radiological materials still exist, particularly in areas of Al-Qaida and Taliban activity."	1
"This is mainly because terrorism is a changing phenomenon."	1
"The Team also considers the growing international concern about the use of the Internet by terrorists and presents perspectives on this, as well as in relation to all their surveillance activities."	1
"The MDC candidate has little or no access to Zimbabwe's media; he is prohibited from campaigning freely; and there are reports that the state has confiscated campaign buses and vehicles, allegedly because they were not properly registered."	1
"Il Giornale, newspaper; Fausto Biloslavo, journalist, December 28, 2011"	0
"The operations of these groups also contributed to the efforts of the Afghan Taliban to destabilize the country."	0
"The Council emphasizes that all those responsible for violations of international law, including humanitarian law and human rights law, as well as those who ordered such acts, must be held accountable."	1
