"","es_en_GOOGLE","MatCoop"
"1","Its jurisdiction was redefined in March 2006 by UNMIK regulation 2006/50, which mandated the Kosovo Commission to resolve claims directly related to (or resulting from) the armed conflict that occurred between February 27, 1998 and June 20. of 1999 in relation to private real estate, including agricultural and commercial property.",1
"2","Most States in the subregion have enacted laws to regulate the import and export of weapons.",1
"3","d) The Dangerous Goods Regulations of the International Air Transport Association",0
"4","Support for hospitals treating rape victims (medical and surgical care, voluntary and confidential psychological support for rape victims and treatment of sexually transmitted diseases).",1
"5","When the attack occurred, the women ran to a wadi, where they were surrounded by the army.",1
"6","A June 2005 report frequently cited by the International Crisis Group that a helicopter destroyed in Yamoussoukro by the French attack of 6 November 2004 was from Guinea has proven false, as demonstrated by the Group&#39;s accounting.",1
"7","The remaining funds will be used to finance the implementation of additional mitigation measures, including pre-deployment training and the establishment of warning and surveillance systems, including canine teams, in MINUSMA camps.",1
"8","This also explains the determination of Ugandan business circles to continue equipping armed groups in the Ituri district, in order to continue illegally exploiting the district&#39;s natural resources and other forms of wealth.",0
"9","Of the 5 invoices, 4 were dated 1985 or earlier; only one was dated 1989.",0
"10","- Convention Concerning Offenses and Certain Other Acts Committed on Board Aircraft, of September 14, 1963",0
"11","The unspeakable atrocities committed against inmates of Kwanliso political prisoner camps are reminiscent of the horrors of the camps that totalitarian states established in the 20th century.",0
"12","The number of attacks against national and international security forces, officials of public institutions and humanitarian personnel has increased. The number of attacks against polling stations and threats against registration teams has increased.",0
"13","2. Decides that the Counter-Terrorism Committee Executive Directorate will continue to function as a special political mission, with the policy guidance of the Counter-Terrorism Committee, for the period ending 31 December 2017, and also decides to conduct an interim review before from December 31, 2015;",1
"14","I would like to take this opportunity to express my appreciation to Mr. Eide for accepting this important mission and preparing an excellent report, as well as for his efforts in helping to create conditions conducive to progress in the political process.",0
"15","The Popular Defense Forces fight with the regular armed forces.",1
"16","Some reiterated the need for closer coordination among United Nations counter-terrorism entities.",0
"17","The Commission&#39;s investigation team was headed by a chief investigator and comprised four investigators, two investigators specialized in violence against women, four forensic experts and two military analysts.",1
"18","Noting the work of the Global Counter-Terrorism Forum, in particular the publication of several framework documents and good practices, in areas including countering violent extremism, criminal justice, kidnapping for ransom, support for victims of terrorism and community-oriented policing, to complement the work of United Nations counter-terrorism entities in these areas, and encouraging the Counter-Terrorism Committee Executive Directorate to continue its interaction with the Global Forum in its work with Member States to promote the full implementation of resolutions 1373 (2001) and 1624 (2005),",0
"19","South Sudan became a member of the IMF and the World Bank on April 18.",0
"20","As of January 17, the Ministry had analyzed and validated 128 of a total of 140 municipal budgets.",0
"21","To explain this lack of documentary evidence, statements from two KISR employees were presented.",0
"22","The Burundian franc, the national currency, has lost almost 30% of its value since 2001.",0
"23","In an office of these characteristics, good offices would be a secondary activity.",0
"24","Pursuant to resolution 2083 (2012), the Monitoring Team submitted reports to the Committee in July and December 2013, making recommendations on how to improve the sanctions regime and intensify the effects of sanctions and presenting an assessment of the threat posed by Al-Qaida and its associates, as well as updated information on the Team&#39;s activities.",1
"25","Collaboration with women&#39;s organizations and national governments in support of post-conflict constitutional, electoral and legislative reform processes; institutional capacity building of national systems for women in post-conflict areas.",1
"26","UNHCR provided training to relevant officials from Belarus and Ukraine to ensure effective and appropriate implementation of the refugee status determination standards set out in the 1951 Convention.",1
"27","A. First instance rulings pending as of November 15, 2013",0
"28","Which will be held on Thursday, June 29, 2006, at 10:20 a.m.",0
"29","The practice can be considered to amount to enforced disappearances and therefore a failure to fulfill the obligations of armed groups under customary international humanitarian law.",0
"30","All centrifuges installed are IR-1.",0
"31","Every effort was made to include members of minorities who met the required conditions in the system.",1
"32","[S]tressing the urgency of carrying out comprehensive security sector reform and achieving, as appropriate, the disarmament, demobilization and reintegration of [national] armed groups and disarmament, demobilization, repatriation, resettlement and the reintegration of foreign armed groups to achieve the long-term stabilization of [the affected country], taking into account the need to create security conditions that guarantee sustainable economic development and highlighting the importance of the contribution they have made in these areas international partners.",1
"33","It is clear that the Commission may not be in a position to carry out these functions if it has not previously determined a) whether the transgressions constitute international crimes and, if so, b) to what categories of crimes they correspond (war crimes, crimes against humanity , genocide or other crimes).",0
"34","This is a real threat, although it has been largely contained through careful cooperation at the national, bilateral and multilateral levels.",1
"35","11. During the reporting period, the Entity Armed Forces carried out normal training activities, in accordance with the military provisions of the Dayton Peace Agreement.",1
"36","The work of organizations such as UNESCO, UNDP and the United Nations Alliance of Civilizations, focused on conflict prevention, creating a culture of peace, eradicating poverty and promoting sustainable development and social inclusion through education, culture and communication in Africa, has become essential.",1
"37","Through samples collected at the crime scene and new forensic examinations, the Mitsubishi Canter truck has been identified.",1
"38","Common standards and procedures are being developed in the following six key areas: the code of conduct; training materials and strategies; standardization of procedures for the transmission of complaints within an organization; community information; standardization of procedures of United Nations partner implementing agencies and MONUC in accordance with the Secretary-General&#39;s bulletin (ST/SGB/2003/13) on special measures for protection against sexual exploitation and abuse; and the transmission of complaints received by an agency about an incident in which an official of another agency had been involved.",1
"39","A good part of the systems, procedures and mechanisms necessary for the management of these institutions, including the PNTL and the F-FDTL, have already been established and for them to carry out their functions under the legislation.",0
"40","The international commission would be composed of three eminent personalities with appropriate experience and a reputation for probity and impartiality.",1
"41","Additionally, the Government of Egypt has included Javad Rahiqi, an Iranian citizen whose name appears in resolution 1929 (2010), on the list of people prohibited from entering the country.",0
"42","All evidence confirms Luberef&#39;s claim that payments had been made.",0
"43","43. Nonproliferation (March 29, 2006; September 7, 2011).",0
"44","Resources of 2 or 3 vehicle sections",0
"45","h) Submit, through the Committee, a mid-term report within 90 days following its establishment;",0
"46",":: It is governed, in some aspects, by legislation. If yes, please indicate the relevant laws.",0
"47","This figure was arrived at by adjusting the ending inventory as of June 30, 1990 through additions and deletions to inventories amounting to KD 528 during the month of July 1990.",0
"48","The Ombudsperson and her Office staff continued to maintain contacts with representatives of the Counter-Terrorism Implementation Task Force and the Executive Directorate of the Security Council Committee established pursuant to resolution 1373 (2001) on counter-terrorism. terrorism, as well as with the Terrorism Prevention Branch of the United Nations Office on Drugs and Crime, and the Office of the United Nations High Commissioner for Human Rights.",1
"49","Reimbursements made for costs related to contingent-owned troops and equipment cover the period ending 31 May.",0
