"","es_en_GOOGLE","VerCoop"
"1","Rather, States should establish a clear, comprehensive and coherent legal framework that expressly classifies acts of terrorism as serious crimes, punishes such acts according to their seriousness, determines the applicable jurisdiction and facilitates the courts&#39; prosecution of terrorists.",0
"2","To date, the Council has not requested that the Secretary-General report to the Council on his efforts, as he was invited to do in presidential statements in 2009 and 2010, aimed at incorporating the issue of drug trafficking as a factor in drug trafficking strategies. conflict prevention, conflict analysis, evaluation and planning of integrated missions and support for peacebuilding.",1
"3","The Chairman of the Group, JosÃ© Ramos-Horta, led the deliberations on behalf of the Group and reported that during the first stage of its work the Group of Experts would focus on listening to the views of all Member States as collective contributors to peace and security, and the consultations would also include the General Assembly Committees, regional organizations and troop- and police-contributing countries.",1
"4","Clearly, the Government of the Democratic Republic of the Congo is responsible for regulating business activity in the country and, together with its international partners, will need to take the lead in implementing the proposed governance pact.",0
"5","The promotion process was fully managed by the Government, supported by a committee comprising five international experts (from Australia, Malaysia, New Zealand, Portugal and Singapore) and technical support from UNMIT police.",1
"6","However, financial and other institutions involved in implementation are not yet aware of this change and the Team recommends that the Committee and States find ways to disseminate it.",1
"7","By successfully filling this important desert locust early warning gap, pests can be better predicted and their effects mitigated in a timely manner.",0
"8","In paragraph 3 of that resolution, the Council requested me, in consultation with the Committee established pursuant to resolution 751 (1992) concerning Somalia, to re-establish, within 30 days of the date of adoption the resolution and for a period of six months, the Monitoring Group referred to in paragraph 3 of resolution 1558 (2004), with the mandate established in paragraph 3 (a) to (i) of resolution 1630 ( 2005).",1
"9","One of the damaged generator sets was replaced.",0
"10","Three regional offices operate in Nyala, El Geneina and El Fasher, and a fourth is planned to open in Zalingei at the beginning of June.",0
"11","Welcoming the role played by the African Union in conflict resolution on the African continent and expressing support for the peace initiatives undertaken by the African Union, and through subregional organizations,",1
"12","13. You decide to continue addressing the issue.",0
"13","Acting under Chapter VII of the Charter of the United Nations,",0
"14","The Group noted with satisfaction that some countries have suspended or blocked the export of military goods and services to CÃ´te d&#39;Ivoire.",0
"15","The report was submitted to the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated persons and entities on 22 February 2011, in accordance with resolution 1904 (2009). Security Council and is currently being considered by the Committee.",1
"16","The Security Council expresses its readiness to consider the specific recommendations of its Working Group on Children and Armed Conflict regarding violations and abuses committed against children by parties listed in the annexes to the reports of the Secretary-General, when occur, with a view to considering the adoption of measures in this regard, without prejudging or entailing the adoption of a decision by the Security Council on whether or not to include a given situation among the issues submitted for its consideration.",1
"17","To this end, the Oswaldo Vieira International Airport and the seaport will be opened immediately;",0
"18","Total power supply did not improve at the system level and overall reliability decreased due to constant deterioration and increasing peak load demand during the summer months.",0
"19","S/RES/1896 (2009), para. 12",0
"20","b) Lost profits 143 - 163 43",0
"21","The two sides agreed to continue their dialogue with a view to strengthening their bilateral relations so that they could establish mutual diplomatic representations.",1
"22","In presenting the report, the Assistant Secretary-General emphasized the risk that, despite the calm prevailing in the area, security will deteriorate, particularly as a result of the Sudanese authorities&#39; inclusion of Abyei as an electoral district for the elections. 2015 presidential elections.",0
"23","Consequently, offshore entities pose special problems for regulatory bodies, such as: i) determining where the company actually conducts its activities, which may even be in cyberspace; ii) examine the accounts; iii) determine the asset and its whereabouts; iv) determine the beneficial owners of the IBCs; and v) take note of any change in its legal status, which may take time to be disclosed by international financial systems, including when the change entails cancellation of registration or license.",0
"24","A framework to address the threat posed by foreign terrorist fighters",0
"25","We are seriously concerned about this decree, which could have very broad consequences.",0
"26","Official peace negotiations between the Government of Mali and armed groups began in Algiers on 14 July, facilitated by an international mediation team, comprising the United Nations, regional organizations and neighboring countries, and led by Algeria. The negotiations were aimed at maintaining the ceasefire and seeking a political solution to the conflict, while safeguarding the territorial integrity of Mali. On July 24, the Government of Mali and the armed groups signed a preliminary agreement that outlined a roadmap for holding new negotiations.",1
"27","The Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban (hereinafter referred to as &quot;the Committee&quot;) has given Member States many opportunities to express their views, whether directly or through the Surveillance Team.",1
"28","The Executive Directorate of the United Nations Counter-Terrorism Committee, for example, has worked intensively with States to strengthen their border management capacity to control the movements of terrorists and their criminal justice capacity to combat money laundering.",0
"29","There is no teller who can verify the customer&#39;s identity face to face and the existing indirect due diligence procedures are susceptible to abuse due to the considerable level of anonymity and the lack of direct monitoring of operations.",0
"30","With respect to the argument regarding international law, the Team is of the view that one of the reasons for creating a review group or mechanism is simply to preempt the legislation in this regard, establishing the standard before it is reflected in decisions of national or international courts. regional or in the practice of Member States.",1
"31","The situation in the Middle East (July 18, 1960; February 26, 2014)",0
"32","The Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004), whose mandate was extended by resolutions 1617 (2005) and 1735 (2006) relating to Al- Qaida and the Taliban and associated individuals and entities, has the honor to transmit its seventh report, in accordance with resolution 1735 (2006).",1
"33","The Council also decided that the maximum total strength of the Mission would be 2,370 troops and a police component of up to 2,601 troops, as recommended by the Secretary-General; and urged the Secretary-General to ensure that a troop strength close to the current strength was maintained in the country until he submitted his next report to the Council and to alert in that report to any major changes in the situation.",1
"34","35. Central African Region (November 24, 2003; November 14, 2011).",0
"35","After a thorough investigation, the US Government verified that Ahmed Abu Khattalah had been a key figure in these armed attacks.",0
"36","1) Capable of speeds of 400°/s or more, or 30°/s or less; and",0
"37","United Arab Emirates report",0
"38","Furthermore, the Security Council calls upon all parties to take appropriate and necessary measures to respect the principles relating to the protection of refugees and their obligations under refugee law, including civil and humanitarian of the refugee camps.",1
"39",":: UNICEF assisted 60,039 people by providing items related to water, sanitation and hygiene, as well as 23,100 children, to whom it provided support for education in hard-to-reach areas.",0
"40","Likewise, the Force Commander gave us, pursuant to court order No. 206/1735, dated February 18, 2005, written authorization from that party, reference 36/2005, dated February 18, 2005, which included the order to keep the cars of Hariri&#39;s entourage at the barracks, cover them with tarps and take them into custody, all of which was done.",0
"41","Furthermore, greater coordination and interoperability between these organizations, as well as the development and sharing of common strategies, operational policies and best practices in civilian crisis management, would increase effectiveness and coherence in crisis management.",1
"42","Longer-term capacity development and stabilization activities should be carried out to the extent possible by the United Nations country team, in areas where it has a comparative advantage.",1
