"es_en_GOOGLE"	"MatConf"
"50. The situation in Libya (February 22, 2011; December 16, 2013)."	0
":: On November 18, 2014, regime helicopters dropped a barrel bomb on the road between Kafr Hamra and Hreitan, killing 16 people, including 5 children, 3 women and 1 paramedic."	1
"From 24 to 28 October 2011, the KFOR Civil and Military Advisory Division and the Kosovo Security Force jointly completed the harmonization phase of their fourth joint assessment."	0
"The Security Council reaffirms the principle of non-refoulement of refugees, as set out in the relevant instruments of international law, notes with satisfaction that countries neighboring the [affected State] have recently taken measures to support the voluntary repatriation of [such] refugees in conditions of security and dignity and urges these host States to continue providing international protection to refugees in need. The Council encourages the international community to provide the necessary assistance in this regard."	0
"31. The State considers the spread of Christianity to be a particularly serious threat since it ideologically challenges the official cult of personality and provides a platform for political and social interaction and organization outside the limits of the State."	1
"The political debate is likely to intensify as several election-related appeals have already been filed in court."	0
"In another case, the Janjaweed attacked the village of Mallaga in October 2004, killing 18 men and wounding four men and two women."	1
"In its efforts to promote regional cooperation, UNODC organized, jointly with the Global Counter-Terrorism Forum, a conference on regional cooperation in criminal matters in the Maghreb and the Sahel, held in Casablanca, Morocco, from 16 to 18 April 2013."	0
"Some of these invoices were partially translated and others had not been translated."	0
"In a second category are the militias that adopt paramilitary structures and act in parallel to the regular forces, in particular the groups called &quot;combat forces&quot;, the mujahideen or the fursan (the horsemen)."	1
"In the week of June 19 to 26, in the Bay region, about ten people were killed and another nine were injured in fighting between subclans of the Digil-Mirifle clan in the area, including the Leysan, Luway and Yantar."	1
"The report included a grim description of the situation in the region, characterized by more acts of violence and terrorism."	1
"Given this situation, the Team has launched several initiatives to fulfill its mandate to monitor the travel ban and propose recommendations to improve it, including: increasing interaction with Member States and major international organizations; an investigation into the use of false travel documents by terrorists and ways to improve national and international systems; regular discussions with Interpol on ways to improve its coordination with the United Nations; an analysis of the increasing trend towards visa-free and free movement zones and their interrelationship with United Nations sanctions; and the relationship between refuge and asylum practices and United Nations activities to combat terrorism."	0
"The international community will need strength to carry the status process forward."	0
"It should also be noted that this decision of the Russian Federation coincides with provocative acts by the separatists and a marked increase in their military forces."	1
"This attack, which occurs on the day of the ceremony in which the bodies of nine Nigerian MINUSMA soldiers are honored in the presence of the Under-Secretary-General for Peacekeeping Operations of the United Nations (UN), Mr. Herv̩ Ladsous, it is a provocative act committed by terrorists to instill fear and create confusion in the ranks of MINUSMA."	1
"Brigadier General Ruak told the Commission that he knew that there was no specific law that permitted the arming of &quot;reservists&quot; and stated that, after proposing it to the Minister of Defense, he had authorized him to do so."	1
"This decision established from that date a ban on commercial, economic, financial and transport relations, among others, with Abkhazia at the State level."	1
"During the presidential meeting mentioned in paragraph 2 above, the President indicated that the overall restructuring of the public sector, and in particular the public administration, was one of his key priorities."	0
"The murders and attempted murders were committed practically on a daily basis at the end of May and during the first week of June 2007."	0
"Passenger traffic from Somalia at Wilson Airport is low."	0
"vii) The Armed Forces Special Powers Act, 1958;"	0
"Niger occupies an immense territory of 1,267,000 square kilometers. This vast country is populated by about 11 million inhabitants."	0
"At the same time, the threat from the Taliban has been renewed."	1
"Hacene Djemam, International Confederation of Arab Trade Unions"	0
":: Starvation, as a method of war, of civilians, depriving them of goods essential to their survival, including the intentional obstruction of relief supplies in accordance with the provisions of international humanitarian law."	1
"The Ministry did not give any further explanations about the situation of these companies."	0
"These capabilities will be added to the units planned in the heavy support package."	0
"In a press statement by the President, Council members expressed their deep concern about the serious humanitarian situation, as the latest fighting had led to an increase in human rights violations and a new population displacement."	1
"71. The situation in Georgia (October 8, 1992; June 15, 2009)."	0
"4. Requests the support of troop- and police-contributing countries in this regard;"	0
