"","es_en_TRANSOFMERS","VerConf"
"1","On 13 September, a cabinet remodelling was announced affecting six Government Ministers, specifically those of Finance, Planning, Transport, Trade, Health and HIV/AIDS.",0
"2","Press statements by the President of the Security Council in January 2002",0
"3","It instructs the Commission to undertake an analysis of the financing of ECOWAS activities in order to ensure that institutions are adequately resourced.",1
"4","The Security Council, by its resolution 1575 (2004) of 22 November 2004, requested Member States, through or in cooperation with the European Union, to report to it on the activity of the European Union military mission in Bosnia and Herzegovina (EUFOR), through appropriate channels and at least every three months.",0
"5","The Government also shares a number of concerns expressed in the report that relate, inter alia, to human rights and the situation of children and women.",1
"6","It is important to recall, however, that apart from these confidence-building measures, the Government of CÃ´te d'Ivoire remains responsible for the security and protection of its citizens, and the Minister of Territorial Administration, Mr. Issa Diakite, was attacked in Abidjan on 6 September by a group of Young Patriots.",0
"7","The Justice and Equality Movement is led by Khalil Ibrahim, former Minister of State who took sides by Hassan El Turabi when he formed the National People's Congress in 2000.",0
"8",":: Convention on Offences and Certain Other Acts Committed on Board Aircraft (1963);",0
"9","(b) Cosmetics (valued at approximately Yen160,000) in October 2008.",0
"10","Development of a set of policies, guidelines and procedures for the planning, implementation and follow-up of disarmament, demobilization and reintegration programmes, known as integrated standards for disarmament, demobilization and reintegration programmes, and gender mainstreaming.",0
"11","There are no communications, apart from private cell phones and satellite phones and radio links.",0
"12","With regard to the claim of the Ministry of Tourism and Antiquities, the midpoint is 16 April 1991.",0
"13","Pristina has so far rejected any such initiative.",1
"14","Case 5, Tarek Ben Al-Bechir Ben Amara Al-Charaabi (state: name deleted from the List)",0
"15","The Government and the United Nations country team, with input from the World Bank, prepared a booklet on the Millennium Development Goals, which sets out the current situation in Timor-Leste and explains the policy implications of achieving the targets and indicators.",0
"16","To this end, Oswaldo Vieira International Airport and the seaport will be opened immediately;",0
"17","There are the following types of permit:",0
"18","S/AC.26/Dec.19 (1994)",0
"19","The situation in Chad, the Central African Republic and the subregion (27 August 2007; 4 February 2008)",0
"20","In this regard, the Kingdom of Morocco has, in due course, fully complied with its obligations, including by releasing detainees, including Algerian military personnel, and by providing all the clarifications requested by the International Committee of the Red Cross concerning the allegations of disappearances.",0
"21","STIs have resulted in prosecutions and convictions, but data are not available to provide figures.",0
"22","The Department of Civil Security and Emergency Preparedness was formally established in November under UNMIK Regulation No. 2000/61.",0
"23","Mr. Serry described as alarming the disparity between the progress made towards the establishment of a Palestinian State and the persistent and deep stalemate on the political track.",1
"24","In addition, on 29 July, UNOMIG denounced the establishment of an Abkhaz post for the collection of âtaxesâ 50 metres from a CIS peacekeeping force checkpoint, contrary to the Gali Protocol of 12 May 2005 (see S/2005/453, para. 4).",1
"25","Unfortunately, there are also numerous examples where fact-finding mechanisms could have contributed to establishing the truth, ensuring accountability and preventing further violations of human rights, but where the Council failed to take effective action because of political considerations.",1
"26","Almost all States have adopted early warning systems and arrangements for the exchange of information, and almost all have agreements on mutual legal assistance and extradition.",0
"27","However, the country continues to face difficulties in its struggle for stability and development, including the security situation, the worsening humanitarian situation, challenges in the areas of the rule of law and human rights and the continuing violence that has resulted in the death of civilians, which continues to increase.",1
"28","Report of the Secretary-General on the United Nations operation in Cyprus (S/2011/332)",0
"29","It condemns once again in the strongest terms all acts of violence or abuse committed against civilians in situations of armed conflict in violation of applicable international obligations, in particular with regard to (i) torture and other prohibited treatment, (ii) gender and sexual violence, (iii) violence against children, (iv) recruitment and use of child soldiers, (v) trafficking in human beings, (vi) forced displacement and (vii) deliberate denial of humanitarian assistance, and demands that all parties cease such practices.",1
"30","Tent camps have been closed and internally displaced persons are returning to a normal life, although there are still some problems that require a rapid response.",0
"31","Evidence at its disposal shows some involvement in the events of Parliament member Leandro Issac. As a result of this incident, one PNTL officer was killed and two F-FDTL soldiers were injured.",0
"32","On a substantive basis, national jurisdictions have submitted one or more of the following arguments to the claimants: first, the right of redress as contained in international humanitarian law is not self-executing, only the victim States are directly entitled to exercise this right; second, there is a peace agreement that excludes individual claims.",1
"33","2. Public utilities expenditure 468 104",0
"34","1. Compensability 202 42 2. Valuation methods 203 - 206 39",0
"35","At the same time, it is imperative that all Somali parties, especially the transitional federal institutions, honour their promises to resolve the enormous political, economic and security challenges before them.",1
"36","Fourthly, piracy off the coast of Somalia is an international problem, requiring our collective efforts and contribution.",1
"37","Despite these challenges, we cannot fail to recognize that approximately 50 per cent of the Afghan population lives in areas where responsibility for security has been transferred to the Afghan security forces.",1
"38","The Government of Afghanistan has called for the Committee to respond more flexibly to its de-listing proposals, because it fears that if it cannot achieve the de-listing it will lose an indispensable system to reward the Taliban who accept reconciliation and run the risk of taking up arms again.",1
"39","One of the PNTL agents was killed by a soldier about 30 minutes later.",0
"40","The Council may wish to revisit the issue of the Committee's mandate in the light of these developments and developments in Iraq.",0
"41","In order to avoid a new wave of violence, both sides and the international community must act promptly.",1
"42","The Government was thus in the final stage of adopting military guidelines to prevent the military use of schools; and in the process of developing a comprehensive strategy on children and armed conflict for its armed forces.",0
"43","Technical agreements have been formalized between the Interpol office in Sarajevo and law enforcement agencies both at the entity and state levels, allowing these police forces direct access to the Interpol database.",0
"44","Bagosora CITR-98-41-Ar73 (OTP)",0
"45","If it was decided to prosecute all persons who had received weapons for illegal possession, the Commission had reports identifying such persons.",1
"46","Between 20 October and 10 December 2014, regime helicopters dropped 1,125 barrel bombs, killing 603 civilians, including 129 children and 112 women.",0
"47","Finally, we must caution that it is not in the interest of international peace and security for the international community, including the Security Council, to use the plight of the Arab peoples for their own sake and to effect regime change.",1
"48","(1) Copies of the customs declaration within three days of shipment of each consignment of goods;",0
"49","During the reporting period, the Office of the Prosecutor used about 307 hours to interrogate defence witnesses, and the Trial Chamber took about 50 hours to examine witnesses and resolve administrative and budgetary matters.",0
"50","At the same time, President Al-Bashir is threatening the international community with reprisals and even more crimes.",1
"51","The Security Council therefore determined in its resolution 1556 (2004) that the situation in the Sudan constituted a threat to international peace and security and to the stability of the region and, acting under Chapter VII of the Charter of the United Nations, urged the Government of the Sudan to fulfil immediately all the pledges made in the joint communiquÃ©.",1
"52","While reform of the security forces is a sovereign prerogative, I encourage the Government to seek to resolve the underlying issue of the cohesion of the national army, including through the formation of a professional FARDC that is adequately equipped and supplied.",0
"53","United Nations Radio has an important role to play, given the quality of its programmes and the fact that it reaches virtually the entire country.",0
"54","Any conduct that does not conform to that boundary line is illegal.",0
"55","of Qatar to the United Nations",0
"56","We could continue to mention widespread poverty, natural resource management problems, the thousands of refugees and internally displaced persons, to which thousands of ex-combatants must be added while awaiting reintegration, weak and unreformed security sectors, massive human rights violations and many other threats that could instigate a new conflict.",1
"57","In May 2000, Turabi led a break with the National Congress party, which was the governing party, and established a new party called the People's Congress.",0
"58","President Abbas also told me that âillicit transfer of substantial quantities of weapons to refugee camps through some Palestinian groups poses a risk to Lebanon and does not help the Palestinian cause.â",1
"59",":: Full implementation of the integrated command centre",0
"60","We are trying by all means to be able to vote in favour of the draft resolution by incorporating the balanced text of the declaration of the European Union's foreign ministers.",0
"61","Timor-Leste continues to face major challenges related to poverty reduction and job creation, particularly for young people.",1
"62","The threat of Al-Qaida and the Taliban",1
"63","The challenge now is to build on that platform and realize the promise of peace.",0
"64","In addition, further research is needed to demonstrate that such programmes produce real and positive results with regard to the possibility of such persons committing new acts of terrorism or inciting others to commit them.",0
"65","Articles 389 and 390 provide as follows:",0
"66","Again, an Italian technician was seen riding the helicopter and testing the engine and rotor.",0
"67","The true establishment of the rule of law in the Democratic Republic of the Congo requires the formation of an effective and democratic army, judicial system and police force.",1
"68","Like other speakers who preceded us and in line with the statement made by High Representative Ashton, we condemn the act that led to the death of Mr. Dzeković and the wounding of others during the protests that took place on 2 July in northern Mitrovica.",1
"69","""antagonism among political forces overshadows the country's recent democratic success and threatens its progress towards permanent stability."" (S/2011/540, para. 55)",1
"70","Demobilized combatants will receive a daily subsistence allowance of approximately US$ 940, of which 25 per cent will be paid at the time of demobilization, another 25 per cent after 45 days and the rest 90 days later.",0
"71","As emphasized at these briefings, Eritrea's decision to limit all types of UNMEE helicopter flights in Eritrean airspace severely limits the Mission's ability to implement its monitoring mandate, as requested by the parties to the Agreement on Cessation of Hostilities of 18 June 2000 and authorized by the Secretary-General in his resolutions 1312 (2000) and 1320 (2000).",1
"72","Faced with the serious and universal threat that terrorism continues to pose, France, when it held the presidency of the Security Council last January, had the initiative to organize a ministerial meeting of the Council devoted to combating terrorism.",1
"73","Some States and regional organizations have also launched other border control initiatives, such as notification or authorization systems that require travellers to provide identity information prior to their travel, or have established new visa identification systems or shared databases.",0
"74","In another case, the Janjaweed attacked the village of Mallaga in October 2004, killing 18 men and injuring four men and two women.",0
"75","United Nations human rights mechanisms have expressed concern about special counter-terrorism provisions that limit certain rights in some States and could, in turn, create difficulties for the implementation of international agreements on judicial assistance and extradition.",1
"76","Members of rebel groups suspected of participating in an illegal association to commit international crimes are mentioned and for their possible responsibility for not knowingly preventing or suppressing the commission of rebel crimes.",0
"77","United Kingdom of Great Britain and Northern Ireland: draft resolution",0
"78","The Commission found that an administrative investigation was being conducted by a committee established by the Wali of Southern Darfur, in view of the seriousness of the charge and its consequences, which made it imperative to expedite action;",0
"79","Reiterating further the obligation of Member States to prevent the movement of terrorist groups, including by imposing effective border controls and, in this context, their obligation to exchange information without delay and to enhance cooperation between the competent authorities to prevent the entry and exit of terrorists and terrorist groups from their territories, as well as the supply of weapons to terrorists and funds that could finance their activities,",0
"80","The list of such goods and technologies is set out in Annex I to the Regulation;",0
"81","Now, however, what Afghanistan has accomplished is considerably undermined by serious challenges to its security and stability.",1
"82","1. Expresses its strong condemnation of all forms of violence, including, inter alia, murder, rape and sexual assault, intimidation, armed assault, abduction, hostage-taking, kidnapping, unlawful harassment and arrest and detention, to which those involved in humanitarian operations are increasingly exposed, as well as attacks against humanitarian convoys and acts of destruction and looting of their property;",1
"83","In all those talks, I was encouraged to find a convergence of views: we were all amazed at the many progress that Liberia has made since the fighting ended in 2003, but we are all fully aware of the daunting challenges that Liberia still faces and that, ultimately, we cannot take anything for granted.",1
"84","141. Faisal Ghali Ashwi Al-Dhafiri",0
"85","To be held on Wednesday, 19 February 2014, at 10:00",0
"86","Noting with concern that the threat of terrorism has become more widespread, with an increase in terrorist acts in various regions of the world, including those motivated by intolerance or extremism, and expressing its determination to combat this threat,",1
"87","Once again, we condemn the killing of civilians, whether Palestinian or Israeli.",1
"88","We believe that Armenia's position is a clear challenge to the conflict resolution process and a serious threat to regional and international peace and security.",1
"89","An important element is the fact that in a number of villages attacked and burned by militiamen and government forces, the aggressors refrained from exterminating all the population that had not fled, but proceeded to selectively kill groups of young men.",0
"90","Determining that the situation in Somalia continues to constitute a threat to international peace and security in the region,",1
"91","âThe Security Council expresses its growing concern at the serious threats posed by drug trafficking and related transnational organized crime to international peace and stability in West Africa and the Sahel region, as noted in the United Nations Integrated Strategy for the Sahel.",1
"92","As a result, transactions suspected of financing terrorist acts will be subject to the same reporting and suspension system used in money-laundering cases.",0
"93","STATEMENT BY THE PRESIDENT OF THE SECURITY COUNCIL",0
"94","Condemning all attacks on United Nations peacekeepers and humanitarian personnel, whoever they are responsible for, and emphasizing that those responsible for such attacks must be brought to justice.",1
"95","UNMIS continues to exchange immediate reports and other vital information with UNAMID regarding the flight restrictions imposed by the Government of the Sudan on Southern Darfur and the clashes between JEM and the Sudanese Armed Forces.",0
