"es_en_TRANSOFMERS"	"MatConf"
"UNHCR has served 434,645 people in 91 hard-to-reach areas and besieged since the beginning of the year."	0
"(c) Maintenance of MINURCAT airfields and airfields in Farchana, Goz, Beida, Bahaï, Iriba, Guéréda and Birao; and"	0
"C. Operationalization of the Arusha branch"	0
"The first programme component is the establishment of transnational crime units in CÃ´te d'Ivoire, Guinea, Guinea-Bissau, Liberia and Sierra Leone."	0
"Once the planned elections take place, consultations with the elected Government will be essential to determine the nature and level of support that the Ivorian authorities will need from UNOCI for the legislative and local elections before the start of the drawdown of the Operation."	0
"In that context, Council members reaffirmed the need to draw lessons from the armed confrontation that followed the 2010 presidential elections in the country."	1
"The idea behind changing the format is to make the verification of the List, whether by manual or electronic means, as simple and efficient as possible by reducing the likelihood of possible overlaps that in turn require an in-depth investigation in order to determine whether the sanctions are applicable."	0
"Two of them were injured but managed to survive thanks to the assistance of the Red Cross."	1
"I. Other losses 171 - 173 47"	0
"Two States have special criminal procedures, such as pre-trial detention and âspecial powersâ to apply certain investigative techniques."	1
"On 20 February 2008, President Gbagbo signed a decree formalizing the establishment of a working group to develop the framework."	0
"We control the border by air surveillance and the troops are equipped with helicopters."	0
"They therefore decided to lend all kinds of support to the outcome of the Round Table on Côte d'Ivoire, held in Linas Marcoussis from 15 to 24 January 2003."	0
"Paragraph 8 (e) of resolution 1718 (2006):"	0
"This control includes verification of packaging, marking and labelling conditions for packages, in accordance with the provisions of the International Maritime Dangerous Goods Code."	0
"Looking at the pattern of damage, it is clear that it was a load of high-powered explosives."	0
"With the arrival of rains, intertribal violence in general has decreased, especially cattle theft and conflicts over water and grazing areas."	1
"F-FDTL soldier Francisco Amaral appeared at the intersection of the Ministry of Justice. His uniform was partially soaked in blood."	1
"It is particularly important to establish practical exchanges between the Security Council and the General Assembly on the containment of illicit flows of arms and ammunition to crisis and conflict areas."	1
"âThe Security Council is particularly concerned about attacks against humanitarian personnel, in violation of the rules of international law."	0
"On the basis of the agreement signed on 13 May 2009 by the Prime Minister and my Special Representative (see S/2009/504, para. 20), which reiterated the mutually agreed criteria for the national police to resume primary responsibility for police functions, as at 20 September the joint assessment teams composed of civil and police representatives of the Government and UNMIT had assessed all 13 districts and 6 units."	0
"The progress made in this area will enable the Republika Srpska public security centres and the police administration of the Federation of Bosnia and Herzegovina to operate with an improved fiscal methodology next year."	0
"In 2012, 13 students graduated, bringing the total number of graduates since 1992 to 84."	0
"In addition, between 27 September 2003 and May 2004, seven villages near Nyala were repeatedly attacked by the Janjaweed."	1
"- Criminal liability of legal persons or entities shall be established for the commission of offences related to the financing of terrorism;"	1
"1. unequivocally condemns all acts, methods and practices of terrorism as criminal and unjustifiable, regardless of their motivation and wherever and by whomsoever committed, in all their forms and manifestations, in particular those that may pose a threat to international peace and security;"	0
"Recalling the statement of its President (S/PRST/2012/17) of 4 May 2012 on threats to international peace and security caused by terrorist acts,"	0
"Welcoming the continuing efforts of the Government of Iraq towards a federal, democratic, pluralistic and unified Iraq with full respect for human rights,"	0
"Cases of confinement of the civilian population and arbitrary executions, as well as the deaths of civilians as a result of indiscriminate aerial attacks by Government forces, have also been reported."	1
"All delegations agreed that the main threat in the region came from the Jemaah Islamiyah (QE.J.92.02.), the Abu Sayyaf group (QE.A.1.01.) and a newcomer, the Rajah Solaiman movement (not listed), which works closely with the Abu Sayyaf group*."	0
"This is the first time that the budget has exceeded EUR 1 billion."	0
"Other trends include the increasingly frequent use of false identification to obtain legitimate and secure travel documents, the increased use of the Internet and other communications technologies (either to incite terrorist acts or to recruit new terrorists) and the new phenomenon of terrorists acting alone or in small cells."	1
"In total, through interviews with 116 eyewitnesses and 12 indirect witnesses, the investigation team collected information on attacks on 51 villages or villages and 11 rape cases."	1
"Urges appropriate regional and subregional bodies, in particular, to consider developing and implementing policies and undertaking advocacy and activities for the benefit of women and girls affected by sexual violence in armed conflict."	0
"Is genocide more serious than other international crimes? It is widely held that genocide is the most serious of international crimes."	1
"Demands that all parties immediately end all forms of violence and human rights violations committed against the civilian population [of the affected country], in particular gender-based violence, including rape and other forms of sexual violence..."	1
"Situation of the Transitional Federal Government and the opposition: military escalation"	1
"On 12 November, the Council unanimously adopted resolution 2184 (2014), by which it extended for another 12 months the authorization granted to States and regional organizations to combat piracy off the coast of Somalia, stressing the need for a comprehensive response to piracy, in particular by addressing its underlying causes, calling for the immediate and unconditional release of all hostages held by Somali pirates, and urging States to ensure that counter-piracy activities take into account the need to protect women and girls from exploitation."	0
