"es_en_TRANSOFMERS"	"VerCoop"
"The Commission has decided not to make the names of such persons public and that decision has three basic reasons: (a) the importance of due process principles and respect for the rights of suspects; (b) the fact that the Commission has neither investigative nor judicial powers; and (c) the essential need to protect witnesses from the possibility of harassment or intimidation."	1
"As part of the Division's ongoing efforts to recruit qualified experts to serve in groups, teams and panels to monitor the implementation of sanctions, and as is done annually, a note verbale was sent to all Member States in December to request proposals for suitable candidates to serve on the Division's roster of experts."	0
"In conclusion, the High Commissioner identified three measures to strengthen the working relationship between the Security Council and United Nations human rights bodies."	1
"There can be no doubt that we have underestimated the humanitarian challenges in Afghanistan, and Mr. John Holmes will address the issue in more detail."	0
"The Commission acknowledges that the Chief of the Defence Forces faced a massive abandonment of personnel and the need to maintain the discipline of the forces, but notes significant discrepancies between the measures taken and the procedures required by law.The Chief of the Defence Forces publicly announced on 16 March that, since 1 March, the petitioners were considered civilians.The Defence Forces had sought legal advice from the legal adviser of the Council of Ministers designated internationally, as there were none in the F-FDTL or the Ministry."	0
"âThe Security Council calls upon States in the region to continue to provide mutual assistance, to the greatest extent possible, to prevent, investigate, prosecute and punish acts of drug trafficking and related transnational organized crime, and to bring to justice those who finance, plan, support or commit such acts, in accordance with international law."	1
"Finally, it should be established under what circumstances force could be used in a peacekeeping operation, ranging from self-defence to peace enforcement to robust peacekeeping, and how that fits into the implementation of its own civilian protection mandate."	1
"(1) capable of speeds of 400°/s or more, or 30°/s or less; and"	0
"These meetings and activities contribute to raising awareness among the international community on counter-terrorism issues and provide a useful forum for States and organizations to discuss emerging threats and capacity-building initiatives to address terrorism-related challenges."	1
"We are convinced that an early conclusion of those talks, with the signing of a comprehensive and final peace agreement, will greatly facilitate efforts to combat terrorism and transnational organized crime in our region."	1
"Acting under Chapter VII of the Charter of the United Nations,"	0
"Options are currently under consideration to facilitate the occupancy of the new compound as soon as possible."	1
"Mutual Assistance in Criminal Matters Act 2002"	0
"I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 2048 (2012) concerning Guinea-Bissau, which reports on the activities of the Committee between 1 January and 31 December 2014."	1
"(i) Amounts obtained from the sale of miscellaneous equipment and materials"	0
"The purpose of the meeting was to initiate a dialogue with the private sector, to gain a better understanding of the difficulties faced by the financial community in implementing the sanctions regime, to find ways to simplify compliance and make it more cost-effective and effective, and to devise ideas for its improvement."	1
"316th meeting Addis Ababa, Ethiopia 3 April 2012"	0
"The allocation of the total petroleum sales product received to date is as follows:"	0
