ar_en_DEEP	QuadClass
Paraguay, Peru, Chile and Colombia have enacted legislation granting special investigative powers to law enforcement authorities.	4
However, although the team does not consider paramilitary technical advice available on the Internet to be as threatening as field training, its potential is increasing as the quality of advice provided improves.	1
He stressed the need to strengthen dialogue within the framework of the transitional federal institutions and encouraged his interlocutors to use their influence to achieve that goal.	4
The risks are undoubtedly high, as failure to meet the deadline set in the Comprehensive Peace Agreement for holding the referendums could have serious consequences.	3
Some Council members expressed their concern that circumstances have not yet allowed the start of investigations into crimes committed by the revolutionaries.	4
The Executive Directorate of the Counter-Terrorism Committee, for example, has worked extensively with countries to build their border management capabilities to monitor terrorist movements, and their criminal justice capabilities to address money laundering.	2
7 - Requests all States to abide by the provisions of this resolution regardless of the existence of any rights or obligations granted or imposed by any international agreement, any contract concluded or any license or authorization granted before the date of entry into force of the measures imposed in paragraph 4 above;	4
2 - Calls on the Syrian government to clearly implement all the obligations that it agreed to fulfill in the initial understanding and as stipulated in Resolution 2042 (2012), namely (a) stopping troop movements towards population centers, (b) stopping all use of heavy weapons. In those centers, (c) complete the withdrawal of military concentrations in and around population centers, as well as the withdrawal of its forces and heavy weapons from population centers to return to their barracks or to temporary deployment sites to facilitate a sustained ceasefire;	3
16. Exemptions to the arms embargo are set out in paragraph 54 of resolution 2127 (2013). The exemption may be granted for: supplies intended exclusively for the support or use of the Peace Consolidation Mission in the Central African Republic and the African-led International Support Mission in the Central African Republic, The United Nations Integrated Peacebuilding Office in the Central African Republic and its Guard Unit, the African Union Regional Task Force and French forces deployed in the Central African Republic (para. 54 (a))(); or supplies of non-lethal military equipment intended exclusively for humanitarian and preventive purposes, and related technical assistance or training (paragraph 54 (b)); or Protective clothing, including bulletproof vests and military helmets, temporarily brought into the Central African Republic by United Nations personnel, media representatives, humanitarian and development personnel and associated personnel, for their personal use only (para. 54 (c)); or supplies of small arms and other related equipment intended exclusively for use in international patrols providing security in the Sangha River protected area shared by three countries to protect it from poaching, ivory and arms smuggling, and other activities contrary to the national laws of the Central African Republic or to the international legal obligations of the Central African Republic (Paragraph 54(d)); or the supply of weapons and related lethal equipment to the security forces of the Central African Republic, intended exclusively to support and be used in the security sector reform process in the Central African Republic, as previously approved by the Committee (para. 54 (e)); or sales or other supply of arms and related materiel or other provision of assistance or personnel (paragraph 54(f)).	2
For example, Poland and Croatia, with the assistance of the Office for Disarmament Affairs, conducted a peer review to assess their implementation of the resolution. The review consisted of two rounds of discussions and activities, organized in Warsaw and Zagreb, with Committee experts attending as observers. The review helped identify effective practices and facilitated the exchange of experiences.	2
He explained that he had held many discussions with the Moroccan government, which first requested, before accepting the resumption of shuttle diplomacy, a meeting in order to clarify its concerns regarding the latest report of the Secretary-General (S/2014/258), stressing that Morocco believes that this will allow the process to advance in a manner Ideal.	4
However, despite increased interest and recent positive developments in this area, many challenges remain in the field with regard to implementation, in particular challenges related to the continued lack of clarity regarding the concept and operationalization of the protection of civilians, internal and external coordination mechanisms, and early warning and rapid response. , providing support to host government security forces, force capabilities, and providing resources.	3
15. Since the submission of my report of 2 January 2008 to the Security Council (S/2008/1), UNOCI has removed all 17 observation posts it had established along the Green Line, in line with the provisions of the Ouagadougou Agreement, Except for two.	2
